Dependency=Custom State	Dependency=HVAC Secondary Heating Fuel	Dependency=HVAC Secondary Heating Type	Dependency=Vintage	Option=Fuel Boiler, 76% AFUE	Option=Fuel Boiler, 80% AFUE	Option=Fuel Boiler, 90% AFUE	Option=Fuel Furnace, 60% AFUE	Option=Fuel Furnace, 76% AFUE	Option=Fuel Furnace, 80% AFUE	Option=Fuel Furnace, 92.5% AFUE	Option=None	Option=Shared Heating	Option=Void	source_count	source_weight	fallback_count	fallback_weight
AK	Electricity	Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	Non-Ducted Heating	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	None	1990s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	None	2000s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	None	2010s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Electricity	None	<1940	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Fuel Oil	Ducted Heating	1940s	0	0	0	0	0.125	0.875	0	0	0	0	16	16	16	16
AK	Fuel Oil	Ducted Heating	1950s	0	0	0	0	0.212121	0.666667	0	0	0.121212	0	33	33	33	33
AK	Fuel Oil	Ducted Heating	1960s	0	0	0	0	0.189189	0.783784	0	0	0.027027	0	37	37	37	37
AK	Fuel Oil	Ducted Heating	1970s	0	0	0	0	0.230159	0.746032	0.015873	0	0.00793651	0	126	126	126	126
AK	Fuel Oil	Ducted Heating	1980s	0	0	0	0	0.204724	0.779528	0.00787402	0	0.00787402	0	127	127	127	127
AK	Fuel Oil	Ducted Heating	1990s	0	0	0	0	0.304348	0.608696	0.0434783	0	0.0434783	0	23	23	23	23
AK	Fuel Oil	Ducted Heating	2000s	0	0	0	0	0.0555556	0.944444	0	0	0	0	18	18	18	18
AK	Fuel Oil	Ducted Heating	2010s	0	0	0	0	0.199519	0.764423	0.00961538	0	0.0264423	0	1	1	416	416
AK	Fuel Oil	Ducted Heating	<1940	0	0	0	0	0.114286	0.828571	0	0	0.0571429	0	35	35	35	35
AK	Fuel Oil	Non-Ducted Heating	1940s	0.493653	0.441467	0.0253879	0	0	0	0	0	0.0394922	0	9	9	709	709
AK	Fuel Oil	Non-Ducted Heating	1950s	0.645161	0.290323	0	0	0	0	0	0	0.0645161	0	31	31	31	31
AK	Fuel Oil	Non-Ducted Heating	1960s	0.506849	0.410959	0.0136986	0	0	0	0	0	0.0684932	0	73	73	73	73
AK	Fuel Oil	Non-Ducted Heating	1970s	0.540179	0.383929	0.0401786	0	0	0	0	0	0.0357143	0	224	224	224	224
AK	Fuel Oil	Non-Ducted Heating	1980s	0.457516	0.48366	0.0261438	0	0	0	0	0	0.0326797	0	153	153	153	153
AK	Fuel Oil	Non-Ducted Heating	1990s	0.525773	0.43299	0	0	0	0	0	0	0.0412371	0	97	97	97	97
AK	Fuel Oil	Non-Ducted Heating	2000s	0.426471	0.544118	0.0294118	0	0	0	0	0	0	0	68	68	68	68
AK	Fuel Oil	Non-Ducted Heating	2010s	0.166667	0.583333	0.0833333	0	0	0	0	0	0.166667	0	12	12	12	12
AK	Fuel Oil	Non-Ducted Heating	<1940	0.380952	0.547619	0.0238095	0	0	0	0	0	0.047619	0	42	42	42	42
AK	Fuel Oil	None	1940s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Fuel Oil	None	1950s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Fuel Oil	None	1960s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Fuel Oil	None	1970s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AK	Fuel Oil	None	1980s	0	0	0	0	0	0	0	1	0	0	0	0	0	0
