Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=HVAC Cooling Type	Option=<10% Conditioned	Option=20% Conditioned	Option=40% Conditioned	Option=60% Conditioned	Option=80% Conditioned	Option=100% Conditioned	Option=None	Option=Void	source_count	source_weight
1A	Mobile Home	0-1499	Central AC	0	0	0	7.68224e-05	0.00288286	0.99704	0	0	1.31789	3596.94
1A	Mobile Home	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.30296	3028.83
1A	Mobile Home	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Mobile Home	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.30296	366.719
1A	Mobile Home	0-1499	None	0	0	0	0	0	0	1	0	0.143323	399.018
1A	Mobile Home	0-1499	Room AC	0	0.0737307	0.0784096	0.289893	0.0101966	0.547771	0	0	2.03144	5918.6
1A	Mobile Home	1500-2499	Central AC	0	0	0	0.000303778	0.00709169	0.992605	0	0	0.925949	2372.12
1A	Mobile Home	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.50298	3205.83
1A	Mobile Home	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Mobile Home	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.50298	388.15
1A	Mobile Home	1500-2499	None	0	0	0	0	0	0	1	0	0.038023	96.7483
1A	Mobile Home	1500-2499	Room AC	0	0.162965	0.123977	0.367629	0.0322408	0.313188	0	0	0.298952	772.152
1A	Mobile Home	2500-3999	Central AC	0	0	0	0.000729563	0.0130003	0.98627	0	0	0.430404	1066.28
1A	Mobile Home	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.391814	842.256
1A	Mobile Home	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Mobile Home	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.391814	101.977
1A	Mobile Home	2500-3999	None	0	0	0	0	0	0	1	0	0.0117001	29.1335
1A	Mobile Home	2500-3999	Room AC	0	0.268905	0.114673	0.344098	0.0362628	0.236061	0	0	0.127528	321.662
1A	Mobile Home	4000+	Central AC	0	0	0	0.000684542	0.013366	0.985949	0	0	0.0869234	217.283
1A	Mobile Home	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0675344	123.968
1A	Mobile Home	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Mobile Home	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0675344	15.0096
1A	Mobile Home	4000+	None	0	0	0	0	0	0	1	0	0.0013841	3.32825
1A	Mobile Home	4000+	Room AC	0	0.248355	0.0704758	0.311525	0.022507	0.347137	0	0	0.0118073	31.8415
1A	Multi-Family with 2 - 4 Units	0-1499	Central AC	0	0	0	0.000173397	0.00121085	0.998616	0	0	14.5454	15198.9
1A	Multi-Family with 2 - 4 Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.6465	1483.58
1A	Multi-Family with 2 - 4 Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Multi-Family with 2 - 4 Units	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.6465	179.627
1A	Multi-Family with 2 - 4 Units	0-1499	None	0	0	0	0	0	0	1	0	2.75659	2992.22
1A	Multi-Family with 2 - 4 Units	0-1499	Room AC	0	0.0524096	0.150027	0.18043	0.0354822	0.581651	0	0	23.0235	26788.3
1A	Multi-Family with 2 - 4 Units	1500-2499	Central AC	0	0	0	0.000687147	0.00298508	0.996328	0	0	10.2196	10023.4
1A	Multi-Family with 2 - 4 Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.89925	1570.29
1A	Multi-Family with 2 - 4 Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Multi-Family with 2 - 4 Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.89925	190.124
1A	Multi-Family with 2 - 4 Units	1500-2499	None	0	0	0	0	0	0	1	0	0.731312	725.513
1A	Multi-Family with 2 - 4 Units	1500-2499	Room AC	0	0.112836	0.231064	0.222881	0.109283	0.323936	0	0	3.38821	3494.86
1A	Multi-Family with 2 - 4 Units	2500-3999	Central AC	0	0	0	0.00165508	0.00548812	0.992857	0	0	4.75031	4505.59
1A	Multi-Family with 2 - 4 Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.495118	412.555
1A	Multi-Family with 2 - 4 Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Multi-Family with 2 - 4 Units	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.495118	49.9506
1A	Multi-Family with 2 - 4 Units	2500-3999	None	0	0	0	0	0	0	1	0	0.225032	218.471
1A	Multi-Family with 2 - 4 Units	2500-3999	Room AC	0	0.190844	0.219068	0.213831	0.125989	0.250268	0	0	1.44535	1455.88
1A	Multi-Family with 2 - 4 Units	4000+	Central AC	0	0	0	0.00155337	0.00564405	0.992803	0	0	0.959363	918.134
1A	Multi-Family with 2 - 4 Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0853404	60.7222
1A	Multi-Family with 2 - 4 Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Multi-Family with 2 - 4 Units	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0853404	7.35202
1A	Multi-Family with 2 - 4 Units	4000+	None	0	0	0	0	0	0	1	0	0.026621	24.9584
1A	Multi-Family with 2 - 4 Units	4000+	Room AC	0	0.185398	0.141615	0.203627	0.0822513	0.387109	0	0	0.133819	144.119
1A	Multi-Family with 5+ Units	0-1499	Central AC	0	0	0	0.000173397	0.00121085	0.998616	0	0	14.5454	15198.9
1A	Multi-Family with 5+ Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.6465	1483.58
1A	Multi-Family with 5+ Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Multi-Family with 5+ Units	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.6465	179.627
1A	Multi-Family with 5+ Units	0-1499	None	0	0	0	0	0	0	1	0	2.75659	2992.22
1A	Multi-Family with 5+ Units	0-1499	Room AC	0	0.0524096	0.150027	0.18043	0.0354822	0.581651	0	0	23.0235	26788.3
1A	Multi-Family with 5+ Units	1500-2499	Central AC	0	0	0	0.000687147	0.00298508	0.996328	0	0	10.2196	10023.4
1A	Multi-Family with 5+ Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.89925	1570.29
1A	Multi-Family with 5+ Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Multi-Family with 5+ Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.89925	190.124
1A	Multi-Family with 5+ Units	1500-2499	None	0	0	0	0	0	0	1	0	0.731312	725.513
1A	Multi-Family with 5+ Units	1500-2499	Room AC	0	0.112836	0.231064	0.222881	0.109283	0.323936	0	0	3.38821	3494.86
1A	Multi-Family with 5+ Units	2500-3999	Central AC	0	0	0	0.00165508	0.00548812	0.992857	0	0	4.75031	4505.59
1A	Multi-Family with 5+ Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.495118	412.555
1A	Multi-Family with 5+ Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Multi-Family with 5+ Units	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.495118	49.9506
1A	Multi-Family with 5+ Units	2500-3999	None	0	0	0	0	0	0	1	0	0.225032	218.471
1A	Multi-Family with 5+ Units	2500-3999	Room AC	0	0.190844	0.219068	0.213831	0.125989	0.250268	0	0	1.44535	1455.88
1A	Multi-Family with 5+ Units	4000+	Central AC	0	0	0	0.00155337	0.00564405	0.992803	0	0	0.959363	918.134
1A	Multi-Family with 5+ Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0853404	60.7222
1A	Multi-Family with 5+ Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Multi-Family with 5+ Units	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0853404	7.35202
1A	Multi-Family with 5+ Units	4000+	None	0	0	0	0	0	0	1	0	0.026621	24.9584
1A	Multi-Family with 5+ Units	4000+	Room AC	0	0.185398	0.141615	0.203627	0.0822513	0.387109	0	0	0.133819	144.119
1A	Single-Family Attached	0-1499	Central AC	0	0	0	0.00198825	0.00723368	0.990778	0	0	251.604	239869
1A	Single-Family Attached	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	65.3383	52405.1
1A	Single-Family Attached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Single-Family Attached	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	65.3383	6345.01
1A	Single-Family Attached	0-1499	None	0	0	0	0	0	0	1	0	10.8089	10477.2
1A	Single-Family Attached	0-1499	Room AC	0	0.142835	0.171063	0.239529	0.0795097	0.367064	0	0	59.0369	63844.3
1A	Single-Family Attached	1500-2499	Central AC	0	0	0	0.00776869	0.0175831	0.974648	0	0	176.776	158189
1A	Single-Family Attached	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	75.3683	55467.7
1A	Single-Family Attached	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Single-Family Attached	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	75.3683	6715.82
1A	Single-Family Attached	1500-2499	None	0	0	0	0	0	0	1	0	2.86756	2540.37
1A	Single-Family Attached	1500-2499	Room AC	0	0.233645	0.200173	0.224806	0.186057	0.155319	0	0	8.68805	8329.25
1A	Single-Family Attached	2500-3999	Central AC	0	0	0	0.0183039	0.0316218	0.950074	0	0	82.1699	71107
1A	Single-Family Attached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	19.6479	14572.8
1A	Single-Family Attached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Single-Family Attached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	19.6479	1764.42
1A	Single-Family Attached	2500-3999	None	0	0	0	0	0	0	1	0	0.882376	764.974
1A	Single-Family Attached	2500-3999	Room AC	0	0.34813	0.167189	0.190003	0.188966	0.105712	0	0	3.70617	3469.79
1A	Single-Family Attached	4000+	Central AC	0	0	0	0.0171838	0.0325293	0.950287	0	0	16.5949	14489.9
1A	Single-Family Attached	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	3.38659	2144.91
1A	Single-Family Attached	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Single-Family Attached	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	3.38659	259.698
1A	Single-Family Attached	4000+	None	0	0	0	0	0	0	1	0	0.104384	87.3916
1A	Single-Family Attached	4000+	Room AC	0	0.369982	0.118236	0.197941	0.13496	0.178882	0	0	0.343139	343.476
1A	Single-Family Detached	0-1499	Central AC	0	0	0	0.00198825	0.00723368	0.990778	0	0	251.604	239869
1A	Single-Family Detached	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	65.3383	52405.1
1A	Single-Family Detached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Single-Family Detached	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	65.3383	6345.01
1A	Single-Family Detached	0-1499	None	0	0	0	0	0	0	1	0	10.8089	10477.2
1A	Single-Family Detached	0-1499	Room AC	0	0.142835	0.171063	0.239529	0.0795097	0.367064	0	0	59.0369	63844.3
1A	Single-Family Detached	1500-2499	Central AC	0	0	0	0.00776869	0.0175831	0.974648	0	0	176.776	158189
1A	Single-Family Detached	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	75.3683	55467.7
1A	Single-Family Detached	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Single-Family Detached	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	75.3683	6715.82
1A	Single-Family Detached	1500-2499	None	0	0	0	0	0	0	1	0	2.86756	2540.37
1A	Single-Family Detached	1500-2499	Room AC	0	0.233645	0.200173	0.224806	0.186057	0.155319	0	0	8.68805	8329.25
1A	Single-Family Detached	2500-3999	Central AC	0	0	0	0.0183039	0.0316218	0.950074	0	0	82.1699	71107
1A	Single-Family Detached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	19.6479	14572.8
1A	Single-Family Detached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Single-Family Detached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	19.6479	1764.42
1A	Single-Family Detached	2500-3999	None	0	0	0	0	0	0	1	0	0.882376	764.974
1A	Single-Family Detached	2500-3999	Room AC	0	0.34813	0.167189	0.190003	0.188966	0.105712	0	0	3.70617	3469.79
1A	Single-Family Detached	4000+	Central AC	0	0	0	0.0171838	0.0325293	0.950287	0	0	16.5949	14489.9
1A	Single-Family Detached	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	3.38659	2144.91
1A	Single-Family Detached	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
1A	Single-Family Detached	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	3.38659	259.698
1A	Single-Family Detached	4000+	None	0	0	0	0	0	0	1	0	0.104384	87.3916
1A	Single-Family Detached	4000+	Room AC	0	0.369982	0.118236	0.197941	0.13496	0.178882	0	0	0.343139	343.476
2A	Mobile Home	0-1499	Central AC	0	0	0	7.68224e-05	0.00288286	0.99704	0	0	1.31789	29102.5
2A	Mobile Home	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.30296	24506
2A	Mobile Home	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Mobile Home	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.30296	2967.09
2A	Mobile Home	0-1499	None	0	0	0	0	0	0	1	0	0.143323	3228.42
2A	Mobile Home	0-1499	Room AC	0	0.0737307	0.0784096	0.289893	0.0101966	0.547771	0	0	2.03144	47886.8
2A	Mobile Home	1500-2499	Central AC	0	0	0	0.000303778	0.00709169	0.992605	0	0	0.925949	19192.6
2A	Mobile Home	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.50298	25938.1
2A	Mobile Home	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Mobile Home	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.50298	3140.49
2A	Mobile Home	1500-2499	None	0	0	0	0	0	0	1	0	0.038023	782.782
2A	Mobile Home	1500-2499	Room AC	0	0.162965	0.123977	0.367629	0.0322408	0.313188	0	0	0.298952	6247.41
2A	Mobile Home	2500-3999	Central AC	0	0	0	0.000729563	0.0130003	0.98627	0	0	0.430404	8627.18
2A	Mobile Home	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.391814	6814.61
2A	Mobile Home	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Mobile Home	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.391814	825.088
2A	Mobile Home	2500-3999	None	0	0	0	0	0	0	1	0	0.0117001	235.716
2A	Mobile Home	2500-3999	Room AC	0	0.268905	0.114673	0.344098	0.0362628	0.236061	0	0	0.127528	2602.53
2A	Mobile Home	4000+	Central AC	0	0	0	0.000684542	0.013366	0.985949	0	0	0.0869234	1758.02
2A	Mobile Home	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0675344	1003.02
2A	Mobile Home	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Mobile Home	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0675344	121.441
2A	Mobile Home	4000+	None	0	0	0	0	0	0	1	0	0.0013841	26.9286
2A	Mobile Home	4000+	Room AC	0	0.248355	0.0704758	0.311525	0.022507	0.347137	0	0	0.0118073	257.627
2A	Multi-Family with 2 - 4 Units	0-1499	Central AC	0	0	0	0.000173397	0.00121085	0.998616	0	0	14.5454	122973
2A	Multi-Family with 2 - 4 Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.6465	12003.5
2A	Multi-Family with 2 - 4 Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Multi-Family with 2 - 4 Units	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.6465	1453.34
2A	Multi-Family with 2 - 4 Units	0-1499	None	0	0	0	0	0	0	1	0	2.75659	24209.8
2A	Multi-Family with 2 - 4 Units	0-1499	Room AC	0	0.0524096	0.150027	0.18043	0.0354822	0.581651	0	0	23.0235	216742
2A	Multi-Family with 2 - 4 Units	1500-2499	Central AC	0	0	0	0.000687147	0.00298508	0.996328	0	0	10.2196	81098.7
2A	Multi-Family with 2 - 4 Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.89925	12705
2A	Multi-Family with 2 - 4 Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Multi-Family with 2 - 4 Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.89925	1538.28
2A	Multi-Family with 2 - 4 Units	1500-2499	None	0	0	0	0	0	0	1	0	0.731312	5870.06
2A	Multi-Family with 2 - 4 Units	1500-2499	Room AC	0	0.112836	0.231064	0.222881	0.109283	0.323936	0	0	3.38821	28276.6
2A	Multi-Family with 2 - 4 Units	2500-3999	Central AC	0	0	0	0.00165508	0.00548812	0.992857	0	0	4.75031	36454.3
2A	Multi-Family with 2 - 4 Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.495118	3337.94
2A	Multi-Family with 2 - 4 Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Multi-Family with 2 - 4 Units	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.495118	404.145
2A	Multi-Family with 2 - 4 Units	2500-3999	None	0	0	0	0	0	0	1	0	0.225032	1767.63
2A	Multi-Family with 2 - 4 Units	2500-3999	Room AC	0	0.190844	0.219068	0.213831	0.125989	0.250268	0	0	1.44535	11779.4
2A	Multi-Family with 2 - 4 Units	4000+	Central AC	0	0	0	0.00155337	0.00564405	0.992803	0	0	0.959363	7428.54
