Dependency=County	Dependency=Geometry Building Type RECS	Dependency=Vacancy Status	Option=No	Option=Yes	source_count	source_weight	fallback_count	fallback_weight
AK, Aleutians East Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Aleutians East Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Aleutians East Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Aleutians East Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Aleutians East Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Aleutians East Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Aleutians East Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Aleutians East Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Aleutians East Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Aleutians East Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Aleutians West Census Area	Mobile Home	Occupied	1	0	0	1	0	29
AK, Aleutians West Census Area	Mobile Home	Vacant	1	0	0	1	0	29
AK, Aleutians West Census Area	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Aleutians West Census Area	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Aleutians West Census Area	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Aleutians West Census Area	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Aleutians West Census Area	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Aleutians West Census Area	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Aleutians West Census Area	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Aleutians West Census Area	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Anchorage Municipality	Mobile Home	Occupied	1	0	0	1	0	29
AK, Anchorage Municipality	Mobile Home	Vacant	1	0	0	1	0	29
AK, Anchorage Municipality	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Anchorage Municipality	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Anchorage Municipality	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Anchorage Municipality	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Anchorage Municipality	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Anchorage Municipality	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Anchorage Municipality	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Anchorage Municipality	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Bethel Census Area	Mobile Home	Occupied	1	0	0	1	0	29
AK, Bethel Census Area	Mobile Home	Vacant	1	0	0	1	0	29
AK, Bethel Census Area	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Bethel Census Area	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Bethel Census Area	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Bethel Census Area	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Bethel Census Area	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Bethel Census Area	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Bethel Census Area	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Bethel Census Area	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Bristol Bay Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Bristol Bay Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Bristol Bay Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Bristol Bay Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Bristol Bay Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Bristol Bay Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Bristol Bay Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Bristol Bay Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Bristol Bay Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Bristol Bay Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Denali Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Denali Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Denali Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Denali Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Denali Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Denali Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Denali Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Denali Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Denali Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Denali Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Dillingham Census Area	Mobile Home	Occupied	1	0	0	1	0	29
AK, Dillingham Census Area	Mobile Home	Vacant	1	0	0	1	0	29
AK, Dillingham Census Area	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Dillingham Census Area	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Dillingham Census Area	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Dillingham Census Area	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Dillingham Census Area	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Dillingham Census Area	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Dillingham Census Area	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Dillingham Census Area	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Fairbanks North Star Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Fairbanks North Star Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Fairbanks North Star Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Fairbanks North Star Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Fairbanks North Star Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Fairbanks North Star Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Fairbanks North Star Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Fairbanks North Star Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Fairbanks North Star Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Fairbanks North Star Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Haines Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Haines Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Haines Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Haines Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Haines Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Haines Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Haines Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Haines Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Haines Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Haines Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Hoonah-Angoon Census Area	Mobile Home	Occupied	1	0	0	1	0	29
AK, Hoonah-Angoon Census Area	Mobile Home	Vacant	1	0	0	1	0	29
AK, Hoonah-Angoon Census Area	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Hoonah-Angoon Census Area	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Hoonah-Angoon Census Area	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Hoonah-Angoon Census Area	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Hoonah-Angoon Census Area	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Hoonah-Angoon Census Area	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Hoonah-Angoon Census Area	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Hoonah-Angoon Census Area	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Juneau City and Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Juneau City and Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Juneau City and Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Juneau City and Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Juneau City and Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Juneau City and Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Juneau City and Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Juneau City and Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Juneau City and Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Juneau City and Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Kenai Peninsula Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Kenai Peninsula Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Kenai Peninsula Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Kenai Peninsula Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Kenai Peninsula Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Kenai Peninsula Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Kenai Peninsula Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Kenai Peninsula Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Kenai Peninsula Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Kenai Peninsula Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Ketchikan Gateway Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Ketchikan Gateway Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Ketchikan Gateway Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Ketchikan Gateway Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Ketchikan Gateway Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Ketchikan Gateway Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Ketchikan Gateway Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Ketchikan Gateway Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Ketchikan Gateway Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Ketchikan Gateway Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Kodiak Island Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Kodiak Island Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Kodiak Island Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Kodiak Island Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Kodiak Island Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Kodiak Island Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Kodiak Island Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Kodiak Island Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Kodiak Island Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Kodiak Island Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Kusilvak Census Area	Mobile Home	Occupied	1	0	0	1	0	29
AK, Kusilvak Census Area	Mobile Home	Vacant	1	0	0	1	0	29
AK, Kusilvak Census Area	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Kusilvak Census Area	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Kusilvak Census Area	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Kusilvak Census Area	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Kusilvak Census Area	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Kusilvak Census Area	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Kusilvak Census Area	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Kusilvak Census Area	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Lake and Peninsula Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Lake and Peninsula Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Lake and Peninsula Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Lake and Peninsula Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Lake and Peninsula Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Lake and Peninsula Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Lake and Peninsula Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Lake and Peninsula Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Lake and Peninsula Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Lake and Peninsula Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Matanuska-Susitna Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Matanuska-Susitna Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Matanuska-Susitna Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Matanuska-Susitna Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Matanuska-Susitna Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Matanuska-Susitna Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Matanuska-Susitna Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Matanuska-Susitna Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Matanuska-Susitna Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Matanuska-Susitna Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Nome Census Area	Mobile Home	Occupied	1	0	0	1	0	29
AK, Nome Census Area	Mobile Home	Vacant	1	0	0	1	0	29
AK, Nome Census Area	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
