Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	Electricity	AK	0.883117	0.0194805	0.025974	0.00649351	0.0649351	154	154	154	154
Mobile Home	Fuel Oil	AK	0.778785	0.0752493	0.00181324	0.000906618	0.143246	1103	1103	1103	1103
Mobile Home	Natural Gas	AK	0.2024	0	0.796	0	0.0016	1250	1250	1250	1250
Mobile Home	None	AK	0.2	0.2	0.2	0.2	0.2	0	0	0	0
Mobile Home	Other Fuel	AK	0.231707	0.231707	0	0.5	0.0365854	2	2	82	82
Mobile Home	Propane	AK	0.355932	0.0338983	0.0169492	0.0169492	0.576271	59	59	59	59
Mobile Home	Wood	AK	0.588235	0.092437	0.0588235	0.00840336	0.252101	119	119	119	119
Multi-Family with 2 - 4 Units	Electricity	AK	0.789954	0.0410959	0.0456621	0	0.123288	219	65.7	219	65.7
Multi-Family with 2 - 4 Units	Fuel Oil	AK	0.233871	0.751152	0	0.00115207	0.0138249	868	260.4	868	260.4
Multi-Family with 2 - 4 Units	Natural Gas	AK	0.014681	0	0.983625	0	0.00169396	1771	531.3	1771	531.3
Multi-Family with 2 - 4 Units	None	AK	0.2	0.2	0.2	0.2	0.2	0	0	0	0
Multi-Family with 2 - 4 Units	Other Fuel	AK	0.231707	0.231707	0	0.5	0.0365854	4	1.2	82	82
Multi-Family with 2 - 4 Units	Propane	AK	0.0697674	0	0.0232558	0	0.906977	43	12.9	43	12.9
Multi-Family with 2 - 4 Units	Wood	AK	0.22	0.18	0.6	0	0	50	15	50	15
Multi-Family with 5+ Units	Electricity	AK	0.789954	0.0410959	0.0456621	0	0.123288	219	153.3	219	153.3
Multi-Family with 5+ Units	Fuel Oil	AK	0.233871	0.751152	0	0.00115207	0.0138249	868	607.6	868	607.6
Multi-Family with 5+ Units	Natural Gas	AK	0.014681	0	0.983625	0	0.00169396	1771	1239.7	1771	1239.7
Multi-Family with 5+ Units	None	AK	0.2	0.2	0.2	0.2	0.2	0	0	0	0
Multi-Family with 5+ Units	Other Fuel	AK	0.231707	0.231707	0	0.5	0.0365854	4	2.8	82	82
Multi-Family with 5+ Units	Propane	AK	0.0697674	0	0.0232558	0	0.906977	43	30.1	43	30.1
Multi-Family with 5+ Units	Wood	AK	0.22	0.18	0.6	0	0	50	35	50	35
Single-Family Attached	Electricity	AK	0.885587	0.0193165	0.0668648	0	0.0282318	673	673	673	673
Single-Family Attached	Fuel Oil	AK	0.277927	0.708668	0	0	0.0134048	1119	1119	1119	1119
Single-Family Attached	Natural Gas	AK	0.0215949	0	0.977634	0.000462749	0.000308499	6483	6483	6483	6483
Single-Family Attached	None	AK	0.2	0.2	0.2	0.2	0.2	0	0	0	0
Single-Family Attached	Other Fuel	AK	0	0.0277778	0	0.944444	0.0277778	36	36	36	36
Single-Family Attached	Propane	AK	0.333333	0.0333333	0.133333	0	0.5	30	30	30	30
Single-Family Attached	Wood	AK	0.120536	0.0357143	0.84375	0	0	224	224	224	224
Single-Family Detached	Electricity	AK	0.762775	0.0634092	0.073107	0.00149198	0.0992167	2681	2681	2681	2681
Single-Family Detached	Fuel Oil	AK	0.286515	0.661332	0.00212046	0.000959257	0.0490736	19807	19807	19807	19807
Single-Family Detached	Natural Gas	AK	0.0144675	0.000322096	0.98419	0.000187889	0.000832081	37256	37256	37256	37256
Single-Family Detached	None	AK	0.2	0.2	0.2	0.2	0.2	0	0	0	0
Single-Family Detached	Other Fuel	AK	0.425	0.45	0	0.075	0.05	40	40	40	40
Single-Family Detached	Propane	AK	0.185028	0.0127119	0.0338983	0	0.768362	708	708	708	708
Single-Family Detached	Wood	AK	0.315088	0.230342	0.317033	0.015282	0.122256	3599	3599	3599	3599
Mobile Home	Electricity	AL	1	0	0	0	0	27	201882	27	201882
Multi-Family with 2 - 4 Units	Electricity	AL	0.762077	0	0.237923	0	0	14	116735	14	116735
Multi-Family with 5+ Units	Electricity	AL	1	0	0	0	0	11	124178	11	124178
Single-Family Attached	Electricity	AL	0.90976	0	0.0902403	0	0	7	24276.1	45	100210
Single-Family Detached	Electricity	AL	0.865457	0	0.111711	0	0.0228324	95	750153	95	750153
Mobile Home	Electricity	AR	0.949673	0	0.0503273	0	0	19	98842.2	19	98842.2
Multi-Family with 2 - 4 Units	Electricity	AR	0.893627	0	0.0887261	0	0.0176472	5	24943.3	62	580955
Multi-Family with 5+ Units	Electricity	AR	0.901589	0	0.0984108	0	0	12	91528.4	12	91528.4
Single-Family Attached	Electricity	AR	0.865095	0.02722	0.0913652	0	0.0163197	6	14130.6	48	176853
Single-Family Detached	Electricity	AR	0.9074	0	0.0767543	0	0.0158455	74	293141	74	293141
Mobile Home	Electricity	AZ	1	0	0	0	0	16	99393.6	16	99393.6
Multi-Family with 2 - 4 Units	Electricity	AZ	0.773698	0	0.226302	0	0	10	88204.8	10	88204.8
Multi-Family with 5+ Units	Electricity	AZ	0.754785	0	0.245215	0	0	35	291074	35	291074
Single-Family Attached	Electricity	AZ	0.831054	0	0.168946	0	0	24	64875.8	24	64875.8
Single-Family Detached	Electricity	AZ	0.781809	0	0.162706	0.0186995	0.0367862	152	813122	152	813122
Mobile Home	Electricity	CA	0.723685	0	0.175856	0	0.100459	6	76465.6	46	328414
Multi-Family with 2 - 4 Units	Electricity	CA	0.637869	0	0.362131	0	0	21	333237	21	333237
Multi-Family with 5+ Units	Electricity	CA	0.568991	0	0.421725	0	0.00928419	90	1.27878e+06	90	1.27878e+06
Single-Family Attached	Electricity	CA	0.698568	0	0.269642	0	0.0317894	27	194562	27	194562
Single-Family Detached	Electricity	CA	0.319953	0	0.642806	0	0.0372411	67	763169	67	763169
Mobile Home	Electricity	CO	0.945716	0	0.0207511	0	0.0335327	1	5738.44	19	44581.3
Multi-Family with 2 - 4 Units	Electricity	CO	0.75272	0	0.24728	0	0	3	37059.9	19	121087
Multi-Family with 5+ Units	Electricity	CO	0.695033	0	0.304967	0	0	24	219724	24	219724
Single-Family Attached	Electricity	CO	0.838008	0	0.13323	0.0287617	0	4	22378.8	19	47367.9
Single-Family Detached	Electricity	CO	0.803295	0	0.196705	0	0	16	86984.7	16	86984.7
Mobile Home	Electricity	CT	0.830923	0.0542253	0.0220469	0.0108787	0.0819257	0	0	81	232624
Multi-Family with 2 - 4 Units	Electricity	CT	0.641537	0	0.240414	0	0.11805	9	74199.7	25	169459
Multi-Family with 5+ Units	Electricity	CT	0.571271	0	0.428729	0	0	16	116475	16	116475
Single-Family Attached	Electricity	CT	0.872537	0	0.0575129	0.0464508	0.0234993	9	21988.5	23	54480.5
Single-Family Detached	Electricity	CT	1	0	0	0	0	14	51920.9	14	51920.9
Mobile Home	Electricity	DC	0.973947	0	0.0122276	0	0.0138249	0	0	168	1.61927e+06
Multi-Family with 2 - 4 Units	Electricity	DC	0.965084	0	0.034916	0	0	8	9686.88	91	696635
Multi-Family with 5+ Units	Electricity	DC	0.92055	0	0.0794498	0	0	63	106424	63	106424
Single-Family Attached	Electricity	DC	0.859721	0	0.0791039	0	0.0611753	13	13077.5	13	13077.5
Single-Family Detached	Electricity	DC	0.906353	0.00122174	0.0582699	0.00139636	0.0327585	0	0	973	7.94251e+06
Mobile Home	Electricity	DE	0.973947	0	0.0122276	0	0.0138249	7	22498.7	168	1.61927e+06
Multi-Family with 2 - 4 Units	Electricity	DE	0.965084	0	0.034916	0	0	3	6517.38	91	696635
Multi-Family with 5+ Units	Electricity	DE	0.909205	0	0.0811213	0.00474904	0.00492454	7	27276.8	300	2.8028e+06
Single-Family Attached	Electricity	DE	0.900736	0.00375332	0.0705098	0.00735168	0.0176491	7	13210.3	177	990131
Single-Family Detached	Electricity	DE	0.884078	0.0251229	0	0	0.0907995	31	82472.9	31	82472.9
Mobile Home	Electricity	FL	0.961103	0	0.0388972	0	0	34	509028	34	509028
Multi-Family with 2 - 4 Units	Electricity	FL	0.911956	0	0.0880437	0	0	22	276269	22	276269
Multi-Family with 5+ Units	Electricity	FL	0.963812	0	0.0361879	0	0	54	893826	54	893826
Single-Family Attached	Electricity	FL	0.904285	0	0.0530608	0.0220614	0.020593	40	329948	40	329948
Single-Family Detached	Electricity	FL	0.915119	0	0.0581435	0.00331865	0.0234189	293	3.34191e+06	293	3.34191e+06
Mobile Home	Electricity	GA	1	0	0	0	0	16	196101	16	196101
Multi-Family with 2 - 4 Units	Electricity	GA	0.965084	0	0.034916	0	0	5	51044.3	91	696635
Multi-Family with 5+ Units	Electricity	GA	0.903427	0	0.0965734	0	0	24	289180	24	289180
Single-Family Attached	Electricity	GA	0.93477	0	0.06523	0	0	24	167217	24	167217
Single-Family Detached	Electricity	GA	0.878971	0	0.0730446	0	0.0479847	117	1.06394e+06	117	1.06394e+06
Mobile Home	Electricity	HI	0.71712	0	0	0.163461	0.119419	0	0	10	15525.9
Multi-Family with 2 - 4 Units	Electricity	HI	0.731477	0	0.253375	0.00121679	0.013931	1	2116.42	257	2.66606e+06
Multi-Family with 5+ Units	Electricity	HI	0.731477	0	0.253375	0.00121679	0.013931	3	6743.05	257	2.66606e+06
Single-Family Attached	Electricity	HI	0.71712	0	0	0.163461	0.119419	4	4772.17	10	15525.9
Single-Family Detached	Electricity	HI	0.71712	0	0	0.163461	0.119419	6	10753.7	10	15525.9
Mobile Home	Electricity	IA	0.985451	0	0	0	0.0145491	1	4505.89	21	137481
Multi-Family with 2 - 4 Units	Electricity	IA	0.980702	0	0.0192978	0	0	3	18179.2	34	212875
Multi-Family with 5+ Units	Electricity	IA	0.951376	0	0.0467716	0.00185247	0	7	59032.1	106	620890
