Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=Occupied	Option=Vacant	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	AK, 00101	0.96882	0.0311796	40	2662	40	2662
Multi-Family with 2 - 4 Units	AK, 00101	0.841445	0.158555	196	10520	196	10520
Multi-Family with 5+ Units	AK, 00101	0.857876	0.142124	221	10526	221	10526
Single-Family Attached	AK, 00101	0.953837	0.0461633	163	6477	163	6477
Single-Family Detached	AK, 00101	0.938147	0.0618529	513	22311	513	22311
Mobile Home	AK, 00102	0.896511	0.103489	44	2522	44	2522
Multi-Family with 2 - 4 Units	AK, 00102	0.832379	0.167621	178	9080	178	9080
Multi-Family with 5+ Units	AK, 00102	0.808461	0.191539	182	9904	182	9904
Single-Family Attached	AK, 00102	0.962147	0.0378531	208	8850	208	8850
Single-Family Detached	AK, 00102	0.945754	0.0542458	812	34528	812	34528
Mobile Home	AK, 00200	0.670368	0.329632	172	3152	172	3152
Multi-Family with 2 - 4 Units	AK, 00200	0.794165	0.205835	257	5587	257	5587
Multi-Family with 5+ Units	AK, 00200	0.879136	0.120864	180	3566	180	3566
Single-Family Attached	AK, 00200	0.678508	0.321492	62	1126	62	1126
Single-Family Detached	AK, 00200	0.710999	0.289001	3554	59633	3554	59633
Mobile Home	AK, 00300	0.77356	0.22644	170	5295	170	5295
Multi-Family with 2 - 4 Units	AK, 00300	0.804752	0.195248	361	10059	361	10059
Multi-Family with 5+ Units	AK, 00300	0.812312	0.187688	413	9649	413	9649
Single-Family Attached	AK, 00300	0.934613	0.0653867	189	5521	189	5521
Single-Family Detached	AK, 00300	0.76375	0.23625	1750	47674	1750	47674
Mobile Home	AK, 00400	0.738717	0.261283	242	2526	242	2526
Multi-Family with 2 - 4 Units	AK, 00400	0.673932	0.326068	506	4588	506	4588
Multi-Family with 5+ Units	AK, 00400	0.74951	0.25049	376	3569	376	3569
Single-Family Attached	AK, 00400	0.764984	0.235016	118	1268	118	1268
Single-Family Detached	AK, 00400	0.653492	0.346508	4848	36308	4848	36308
Mobile Home	AL, 00100	0.752451	0.247549	468	10200	468	10200
Multi-Family with 2 - 4 Units	AL, 00100	0.817658	0.182342	234	5029	234	5029
Multi-Family with 5+ Units	AL, 00100	0.788409	0.211591	283	8058	283	8058
Single-Family Attached	AL, 00100	1	0	30	464	30	464
Single-Family Detached	AL, 00100	0.851657	0.148343	3337	65618	3337	65618
Mobile Home	AL, 00200	0.843894	0.156106	284	8680	284	8680
Multi-Family with 2 - 4 Units	AL, 00200	0.796491	0.203509	60	1710	60	1710
Multi-Family with 5+ Units	AL, 00200	0.918172	0.0818281	118	3654	118	3654
Single-Family Attached	AL, 00200	0.747001	0.252999	38	917	38	917
Single-Family Detached	AL, 00200	0.924336	0.0756637	2394	62487	2394	62487
Mobile Home	AL, 00301	0.941691	0.058309	38	1029	38	1029
Multi-Family with 2 - 4 Units	AL, 00301	0.857985	0.142015	94	3394	94	3394
Multi-Family with 5+ Units	AL, 00301	0.878157	0.121843	373	13977	373	13977
Single-Family Attached	AL, 00301	0.976231	0.0237691	44	1178	44	1178
Single-Family Detached	AL, 00301	0.941381	0.0586189	1690	38520	1690	38520
Mobile Home	AL, 00302	0.815436	0.184564	37	894	37	894
Multi-Family with 2 - 4 Units	AL, 00302	0.888307	0.111693	185	4772	185	4772
Multi-Family with 5+ Units	AL, 00302	0.852415	0.147585	425	11119	425	11119
Single-Family Attached	AL, 00302	0.927845	0.0721554	65	1081	65	1081
Single-Family Detached	AL, 00302	0.920024	0.079976	1812	31647	1812	31647
Mobile Home	AL, 00400	0.799083	0.200917	641	12433	641	12433
Multi-Family with 2 - 4 Units	AL, 00400	0.919672	0.0803279	153	2440	153	2440
Multi-Family with 5+ Units	AL, 00400	0.833427	0.166573	79	1783	79	1783
Single-Family Attached	AL, 00400	0.898925	0.101075	31	465	31	465
Single-Family Detached	AL, 00400	0.832343	0.167657	2534	39229	2534	39229
Mobile Home	AL, 00500	0.808819	0.191181	372	6962	372	6962
Multi-Family with 2 - 4 Units	AL, 00500	0.899774	0.100226	254	2215	254	2215
Multi-Family with 5+ Units	AL, 00500	0.84863	0.15137	230	2299	230	2299
Single-Family Attached	AL, 00500	0.711491	0.288509	53	409	53	409
Single-Family Detached	AL, 00500	0.889672	0.110328	3461	41286	3461	41286
Mobile Home	AL, 00600	0.797488	0.202512	356	9555	356	9555
Multi-Family with 2 - 4 Units	AL, 00600	0.808911	0.191089	114	3030	114	3030
Multi-Family with 5+ Units	AL, 00600	0.841801	0.158199	176	5354	176	5354
Single-Family Attached	AL, 00600	0.953956	0.0460441	85	1542	85	1542
Single-Family Detached	AL, 00600	0.888875	0.111125	2445	47865	2445	47865
Mobile Home	AL, 00700	0.69057	0.30943	605	12397	605	12397
Multi-Family with 2 - 4 Units	AL, 00700	0.899139	0.100861	81	1626	81	1626
Multi-Family with 5+ Units	AL, 00700	0.809459	0.190541	102	2199	102	2199
Single-Family Attached	AL, 00700	0.58631	0.41369	19	336	19	336
Single-Family Detached	AL, 00700	0.819014	0.180986	1926	34953	1926	34953
Mobile Home	AL, 00800	0.811947	0.188053	611	15485	611	15485
Multi-Family with 2 - 4 Units	AL, 00800	0.899139	0.100861	79	1626	79	1626
Multi-Family with 5+ Units	AL, 00800	0.919162	0.0808383	69	2004	69	2004
Single-Family Attached	AL, 00800	0.897878	0.102122	28	754	28	754
