Dependency=Census Division	Dependency=Geometry Building Type Height	Dependency=PUMA Metro Status	Option=None	Option=Typical Efficiency	source_count	source_weight	fallback_count	fallback_weight
East North Central	Mobile Home	In metro area, not/partially in principal city	0.713706	0.286294	187	630357	187	630357
East North Central	Multi-Family with 2 - 4 Units	In metro area, not/partially in principal city	0.985907	0.0140926	528	1.61583e+06	528	1.61583e+06
East North Central	Multi-Family with 5+ Units, 1-3 Stories	In metro area, not/partially in principal city	1	0	976	2.80129e+06	976	2.80129e+06
East North Central	Multi-Family with 5+ Units, 4-7 Stories	In metro area, not/partially in principal city	1	0	244	626431	244	626431
East North Central	Multi-Family with 5+ Units, 8+ Stories	In metro area, not/partially in principal city	1	0	1	1	2	2
East North Central	Single-Family Attached	In metro area, not/partially in principal city	0.976444	0.0235559	384	1.22476e+06	384	1.22476e+06
East North Central	Single-Family Detached	In metro area, not/partially in principal city	0.799261	0.200739	3982	1.47166e+07	3982	1.47166e+07
East North Central	Mobile Home	In metro area, principal city	0.900706	0.099294	174	160115	174	160115
East North Central	Multi-Family with 2 - 4 Units	In metro area, principal city	0.995206	0.00479445	768	1.18549e+06	768	1.18549e+06
East North Central	Multi-Family with 5+ Units, 1-3 Stories	In metro area, principal city	0.995319	0.00468081	1280	1.61106e+06	1280	1.61106e+06
East North Central	Multi-Family with 5+ Units, 4-7 Stories	In metro area, principal city	0.999303	0.000696992	645	953861	645	953861
East North Central	Multi-Family with 5+ Units, 8+ Stories	In metro area, principal city	1	0	1	1	2	2
East North Central	Single-Family Attached	In metro area, principal city	0.960189	0.0398106	746	837859	746	837859
East North Central	Single-Family Detached	In metro area, principal city	0.892226	0.107774	5849	6.78764e+06	5849	6.78764e+06
East North Central	Mobile Home	Not/partially in metro area	0.665674	0.334326	235	743783	235	743783
East North Central	Multi-Family with 2 - 4 Units	Not/partially in metro area	0.932391	0.067609	185	449437	185	449437
East North Central	Multi-Family with 5+ Units, 1-3 Stories	Not/partially in metro area	0.994557	0.00544328	267	526469	267	526469
East North Central	Multi-Family with 5+ Units, 4-7 Stories	Not/partially in metro area	1	0	18	36351.3	18	36351.3
East North Central	Multi-Family with 5+ Units, 8+ Stories	Not/partially in metro area	1	0	1	1	2	2
East North Central	Single-Family Attached	Not/partially in metro area	0.778088	0.221912	58	154935	58	154935
East North Central	Single-Family Detached	Not/partially in metro area	0.57671	0.42329	2067	6.57155e+06	2067	6.57155e+06
East South Central	Mobile Home	In metro area, not/partially in principal city	0.901964	0.0980362	290	802086	290	802086
East South Central	Multi-Family with 2 - 4 Units	In metro area, not/partially in principal city	1	0	369	723459	369	723459
