Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Vacancy Status	Option=Not Available	Option=Owner	Option=Renter	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	AK, 00101	Occupied	0	0.799147	0.200853	39	2579	39	2579
Mobile Home	AK, 00101	Vacant	1	0	0	1	83	22	1463
Multi-Family with 2 - 4 Units	AK, 00101	Occupied	0	0.178039	0.821961	176	8852	176	8852
Multi-Family with 2 - 4 Units	AK, 00101	Vacant	1	0	0	20	1668	20	1668
Multi-Family with 5+ Units	AK, 00101	Occupied	0	0.154707	0.845293	200	9030	200	9030
Multi-Family with 5+ Units	AK, 00101	Vacant	1	0	0	21	1496	21	1496
Single-Family Attached	AK, 00101	Occupied	0	0.479443	0.520557	159	6178	159	6178
Single-Family Attached	AK, 00101	Vacant	1	0	0	4	299	464	14583
Single-Family Detached	AK, 00101	Occupied	0	0.836033	0.163967	492	20931	492	20931
Single-Family Detached	AK, 00101	Vacant	1	0	0	21	1380	21	1380
Mobile Home	AK, 00102	Occupied	0	0.754533	0.245467	41	2261	41	2261
Mobile Home	AK, 00102	Vacant	1	0	0	3	261	29	2134
Multi-Family with 2 - 4 Units	AK, 00102	Occupied	0	0.298227	0.701773	158	7558	158	7558
Multi-Family with 2 - 4 Units	AK, 00102	Vacant	1	0	0	20	1522	20	1522
Multi-Family with 5+ Units	AK, 00102	Occupied	0	0.193456	0.806544	158	8007	158	8007
Multi-Family with 5+ Units	AK, 00102	Vacant	1	0	0	24	1897	24	1897
Single-Family Attached	AK, 00102	Occupied	0	0.703347	0.296653	201	8515	201	8515
Single-Family Attached	AK, 00102	Vacant	1	0	0	7	335	464	14583
Single-Family Detached	AK, 00102	Occupied	0	0.88994	0.11006	786	32655	786	32655
Single-Family Detached	AK, 00102	Vacant	1	0	0	26	1873	26	1873
Mobile Home	AK, 00200	Occupied	0	0.813535	0.186465	115	2113	115	2113
Mobile Home	AK, 00200	Vacant	1	0	0	57	1039	57	1039
Multi-Family with 2 - 4 Units	AK, 00200	Occupied	0	0.141086	0.858914	195	4437	195	4437
Multi-Family with 2 - 4 Units	AK, 00200	Vacant	1	0	0	62	1150	62	1150
Multi-Family with 5+ Units	AK, 00200	Occupied	0	0.0548644	0.945136	150	3135	150	3135
Multi-Family with 5+ Units	AK, 00200	Vacant	1	0	0	30	431	30	431
Single-Family Attached	AK, 00200	Occupied	0	0.565445	0.434555	44	764	44	764
Single-Family Attached	AK, 00200	Vacant	1	0	0	18	362	18	362
Single-Family Detached	AK, 00200	Occupied	0	0.861317	0.138683	2363	42399	2363	42399
Single-Family Detached	AK, 00200	Vacant	1	0	0	1191	17234	1191	17234
Mobile Home	AK, 00300	Occupied	0	0.685303	0.314697	97	4096	97	4096
Mobile Home	AK, 00300	Vacant	1	0	0	73	1199	73	1199
Multi-Family with 2 - 4 Units	AK, 00300	Occupied	0	0.236072	0.763928	272	8095	272	8095
Multi-Family with 2 - 4 Units	AK, 00300	Vacant	1	0	0	89	1964	89	1964
Multi-Family with 5+ Units	AK, 00300	Occupied	0	0.226206	0.773794	311	7838	311	7838
Multi-Family with 5+ Units	AK, 00300	Vacant	1	0	0	102	1811	102	1811
Single-Family Attached	AK, 00300	Occupied	0	0.427519	0.572481	178	5160	178	5160
Single-Family Attached	AK, 00300	Vacant	1	0	0	11	361	11	361
Single-Family Detached	AK, 00300	Occupied	0	0.826646	0.173354	1169	36411	1169	36411
Single-Family Detached	AK, 00300	Vacant	1	0	0	581	11263	581	11263
Mobile Home	AK, 00400	Occupied	0	0.603966	0.396034	158	1866	158	1866
Mobile Home	AK, 00400	Vacant	1	0	0	84	660	84	660
Multi-Family with 2 - 4 Units	AK, 00400	Occupied	0	0.180466	0.819534	290	3092	290	3092
Multi-Family with 2 - 4 Units	AK, 00400	Vacant	1	0	0	216	1496	216	1496
Multi-Family with 5+ Units	AK, 00400	Occupied	0	0.0246729	0.975327	264	2675	264	2675
Multi-Family with 5+ Units	AK, 00400	Vacant	1	0	0	112	894	112	894
Single-Family Attached	AK, 00400	Occupied	0	0.44433	0.55567	76	970	76	970
Single-Family Attached	AK, 00400	Vacant	1	0	0	42	298	42	298
Single-Family Detached	AK, 00400	Occupied	0	0.741307	0.258693	3158	23727	3158	23727
Single-Family Detached	AK, 00400	Vacant	1	0	0	1690	12581	1690	12581
