Dependency=Metropolitan and Micropolitan Statistical Area	Option=Metropolitan	Option=Non-Metropolitan	source_count	source_weight
Aberdeen, SD MicroSA	0	1	4402	19425
Aberdeen, WA MicroSA	0	1	5589	35278
Abilene, TX MSA	1	0	9453	70713
Ada, OK MicroSA	0	1	3365	16723
Adrian, MI MicroSA	0	1	3802	43456
Akron, OH MSA	1	0	16747	313270
Alamogordo, NM MicroSA	0	1	4567	30976
Albany, GA MSA	1	0	7080	66524
Albany, OR MSA	1	0	6885	49096
Albany-Schenectady-Troy, NY MSA	1	0	24474	397658
Albemarle, NC MicroSA	0	1	2237	27282
Albert Lea, MN MicroSA	0	1	3318	14251
Albertville, AL MicroSA	0	1	4364	40352
Albuquerque, NM MSA	1	0	28760	380218
Alexandria, LA MSA	1	0	7448	66019
Alexandria, MN MicroSA	0	1	2464	20514
Alice, TX MicroSA	0	1	2870	16232
Allentown-Bethlehem-Easton, PA-NJ MSA	1	0	28200	344453
Alma, MI MicroSA	0	1	2393	16223
Alpena, MI MicroSA	0	1	1855	15973
Altoona, PA MSA	1	0	5654	56059
Altus, OK MicroSA	0	1	4345	12135
Amarillo, TX MSA	1	0	13225	106902
Americus, GA MicroSA	0	1	1799	16016
Ames, IA MSA	1	0	3775	38168
Amsterdam, NY MicroSA	0	1	2764	23208
Anchorage, AK MSA	1	0	8927	155860
Andrews, TX MicroSA	0	1	2485	6065
Angola, IN MicroSA	0	1	2149	19514
Ann Arbor, MI MSA	1	0	6541	149284
Anniston-Oxford-Jacksonville, AL MSA	1	0	6919	53326
Appleton, WI MSA	1	0	7201	95191
Arcadia, FL MicroSA	0	1	1609	14724
Ardmore, OK MicroSA	0	1	2911	21497
Arkadelphia, AR MicroSA	0	1	2126	10405
Arkansas City-Winfield, KS MicroSA	0	1	3447	15999
Asheville, NC MSA	1	0	16509	217327
Ashland, OH MicroSA	0	1	4140	22104
Ashtabula, OH MicroSA	0	1	3880	45850
Astoria, OR MicroSA	0	1	4099	21869
Atchison, KS MicroSA	0	1	1439	6947
Athens, OH MicroSA	0	1	3069	26370
Athens, TN MicroSA	0	1	2994	23268
Athens, TX MicroSA	0	1	4519	39939
Athens-Clarke County, GA MSA	1	0	5045	83239
Atlanta-Sandy Springs-Roswell, GA MSA	1	0	84325	2.21959e+06
Atlantic City-Hammonton, NJ MSA	1	0	10968	127617
Auburn, IN MicroSA	0	1	2270	17645
Auburn, NY MicroSA	0	1	3597	36418
Auburn-Opelika, AL MSA	1	0	4059	65701
Augusta-Richmond County, GA-SC MSA	1	0	20751	249314
Augusta-Waterville, ME MicroSA	0	1	4149	61471
Austin, MN MicroSA	0	1	2897	16993
Austin-Round Rock, TX MSA	1	0	34253	764989
Bainbridge, GA MicroSA	0	1	1867	12120
Bakersfield, CA MSA	1	0	35280	291292
Baltimore-Columbia-Towson, MD MSA	1	0	54835	1.15043e+06
Bangor, ME MSA	1	0	6393	74302
Baraboo, WI MicroSA	0	1	4799	29864
Bardstown, KY MicroSA	0	1	1570	18569
Barnstable Town, MA MSA	1	0	12873	161632
Barre, VT MicroSA	0	1	2857	30142
Bartlesville, OK MicroSA	0	1	3291	23627
Bastrop, LA MicroSA	0	1	1811	12502
Batavia, NY MicroSA	0	1	2321	25657
Batesville, AR MicroSA	0	1	2225	16273
Baton Rouge, LA MSA	1	0	20302	342165
Battle Creek, MI MSA	1	0	5277	60667
Bay City, MI MSA	1	0	3682	48038
Bay City, TX MicroSA	0	1	4221	19069
Beatrice, NE MicroSA	0	1	3305	10420
Beaumont-Port Arthur, TX MSA	1	0	20529	174351
Beaver Dam, WI MicroSA	0	1	4659	37329
Beckley, WV MSA	1	0	7884	57507
Bedford, IN MicroSA	0	1	2482	20957
Beeville, TX MicroSA	0	1	2113	10654
Bellefontaine, OH MicroSA	0	1	2777	23174
Bellingham, WA MSA	1	0	6257	92586
Bemidji, MN MicroSA	0	1	3067	20834
Bend-Redmond, OR MSA	1	0	8088	82918
