State,Average Weekly Cost [$/gal],Source
AK,2.421076923,US
AL,2.568769231,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
AR,2.185076923,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
AZ,2.421076923,US
CA,2.421076923,US
CO,2.116884615,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
CT,2.979115385,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
DC,3.218692308,Central Atlantic PADD
DE,3.149307692,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
FL,4.783769231,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
GA,2.322538462,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
HI,2.421076923,US
IA,1.329269231,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
ID,2.461,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
IL,1.635269231,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
IN,2.047576923,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
KS,1.543038462,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
KY,2.225461538,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
LA,2.448923077,Gulf Coast PADD
MA,3.135076923,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
MD,3.275269231,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
ME,2.998384615,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
MI,2.017461538,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
MN,1.621192308,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
MO,1.770269231,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
MS,2.529192308,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
MT,1.894192308,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
NC,2.824769231,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
ND,1.423769231,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
NE,1.342846154,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
NH,3.283423077,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
NJ,3.847692308,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
NM,2.421076923,US
NV,2.421076923,US
NY,3.271846154,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
OH,2.671846154,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
OK,1.914346154,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
OR,2.421076923,US
PA,3.036384615,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
RI,3.542884615,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
SC,3.228615385,Lower Atlantic PADD
SD,1.484076923,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
TN,3.017923077,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
TX,2.437384615,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
UT,2.546384615,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
VA,3.100115385,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
VT,3.463730769,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
WA,2.421076923,US
WI,1.573,http://www.eia.gov/dnav/pet/pet_pri_dist_a_epd2_prt_dpgal_a.htm
WV,3.218692308,Central Atlantic PADD
WY,2.169807692,Rocky Mountain PADD
