year,performance_id,type_id,fuel_primary_id,metric_id,units_id,value
1972,shipment_weighted,storage,electric,EF,none,0.798
1973,shipment_weighted,storage,electric,EF,none,0.798
1974,shipment_weighted,storage,electric,EF,none,0.798
1975,shipment_weighted,storage,electric,EF,none,0.798
1976,shipment_weighted,storage,electric,EF,none,0.799
1977,shipment_weighted,storage,electric,EF,none,0.799
1978,shipment_weighted,storage,electric,EF,none,0.8
1979,shipment_weighted,storage,electric,EF,none,0.801
1980,shipment_weighted,storage,electric,EF,none,0.802
1981,shipment_weighted,storage,electric,EF,none,0.803
1982,shipment_weighted,storage,electric,EF,none,0.804
1983,shipment_weighted,storage,electric,EF,none,0.806
1984,shipment_weighted,storage,electric,EF,none,0.809
1985,shipment_weighted,storage,electric,EF,none,0.812
1986,shipment_weighted,storage,electric,EF,none,0.815
1987,shipment_weighted,storage,electric,EF,none,0.819
1988,shipment_weighted,storage,electric,EF,none,0.823
1989,shipment_weighted,storage,electric,EF,none,0.828
1990,shipment_weighted,storage,electric,EF,none,0.832
1991,shipment_weighted,storage,electric,EF,none,0.837
1992,shipment_weighted,storage,electric,EF,none,0.842
1993,shipment_weighted,storage,electric,EF,none,0.846
1994,shipment_weighted,storage,electric,EF,none,0.85
1995,shipment_weighted,storage,electric,EF,none,0.854
1996,shipment_weighted,storage,electric,EF,none,0.857
1997,shipment_weighted,storage,electric,EF,none,0.857
1998,shipment_weighted,storage,electric,EF,none,0.857
1999,shipment_weighted,storage,electric,EF,none,0.857
2000,shipment_weighted,storage,electric,EF,none,0.857
2001,shipment_weighted,storage,electric,EF,none,0.857
2002,shipment_weighted,storage,electric,EF,none,0.857
2003,shipment_weighted,storage,electric,EF,none,0.857
2004,shipment_weighted,storage,electric,EF,none,0.9
2005,shipment_weighted,storage,electric,EF,none,0.9
2006,shipment_weighted,storage,electric,EF,none,0.9
2007,shipment_weighted,storage,electric,EF,none,0.9
2008,shipment_weighted,storage,electric,EF,none,0.9
2009,shipment_weighted,storage,electric,EF,none,0.9
2010,shipment_weighted,storage,electric,EF,none,0.9
1972,shipment_weighted,storage,natural_gas,EF,none,0.474
1973,shipment_weighted,storage,natural_gas,EF,none,0.474
1974,shipment_weighted,storage,natural_gas,EF,none,0.474
1975,shipment_weighted,storage,natural_gas,EF,none,0.474
1976,shipment_weighted,storage,natural_gas,EF,none,0.475
1977,shipment_weighted,storage,natural_gas,EF,none,0.475
1978,shipment_weighted,storage,natural_gas,EF,none,0.476
1979,shipment_weighted,storage,natural_gas,EF,none,0.476
1980,shipment_weighted,storage,natural_gas,EF,none,0.477
1981,shipment_weighted,storage,natural_gas,EF,none,0.478
1982,shipment_weighted,storage,natural_gas,EF,none,0.479
1983,shipment_weighted,storage,natural_gas,EF,none,0.48
1984,shipment_weighted,storage,natural_gas,EF,none,0.481
1985,shipment_weighted,storage,natural_gas,EF,none,0.483
1986,shipment_weighted,storage,natural_gas,EF,none,0.484
1987,shipment_weighted,storage,natural_gas,EF,none,0.486
1988,shipment_weighted,storage,natural_gas,EF,none,0.488
1989,shipment_weighted,storage,natural_gas,EF,none,0.49
1990,shipment_weighted,storage,natural_gas,EF,none,0.492
1991,shipment_weighted,storage,natural_gas,EF,none,0.494
1992,shipment_weighted,storage,natural_gas,EF,none,0.496
1993,shipment_weighted,storage,natural_gas,EF,none,0.498
1994,shipment_weighted,storage,natural_gas,EF,none,0.499
1995,shipment_weighted,storage,natural_gas,EF,none,0.5
1996,shipment_weighted,storage,natural_gas,EF,none,0.501
1997,shipment_weighted,storage,natural_gas,EF,none,0.501
1998,shipment_weighted,storage,natural_gas,EF,none,0.501
1999,shipment_weighted,storage,natural_gas,EF,none,0.501
2000,shipment_weighted,storage,natural_gas,EF,none,0.501
2001,shipment_weighted,storage,natural_gas,EF,none,0.501
2002,shipment_weighted,storage,natural_gas,EF,none,0.501
2003,shipment_weighted,storage,natural_gas,EF,none,0.501
2004,shipment_weighted,storage,natural_gas,EF,none,0.55
2005,shipment_weighted,storage,natural_gas,EF,none,0.55
2006,shipment_weighted,storage,natural_gas,EF,none,0.55
2007,shipment_weighted,storage,natural_gas,EF,none,0.55
2008,shipment_weighted,storage,natural_gas,EF,none,0.55
2009,shipment_weighted,storage,natural_gas,EF,none,0.55
2010,shipment_weighted,storage,natural_gas,EF,none,0.55
1972,shipment_weighted,storage,lpg,EF,none,0.474
1973,shipment_weighted,storage,lpg,EF,none,0.474
1974,shipment_weighted,storage,lpg,EF,none,0.474
1975,shipment_weighted,storage,lpg,EF,none,0.474
1976,shipment_weighted,storage,lpg,EF,none,0.475
1977,shipment_weighted,storage,lpg,EF,none,0.475
1978,shipment_weighted,storage,lpg,EF,none,0.476
1979,shipment_weighted,storage,lpg,EF,none,0.476
1980,shipment_weighted,storage,lpg,EF,none,0.477
1981,shipment_weighted,storage,lpg,EF,none,0.478
1982,shipment_weighted,storage,lpg,EF,none,0.479
1983,shipment_weighted,storage,lpg,EF,none,0.48
1984,shipment_weighted,storage,lpg,EF,none,0.481
1985,shipment_weighted,storage,lpg,EF,none,0.483
1986,shipment_weighted,storage,lpg,EF,none,0.484
1987,shipment_weighted,storage,lpg,EF,none,0.486
1988,shipment_weighted,storage,lpg,EF,none,0.488
1989,shipment_weighted,storage,lpg,EF,none,0.49
1990,shipment_weighted,storage,lpg,EF,none,0.492
1991,shipment_weighted,storage,lpg,EF,none,0.494
1992,shipment_weighted,storage,lpg,EF,none,0.496
1993,shipment_weighted,storage,lpg,EF,none,0.498
1994,shipment_weighted,storage,lpg,EF,none,0.499
1995,shipment_weighted,storage,lpg,EF,none,0.5
1996,shipment_weighted,storage,lpg,EF,none,0.501
1997,shipment_weighted,storage,lpg,EF,none,0.501
1998,shipment_weighted,storage,lpg,EF,none,0.501
1999,shipment_weighted,storage,lpg,EF,none,0.501
2000,shipment_weighted,storage,lpg,EF,none,0.501
2001,shipment_weighted,storage,lpg,EF,none,0.501
2002,shipment_weighted,storage,lpg,EF,none,0.501
2003,shipment_weighted,storage,lpg,EF,none,0.501
2004,shipment_weighted,storage,lpg,EF,none,0.55
2005,shipment_weighted,storage,lpg,EF,none,0.55
2006,shipment_weighted,storage,lpg,EF,none,0.55
2007,shipment_weighted,storage,lpg,EF,none,0.55
2008,shipment_weighted,storage,lpg,EF,none,0.55
2009,shipment_weighted,storage,lpg,EF,none,0.55
2010,shipment_weighted,storage,lpg,EF,none,0.55
1972,shipment_weighted,storage,fuel_oil,EF,none,0.54
1973,shipment_weighted,storage,fuel_oil,EF,none,0.54
1974,shipment_weighted,storage,fuel_oil,EF,none,0.54
1975,shipment_weighted,storage,fuel_oil,EF,none,0.54
1976,shipment_weighted,storage,fuel_oil,EF,none,0.54
1977,shipment_weighted,storage,fuel_oil,EF,none,0.54
1978,shipment_weighted,storage,fuel_oil,EF,none,0.54
1979,shipment_weighted,storage,fuel_oil,EF,none,0.54
1980,shipment_weighted,storage,fuel_oil,EF,none,0.54
1981,shipment_weighted,storage,fuel_oil,EF,none,0.54
1982,shipment_weighted,storage,fuel_oil,EF,none,0.54
1983,shipment_weighted,storage,fuel_oil,EF,none,0.54
1984,shipment_weighted,storage,fuel_oil,EF,none,0.54
1985,shipment_weighted,storage,fuel_oil,EF,none,0.54
1986,shipment_weighted,storage,fuel_oil,EF,none,0.54
1987,shipment_weighted,storage,fuel_oil,EF,none,0.54
1988,shipment_weighted,storage,fuel_oil,EF,none,0.54
1989,shipment_weighted,storage,fuel_oil,EF,none,0.54
1990,shipment_weighted,storage,fuel_oil,EF,none,0.59
1991,shipment_weighted,storage,fuel_oil,EF,none,0.59
1992,shipment_weighted,storage,fuel_oil,EF,none,0.59
1993,shipment_weighted,storage,fuel_oil,EF,none,0.59
1994,shipment_weighted,storage,fuel_oil,EF,none,0.59
1995,shipment_weighted,storage,fuel_oil,EF,none,0.59
1996,shipment_weighted,storage,fuel_oil,EF,none,0.59
1997,shipment_weighted,storage,fuel_oil,EF,none,0.59
1998,shipment_weighted,storage,fuel_oil,EF,none,0.59
1999,shipment_weighted,storage,fuel_oil,EF,none,0.59
2000,shipment_weighted,storage,fuel_oil,EF,none,0.59
2001,shipment_weighted,storage,fuel_oil,EF,none,0.59
2002,shipment_weighted,storage,fuel_oil,EF,none,0.59
2003,shipment_weighted,storage,fuel_oil,EF,none,0.59
2004,shipment_weighted,storage,fuel_oil,EF,none,0.59
2005,shipment_weighted,storage,fuel_oil,EF,none,0.59
2006,shipment_weighted,storage,fuel_oil,EF,none,0.59
2007,shipment_weighted,storage,fuel_oil,EF,none,0.59
2008,shipment_weighted,storage,fuel_oil,EF,none,0.59
2009,shipment_weighted,storage,fuel_oil,EF,none,0.59
2010,shipment_weighted,storage,fuel_oil,EF,none,0.59
