Dependency=Location Heating Region	Dependency=Vintage	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
H1	<1950	30968.5680542	76	191942.0	407.481158607	78212748.5454
H1	1950s	8949.8151697	28	82363.55	319.636256061	26326376.7579
H1	1960s	17000.1345997	38	124870.16	447.37196315	55863408.6181
H1	1970s	13389.2553354	45	174968.11	297.539007454	52059837.7855
H1	1980s	10886.3818989	25	96778.34	435.455275957	42142638.7514
H1	1990s	25062.2262494	49	162464.51	511.47400509	83096373.6147
H1	2000s	30825.4400323	51	166137.01	604.42039279	100416596.841
H2	<1950	682.4768396	2	5690.04	341.2384198	1941660.2582
H2	1950s	2609.51950062	9	52023.34	289.94661118	15083991.1353
H2	1960s	0.0	3	3481.8	0.0	0.0
H2	1970s	5331.419146	11	34036.46	484.674467818	16496603.1369
H2	1980s	434.3621862	2	5710.81	217.1810931	1240279.95829
H2	1990s	12667.3682184	19	71181.8	666.703590442	47457161.6341
H2	2000s	9191.8964423	14	44546.26	656.564031593	29247472.058
H3	<1950	1660.3575974	3	5406.43	553.452532467	2992202.3751
H3	1960s	907.8430464	1	1144.67	907.8430464	1039180.69992
H3	1970s	2560.0498364	4	9192.19	640.0124591	5883116.12641
H3	1980s	594.2813135	1	1144.67	594.2813135	680255.991124
H3	1990s	3437.1228158	5	8729.77	687.42456316	6001058.32874
H3	2000s	12746.6680813	12	16885.83	1062.22234011	17936505.8573
