Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated, Vented	Option=Wall R-5, Unvented	Option=Wall R-10, Unvented	Option=Wall R-15, Unvented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=None
CR02	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.360000	0.000000	0.630000	0.000000
CR05	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.490000	0.000000	0.500000	0.000000
CR03	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.120000	0.000000	0.870000	0.000000
CR04	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.480000	0.000000	0.520000	0.000000
CR06	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.190000	0.000000	0.820000	0.000000
CR07	2030s	Crawl	Single-Family Detached	0.000000	0.000000	0.000000	0.280000	0.000000	0.720000	0.000000
CR08	2030s	Crawl	Single-Family Detached	0.130000	0.060000	0.290000	0.000000	0.100000	0.420000	0.000000
CR09	2030s	Crawl	Single-Family Detached	0.100000	0.000000	0.040000	0.000000	0.510000	0.350000	0.000000
CR10	2030s	Crawl	Single-Family Detached	0.000000	0.100000	0.050000	0.000000	0.330000	0.520000	0.000000
CR11	2030s	Crawl	Single-Family Detached	0.000000	0.070000	0.090000	0.000000	0.090000	0.750000	0.000000
CR02	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.360000	0.000000	0.630000	0.000000
CR05	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.490000	0.000000	0.500000	0.000000
CR03	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.120000	0.000000	0.870000	0.000000
CR04	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.480000	0.000000	0.520000	0.000000
CR06	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.190000	0.000000	0.820000	0.000000
CR07	2030s	Crawl	Single-Family Attached	0.000000	0.000000	0.000000	0.280000	0.000000	0.720000	0.000000
CR08	2030s	Crawl	Single-Family Attached	0.130000	0.060000	0.290000	0.000000	0.100000	0.420000	0.000000
CR09	2030s	Crawl	Single-Family Attached	0.100000	0.000000	0.040000	0.000000	0.510000	0.350000	0.000000
CR10	2030s	Crawl	Single-Family Attached	0.000000	0.100000	0.050000	0.000000	0.330000	0.520000	0.000000
CR11	2030s	Crawl	Single-Family Attached	0.000000	0.070000	0.090000	0.000000	0.090000	0.750000	0.000000
CR02	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.360000	0.000000	0.630000	0.000000
CR05	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.490000	0.000000	0.500000	0.000000
CR03	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.120000	0.000000	0.870000	0.000000
CR04	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.480000	0.000000	0.520000	0.000000
CR06	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.190000	0.000000	0.820000	0.000000
CR07	2030s	Crawl	Mobile Home	0.000000	0.000000	0.000000	0.280000	0.000000	0.720000	0.000000
CR08	2030s	Crawl	Mobile Home	0.130000	0.060000	0.290000	0.000000	0.100000	0.420000	0.000000
CR09	2030s	Crawl	Mobile Home	0.100000	0.000000	0.040000	0.000000	0.510000	0.350000	0.000000
CR10	2030s	Crawl	Mobile Home	0.000000	0.100000	0.050000	0.000000	0.330000	0.520000	0.000000
CR11	2030s	Crawl	Mobile Home	0.000000	0.070000	0.090000	0.000000	0.090000	0.750000	0.000000
CR02	2030s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.360000	0.000000	0.630000	0.000000
CR05	2030s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.490000	0.000000	0.500000	0.000000
CR03	2030s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.120000	0.000000	0.870000	0.000000
CR04	2030s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.480000	0.000000	0.520000	0.000000
CR06	2030s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.190000	0.000000	0.820000	0.000000
CR07	2030s	Crawl	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.280000	0.000000	0.720000	0.000000
CR08	2030s	Crawl	Multi-Family with 5+ Units	0.130000	0.060000	0.290000	0.000000	0.100000	0.420000	0.000000
CR09	2030s	Crawl	Multi-Family with 5+ Units	0.100000	0.000000	0.040000	0.000000	0.510000	0.350000	0.000000
CR10	2030s	Crawl	Multi-Family with 5+ Units	0.000000	0.100000	0.050000	0.000000	0.330000	0.520000	0.000000
