Annual Name,Annual Units,Timeseries Name,Timeseries Units,Notes
report_simulation_output.component_load_heating_slabs_m_btu,MBtu,Component Load: Heating: Slabs,kBtu,Heat gain/loss through HPXML Slab elements adjacent to conditioned space
report_simulation_output.component_load_heating_walls_m_btu,MBtu,Component Load: Heating: Walls,kBtu,Heat gain/loss through HPXML Wall elements adjacent to conditioned space
report_simulation_output.component_load_heating_whole_house_fan_m_btu,MBtu,Component Load: Heating: Whole House Fan,kBtu,Heat gain/loss from airflow due to a whole house fan
report_simulation_output.component_load_heating_windows_conduction_m_btu,MBtu,Component Load: Heating: Windows Conduction,kBtu,Heat gain/loss attributed to conduction through HPXML Window elements adjacent to conditioned space
report_simulation_output.component_load_heating_windows_solar_m_btu,MBtu,Component Load: Heating: Windows Solar,kBtu,Heat gain/loss attributed to solar gains through HPXML Window elements adjacent to conditioned space
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_coal_clothes_dryer_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Coal: Clothes Dryer,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_coal_fireplace_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Coal: Fireplace,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_coal_generator_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Coal: Generator,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_coal_grill_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Coal: Grill,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_coal_heating_heat_pump_backup_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Coal: Heating Heat Pump Backup,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_coal_heating_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Coal: Heating,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_coal_hot_water_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Coal: Hot Water,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_coal_lighting_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Coal: Lighting,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_coal_mech_vent_preheating_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Coal: Mech Vent Preheating,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_coal_range_oven_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Coal: Range/Oven,lb,Scenario emissions for this Coal end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_coal_total_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Coal: Total,lb,Scenario emissions for Coal only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_battery_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Battery,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_ceiling_fan_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Ceiling Fan,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_clothes_dryer_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Clothes Dryer,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_clothes_washer_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Clothes Washer,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_cooling_fans_pumps_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Cooling Fans/Pumps,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_cooling_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Cooling,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_dehumidifier_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Dehumidifier,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_dishwasher_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Dishwasher,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_electric_vehicle_charging_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Electric Vehicle Charging,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_freezer_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Freezer,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_generator_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Generator,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_heating_fans_pumps_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Heating Fans/Pumps,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_heating_heat_pump_backup_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Heating Heat Pump Backup,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_heating_heat_pump_backup_fans_pumps_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Heating Heat Pump Backup Fans/Pumps,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_heating_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Heating,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_permanent_spa_heater_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Permanent Spa Heater,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_permanent_spa_pump_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Permanent Spa Pump,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_hot_water_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Hot Water,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_hot_water_recirc_pump_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Hot Water Recirc Pump,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_hot_water_solar_thermal_pump_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Hot Water Solar Thermal Pump,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_lighting_exterior_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Lighting Exterior,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_lighting_garage_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Lighting Garage,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_lighting_interior_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Lighting Interior,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_mech_vent_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Mech Vent,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_mech_vent_precooling_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Mech Vent Precooling,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_mech_vent_preheating_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Mech Vent Preheating,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_net_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Net,lb,Subtracts any power produced by PV or generators
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_plug_loads_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Plug Loads,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_pool_heater_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Pool Heater,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_pool_pump_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Pool Pump,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_pv_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: PV,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_range_oven_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Range/Oven,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_refrigerator_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Refrigerator,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_television_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Television,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_total_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Total,lb,"Scenario total emissions for Electricity only, includes any battery charging/discharging"
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_well_pump_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Well Pump,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_electricity_whole_house_fan_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Electricity: Whole House Fan,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_fuel_oil_clothes_dryer_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Fuel Oil: Clothes Dryer,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_fuel_oil_fireplace_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Fuel Oil: Fireplace,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_fuel_oil_generator_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Fuel Oil: Generator,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_fuel_oil_grill_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Fuel Oil: Grill,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_fuel_oil_heating_heat_pump_backup_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Fuel Oil: Heating Heat Pump Backup,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_fuel_oil_heating_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Fuel Oil: Heating,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_fuel_oil_hot_water_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Fuel Oil: Hot Water,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_fuel_oil_lighting_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Fuel Oil: Lighting,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_fuel_oil_mech_vent_preheating_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Fuel Oil: Mech Vent Preheating,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_fuel_oil_range_oven_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Fuel Oil: Range/Oven,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_fuel_oil_total_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Fuel Oil: Total,lb,Scenario emissions for Fuel Oil only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_natural_gas_clothes_dryer_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Natural Gas: Clothes Dryer,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_natural_gas_fireplace_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Natural Gas: Fireplace,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_natural_gas_generator_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Natural Gas: Generator,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_natural_gas_grill_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Natural Gas: Grill,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_natural_gas_heating_heat_pump_backup_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Natural Gas: Heating Heat Pump Backup,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_natural_gas_heating_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Natural Gas: Heating,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_natural_gas_permanent_spa_heater_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Natural Gas: Permanent Spa Heater,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_natural_gas_hot_water_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Natural Gas: Hot Water,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_natural_gas_lighting_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Natural Gas: Lighting,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_natural_gas_mech_vent_preheating_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Natural Gas: Mech Vent Preheating,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_natural_gas_pool_heater_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Natural Gas: Pool Heater,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_natural_gas_range_oven_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Natural Gas: Range/Oven,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_natural_gas_total_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Natural Gas: Total,lb,Scenario emissions for Natural Gas only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_net_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Net,lb,Subtracts any power produced by PV or generators
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_propane_clothes_dryer_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Propane: Clothes Dryer,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_propane_fireplace_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Propane: Fireplace,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_propane_generator_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Propane: Generator,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_propane_grill_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Propane: Grill,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_propane_heating_heat_pump_backup_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Propane: Heating Heat Pump Backup,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_propane_heating_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Propane: Heating,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_propane_hot_water_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Propane: Hot Water,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_propane_lighting_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Propane: Lighting,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_propane_mech_vent_preheating_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Propane: Mech Vent Preheating,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_propane_range_oven_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Propane: Range/Oven,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_propane_total_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Propane: Total,lb,Scenario emissions for Propane only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_total_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Total,lb,"Scenario total emissions, includes any battery charging/discharging"
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_cord_clothes_dryer_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Cord: Clothes Dryer,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_cord_fireplace_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Cord: Fireplace,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_cord_generator_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Cord: Generator,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_cord_grill_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Cord: Grill,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_cord_heating_heat_pump_backup_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Cord: Heating Heat Pump Backup,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_cord_heating_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Cord: Heating,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_cord_hot_water_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Cord: Hot Water,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_cord_lighting_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Cord: Lighting,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_cord_mech_vent_preheating_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Cord: Mech Vent Preheating,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_cord_range_oven_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Cord: Range/Oven,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_cord_total_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Cord: Total,lb,Scenario emissions for Wood Cord only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_pellets_clothes_dryer_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Pellets: Clothes Dryer,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_pellets_fireplace_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Pellets: Fireplace,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_pellets_generator_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Pellets: Generator,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_pellets_grill_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Pellets: Grill,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_pellets_heating_heat_pump_backup_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Pellets: Heating Heat Pump Backup,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_pellets_heating_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Pellets: Heating,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_<emissions_scenario_name>_wood_pellets_hot_water_lb,lb,Emissions: CO2e: <emissions_scenario_name>: Wood Pellets: Hot Water,lb,Scenario emissions for this Wood Pellets end use only
