Input Name,Input Description
build_existing_model.ahs_region,:ref:`ahs_region`
build_existing_model.aiannh_area,:ref:`aiannh_area`
build_existing_model.area_median_income,:ref:`area_median_income`
build_existing_model.ashrae_iecc_climate_zone_2004,:ref:`ashrae_iecc_climate_zone_2004`
build_existing_model.ashrae_iecc_climate_zone_2004_2_a_split,:ref:`ashrae_iecc_climate_zone_2004___2_a_split`
build_existing_model.bathroom_spot_vent_hour,:ref:`bathroom_spot_vent_hour`
build_existing_model.battery,:ref:`battery`
build_existing_model.bedrooms,:ref:`bedrooms`
build_existing_model.building_america_climate_zone,:ref:`building_america_climate_zone`
build_existing_model.cec_climate_zone,:ref:`cec_climate_zone`
build_existing_model.ceiling_fan,:ref:`ceiling_fan`
build_existing_model.census_division,:ref:`census_division`
build_existing_model.census_division_recs,:ref:`census_division_recs`
build_existing_model.census_region,:ref:`census_region`
build_existing_model.city,:ref:`city`
build_existing_model.clothes_dryer,:ref:`clothes_dryer`
build_existing_model.clothes_washer,:ref:`clothes_washer`
build_existing_model.clothes_washer_presence,:ref:`clothes_washer_presence`
build_existing_model.cooking_range,:ref:`cooking_range`
build_existing_model.cooling_setpoint,:ref:`cooling_setpoint`
build_existing_model.cooling_setpoint_has_offset,:ref:`cooling_setpoint_has_offset`
build_existing_model.cooling_setpoint_offset_magnitude,:ref:`cooling_setpoint_offset_magnitude`
build_existing_model.cooling_setpoint_offset_period,:ref:`cooling_setpoint_offset_period`
build_existing_model.corridor,:ref:`corridor`
build_existing_model.county,:ref:`county`
build_existing_model.county_and_puma,:ref:`county_and_puma`
build_existing_model.dehumidifier,:ref:`dehumidifier`
build_existing_model.dishwasher,:ref:`dishwasher`
build_existing_model.door_area,:ref:`door_area`
build_existing_model.doors,:ref:`doors`
build_existing_model.ducts,:ref:`ducts`
build_existing_model.eaves,:ref:`eaves`
build_existing_model.electric_vehicle,:ref:`electric_vehicle`
build_existing_model.federal_poverty_level,:ref:`federal_poverty_level`
build_existing_model.generation_and_emissions_assessment_region,:ref:`generation_and_emissions_assessment_region`
build_existing_model.geometry_attic_type,:ref:`geometry_attic_type`
build_existing_model.geometry_building_horizontal_location_mf,:ref:`geometry_building_horizontal_location_mf`
build_existing_model.geometry_building_horizontal_location_sfa,:ref:`geometry_building_horizontal_location_sfa`
build_existing_model.geometry_building_level_mf,:ref:`geometry_building_level_mf`
build_existing_model.geometry_building_number_units_mf,:ref:`geometry_building_number_units_mf`
build_existing_model.geometry_building_number_units_sfa,:ref:`geometry_building_number_units_sfa`
build_existing_model.geometry_building_type_acs,:ref:`geometry_building_type_acs`
build_existing_model.geometry_building_type_height,:ref:`geometry_building_type_height`
build_existing_model.geometry_building_type_recs,:ref:`geometry_building_type_recs`
build_existing_model.geometry_floor_area,:ref:`geometry_floor_area`
build_existing_model.geometry_floor_area_bin,:ref:`geometry_floor_area_bin`
build_existing_model.geometry_foundation_type,:ref:`geometry_foundation_type`
build_existing_model.geometry_garage,:ref:`geometry_garage`
build_existing_model.geometry_stories,:ref:`geometry_stories`
build_existing_model.geometry_stories_low_rise,:ref:`geometry_stories_low_rise`
build_existing_model.geometry_story_bin,:ref:`geometry_story_bin`
build_existing_model.geometry_wall_exterior_finish,:ref:`geometry_wall_exterior_finish`
build_existing_model.geometry_wall_type,:ref:`geometry_wall_type`
build_existing_model.has_pv,:ref:`has_pv`
build_existing_model.heating_fuel,:ref:`heating_fuel`
build_existing_model.heating_setpoint,:ref:`heating_setpoint`
build_existing_model.heating_setpoint_has_offset,:ref:`heating_setpoint_has_offset`
build_existing_model.heating_setpoint_offset_magnitude,:ref:`heating_setpoint_offset_magnitude`
build_existing_model.heating_setpoint_offset_period,:ref:`heating_setpoint_offset_period`
build_existing_model.holiday_lighting,:ref:`holiday_lighting`
build_existing_model.hot_water_distribution,:ref:`hot_water_distribution`
build_existing_model.hot_water_fixtures,:ref:`hot_water_fixtures`
build_existing_model.household_has_tribal_persons,:ref:`household_has_tribal_persons`
build_existing_model.hvac_cooling_efficiency,:ref:`hvac_cooling_efficiency`
build_existing_model.hvac_cooling_partial_space_conditioning,:ref:`hvac_cooling_partial_space_conditioning`
build_existing_model.hvac_cooling_type,:ref:`hvac_cooling_type`
build_existing_model.hvac_has_ducts,:ref:`hvac_has_ducts`
build_existing_model.hvac_has_shared_system,:ref:`hvac_has_shared_system`
build_existing_model.hvac_has_zonal_electric_heating,:ref:`hvac_has_zonal_electric_heating`
build_existing_model.hvac_heating_efficiency,:ref:`hvac_heating_efficiency`
build_existing_model.hvac_heating_type,:ref:`hvac_heating_type`
build_existing_model.hvac_heating_type_and_fuel,:ref:`hvac_heating_type_and_fuel`
build_existing_model.hvac_secondary_heating_efficiency,:ref:`hvac_secondary_heating_efficiency`
build_existing_model.hvac_secondary_heating_type_and_fuel,:ref:`hvac_secondary_heating_type_and_fuel`
build_existing_model.hvac_shared_efficiencies,:ref:`hvac_shared_efficiencies`
build_existing_model.hvac_system_is_faulted,:ref:`hvac_system_is_faulted`
build_existing_model.hvac_system_single_speed_ac_airflow,:ref:`hvac_system_single_speed_ac_airflow`
build_existing_model.hvac_system_single_speed_ac_charge,:ref:`hvac_system_single_speed_ac_charge`
build_existing_model.hvac_system_single_speed_ashp_airflow,:ref:`hvac_system_single_speed_ashp_airflow`
build_existing_model.hvac_system_single_speed_ashp_charge,:ref:`hvac_system_single_speed_ashp_charge`
build_existing_model.income,:ref:`income`
build_existing_model.income_recs_2015,:ref:`income_recs2015`
build_existing_model.income_recs_2020,:ref:`income_recs2020`
build_existing_model.infiltration,:ref:`infiltration`
build_existing_model.insulation_ceiling,:ref:`insulation_ceiling`
build_existing_model.insulation_floor,:ref:`insulation_floor`
build_existing_model.insulation_foundation_wall,:ref:`insulation_foundation_wall`
build_existing_model.insulation_rim_joist,:ref:`insulation_rim_joist`
build_existing_model.insulation_roof,:ref:`insulation_roof`
build_existing_model.insulation_slab,:ref:`insulation_slab`
build_existing_model.insulation_wall,:ref:`insulation_wall`
build_existing_model.interior_shading,:ref:`interior_shading`
build_existing_model.iso_rto_region,:ref:`iso_rto_region`
build_existing_model.lighting,:ref:`lighting`
build_existing_model.lighting_interior_use,:ref:`lighting_interior_use`
build_existing_model.lighting_other_use,:ref:`lighting_other_use`
build_existing_model.location_region,:ref:`location_region`
build_existing_model.mechanical_ventilation,:ref:`mechanical_ventilation`
build_existing_model.misc_extra_refrigerator,:ref:`misc_extra_refrigerator`
build_existing_model.misc_freezer,:ref:`misc_freezer`
build_existing_model.misc_gas_fireplace,:ref:`misc_gas_fireplace`
build_existing_model.misc_gas_grill,:ref:`misc_gas_grill`
build_existing_model.misc_gas_lighting,:ref:`misc_gas_lighting`
build_existing_model.misc_hot_tub_spa,:ref:`misc_hot_tub_spa`
build_existing_model.misc_pool,:ref:`misc_pool`
build_existing_model.misc_pool_heater,:ref:`misc_pool_heater`
build_existing_model.misc_pool_pump,:ref:`misc_pool_pump`
build_existing_model.misc_well_pump,:ref:`misc_well_pump`
build_existing_model.natural_ventilation,:ref:`natural_ventilation`
build_existing_model.neighbors,:ref:`neighbors`
build_existing_model.occupants,:ref:`occupants`
build_existing_model.orientation,:ref:`orientation`
build_existing_model.overhangs,:ref:`overhangs`
build_existing_model.plug_load_diversity,:ref:`plug_load_diversity`
build_existing_model.plug_loads,:ref:`plug_loads`
build_existing_model.puma,:ref:`puma`
build_existing_model.puma_metro_status,:ref:`puma_metro_status`
build_existing_model.pv_orientation,:ref:`pv_orientation`
build_existing_model.pv_system_size,:ref:`pv_system_size`
build_existing_model.radiant_barrier,:ref:`radiant_barrier`
build_existing_model.range_spot_vent_hour,:ref:`range_spot_vent_hour`
