Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Heating Fuel	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None
1A	Electricity	2030s	0.850000	0.090000	0.060000	0.000000	0.000000
1A	Fuel Oil	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
1A	Natural Gas	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
1A	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
1A	Other Fuel	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
1A	Propane	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
2A	Electricity	2030s	0.850000	0.090000	0.060000	0.000000	0.000000
2A	Fuel Oil	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
2A	Natural Gas	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
2A	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
2A	Other Fuel	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
2A	Propane	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
2B	Electricity	2030s	0.620000	0.140000	0.080000	0.160000	0.000000
2B	Fuel Oil	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
2B	Natural Gas	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
2B	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
2B	Other Fuel	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
2B	Propane	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
3A	Electricity	2030s	0.850000	0.090000	0.060000	0.000000	0.000000
3A	Fuel Oil	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
3A	Natural Gas	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
3A	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
3A	Other Fuel	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
3A	Propane	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
3B	Electricity	2030s	0.620000	0.140000	0.080000	0.160000	0.000000
3B	Fuel Oil	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
3B	Natural Gas	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
3B	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
3B	Other Fuel	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
3B	Propane	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
3C	Electricity	2030s	0.620000	0.140000	0.080000	0.160000	0.000000
3C	Fuel Oil	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
3C	Natural Gas	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
3C	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
3C	Other Fuel	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
3C	Propane	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
4A	Electricity	2030s	0.730000	0.140000	0.070000	0.060000	0.000000
4A	Fuel Oil	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
4A	Natural Gas	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
4A	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
4A	Other Fuel	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
4A	Propane	2030s	0.000000	0.990000	0.000000	0.010000	0.000000
4B	Electricity	2030s	0.620000	0.140000	0.080000	0.160000	0.000000
4B	Fuel Oil	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
4B	Natural Gas	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
4B	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
4B	Other Fuel	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
4B	Propane	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
4C	Electricity	2030s	0.620000	0.140000	0.080000	0.160000	0.000000
4C	Fuel Oil	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
4C	Natural Gas	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
4C	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
4C	Other Fuel	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
4C	Propane	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
5A	Electricity	2030s	0.570000	0.260000	0.070000	0.100000	0.000000
5A	Fuel Oil	2030s	0.000000	0.980000	0.000000	0.020000	0.000000
5A	Natural Gas	2030s	0.000000	0.980000	0.000000	0.020000	0.000000
5A	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
5A	Other Fuel	2030s	0.000000	0.980000	0.000000	0.020000	0.000000
5A	Propane	2030s	0.000000	0.980000	0.000000	0.020000	0.000000
5B	Electricity	2030s	0.620000	0.140000	0.080000	0.160000	0.000000
5B	Fuel Oil	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
5B	Natural Gas	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
5B	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
5B	Other Fuel	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
5B	Propane	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
6A	Electricity	2030s	0.570000	0.360000	0.050000	0.020000	0.000000
6A	Fuel Oil	2030s	0.000000	0.980000	0.000000	0.020000	0.000000
6A	Natural Gas	2030s	0.000000	0.980000	0.000000	0.020000	0.000000
6A	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
6A	Other Fuel	2030s	0.000000	0.980000	0.000000	0.020000	0.000000
6A	Propane	2030s	0.000000	0.980000	0.000000	0.020000	0.000000
6B	Electricity	2030s	0.620000	0.140000	0.080000	0.160000	0.000000
6B	Fuel Oil	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
6B	Natural Gas	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
6B	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
6B	Other Fuel	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
6B	Propane	2030s	0.000000	1.000000	0.000000	0.000000	0.000000
7A	Electricity	2030s	0.200000	0.050000	0.100000	0.650000	0.000000
7A	Fuel Oil	2030s	0.000000	0.700000	0.000000	0.300000	0.000000
7A	Natural Gas	2030s	0.000000	0.700000	0.000000	0.300000	0.000000
7A	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
7A	Other Fuel	2030s	0.000000	0.700000	0.000000	0.300000	0.000000
7A	Propane	2030s	0.000000	0.700000	0.000000	0.300000	0.000000
7B	Electricity	2030s	0.200000	0.050000	0.100000	0.650000	0.000000
7B	Fuel Oil	2030s	0.000000	0.700000	0.000000	0.300000	0.000000
7B	Natural Gas	2030s	0.000000	0.700000	0.000000	0.300000	0.000000
7B	None	2030s	0.000000	0.000000	0.000000	0.000000	1.000000
7B	Other Fuel	2030s	0.000000	0.700000	0.000000	0.300000	0.000000
7B	Propane	2030s	0.000000	0.700000	0.000000	0.300000	0.000000
