Dependency=Location Heating Region	Dependency=Vintage	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
H1	<1950	102966.907294	268	656154.47	384.204877961	252097748.07
H1	1950s	29307.4318117	94	252981.88	311.781189486	78874991.4647
H1	1960s	62788.15206	127	431218.51	494.39489811	213192231.315
H1	1970s	26214.2714419	144	450584.7	182.04355168	82026039.1207
H1	1980s	32862.9127603	87	319582.18	377.734629429	120717256.334
H1	1990s	43576.1176703	105	341745.28	415.01064448	141827928.901
H1	2000s	48734.9491337	108	378758.44	451.249529016	170914567.661
H2	<1950	9770.51795524	43	115548.81	227.221347796	26255156.3445
H2	1950s	4840.60360512	25	79931.99	193.624144205	15476763.1583
H2	1960s	1837.5261371	14	41172.69	131.251866936	5403992.42927
H2	1970s	10827.1002464	35	104184.71	309.345721326	32229094.2661
H2	1980s	1382.3598822	15	32036.7	92.15732548	2952416.58921
H2	1990s	16343.0373039	50	130682.04	326.860746078	42714829.0934
H2	2000s	14299.5732188	41	97794.84	348.770078507	34107914.0244
H3	<1950	15696.6154273	28	67847.04	560.593408118	38034603.3843
H3	1950s	8998.8028142	16	28857.84	562.425175888	16230375.7377
H3	1960s	6936.68347273	19	38533.22	365.088603828	14068039.4908
H3	1970s	15805.4429572	24	50904.96	658.560123217	33523976.7299
H3	1980s	8116.100502	19	32422.87	427.163184316	13849856.3939
H3	1990s	8111.3667779	23	35124.71	352.668120778	12387365.4686
H3	2000s	16518.6708279	26	41407.1	635.333493381	26307317.4938
