Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Vintage ACS	Option=1	Option=2	Option=3
Mobile Home	0-1499	1940-59	1.000000	0.000000	0.000000
Mobile Home	1500-2499	1940-59	1.000000	0.000000	0.000000
Mobile Home	2500-3999	1940-59	1.000000	0.000000	0.000000
Mobile Home	4000+	1940-59	1.000000	0.000000	0.000000
Mobile Home	0-1499	1960-79	1.000000	0.000000	0.000000
Mobile Home	1500-2499	1960-79	1.000000	0.000000	0.000000
Mobile Home	2500-3999	1960-79	1.000000	0.000000	0.000000
Mobile Home	4000+	1960-79	1.000000	0.000000	0.000000
Mobile Home	0-1499	1980-99	1.000000	0.000000	0.000000
Mobile Home	1500-2499	1980-99	1.000000	0.000000	0.000000
Mobile Home	2500-3999	1980-99	1.000000	0.000000	0.000000
Mobile Home	4000+	1980-99	1.000000	0.000000	0.000000
Mobile Home	0-1499	2000-09	1.000000	0.000000	0.000000
Mobile Home	1500-2499	2000-09	1.000000	0.000000	0.000000
Mobile Home	2500-3999	2000-09	1.000000	0.000000	0.000000
Mobile Home	4000+	2000-09	1.000000	0.000000	0.000000
Mobile Home	0-1499	2010s	1.000000	0.000000	0.000000
Mobile Home	1500-2499	2010s	1.000000	0.000000	0.000000
Mobile Home	2500-3999	2010s	1.000000	0.000000	0.000000
Mobile Home	4000+	2010s	1.000000	0.000000	0.000000
Mobile Home	0-1499	<1940	1.000000	0.000000	0.000000
Mobile Home	1500-2499	<1940	1.000000	0.000000	0.000000
Mobile Home	2500-3999	<1940	1.000000	0.000000	0.000000
Mobile Home	4000+	<1940	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	1940-59	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1500-2499	1940-59	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2500-3999	1940-59	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	4000+	1940-59	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	1960-79	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1500-2499	1960-79	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2500-3999	1960-79	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	4000+	1960-79	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	1980-99	1.000000	0.000000	0.000000
