County	elec_filepath	natural_gas_fixed_charge	natural_gas_marginal_rate	propane_fixed_charge	propane_marginal_rate	fuel_oil_fixed_charge	fuel_oil_marginal_rate	wood_fixed_charge	wood_marginal_rate	pv_compensation_type	pv_net_metering_annual_excess_sellback_rate_type	pv_net_metering_annual_excess_sellback_rate	pv_feed_in_tariff_rates	pv_monthly_grid_connection_fee_units	pv_monthly_grid_connection_fee
"CA, Alameda County"	Flat/Sample Flat Rate.json	9.7	0.105	0	2.4	0	2.7	0	0.002	NetMetering	User-Specified	0.035		$/kW	2.5
"CA, Alpine County"	Flat/Sample Flat Rate.json	8.5	0.112	0	3.6	0	4	0	0.001	NetMetering	Retail Electricity Cost			$/kW	2.5
"CA, Amador County"	Flat/Sample Flat Rate.json	8.3	0.082	0	3.6	0	2.8	0	0.0013	FeedInTariff			0.13	$/kW	2.5
"CA, Butte County"	Flat/Sample Flat Rate.json	11	0.093	0	2.2	0	2.6	0	0.002	FeedInTariff			0.13	$	7.5
"CA, Calaveras County"	Flat/Sample Flat Rate.json	9.7	0.098	0	2.5	0	2.1	0	0.0011	NetMetering	User-Specified	0.035		$/kW	2.5
"CA, Colusa County"	Flat/Sample Flat Rate.json	11.5	0.115	0	2.4	0	3.4	0	0.0011	NetMetering	Retail Electricity Cost			$/kW	2.5
"CA, Contra Costa County"	Flat/Sample Flat Rate.json	10.1	0.082	0	2.9	0	3.6	0	0.001	FeedInTariff			0.13	$/kW	2.5
"CA, Del Norte County"	Flat/Sample Flat Rate.json	11.8	0.092	0	3.4	0	2.6	0	0.0019	FeedInTariff			0.13	$	7.5
"CA, El Dorado County"	Flat/Sample Flat Rate.json	9.4	0.099	0	3.2	0	3.2	0	0.0014	NetMetering	User-Specified	0.035		$/kW	2.5
"CA, Fresno County"	RTP/Sample Real-Time Pricing Rate.json	11.2	0.108	0	2.4	0	3.5	0	0.0016	NetMetering	Retail Electricity Cost			$/kW	2.5
"CA, Glenn County"	RTP/Sample Real-Time Pricing Rate.json	11.8	0.093	0	2.2	0	2.6	0	0.0019	FeedInTariff			0.13	$/kW	2.5
"CA, Humboldt County"	RTP/Sample Real-Time Pricing Rate.json	10.4	0.108	0	2	0	3.7	0	0.0012	FeedInTariff			0.13	$	7.5
"CA, Imperial County"	RTP/Sample Real-Time Pricing Rate.json	9.3	0.102	0	2.1	0	2.2	0	0.0019	NetMetering	User-Specified	0.035		$/kW	2.5
"CA, Inyo County"	RTP/Sample Real-Time Pricing Rate.json	11.9	0.08	0	3.6	0	2.1	0	0.0019	NetMetering	Retail Electricity Cost			$/kW	2.5
