Dependency=HVAC Has Ducts	Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=None	Option=10% Leakage, Uninsulated	Option=20% Leakage, Uninsulated	Option=30% Leakage, Uninsulated	Option=10% Leakage, R-4	Option=20% Leakage, R-4	Option=30% Leakage, R-4	Option=10% Leakage, R-6	Option=20% Leakage, R-6	Option=30% Leakage, R-6	Option=10% Leakage, R-8	Option=20% Leakage, R-8	Option=30% Leakage, R-8	Option=In Finished Space
Yes	Single-Family Detached	2020s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.300000	0.500000	0.200000	0.000000	0.000000	0.000000	0.000000
Yes	Single-Family Attached	2020s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.300000	0.500000	0.200000	0.000000	0.000000	0.000000	0.000000
Yes	Multi-Family with 2 - 4 Units	2020s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.300000	0.500000	0.200000	0.000000	0.000000	0.000000	0.000000
Yes	Multi-Family with 5+ Units	2020s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.300000	0.500000	0.200000	0.000000	0.000000	0.000000	0.000000
Yes	Mobile Home	2020s	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.300000	0.500000	0.200000	0.000000	0.000000	0.000000	0.000000
Yes	Single-Family Detached	2020s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Yes	Single-Family Attached	2020s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Yes	Multi-Family with 2 - 4 Units	2020s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Yes	Multi-Family with 5+ Units	2020s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Yes	Mobile Home	2020s	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
