Dependency=Geometry Building Type RECS	Dependency=Location Region	Dependency=Vintage ACS	Option=No	Option=Yes
Mobile Home	CR09	2020s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR09	2020s	0.044127	0.955873
Multi-Family with 5+ Units	CR09	2020s	0.070674	0.929326
Single-Family Attached	CR09	2020s	0.040256	0.959744
Single-Family Detached	CR09	2020s	0.000000	1.000000
Mobile Home	CR10	2020s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR10	2020s	0.051610	0.948390
Multi-Family with 5+ Units	CR10	2020s	0.048698	0.951302
Single-Family Attached	CR10	2020s	0.034943	0.965057
Single-Family Detached	CR10	2020s	0.000000	1.000000
Mobile Home	CR11	2020s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR11	2020s	0.051610	0.948390
Multi-Family with 5+ Units	CR11	2020s	0.199238	0.800762
Single-Family Attached	CR11	2020s	0.000000	1.000000
Single-Family Detached	CR11	2020s	0.000000	1.000000
Mobile Home	CR02	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR02	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR02	2030s	0.627607	0.372393
Single-Family Attached	CR02	2030s	0.000000	1.000000
Single-Family Detached	CR02	2030s	0.000000	1.000000
Mobile Home	CR03	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR03	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR03	2030s	0.184708	0.815292
Single-Family Attached	CR03	2030s	0.034943	0.965057
Single-Family Detached	CR03	2030s	0.000000	1.000000
Mobile Home	CR04	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR04	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR04	2030s	0.334161	0.665839
Single-Family Attached	CR04	2030s	0.034943	0.965057
Single-Family Detached	CR04	2030s	0.000000	1.000000
Mobile Home	CR05	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR05	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR05	2030s	0.184708	0.815292
Single-Family Attached	CR05	2030s	0.000000	1.000000
Single-Family Detached	CR05	2030s	0.000000	1.000000
Mobile Home	CR06	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR06	2030s	0.000000	1.000000
Multi-Family with 5+ Units	CR06	2030s	0.485917	0.514083
Single-Family Attached	CR06	2030s	0.000000	1.000000
Single-Family Detached	CR06	2030s	0.000000	1.000000
Mobile Home	CR07	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR07	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR07	2030s	0.442938	0.557062
Single-Family Attached	CR07	2030s	0.161355	0.838645
Single-Family Detached	CR07	2030s	0.000000	1.000000
Mobile Home	CR08	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR08	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR08	2030s	0.131467	0.868533
Single-Family Attached	CR08	2030s	0.000000	1.000000
Single-Family Detached	CR08	2030s	0.000000	1.000000
Mobile Home	CR09	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR09	2030s	0.044127	0.955873
Multi-Family with 5+ Units	CR09	2030s	0.070674	0.929326
Single-Family Attached	CR09	2030s	0.040256	0.959744
Single-Family Detached	CR09	2030s	0.000000	1.000000
Mobile Home	CR10	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR10	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR10	2030s	0.048698	0.951302
Single-Family Attached	CR10	2030s	0.034943	0.965057
Single-Family Detached	CR10	2030s	0.000000	1.000000
Mobile Home	CR11	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR11	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR11	2030s	0.199238	0.800762
Single-Family Attached	CR11	2030s	0.000000	1.000000
Single-Family Detached	CR11	2030s	0.000000	1.000000
Mobile Home	CR02	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR02	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR02	2040s	0.627607	0.372393
Single-Family Attached	CR02	2040s	0.000000	1.000000
Single-Family Detached	CR02	2040s	0.000000	1.000000
Mobile Home	CR03	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR03	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR03	2040s	0.184708	0.815292
Single-Family Attached	CR03	2040s	0.034943	0.965057
Single-Family Detached	CR03	2040s	0.000000	1.000000
Mobile Home	CR04	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR04	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR04	2040s	0.334161	0.665839
Single-Family Attached	CR04	2040s	0.034943	0.965057
Single-Family Detached	CR04	2040s	0.000000	1.000000
Mobile Home	CR05	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR05	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR05	2040s	0.184708	0.815292
Single-Family Attached	CR05	2040s	0.000000	1.000000
Single-Family Detached	CR05	2040s	0.000000	1.000000
Mobile Home	CR06	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR06	2040s	0.000000	1.000000
Multi-Family with 5+ Units	CR06	2040s	0.485917	0.514083
Single-Family Attached	CR06	2040s	0.000000	1.000000
Single-Family Detached	CR06	2040s	0.000000	1.000000
Mobile Home	CR07	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR07	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR07	2040s	0.442938	0.557062
Single-Family Attached	CR07	2040s	0.161355	0.838645
Single-Family Detached	CR07	2040s	0.000000	1.000000
Mobile Home	CR08	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR08	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR08	2040s	0.131467	0.868533
Single-Family Attached	CR08	2040s	0.000000	1.000000
Single-Family Detached	CR08	2040s	0.000000	1.000000
Mobile Home	CR09	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR09	2040s	0.044127	0.955873
Multi-Family with 5+ Units	CR09	2040s	0.070674	0.929326
Single-Family Attached	CR09	2040s	0.040256	0.959744
Single-Family Detached	CR09	2040s	0.000000	1.000000
Mobile Home	CR10	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR10	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR10	2040s	0.048698	0.951302
Single-Family Attached	CR10	2040s	0.034943	0.965057
Single-Family Detached	CR10	2040s	0.000000	1.000000
Mobile Home	CR11	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR11	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR11	2040s	0.199238	0.800762
Single-Family Attached	CR11	2040s	0.000000	1.000000
Single-Family Detached	CR11	2040s	0.000000	1.000000
Mobile Home	CR02	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR02	2050s	0.051610	0.948390
Multi-Family with 5+ Units	CR02	2050s	0.627607	0.372393
Single-Family Attached	CR02	2050s	0.000000	1.000000
Single-Family Detached	CR02	2050s	0.000000	1.000000
Mobile Home	CR03	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR03	2050s	0.051610	0.948390
Multi-Family with 5+ Units	CR03	2050s	0.184708	0.815292
Single-Family Attached	CR03	2050s	0.034943	0.965057
Single-Family Detached	CR03	2050s	0.000000	1.000000
Mobile Home	CR04	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR04	2050s	0.051610	0.948390
Multi-Family with 5+ Units	CR04	2050s	0.334161	0.665839
Single-Family Attached	CR04	2050s	0.034943	0.965057
Single-Family Detached	CR04	2050s	0.000000	1.000000
Mobile Home	CR05	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR05	2050s	0.051610	0.948390
Multi-Family with 5+ Units	CR05	2050s	0.184708	0.815292
Single-Family Attached	CR05	2050s	0.000000	1.000000
Single-Family Detached	CR05	2050s	0.000000	1.000000
Mobile Home	CR06	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR06	2050s	0.000000	1.000000
Multi-Family with 5+ Units	CR06	2050s	0.485917	0.514083
Single-Family Attached	CR06	2050s	0.000000	1.000000
Single-Family Detached	CR06	2050s	0.000000	1.000000
Mobile Home	CR07	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR07	2050s	0.051610	0.948390
Multi-Family with 5+ Units	CR07	2050s	0.442938	0.557062
Single-Family Attached	CR07	2050s	0.161355	0.838645
Single-Family Detached	CR07	2050s	0.000000	1.000000
Mobile Home	CR08	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR08	2050s	0.051610	0.948390
Multi-Family with 5+ Units	CR08	2050s	0.131467	0.868533
Single-Family Attached	CR08	2050s	0.000000	1.000000
Single-Family Detached	CR08	2050s	0.000000	1.000000
Mobile Home	CR09	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR09	2050s	0.044127	0.955873
Multi-Family with 5+ Units	CR09	2050s	0.070674	0.929326
Single-Family Attached	CR09	2050s	0.040256	0.959744
Single-Family Detached	CR09	2050s	0.000000	1.000000
Mobile Home	CR10	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR10	2050s	0.051610	0.948390
Multi-Family with 5+ Units	CR10	2050s	0.048698	0.951302
Single-Family Attached	CR10	2050s	0.034943	0.965057
Single-Family Detached	CR10	2050s	0.000000	1.000000
Mobile Home	CR11	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR11	2050s	0.051610	0.948390
Multi-Family with 5+ Units	CR11	2050s	0.199238	0.800762
Single-Family Attached	CR11	2050s	0.000000	1.000000
Single-Family Detached	CR11	2050s	0.000000	1.000000
