Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Location Region	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=2ft R5 Perimeter, R5 Gap	Option=2ft R10 Perimeter, R10 Gap	Option=4ft R10 Perimeter, R10 Gap	Option=2ft R5 Exterior	Option=2ft R10 Exterior	Option=4ft R10 Exterior	Option=None
Multi-Family with 5+ Units	2050s	CR08	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR09	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR10	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR11	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR02	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR05	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR03	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR04	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR06	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR07	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR08	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR09	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR10	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR11	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR02	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR05	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR03	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR04	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR06	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR07	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR08	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR09	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR10	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR11	Crawl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR02	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR05	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR03	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR04	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR06	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR07	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR08	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR09	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR10	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR11	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR02	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR05	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR03	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR04	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR06	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR07	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR08	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR09	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR10	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR11	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR02	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR05	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR03	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR04	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR06	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR07	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR08	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR09	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR10	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR11	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR02	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR05	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR03	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR04	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR06	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR07	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR08	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR09	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR10	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR11	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR02	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR05	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR03	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR04	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR06	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR07	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR08	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR09	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR10	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR11	Heated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR02	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR05	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR03	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR04	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR06	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR07	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR08	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR09	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR10	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR11	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR02	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR05	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR03	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR04	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR06	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR07	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR08	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR09	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR10	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 2 - 4 Units	2050s	CR11	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR02	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR05	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR03	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR04	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR06	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR07	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR08	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR09	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR10	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	2050s	CR11	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR02	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR05	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR03	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR04	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR06	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR07	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR08	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR09	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR10	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Attached	2050s	CR11	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR02	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR05	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR03	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR04	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR06	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR07	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR08	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR09	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR10	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Single-Family Detached	2050s	CR11	Pier and Beam	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR02	Slab	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000
Mobile Home	2050s	CR05	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Mobile Home	2050s	CR03	Slab	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000	0.000000
Mobile Home	2050s	CR04	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Mobile Home	2050s	CR06	Slab	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000
Mobile Home	2050s	CR07	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Mobile Home	2050s	CR08	Slab	0.000000	0.000000	0.300000	0.000000	0.000000	0.700000	0.000000	0.000000
Mobile Home	2050s	CR09	Slab	0.000000	0.000000	0.200000	0.000000	0.000000	0.810000	0.000000	0.000000
Mobile Home	2050s	CR10	Slab	0.690000	0.100000	0.070000	0.000000	0.060000	0.070000	0.000000	0.000000
Mobile Home	2050s	CR11	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR02	Slab	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR05	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR03	Slab	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR04	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR06	Slab	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR07	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR08	Slab	0.000000	0.000000	0.300000	0.000000	0.000000	0.700000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR09	Slab	0.000000	0.000000	0.200000	0.000000	0.000000	0.810000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR10	Slab	0.690000	0.100000	0.070000	0.000000	0.060000	0.070000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2050s	CR11	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Multi-Family with 5+ Units	2050s	CR02	Slab	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000
Multi-Family with 5+ Units	2050s	CR05	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Multi-Family with 5+ Units	2050s	CR03	Slab	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000	0.000000
Multi-Family with 5+ Units	2050s	CR04	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Multi-Family with 5+ Units	2050s	CR06	Slab	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000
Multi-Family with 5+ Units	2050s	CR07	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Multi-Family with 5+ Units	2050s	CR08	Slab	0.000000	0.000000	0.300000	0.000000	0.000000	0.700000	0.000000	0.000000
Multi-Family with 5+ Units	2050s	CR09	Slab	0.000000	0.000000	0.200000	0.000000	0.000000	0.810000	0.000000	0.000000
Multi-Family with 5+ Units	2050s	CR10	Slab	0.690000	0.100000	0.070000	0.000000	0.060000	0.070000	0.000000	0.000000
Multi-Family with 5+ Units	2050s	CR11	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Single-Family Attached	2050s	CR02	Slab	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000
Single-Family Attached	2050s	CR05	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Single-Family Attached	2050s	CR03	Slab	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000	0.000000
Single-Family Attached	2050s	CR04	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Single-Family Attached	2050s	CR06	Slab	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000
Single-Family Attached	2050s	CR07	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Single-Family Attached	2050s	CR08	Slab	0.000000	0.000000	0.300000	0.000000	0.000000	0.700000	0.000000	0.000000
Single-Family Attached	2050s	CR09	Slab	0.000000	0.000000	0.200000	0.000000	0.000000	0.810000	0.000000	0.000000
Single-Family Attached	2050s	CR10	Slab	0.690000	0.100000	0.070000	0.000000	0.060000	0.070000	0.000000	0.000000
Single-Family Attached	2050s	CR11	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Single-Family Detached	2050s	CR02	Slab	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000
Single-Family Detached	2050s	CR05	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Single-Family Detached	2050s	CR03	Slab	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000	0.000000
Single-Family Detached	2050s	CR04	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Single-Family Detached	2050s	CR06	Slab	0.000000	0.000000	0.000000	0.150000	0.000000	0.000000	0.850000	0.000000
Single-Family Detached	2050s	CR07	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Single-Family Detached	2050s	CR08	Slab	0.000000	0.000000	0.300000	0.000000	0.000000	0.700000	0.000000	0.000000
Single-Family Detached	2050s	CR09	Slab	0.000000	0.000000	0.200000	0.000000	0.000000	0.810000	0.000000	0.000000
Single-Family Detached	2050s	CR10	Slab	0.690000	0.100000	0.070000	0.000000	0.060000	0.070000	0.000000	0.000000
Single-Family Detached	2050s	CR11	Slab	0.000000	0.000000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000
Mobile Home	2050s	CR02	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR05	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR03	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR04	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR06	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR07	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR08	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR09	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
Mobile Home	2050s	CR10	Unheated Basement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
