Dependency=Geometry Building Type RECS	Dependency=Location Region	Dependency=Vintage ACS	Option=No	Option=Yes
Mobile Home	CR02	1940-59	0.000000	1.000000
Mobile Home	CR02	1960-79	0.000000	1.000000
Mobile Home	CR02	1980-99	0.000000	1.000000
Mobile Home	CR02	2000-09	0.000000	1.000000
Mobile Home	CR02	2010s	0.000000	1.000000
Mobile Home	CR02	<1940	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR02	1940-59	0.328567	0.671433
Multi-Family with 2 - 4 Units	CR02	1960-79	0.323179	0.676821
Multi-Family with 2 - 4 Units	CR02	1980-99	0.185289	0.814711
Multi-Family with 2 - 4 Units	CR02	2000-09	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR02	2010s	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR02	<1940	0.344015	0.655985
Multi-Family with 5+ Units	CR02	1940-59	0.731696	0.268304
Multi-Family with 5+ Units	CR02	1960-79	0.656158	0.343842
Multi-Family with 5+ Units	CR02	1980-99	0.752893	0.247107
Multi-Family with 5+ Units	CR02	2000-09	0.627607	0.372393
Multi-Family with 5+ Units	CR02	2010s	0.627607	0.372393
Multi-Family with 5+ Units	CR02	<1940	0.803274	0.196726
Single-Family Attached	CR02	1940-59	0.093820	0.906180
Single-Family Attached	CR02	1960-79	0.111134	0.888866
Single-Family Attached	CR02	1980-99	0.062270	0.937730
Single-Family Attached	CR02	2000-09	0.000000	1.000000
Single-Family Attached	CR02	2010s	0.000000	1.000000
Single-Family Attached	CR02	<1940	0.102232	0.897768
Single-Family Detached	CR02	1940-59	0.000000	1.000000
Single-Family Detached	CR02	1960-79	0.000000	1.000000
Single-Family Detached	CR02	1980-99	0.000000	1.000000
Single-Family Detached	CR02	2000-09	0.000000	1.000000
Single-Family Detached	CR02	2010s	0.000000	1.000000
Single-Family Detached	CR02	<1940	0.000000	1.000000
Mobile Home	CR03	1940-59	0.000000	1.000000
Mobile Home	CR03	1960-79	0.000000	1.000000
Mobile Home	CR03	1980-99	0.000000	1.000000
Mobile Home	CR03	2000-09	0.000000	1.000000
Mobile Home	CR03	2010s	0.000000	1.000000
Mobile Home	CR03	<1940	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR03	1940-59	0.186082	0.813918
Multi-Family with 2 - 4 Units	CR03	1960-79	0.520622	0.479378
Multi-Family with 2 - 4 Units	CR03	1980-99	0.354429	0.645571
Multi-Family with 2 - 4 Units	CR03	2000-09	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR03	2010s	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR03	<1940	0.226885	0.773115
Multi-Family with 5+ Units	CR03	1940-59	0.729935	0.270065
Multi-Family with 5+ Units	CR03	1960-79	0.837139	0.162861
Multi-Family with 5+ Units	CR03	1980-99	0.747433	0.252567
Multi-Family with 5+ Units	CR03	2000-09	0.184708	0.815292
Multi-Family with 5+ Units	CR03	2010s	0.184708	0.815292
Multi-Family with 5+ Units	CR03	<1940	0.673312	0.326688
Single-Family Attached	CR03	1940-59	0.093820	0.906180
Single-Family Attached	CR03	1960-79	0.069635	0.930365
Single-Family Attached	CR03	1980-99	0.081097	0.918903
Single-Family Attached	CR03	2000-09	0.034943	0.965057
Single-Family Attached	CR03	2010s	0.034943	0.965057
Single-Family Attached	CR03	<1940	0.184024	0.815976
Single-Family Detached	CR03	1940-59	0.000000	1.000000
Single-Family Detached	CR03	1960-79	0.000000	1.000000
Single-Family Detached	CR03	1980-99	0.000000	1.000000
Single-Family Detached	CR03	2000-09	0.000000	1.000000
Single-Family Detached	CR03	2010s	0.000000	1.000000
Single-Family Detached	CR03	<1940	0.000000	1.000000
Mobile Home	CR04	1940-59	0.000000	1.000000
Mobile Home	CR04	1960-79	0.000000	1.000000
Mobile Home	CR04	1980-99	0.000000	1.000000
Mobile Home	CR04	2000-09	0.000000	1.000000
Mobile Home	CR04	2010s	0.000000	1.000000
Mobile Home	CR04	<1940	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR04	1940-59	0.291478	0.708522
Multi-Family with 2 - 4 Units	CR04	1960-79	0.391937	0.608063
Multi-Family with 2 - 4 Units	CR04	1980-99	0.185289	0.814711
Multi-Family with 2 - 4 Units	CR04	2000-09	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR04	2010s	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR04	<1940	0.662716	0.337284
Multi-Family with 5+ Units	CR04	1940-59	0.731696	0.268304
Multi-Family with 5+ Units	CR04	1960-79	0.687964	0.312036
Multi-Family with 5+ Units	CR04	1980-99	0.556854	0.443146
Multi-Family with 5+ Units	CR04	2000-09	0.334161	0.665839
Multi-Family with 5+ Units	CR04	2010s	0.334161	0.665839
Multi-Family with 5+ Units	CR04	<1940	0.808557	0.191443
Single-Family Attached	CR04	1940-59	0.093820	0.906180
Single-Family Attached	CR04	1960-79	0.000000	1.000000
Single-Family Attached	CR04	1980-99	0.000000	1.000000
Single-Family Attached	CR04	2000-09	0.034943	0.965057
Single-Family Attached	CR04	2010s	0.034943	0.965057
Single-Family Attached	CR04	<1940	0.102232	0.897768
Single-Family Detached	CR04	1940-59	0.000000	1.000000
Single-Family Detached	CR04	1960-79	0.000000	1.000000
Single-Family Detached	CR04	1980-99	0.000000	1.000000
Single-Family Detached	CR04	2000-09	0.000000	1.000000
Single-Family Detached	CR04	2010s	0.000000	1.000000
Single-Family Detached	CR04	<1940	0.000000	1.000000
Mobile Home	CR05	1940-59	0.000000	1.000000
Mobile Home	CR05	1960-79	0.000000	1.000000
Mobile Home	CR05	1980-99	0.000000	1.000000
Mobile Home	CR05	2000-09	0.000000	1.000000
Mobile Home	CR05	2010s	0.000000	1.000000
Mobile Home	CR05	<1940	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR05	1940-59	0.328567	0.671433
Multi-Family with 2 - 4 Units	CR05	1960-79	0.258539	0.741461
Multi-Family with 2 - 4 Units	CR05	1980-99	0.185289	0.814711
Multi-Family with 2 - 4 Units	CR05	2000-09	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR05	2010s	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR05	<1940	0.474963	0.525037
Multi-Family with 5+ Units	CR05	1940-59	0.731696	0.268304
Multi-Family with 5+ Units	CR05	1960-79	0.601702	0.398298
Multi-Family with 5+ Units	CR05	1980-99	0.280238	0.719762
Multi-Family with 5+ Units	CR05	2000-09	0.184708	0.815292
Multi-Family with 5+ Units	CR05	2010s	0.184708	0.815292
Multi-Family with 5+ Units	CR05	<1940	0.803274	0.196726
Single-Family Attached	CR05	1940-59	0.093820	0.906180
Single-Family Attached	CR05	1960-79	0.069635	0.930365
Single-Family Attached	CR05	1980-99	0.055652	0.944348
Single-Family Attached	CR05	2000-09	0.000000	1.000000
Single-Family Attached	CR05	2010s	0.000000	1.000000
Single-Family Attached	CR05	<1940	0.102232	0.897768
Single-Family Detached	CR05	1940-59	0.000000	1.000000
Single-Family Detached	CR05	1960-79	0.000000	1.000000
Single-Family Detached	CR05	1980-99	0.000000	1.000000
Single-Family Detached	CR05	2000-09	0.000000	1.000000
Single-Family Detached	CR05	2010s	0.000000	1.000000
Single-Family Detached	CR05	<1940	0.000000	1.000000
Mobile Home	CR06	1940-59	0.000000	1.000000
Mobile Home	CR06	1960-79	0.000000	1.000000
Mobile Home	CR06	1980-99	0.000000	1.000000
Mobile Home	CR06	2000-09	0.000000	1.000000
Mobile Home	CR06	2010s	0.000000	1.000000
Mobile Home	CR06	<1940	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR06	<1940	0.905683	0.094317
Multi-Family with 2 - 4 Units	CR06	1940-59	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR06	1960-79	0.005682	0.994318
Multi-Family with 2 - 4 Units	CR06	1980-99	0.072272	0.927728
Multi-Family with 2 - 4 Units	CR06	2000-09	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR06	2010s	0.000000	1.000000
Multi-Family with 5+ Units	CR06	<1940	0.764148	0.235852
Multi-Family with 5+ Units	CR06	1940-59	0.603346	0.396654
Multi-Family with 5+ Units	CR06	1960-79	0.316457	0.683543
Multi-Family with 5+ Units	CR06	1980-99	0.299542	0.700458
Multi-Family with 5+ Units	CR06	2000-09	0.385366	0.614634
Multi-Family with 5+ Units	CR06	2010s	0.485917	0.514083
Single-Family Attached	CR06	<1940	0.246334	0.753666
Single-Family Attached	CR06	1940-59	0.397389	0.602611
Single-Family Attached	CR06	1960-79	0.201041	0.798959
Single-Family Attached	CR06	1980-99	0.001002	0.998998
Single-Family Attached	CR06	2000-09	0.000000	1.000000
Single-Family Attached	CR06	2010s	0.000000	1.000000
Single-Family Detached	CR06	<1940	0.000000	1.000000
Single-Family Detached	CR06	1940-59	0.000000	1.000000
Single-Family Detached	CR06	1960-79	0.000000	1.000000
Single-Family Detached	CR06	1980-99	0.000000	1.000000
Single-Family Detached	CR06	2000-09	0.000000	1.000000
Single-Family Detached	CR06	2010s	0.000000	1.000000
Mobile Home	CR07	1940-59	0.000000	1.000000
Mobile Home	CR07	1960-79	0.000000	1.000000
Mobile Home	CR07	1980-99	0.000000	1.000000
Mobile Home	CR07	2000-09	0.000000	1.000000
Mobile Home	CR07	2010s	0.000000	1.000000
Mobile Home	CR07	<1940	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR07	1940-59	0.570644	0.429356
Multi-Family with 2 - 4 Units	CR07	1960-79	0.463228	0.536772
Multi-Family with 2 - 4 Units	CR07	1980-99	0.407948	0.592052
Multi-Family with 2 - 4 Units	CR07	2000-09	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR07	2010s	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR07	<1940	0.606050	0.393950
Multi-Family with 5+ Units	CR07	1940-59	1.000000	0.000000
Multi-Family with 5+ Units	CR07	1960-79	0.832981	0.167019
Multi-Family with 5+ Units	CR07	1980-99	0.602201	0.397799
Multi-Family with 5+ Units	CR07	2000-09	0.442938	0.557062
Multi-Family with 5+ Units	CR07	2010s	0.442938	0.557062
Multi-Family with 5+ Units	CR07	<1940	0.910674	0.089326
Single-Family Attached	CR07	1940-59	0.162470	0.837530
Single-Family Attached	CR07	1960-79	0.165434	0.834566
Single-Family Attached	CR07	1980-99	0.021273	0.978727
Single-Family Attached	CR07	2000-09	0.161355	0.838645
Single-Family Attached	CR07	2010s	0.161355	0.838645
Single-Family Attached	CR07	<1940	0.123717	0.876283
Single-Family Detached	CR07	1940-59	0.000000	1.000000
Single-Family Detached	CR07	1960-79	0.000000	1.000000
Single-Family Detached	CR07	1980-99	0.000000	1.000000
Single-Family Detached	CR07	2000-09	0.000000	1.000000
Single-Family Detached	CR07	2010s	0.000000	1.000000
Single-Family Detached	CR07	<1940	0.000000	1.000000
Mobile Home	CR08	1940-59	0.000000	1.000000
Mobile Home	CR08	1960-79	0.000000	1.000000
Mobile Home	CR08	1980-99	0.000000	1.000000
Mobile Home	CR08	2000-09	0.000000	1.000000
Mobile Home	CR08	2010s	0.000000	1.000000
Mobile Home	CR08	<1940	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR08	1940-59	0.359327	0.640673
Multi-Family with 2 - 4 Units	CR08	1960-79	0.099789	0.900211
Multi-Family with 2 - 4 Units	CR08	1980-99	0.018250	0.981750
Multi-Family with 2 - 4 Units	CR08	2000-09	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR08	2010s	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR08	<1940	0.474963	0.525037
Multi-Family with 5+ Units	CR08	1940-59	0.723065	0.276935
Multi-Family with 5+ Units	CR08	1960-79	0.602519	0.397481
Multi-Family with 5+ Units	CR08	1980-99	0.092859	0.907141
Multi-Family with 5+ Units	CR08	2000-09	0.131467	0.868533
Multi-Family with 5+ Units	CR08	2010s	0.131467	0.868533
Multi-Family with 5+ Units	CR08	<1940	0.854255	0.145745
Single-Family Attached	CR08	1940-59	0.054341	0.945659
Single-Family Attached	CR08	1960-79	0.060392	0.939608
Single-Family Attached	CR08	1980-99	0.005983	0.994017
Single-Family Attached	CR08	2000-09	0.000000	1.000000
Single-Family Attached	CR08	2010s	0.000000	1.000000
Single-Family Attached	CR08	<1940	0.000000	1.000000
Single-Family Detached	CR08	1940-59	0.000000	1.000000
Single-Family Detached	CR08	1960-79	0.000000	1.000000
Single-Family Detached	CR08	1980-99	0.000000	1.000000
Single-Family Detached	CR08	2000-09	0.000000	1.000000
Single-Family Detached	CR08	2010s	0.000000	1.000000
Single-Family Detached	CR08	<1940	0.000000	1.000000
Mobile Home	CR09	1940-59	0.000000	1.000000
Mobile Home	CR09	1960-79	0.000000	1.000000
Mobile Home	CR09	1980-99	0.000000	1.000000
Mobile Home	CR09	2000-09	0.000000	1.000000
Mobile Home	CR09	2010s	0.000000	1.000000
Mobile Home	CR09	<1940	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR09	1940-59	0.105272	0.894728
Multi-Family with 2 - 4 Units	CR09	1960-79	0.122158	0.877842
