Dependency=Vintage	Dependency=Geometry House Size	Dependency=Geometry Building Type	Option=1 Car	Option=2 Car	Option=3 Car	Option=None	Count	Weight
<1950	0-1499	Mobile Home	0	0	0	1	3	20739.18705
<1950	0-1499	Multi-Family with 2 - 4 Units	0	0	0	1	249	2524345.215
<1950	0-1499	Multi-Family with 5+ Units	0	0	0	1	265	2600040.639
<1950	0-1499	Single-Family Attached	0.053726787	0.0150369	0	0.931236313	99	894675.9703
<1950	0-1499	Single-Family Detached	0.116462651	0.032298983	0	0.851238366	593	5642881.197
<1950	1500-2499	Mobile Home	0	0	0	1	0	0
<1950	1500-2499	Multi-Family with 2 - 4 Units	0	0	0	1	26	248308.1933
<1950	1500-2499	Multi-Family with 5+ Units	0	0	0	1	10	107485.8211
<1950	1500-2499	Single-Family Attached	0.129421885	0.035276881	0	0.835301234	41	374120.4615
<1950	1500-2499	Single-Family Detached	0.075726729	0.096273259	0.004882215	0.823117796	450	4207616.56
<1950	2500-3499	Mobile Home	0	0	0	1	0	0
<1950	2500-3499	Multi-Family with 2 - 4 Units	0	0	0	1	11	109019.0241
<1950	2500-3499	Multi-Family with 5+ Units	0	0	0	1	1	16295.24531
<1950	2500-3499	Single-Family Attached	0.083552947	0	0	0.916447053	9	70260.052
<1950	2500-3499	Single-Family Detached	0.086542907	0.091014667	0.005868189	0.816574237	193	1767455.927
<1950	3500+	Mobile Home	0	0	0	1	0	0
<1950	3500+	Multi-Family with 2 - 4 Units	0	0	0	1	2	11834.51582
<1950	3500+	Multi-Family with 5+ Units	0	0	0	1	0	0
<1950	3500+	Single-Family Attached	0	0	0	1	2	27096.76104
<1950	3500+	Single-Family Detached	0.138099567	0.268283114	0.037432166	0.556185154	109	1013195.559
1950s	0-1499	Mobile Home	0	0	0	1	12	146802.9162
1950s	0-1499	Multi-Family with 2 - 4 Units	0	0	0	1	105	1039648.154
1950s	0-1499	Multi-Family with 5+ Units	0	0	0	1	129	1239925.215
1950s	0-1499	Single-Family Attached	0.235921911	0.069456218	0	0.694621871	44	337999.8018
1950s	0-1499	Single-Family Detached	0.180179693	0.134641812	0	0.685178495	520	4704980.719
1950s	1500-2499	Mobile Home	0	0	0	1	0	0
1950s	1500-2499	Multi-Family with 2 - 4 Units	0	0	0	1	10	125931.7282
1950s	1500-2499	Multi-Family with 5+ Units	0	0	0	1	4	39639.49325
1950s	1500-2499	Single-Family Attached	0.321011974	0.02853471	0	0.650453315	26	229651.6433
1950s	1500-2499	Single-Family Detached	0.230158291	0.182913642	0.006658712	0.580269355	434	4078571.527
1950s	2500-3499	Mobile Home	0	0	0	1	0	0
1950s	2500-3499	Multi-Family with 2 - 4 Units	0	0	0	1	1	37321.43949
1950s	2500-3499	Multi-Family with 5+ Units	0	0	0	1	0	0
1950s	2500-3499	Single-Family Attached	0	0	0	1	1	7942.958043
1950s	2500-3499	Single-Family Detached	0.222037995	0.254086689	0.02465098	0.499224337	109	1046418.084
1950s	3500+	Mobile Home	0	0	0	1	0	0
1950s	3500+	Multi-Family with 2 - 4 Units	0	0	0	1	0	0
1950s	3500+	Multi-Family with 5+ Units	0	0	0	1	0	0
1950s	3500+	Single-Family Attached	0	0	0	1	0	0
1950s	3500+	Single-Family Detached	0.185978777	0.447413228	0.100933562	0.265674433	57	510967.9715
1960s	0-1499	Mobile Home	0	0	0	1	33	332831.0494
1960s	0-1499	Multi-Family with 2 - 4 Units	0	0	0	1	101	1067688.883
1960s	0-1499	Multi-Family with 5+ Units	0	0	0	1	248	2502644.297
1960s	0-1499	Single-Family Attached	0.131285156	0	0	0.868714844	58	395111.3573
1960s	0-1499	Single-Family Detached	0.206692817	0.207217545	0	0.586089638	399	3677143.824
1960s	1500-2499	Mobile Home	0	0	0	1	2	23883.72212
1960s	1500-2499	Multi-Family with 2 - 4 Units	0	0	0	1	8	86587.88427
1960s	1500-2499	Multi-Family with 5+ Units	0	0	0	1	5	62775.37635
1960s	1500-2499	Single-Family Attached	0.309060597	0.134606064	0	0.556333339	14	103048.9814
1960s	1500-2499	Single-Family Detached	0.199143697	0.357972542	0.003916719	0.438967041	353	3212853.732
1960s	2500-3499	Mobile Home	0	0	0	1	0	0
1960s	2500-3499	Multi-Family with 2 - 4 Units	0	0	0	1	0	0
1960s	2500-3499	Multi-Family with 5+ Units	0	0	0	1	0	0
1960s	2500-3499	Single-Family Attached	0	0	0	1	1	5242.407862
1960s	2500-3499	Single-Family Detached	0.178482913	0.502641566	0.017092837	0.301782684	119	1104859.164
1960s	3500+	Mobile Home	0	0	0	1	0	0
1960s	3500+	Multi-Family with 2 - 4 Units	0	0	0	1	0	0
1960s	3500+	Multi-Family with 5+ Units	0	0	0	1	0	0
1960s	3500+	Single-Family Attached	0	0	0	1	0	0
1960s	3500+	Single-Family Detached	0.066520629	0.66194954	0.105823148	0.165706684	76	696651.5876
1970s	0-1499	Mobile Home	0	0	0	1	143	1669181.4
1970s	0-1499	Multi-Family with 2 - 4 Units	0	0	0	1	162	1450731.379
1970s	0-1499	Multi-Family with 5+ Units	0	0	0	1	411	4033394.14
1970s	0-1499	Single-Family Attached	0.260633093	0.16858956	0	0.570777347	91	706211.543
1970s	0-1499	Single-Family Detached	0.158246029	0.300386423	0	0.541367548	389	3453731.729
1970s	1500-2499	Mobile Home	0	0	0	1	9	100574.8414
1970s	1500-2499	Multi-Family with 2 - 4 Units	0	0	0	1	9	78781.61249
1970s	1500-2499	Multi-Family with 5+ Units	0	0	0	1	9	70442.13479
1970s	1500-2499	Single-Family Attached	0.234313724	0.288338075	0	0.477348201	38	312499.2059
1970s	1500-2499	Single-Family Detached	0.109832448	0.502165494	0.028268844	0.359733214	463	4007564.169
1970s	2500-3499	Mobile Home	0	0	0	1	0	0
1970s	2500-3499	Multi-Family with 2 - 4 Units	0	0	0	1	1	8878.279956
1970s	2500-3499	Multi-Family with 5+ Units	0	0	0	1	1	8775.313793
1970s	2500-3499	Single-Family Attached	0.389052459	0.315794941	0	0.295152599	6	47951.5992
1970s	2500-3499	Single-Family Detached	0.08581989	0.653938899	0.036359527	0.223881683	188	1583212.848
1970s	3500+	Mobile Home	0	0	0	1	0	0
1970s	3500+	Multi-Family with 2 - 4 Units	0	0	0	1	0	0
1970s	3500+	Multi-Family with 5+ Units	0	0	0	1	0	0
1970s	3500+	Single-Family Attached	1	0	0	0	2	12609.8831
1970s	3500+	Single-Family Detached	0.045316366	0.663740177	0.135690496	0.155252961	96	745789.2205
1980s	0-1499	Mobile Home	0	0	0	1	122	1680231.102
1980s	0-1499	Multi-Family with 2 - 4 Units	0	0	0	1	111	1053118.999
1980s	0-1499	Multi-Family with 5+ Units	0	0	0	1	359	3374715.815
1980s	0-1499	Single-Family Attached	0.259210256	0.117210774	0	0.62357897	120	856604.3149
1980s	0-1499	Single-Family Detached	0.132012752	0.336760127	0	0.531227121	298	2859601.632
1980s	1500-2499	Mobile Home	0	0	0	1	8	86169.83963
1980s	1500-2499	Multi-Family with 2 - 4 Units	0	0	0	1	5	32756.53365
1980s	1500-2499	Multi-Family with 5+ Units	0	0	0	1	10	119692.8171
1980s	1500-2499	Single-Family Attached	0.196353505	0.340749959	0.012090548	0.450805988	59	451874.1263
1980s	1500-2499	Single-Family Detached	0.122063576	0.56711748	0.025740766	0.285078178	416	3870139.651
1980s	2500-3499	Mobile Home	0	0	0	1	0	0
1980s	2500-3499	Multi-Family with 2 - 4 Units	0	0	0	1	0	0
1980s	2500-3499	Multi-Family with 5+ Units	0	0	0	1	0	0
1980s	2500-3499	Single-Family Attached	0.281992717	0.514969286	0	0.203037997	13	79886.43878
1980s	2500-3499	Single-Family Detached	0.118214761	0.661861719	0.082022466	0.137901053	182	1620047.602
1980s	3500+	Mobile Home	0	0	0	1	0	0
1980s	3500+	Multi-Family with 2 - 4 Units	0	0	0	1	0	0
1980s	3500+	Multi-Family with 5+ Units	0	0	0	1	0	0
1980s	3500+	Single-Family Attached	0	1	0	0	3	16481.48652
1980s	3500+	Single-Family Detached	0.039543278	0.67250014	0.181011858	0.106944724	101	869421.6269
1990s	0-1499	Mobile Home	0	0	0	1	110	1522099.407
1990s	0-1499	Multi-Family with 2 - 4 Units	0	0	0	1	72	737677.3671
1990s	0-1499	Multi-Family with 5+ Units	0	0	0	1	226	2426663.079
1990s	0-1499	Single-Family Attached	0.311410748	0.219441864	0	0.469147388	56	383478.3448
1990s	0-1499	Single-Family Detached	0.09592438	0.31319964	0	0.59087598	246	2447476.3
1990s	1500-2499	Mobile Home	0	0	0	1	30	429277.3834
1990s	1500-2499	Multi-Family with 2 - 4 Units	0	0	0	1	5	23890.91836
1990s	1500-2499	Multi-Family with 5+ Units	0	0	0	1	7	64224.84262
1990s	1500-2499	Single-Family Attached	0.241875895	0.472727385	0	0.28539672	42	264523.2512
1990s	1500-2499	Single-Family Detached	0.049136159	0.618715259	0.093882154	0.238266427	408	3900135.871
1990s	2500-3499	Mobile Home	0	0	0	1	2	12732.06207
1990s	2500-3499	Multi-Family with 2 - 4 Units	0	0	0	1	2	7862.508814
1990s	2500-3499	Multi-Family with 5+ Units	0	0	0	1	1	8884.939148
1990s	2500-3499	Single-Family Attached	0.134951035	0.798295373	0	0.066753592	10	97520.61867
1990s	2500-3499	Single-Family Detached	0.049507105	0.668065136	0.150516059	0.131911699	236	2137182.248
1990s	3500+	Mobile Home	0	0	0	1	0	0
1990s	3500+	Multi-Family with 2 - 4 Units	0	0	0	1	0	0
1990s	3500+	Multi-Family with 5+ Units	0	0	0	1	0	0
1990s	3500+	Single-Family Attached	0.705463594	0.294536406	0	0	3	14215.5178
1990s	3500+	Single-Family Detached	0.016454276	0.604999673	0.328130924	0.050415127	212	1872290.294
2000s	0-1499	Mobile Home	0	0	0	1	50	659522.0438
2000s	0-1499	Multi-Family with 2 - 4 Units	0	0	0	1	38	315474.7047
2000s	0-1499	Multi-Family with 5+ Units	0	0	0	1	215	2194465.242
2000s	0-1499	Single-Family Attached	0.293770947	0.272915148	0	0.433313905	69	482193.1319
2000s	0-1499	Single-Family Detached	0.067533988	0.529983846	0	0.402482166	226	2268849.847
2000s	1500-2499	Mobile Home	0	0	0	1	17	256916.3144
2000s	1500-2499	Multi-Family with 2 - 4 Units	0	0	0	1	6	42915.97827
2000s	1500-2499	Multi-Family with 5+ Units	0	0	0	1	21	231142.4711
2000s	1500-2499	Single-Family Attached	0.260581987	0.643537893	0	0.095880121	59	408410.8162
2000s	1500-2499	Single-Family Detached	0.050019878	0.670162901	0.089909403	0.189907817	423	3910028.524
2000s	2500-3499	Mobile Home	0	0	0	1	0	0
2000s	2500-3499	Multi-Family with 2 - 4 Units	0	0	0	1	2	10243.56429
2000s	2500-3499	Multi-Family with 5+ Units	0	0	0	1	1	8491.418082
2000s	2500-3499	Single-Family Attached	0.17382078	0.490064889	0	0.336114331	15	90761.46252
2000s	2500-3499	Single-Family Detached	0.035942257	0.657652113	0.207084497	0.099321132	243	2229392.981
2000s	3500+	Mobile Home	0	0	0	1	0	0
2000s	3500+	Multi-Family with 2 - 4 Units	0	0	0	1	0	0
2000s	3500+	Multi-Family with 5+ Units	0	0	0	1	0	0
2000s	3500+	Single-Family Attached	0	0.816709273	0.183290727	0	9	46477.21947
2000s	3500+	Single-Family Detached	0.021622122	0.495822378	0.433295737	0.049259763	264	2397242.798
