FIXME: How to handle mutually exclusive measures?
Dependency=Location	Dependency=Vintage	Dependency=Heating Fuel	"SEER 8, Central Air Conditioner"	"SEER 10, Central Air Conditioner"	"SEER 13, Central Air Conditioner"	"SEER 15, Central Air Conditioner"	"EER 8.5, Room Air Conditioner"	"EER 10.7, Room Air Conditioner"	None
CR09	2000s	Electricity	0.00	0.32	0.31	0.04	0.01	0.01	0.31
CR10	pre-1950	Electricity	0.00	0.00	0.00	0.00	0.00	0.00	1.00
CR10	1950s	Electricity	0.03	0.21	0.13	0.02	0.05	0.11	0.45
CR10	1960s	Electricity	0.03	0.20	0.13	0.02	0.04	0.09	0.49
CR10	1970s	Electricity	0.01	0.04	0.03	0.00	0.02	0.04	0.86
CR10	1980s	Electricity	0.04	0.14	0.09	0.02	0.02	0.04	0.65
CR10	1990s	Electricity	0.01	0.14	0.07	0.01	0.01	0.02	0.74
CR10	2000s	Electricity	0.00	0.14	0.14	0.02	0.00	0.01	0.69
CR11	pre-1950	Electricity	0.01	0.09	0.06	0.01	0.07	0.14	0.62
CR11	1950s	Electricity	0.03	0.17	0.10	0.02	0.06	0.13	0.49
CR11	1960s	Electricity	0.03	0.19	0.13	0.02	0.06	0.11	0.46
CR11	1970s	Electricity	0.05	0.23	0.15	0.03	0.03	0.06	0.45
CR11	1980s	Electricity	0.07	0.22	0.15	0.03	0.04	0.08	0.41
CR11	1990s	Electricity	0.02	0.36	0.19	0.03	0.01	0.03	0.36
CR11	2000s	Electricity	0.00	0.34	0.33	0.04	0.01	0.02	0.26
CR12	pre-1950	Electricity	0.00	0.00	0.00	0.00	0.25	0.51	0.24
CR12	1950s	Electricity	0.00	0.00	0.00	0.00	0.11	0.22	0.67
CR12	1960s	Electricity	0.00	0.00	0.00	0.00	0.33	0.67	0.00
CR12	1970s	Electricity	0.00	0.00	0.00	0.00	0.20	0.39	0.41
CR12	1980s	Electricity	0.00	0.00	0.00	0.00	0.06	0.12	0.82
CR12	1990s	Electricity	0.01	0.11	0.06	0.01	0.13	0.25	0.43
CR12	2000s	Electricity	0.00	0.00	0.00	0.00	0.00	0.00	1.00
CR01	pre-1950	Other Fuel	0.00	0.00	0.00	0.00	0.00	0.00	1.00
CR01	1950s	Other Fuel	0.00	0.00	0.00	0.00	0.00	0.00	1.00
CR01	1960s	Other Fuel	0.00	0.00	0.00	0.00	0.00	0.00	1.00
CR01	1970s	Other Fuel	0.02	0.10	0.07	0.01	0.05	0.09	0.66
CR01	1980s	Other Fuel	0.00	0.00	0.00	0.00	0.00	0.00	1.00
CR01	1990s	Other Fuel	0.01	0.16	0.08	0.01	0.00	0.00	0.74
CR01	2000s	Other Fuel	0.00	0.00	0.00	0.00	0.00	0.00	1.00
CR02	pre-1950	Other Fuel	0.03	0.26	0.18	0.03	0.09	0.18	0.23
CR02	1950s	Other Fuel	0.06	0.33	0.20	0.03	0.06	0.13	0.19
CR02	1960s	Other Fuel	0.07	0.40	0.26	0.05	0.03	0.06	0.13
CR02	1970s	Other Fuel	0.09	0.40	0.25	0.05	0.04	0.08	0.09
CR02	1980s	Other Fuel	0.12	0.40	0.26	0.05	0.02	0.03	0.12
CR02	1990s	Other Fuel	0.03	0.57	0.30	0.05	0.01	0.02	0.02
CR02	2000s	Other Fuel	0.00	0.45	0.44	0.06	0.00	0.00	0.05
CR03	pre-1950	Other Fuel	0.01	0.07	0.04	0.01	0.11	0.21	0.55
CR03	1950s	Other Fuel	0.02	0.13	0.08	0.01	0.06	0.11	0.59
CR03	1960s	Other Fuel	0.04	0.22	0.14	0.03	0.01	0.03	0.53
CR03	1970s	Other Fuel	0.05	0.23	0.15	0.03	0.05	0.10	0.39
CR03	1980s	Other Fuel	0.07	0.23	0.15	0.03	0.09	0.17	0.26
CR03	1990s	Other Fuel	0.02	0.39	0.21	0.03	0.01	0.03	0.31
CR03	2000s	Other Fuel	0.00	0.35	0.34	0.04	0.00	0.00	0.27
CR04	pre-1950	Other Fuel	0.01	0.05	0.03	0.01	0.19	0.38	0.33
CR04	1950s	Other Fuel	0.01	0.08	0.05	0.01	0.15	0.30	0.40
CR04	1960s	Other Fuel	0.02	0.12	0.08	0.01	0.15	0.30	0.32
CR04	1970s	Other Fuel	0.02	0.08	0.05	0.01	0.19	0.38	0.27
CR04	1980s	Other Fuel	0.04	0.14	0.09	0.02	0.14	0.27	0.30
CR04	1990s	Other Fuel	0.01	0.22	0.12	0.02	0.14	0.27	0.22
CR04	2000s	Other Fuel	0.00	0.19	0.19	0.02	0.11	0.23	0.26
CR05	pre-1950	Other Fuel	0.03	0.26	0.17	0.03	0.12	0.23	0.16
CR05	1950s	Other Fuel	0.06	0.34	0.21	0.03	0.07	0.14	0.15
CR05	1960s	Other Fuel	0.06	0.34	0.22	0.04	0.06	0.12	0.16
CR05	1970s	Other Fuel	0.08	0.36	0.23	0.04	0.05	0.11	0.13
CR05	1980s	Other Fuel	0.12	0.38	0.25	0.05	0.03	0.06	0.11
CR05	1990s	Other Fuel	0.03	0.59	0.31	0.05	0.01	0.02	0.00
CR05	2000s	Other Fuel	0.00	0.44	0.43	0.06	0.01	0.02	0.04
CR06	pre-1950	Other Fuel	0.00	0.00	0.00	0.00	0.09	0.18	0.73
CR06	1950s	Other Fuel	0.02	0.12	0.07	0.01	0.10	0.21	0.47
CR06	1960s	Other Fuel	0.02	0.14	0.09	0.02	0.02	0.05	0.66
CR06	1970s	Other Fuel	0.04	0.17	0.11	0.02	0.08	0.15	0.43
CR06	1980s	Other Fuel	0.04	0.12	0.08	0.01	0.08	0.17	0.50
CR06	1990s	Other Fuel	0.01	0.25	0.14	0.02	0.04	0.09	0.45
CR06	2000s	Other Fuel	0.00	0.21	0.20	0.03	0.07	0.13	0.36
CR07	pre-1950	Other Fuel	0.02	0.16	0.11	0.02	0.17	0.34	0.18
CR07	1950s	Other Fuel	0.04	0.25	0.16	0.03	0.13	0.26	0.13
CR07	1960s	Other Fuel	0.05	0.29	0.19	0.03	0.08	0.16	0.20
CR07	1970s	Other Fuel	0.07	0.34	0.22	0.04	0.08	0.16	0.09
CR07	1980s	Other Fuel	0.10	0.31	0.21	0.04	0.07	0.14	0.13
CR07	1990s	Other Fuel	0.03	0.47	0.25	0.04	0.04	0.08	0.09
CR07	2000s	Other Fuel	0.00	0.43	0.41	0.05	0.02	0.03	0.06
CR08	pre-1950	Other Fuel	0.04	0.29	0.20	0.03	0.11	0.22	0.11
CR08	1950s	Other Fuel	0.07	0.39	0.24	0.04	0.07	0.14	0.05
CR08	1960s	Other Fuel	0.07	0.42	0.27	0.05	0.05	0.09	0.05
CR08	1970s	Other Fuel	0.10	0.45	0.29	0.05	0.03	0.06	0.02
CR08	1980s	Other Fuel	0.13	0.43	0.28	0.05	0.02	0.04	0.05
CR08	1990s	Other Fuel	0.03	0.57	0.30	0.05	0.01	0.03	0.01
CR08	2000s	Other Fuel	0.00	0.46	0.45	0.06	0.01	0.02	0.00
CR09	pre-1950	Other Fuel	0.04	0.30	0.20	0.03	0.12	0.24	0.07
CR09	1950s	Other Fuel	0.06	0.35	0.22	0.04	0.09	0.18	0.06
CR09	1960s	Other Fuel	0.07	0.41	0.26	0.05	0.06	0.12	0.03
CR09	1970s	Other Fuel	0.10	0.44	0.28	0.05	0.03	0.07	0.03
CR09	1980s	Other Fuel	0.13	0.42	0.27	0.05	0.03	0.07	0.03
CR09	1990s	Other Fuel	0.03	0.57	0.31	0.05	0.01	0.02	0.01
CR09	2000s	Other Fuel	0.00	0.46	0.44	0.06	0.01	0.01	0.02
CR10	pre-1950	Other Fuel	0.02	0.20	0.13	0.02	0.10	0.20	0.33
CR10	1950s	Other Fuel	0.03	0.21	0.13	0.02	0.05	0.11	0.45
CR10	1960s	Other Fuel	0.06	0.37	0.24	0.04	0.04	0.09	0.16
CR10	1970s	Other Fuel	0.08	0.35	0.22	0.04	0.02	0.04	0.25
CR10	1980s	Other Fuel	0.11	0.36	0.23	0.04	0.02	0.04	0.20
CR10	1990s	Other Fuel	0.03	0.53	0.28	0.04	0.01	0.02	0.09
CR10	2000s	Other Fuel	0.00	0.42	0.40	0.05	0.00	0.01	0.12
CR11	pre-1950	Other Fuel	0.02	0.13	0.09	0.01	0.07	0.14	0.54
CR11	1950s	Other Fuel	0.04	0.22	0.13	0.02	0.06	0.13	0.40
CR11	1960s	Other Fuel	0.04	0.22	0.14	0.03	0.06	0.11	0.40
CR11	1970s	Other Fuel	0.06	0.26	0.17	0.03	0.03	0.06	0.39
CR11	1980s	Other Fuel	0.09	0.28	0.18	0.03	0.04	0.08	0.30
CR11	1990s	Other Fuel	0.02	0.39	0.21	0.03	0.01	0.03	0.31
CR11	2000s	Other Fuel	0.00	0.37	0.36	0.05	0.01	0.02	0.19
CR12	pre-1950	Other Fuel	0.00	0.00	0.00	0.00	0.25	0.51	0.24
CR12	1950s	Other Fuel	0.00	0.00	0.00	0.00	0.11	0.22	0.67
CR12	1960s	Other Fuel	0.00	0.00	0.00	0.00	0.33	0.67	0.00
CR12	1970s	Other Fuel	0.00	0.00	0.00	0.00	0.20	0.39	0.41
CR12	1980s	Other Fuel	0.00	0.00	0.00	0.00	0.06	0.12	0.82
CR12	1990s	Other Fuel	0.01	0.11	0.06	0.01	0.13	0.25	0.43
CR12	2000s	Other Fuel	0.00	0.00	0.00	0.00	0.00	0.00	1.00
CR01	pre-1950	None	0.00	0.00	0.00	0.00	0.00	0.00	1.00
CR01	1950s	None	0.00	0.00	0.00	0.00	0.00	0.00	1.00
CR01	1960s	None	0.00	0.00	0.00	0.00	0.00	0.00	1.00
CR01	1970s	None	0.02	0.10	0.07	0.01	0.05	0.09	0.66
CR01	1980s	None	0.00	0.00	0.00	0.00	0.00	0.00	1.00
CR01	1990s	None	0.01	0.16	0.08	0.01	0.00	0.00	0.74
CR01	2000s	None	0.00	0.00	0.00	0.00	0.00	0.00	1.00
CR02	pre-1950	None	0.03	0.26	0.18	0.03	0.09	0.18	0.23
CR02	1950s	None	0.06	0.33	0.20	0.03	0.06	0.13	0.19
CR02	1960s	None	0.07	0.40	0.26	0.05	0.03	0.06	0.13
CR02	1970s	None	0.09	0.40	0.25	0.05	0.04	0.08	0.09
CR02	1980s	None	0.12	0.40	0.26	0.05	0.02	0.03	0.12
CR02	1990s	None	0.03	0.57	0.30	0.05	0.01	0.02	0.02
CR02	2000s	None	0.00	0.45	0.44	0.06	0.00	0.00	0.05
CR03	pre-1950	None	0.01	0.07	0.04	0.01	0.11	0.21	0.55
CR03	1950s	None	0.02	0.13	0.08	0.01	0.06	0.11	0.59
CR03	1960s	None	0.04	0.22	0.14	0.03	0.01	0.03	0.53
CR03	1970s	None	0.05	0.23	0.15	0.03	0.05	0.10	0.39
CR03	1980s	None	0.07	0.23	0.15	0.03	0.09	0.17	0.26
CR03	1990s	None	0.02	0.39	0.21	0.03	0.01	0.03	0.31
CR03	2000s	None	0.00	0.35	0.34	0.04	0.00	0.00	0.27
CR04	pre-1950	None	0.01	0.05	0.03	0.01	0.19	0.38	0.33
CR04	1950s	None	0.01	0.08	0.05	0.01	0.15	0.30	0.40
CR04	1960s	None	0.02	0.12	0.08	0.01	0.15	0.30	0.32
CR04	1970s	None	0.02	0.08	0.05	0.01	0.19	0.38	0.27
CR04	1980s	None	0.04	0.14	0.09	0.02	0.14	0.27	0.30
CR04	1990s	None	0.01	0.22	0.12	0.02	0.14	0.27	0.22
CR04	2000s	None	0.00	0.19	0.19	0.02	0.11	0.23	0.26
CR05	pre-1950	None	0.03	0.26	0.17	0.03	0.12	0.23	0.16
CR05	1950s	None	0.06	0.34	0.21	0.03	0.07	0.14	0.15
CR05	1960s	None	0.06	0.34	0.22	0.04	0.06	0.12	0.16
CR05	1970s	None	0.08	0.36	0.23	0.04	0.05	0.11	0.13
CR05	1980s	None	0.12	0.38	0.25	0.05	0.03	0.06	0.11
CR05	1990s	None	0.03	0.59	0.31	0.05	0.01	0.02	0.00
CR05	2000s	None	0.00	0.44	0.43	0.06	0.01	0.02	0.04
CR06	pre-1950	None	0.00	0.00	0.00	0.00	0.09	0.18	0.73
CR06	1950s	None	0.02	0.12	0.07	0.01	0.10	0.21	0.47
CR06	1960s	None	0.02	0.14	0.09	0.02	0.02	0.05	0.66
CR06	1970s	None	0.04	0.17	0.11	0.02	0.08	0.15	0.43
CR06	1980s	None	0.04	0.12	0.08	0.01	0.08	0.17	0.50
CR06	1990s	None	0.01	0.25	0.14	0.02	0.04	0.09	0.45
CR06	2000s	None	0.00	0.21	0.20	0.03	0.07	0.13	0.36
CR07	pre-1950	None	0.02	0.16	0.11	0.02	0.17	0.34	0.18
CR07	1950s	None	0.04	0.25	0.16	0.03	0.13	0.26	0.13
CR07	1960s	None	0.05	0.29	0.19	0.03	0.08	0.16	0.20
CR07	1970s	None	0.07	0.34	0.22	0.04	0.08	0.16	0.09
CR07	1980s	None	0.10	0.31	0.21	0.04	0.07	0.14	0.13
CR07	1990s	None	0.03	0.47	0.25	0.04	0.04	0.08	0.09
CR07	2000s	None	0.00	0.43	0.41	0.05	0.02	0.03	0.06
CR08	pre-1950	None	0.04	0.29	0.20	0.03	0.11	0.22	0.11
CR08	1950s	None	0.07	0.39	0.24	0.04	0.07	0.14	0.05
CR08	1960s	None	0.07	0.42	0.27	0.05	0.05	0.09	0.05
CR08	1970s	None	0.10	0.45	0.29	0.05	0.03	0.06	0.02
CR08	1980s	None	0.13	0.43	0.28	0.05	0.02	0.04	0.05
CR08	1990s	None	0.03	0.57	0.30	0.05	0.01	0.03	0.01
CR08	2000s	None	0.00	0.46	0.45	0.06	0.01	0.02	0.00
CR09	pre-1950	None	0.04	0.30	0.20	0.03	0.12	0.24	0.07
CR09	1950s	None	0.06	0.35	0.22	0.04	0.09	0.18	0.06
CR09	1960s	None	0.07	0.41	0.26	0.05	0.06	0.12	0.03
CR09	1970s	None	0.10	0.44	0.28	0.05	0.03	0.07	0.03
CR09	1980s	None	0.13	0.42	0.27	0.05	0.03	0.07	0.03
CR09	1990s	None	0.03	0.57	0.31	0.05	0.01	0.02	0.01
CR09	2000s	None	0.00	0.46	0.44	0.06	0.01	0.01	0.02
CR10	pre-1950	None	0.02	0.20	0.13	0.02	0.10	0.20	0.33
CR10	1950s	None	0.03	0.21	0.13	0.02	0.05	0.11	0.45
CR10	1960s	None	0.06	0.37	0.24	0.04	0.04	0.09	0.16
CR10	1970s	None	0.08	0.35	0.22	0.04	0.02	0.04	0.25
CR10	1980s	None	0.11	0.36	0.23	0.04	0.02	0.04	0.20
CR10	1990s	None	0.03	0.53	0.28	0.04	0.01	0.02	0.09
CR10	2000s	None	0.00	0.42	0.40	0.05	0.00	0.01	0.12
CR11	pre-1950	None	0.02	0.13	0.09	0.01	0.07	0.14	0.54
CR11	1950s	None	0.04	0.22	0.13	0.02	0.06	0.13	0.40
CR11	1960s	None	0.04	0.22	0.14	0.03	0.06	0.11	0.40
CR11	1970s	None	0.06	0.26	0.17	0.03	0.03	0.06	0.39
CR11	1980s	None	0.09	0.28	0.18	0.03	0.04	0.08	0.30
CR11	1990s	None	0.02	0.39	0.21	0.03	0.01	0.03	0.31
CR11	2000s	None	0.00	0.37	0.36	0.05	0.01	0.02	0.19
CR12	pre-1950	None	0.00	0.00	0.00	0.00	0.25	0.51	0.24
CR12	1950s	None	0.00	0.00	0.00	0.00	0.11	0.22	0.67
CR12	1960s	None	0.00	0.00	0.00	0.00	0.33	0.67	0.00
CR12	1970s	None	0.00	0.00	0.00	0.00	0.20	0.39	0.41
CR12	1980s	None	0.00	0.00	0.00	0.00	0.06	0.12	0.82
CR12	1990s	None	0.01	0.11	0.06	0.01	0.13	0.25	0.43
CR12	2000s	None	0.00	0.00	0.00	0.00	0.00	0.00	1.00
