Dependency=Location	Dependency=Vintage	"Clear, Single, Metal"	"Clear, Single, Non-metal"	"Clear, Double, Metal, Air"	"Clear, Double, Non-metal, Air"	"Low-E, Double, Non-metal, Air, L-Gain"	"Low-E, Triple, Non-metal, Air, L-Gain"
CR01	pre-1950	0.00	1.00	0.00	0.00	0.00	0.00
CR01	1950s	0.50	0.00	0.00	0.26	0.24	0.00
CR01	1960s	0.41	0.00	0.41	0.10	0.09	0.00
CR01	1970s	0.00	0.00	0.69	0.16	0.15	0.00
CR01	1980s	0.42	0.00	0.36	0.09	0.12	0.00
CR01	1990s	0.00	0.00	0.00	0.65	0.35	0.00
CR01	2000s	0.00	0.00	0.00	0.40	0.60	0.00
CR02	pre-1950	0.00	0.38	0.00	0.31	0.31	0.00
CR02	1950s	0.31	0.00	0.00	0.34	0.35	0.00
CR02	1960s	0.39	0.00	0.21	0.20	0.19	0.00
CR02	1970s	0.25	0.00	0.24	0.23	0.21	0.07
CR02	1980s	0.12	0.00	0.26	0.27	0.27	0.08
CR02	1990s	0.07	0.00	0.00	0.52	0.28	0.12
CR02	2000s	0.04	0.00	0.00	0.37	0.59	0.00
CR03	pre-1950	0.00	0.39	0.00	0.32	0.29	0.00
CR03	1950s	0.27	0.00	0.00	0.38	0.35	0.00
CR03	1960s	0.22	0.00	0.26	0.27	0.25	0.00
CR03	1970s	0.19	0.00	0.26	0.27	0.28	0.00
CR03	1980s	0.11	0.00	0.27	0.31	0.31	0.00
CR03	1990s	0.18	0.00	0.00	0.51	0.32	0.00
CR03	2000s	0.03	0.00	0.00	0.39	0.58	0.00
CR04	pre-1950	0.00	0.33	0.00	0.35	0.32	0.00
CR04	1950s	0.22	0.00	0.00	0.40	0.38	0.00
CR04	1960s	0.30	0.00	0.20	0.26	0.24	0.00
CR04	1970s	0.24	0.00	0.21	0.27	0.28	0.00
CR04	1980s	0.20	0.00	0.19	0.27	0.27	0.07
CR04	1990s	0.10	0.00	0.00	0.58	0.31	0.00
CR04	2000s	0.07	0.00	0.00	0.36	0.58	0.00
CR05	pre-1950	0.00	0.42	0.00	0.30	0.28	0.00
CR05	1950s	0.27	0.00	0.00	0.38	0.35	0.00
CR05	1960s	0.20	0.00	0.28	0.25	0.26	0.00
CR05	1970s	0.19	0.00	0.29	0.27	0.25	0.00
CR05	1980s	0.27	0.00	0.23	0.23	0.27	0.00
CR05	1990s	0.11	0.00	0.00	0.55	0.34	0.00
CR05	2000s	0.11	0.00	0.00	0.34	0.55	0.00
CR06	pre-1950	0.00	0.60	0.00	0.21	0.19	0.00
CR06	1950s	0.27	0.00	0.00	0.38	0.35	0.00
CR06	1960s	0.18	0.00	0.37	0.22	0.23	0.00
CR06	1970s	0.19	0.00	0.37	0.23	0.21	0.00
CR06	1980s	0.09	0.00	0.37	0.25	0.28	0.00
CR06	1990s	0.07	0.00	0.00	0.61	0.33	0.00
CR06	2000s	0.02	0.00	0.00	0.38	0.60	0.00
CR07	pre-1950	0.00	0.41	0.00	0.30	0.30	0.00
CR07	1950s	0.26	0.00	0.00	0.37	0.37	0.00
CR07	1960s	0.28	0.00	0.22	0.24	0.26	0.00
CR07	1970s	0.33	0.00	0.22	0.23	0.22	0.00
CR07	1980s	0.24	0.00	0.22	0.26	0.27	0.00
CR07	1990s	0.06	0.00	0.00	0.60	0.34	0.00
CR07	2000s	0.07	0.00	0.00	0.36	0.58	0.00
CR08	pre-1950	0.00	0.57	0.00	0.22	0.21	0.00
CR08	1950s	0.44	0.00	0.00	0.27	0.29	0.00
