wmo,station_name,state,latitude,longitude,timezone,elevation,class,filename
690150,Twentynine_Palms,CA,34.3,-116.17,-8,626,II,USA_CA_Twentynine.Palms.690150_TMY3.epw
690190,Abilene_Dyess_Afb,TX,32.43,-99.85,-6,545,II,USA_TX_Abilene-Dyess.AFB.690190_TMY3.epw
690230,Whidbey_Island_Nas,WA,48.35,-122.67,-8,10,II,USA_WA_Whidbey.Island.NAS.690230_TMY3.epw
699604,Yuma_Mcas,AZ,32.65,-114.62,-7,65,II,USA_AZ_Yuma.MCAS.699604_TMY3.epw
700197,Selawik,AK,66.6,-160,-9,8,III,USA_AK_Selawik.700197_TMY3.epw
700260,Barrow_W_Post_W_Rogers_Arpt_N,AK,71.32,-156.62,-9,10,II,USA_AK_Barrow-W.Post-W.Rogers.AP.700260_TMY3.epw
700637,Deadhorse,AK,70.2,-148.48,-9,23,II,USA_AK_Deadhorse.700637_TMY3.epw
701043,Point_Hope_Awos,AK,68.35,-166.8,-9,4,II,USA_AK_Point.Hope.AWOS.701043_TMY3.epw
701195,Shishmaref_Awos,AK,66.27,-166.05,-9,2,II,USA_AK_Shishmaref.AWOS.701195_TMY3.epw
701330,Kotzebue_Ralph_Wein_Memorial,AK,66.88,-162.6,-9,3,II,USA_AK_Kotzebue-Ralph.Wein.Mem.AP.701330_TMY3.epw
701625,Anaktuvuk_Pass,AK,68.13,-151.73,-9,657,III,USA_AK_Anaktuvuk.Pass.701625_TMY3.epw
701718,Ambler,AK,67.1,-157.85,-9,88,II,USA_AK_Ambler.701718_TMY3.epw
701740,Bettles_Field,AK,66.92,-151.52,-9,196,II,USA_AK_Bettles.Field.701740_TMY3.epw
701780,Tanana_Ralph_M_Calhoun_Mem_Ap,AK,65.17,-152.1,-9,71,II,USA_AK_Tanana-Ralph.Calhoun.AP.701780_TMY3.epw
701940,Fort_Yukon,AK,66.57,-145.27,-9,136,III,USA_AK_Fort.Yukon.701940_TMY3.epw
702000,Nome_Municipal_Arpt,AK,64.52,-165.45,-9,4,II,USA_AK_Nome.Muni.AP.702000_TMY3.epw
702005,Saint_Mary_S_Awos,AK,62.07,-163.3,-9,95,II,USA_AK_Saint.Marys.AWOS.702005_TMY3.epw
702035,Savoonga,AK,63.68,-170.5,-9,17,III,USA_AK_Savoonga.702035_TMY3.epw
702040,Gambell,AK,63.78,-171.75,-9,8,III,USA_AK_Gambell.702040_TMY3.epw
702070,Unalakleet_Field,AK,63.88,-160.8,-9,5,III,USA_AK_Unalakleet.Field.702070_TMY3.epw
702075,Anvik,AK,62.65,-160.18,-9,99,III,USA_AK_Anvik.702075_TMY3.epw
702084,Emmonak,AK,62.78,-164.5,-9,4,II,USA_AK_Emmonak.702084_TMY3.epw
