Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Option=Yes	Option=No	sample_weight	sample_count
1A	Mobile Home	0.456631	0.543369	10250131.320000	1167.000000
2A	Mobile Home	0.456631	0.543369	10250131.320000	1167.000000
2B	Mobile Home	0.469528	0.530472	1554439.320000	147.000000
3A	Mobile Home	0.438037	0.561963	10639409.700000	932.000000
3B	Mobile Home	0.580820	0.419180	7487899.620000	930.000000
3C	Mobile Home	0.702846	0.297154	1513221.730000	189.000000
4A	Mobile Home	0.502440	0.497560	16842268.140000	1800.000000
4B	Mobile Home	0.580820	0.419180	7487899.620000	930.000000
4C	Mobile Home	0.680887	0.319113	2197443.470000	208.000000
5A	Mobile Home	0.519560	0.480440	16923619.580000	1552.000000
5B	Mobile Home	0.624827	0.375173	3123118.060000	342.000000
6A	Mobile Home	0.547095	0.452905	5936312.550000	764.000000
6B	Mobile Home	0.547095	0.452905	5936312.550000	764.000000
7A	Mobile Home	0.595933	0.404067	710605.600000	111.000000
7B	Mobile Home	0.595933	0.404067	710605.600000	111.000000
1A	Single-Family Detached	0.456631	0.543369	10250131.320000	1167.000000
2A	Single-Family Detached	0.456631	0.543369	10250131.320000	1167.000000
2B	Single-Family Detached	0.469528	0.530472	1554439.320000	147.000000
3A	Single-Family Detached	0.438037	0.561963	10639409.700000	932.000000
3B	Single-Family Detached	0.580820	0.419180	7487899.620000	930.000000
3C	Single-Family Detached	0.702846	0.297154	1513221.730000	189.000000
4A	Single-Family Detached	0.502440	0.497560	16842268.140000	1800.000000
4B	Single-Family Detached	0.580820	0.419180	7487899.620000	930.000000
4C	Single-Family Detached	0.680887	0.319113	2197443.470000	208.000000
5A	Single-Family Detached	0.519560	0.480440	16923619.580000	1552.000000
5B	Single-Family Detached	0.624827	0.375173	3123118.060000	342.000000
6A	Single-Family Detached	0.547095	0.452905	5936312.550000	764.000000
6B	Single-Family Detached	0.547095	0.452905	5936312.550000	764.000000
7A	Single-Family Detached	0.595933	0.404067	710605.600000	111.000000
7B	Single-Family Detached	0.595933	0.404067	710605.600000	111.000000
1A	Single-Family Attached	0.450934	0.549066	3134462.170000	390.000000
2A	Single-Family Attached	0.450934	0.549066	3134462.170000	390.000000
2B	Single-Family Attached	0.345355	0.654645	472787.650000	50.000000
3A	Single-Family Attached	0.404590	0.595410	3148735.890000	299.000000
3B	Single-Family Attached	0.597315	0.402685	3097614.880000	390.000000
3C	Single-Family Attached	0.672189	0.327811	1234149.460000	151.000000
4A	Single-Family Attached	0.500967	0.499033	8822508.140000	903.000000
4B	Single-Family Attached	0.597315	0.402685	3097614.880000	390.000000
4C	Single-Family Attached	0.672109	0.327891	1022944.160000	97.000000
5A	Single-Family Attached	0.452120	0.547880	9167045.460000	844.000000
5B	Single-Family Attached	0.470575	0.529425	935344.460000	133.000000
6A	Single-Family Attached	0.465607	0.534393	1656326.570000	205.000000
6B	Single-Family Attached	0.465607	0.534393	1656326.570000	205.000000
7A	Single-Family Attached	0.350479	0.649521	216536.120000	33.000000
7B	Single-Family Attached	0.350479	0.649521	216536.120000	33.000000
1A	Multi-Family with 2 - 4 Units	0.450934	0.549066	3134462.170000	390.000000
2A	Multi-Family with 2 - 4 Units	0.450934	0.549066	3134462.170000	390.000000
2B	Multi-Family with 2 - 4 Units	0.345355	0.654645	472787.650000	50.000000
3A	Multi-Family with 2 - 4 Units	0.404590	0.595410	3148735.890000	299.000000
3B	Multi-Family with 2 - 4 Units	0.597315	0.402685	3097614.880000	390.000000
3C	Multi-Family with 2 - 4 Units	0.672189	0.327811	1234149.460000	151.000000
4A	Multi-Family with 2 - 4 Units	0.500967	0.499033	8822508.140000	903.000000
4B	Multi-Family with 2 - 4 Units	0.597315	0.402685	3097614.880000	390.000000
4C	Multi-Family with 2 - 4 Units	0.672109	0.327891	1022944.160000	97.000000
5A	Multi-Family with 2 - 4 Units	0.452120	0.547880	9167045.460000	844.000000
5B	Multi-Family with 2 - 4 Units	0.470575	0.529425	935344.460000	133.000000
6A	Multi-Family with 2 - 4 Units	0.465607	0.534393	1656326.570000	205.000000
6B	Multi-Family with 2 - 4 Units	0.465607	0.534393	1656326.570000	205.000000
7A	Multi-Family with 2 - 4 Units	0.350479	0.649521	216536.120000	33.000000
7B	Multi-Family with 2 - 4 Units	0.350479	0.649521	216536.120000	33.000000
1A	Multi-Family with 5+ Units	0.450934	0.549066	3134462.170000	390.000000
2A	Multi-Family with 5+ Units	0.450934	0.549066	3134462.170000	390.000000
2B	Multi-Family with 5+ Units	0.345355	0.654645	472787.650000	50.000000
3A	Multi-Family with 5+ Units	0.404590	0.595410	3148735.890000	299.000000
3B	Multi-Family with 5+ Units	0.597315	0.402685	3097614.880000	390.000000
3C	Multi-Family with 5+ Units	0.672189	0.327811	1234149.460000	151.000000
4A	Multi-Family with 5+ Units	0.500967	0.499033	8822508.140000	903.000000
4B	Multi-Family with 5+ Units	0.597315	0.402685	3097614.880000	390.000000
4C	Multi-Family with 5+ Units	0.672109	0.327891	1022944.160000	97.000000
5A	Multi-Family with 5+ Units	0.452120	0.547880	9167045.460000	844.000000
5B	Multi-Family with 5+ Units	0.470575	0.529425	935344.460000	133.000000
6A	Multi-Family with 5+ Units	0.465607	0.534393	1656326.570000	205.000000
6B	Multi-Family with 5+ Units	0.465607	0.534393	1656326.570000	205.000000
7A	Multi-Family with 5+ Units	0.350479	0.649521	216536.120000	33.000000
7B	Multi-Family with 5+ Units	0.350479	0.649521	216536.120000	33.000000
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Created by: https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb
# Assumptions: RECS data is queried from two building type groups: 1) Single-Family Detached and Mobile Homes and 2) Single-Family Attached, Multi-family with 2-4 Units, and Multi-Family with 5+ Units
