Building,ASHRAE IECC Climate Zone 2004,Bathroom Spot Vent Hour,County and PUMA,AIANNH Area,CEC Climate Zone,City,County,AHS Region,ASHRAE IECC Climate Zone 2004 - 2A Split,Building America Climate Zone,Dehumidifier,Door Area,Doors,Eaves,Electric Vehicle,Energystar Climate Zone 2023,Ground Thermal Conductivity,HVAC System Is Faulted,HVAC System Is Scaled,Holiday Lighting,Hot Water Distribution,ISO RTO Region,Interior Shading,Lighting Interior Use,Lighting Other Use,Mechanical Ventilation,Metropolitan and Micropolitan Statistical Area,County Metro Status,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Well Pump,Natural Ventilation,Orientation,Overhangs,PUMA,Geometry Building Type ACS,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Building Type RECS,Cooling Setpoint Has Offset,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Corridor,Neighbors,PUMA Metro Status,REEDS Balancing Area,Generation And Emissions Assessment Region,Radiant Barrier,Range Spot Vent Hour,Solar Hot Water,State,Census Division,Census Division RECS,Census Region,Custom State,Lighting,Location Region,Plug Loads,Usage Level,Clothes Dryer Usage Level,Clothes Washer Usage Level,Cooking Range Usage Level,Dishwasher Usage Level,Hot Water Fixtures,Plug Load Diversity,Refrigerator Usage Level,Vacancy Status,Ceiling Fan,Has PV,Battery,PV Orientation,PV System Size,Tenure,Vintage,HVAC Secondary Heating Fuel,HVAC Secondary Heating Type,HVAC Secondary Heating Efficiency,HVAC Secondary Heating Partial Space Conditioning,Heating Fuel,HVAC Heating Type,Vintage ACS,Geometry Foundation Type,HVAC Cooling Type,Cooling Setpoint,HVAC Has Shared System,HVAC Cooling Efficiency,HVAC Cooling Autosizing Factor,HVAC Has Ducts,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Autosizing Factor,HVAC Heating Type And Fuel,HVAC Shared Efficiencies,HVAC System Single Speed AC Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed ASHP Charge,Heating Setpoint,Heating Setpoint Has Offset,Heating Setpoint Offset Magnitude,Heating Setpoint Offset Period,Income,Income RECS2015,Income RECS2020,Geometry Floor Area,Bedrooms,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Building Type Height,Geometry Stories Low Rise,Geometry Attic Type,Geometry Garage,Geometry Space Combination,Duct Location,Duct Leakage and Insulation,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,HVAC Cooling Partial Space Conditioning,Infiltration,Insulation Ceiling,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Insulation Roof,Insulation Slab,Insulation Wall,Occupants,Area Median Income,Federal Poverty Level,Clothes Washer Presence,Clothes Dryer,Clothes Washer,Cooking Range,Cooling Unavailable Days,Dishwasher,Heating Unavailable Days,Household Has Tribal Persons,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Refrigerator,Roof Material,State Metro Median Income,Water Heater Fuel,Water Heater Efficiency,Water Heater In Unit,Water Heater Location,Window Areas,Windows
1,5A,Hour22,"G1700310, G17003529",No,None,"IL, Chicago","IL, Cook County","CBSA Chicago-Naperville-Elgin, IL-IN-WI",5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,1.1,No,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Chicago-Naperville-Elgin, IL-IN-WI MSA",Metropolitan,None,None,None,None,"Cooling Season, 7 days/wk",West,None,"IL, 03529",50 or more Unit,None,None,Multi-Family with 5+ Units,Yes,2F,Night Setback +5h,Double-Loaded Interior,7,"In metro area, principal city",80,RFCWc,None,Hour11,None,IL,East North Central,East North Central,Midwest,Others,100% Incandescent,CR04,89%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Renter,<1940,None,None,None,0%,Natural Gas,Non-Ducted Heating,<1940,Unheated Basement,Room AC,70F,Heating Only,"Room AC, EER 10.7",None,No,Shared Heating,No,None,Natural Gas Shared Heating,"Boiler Baseboards Heating Only, Fuel",None,None,None,None,70F,No,0F,None,<10000,<20000,<20000,0-499,1,0-1499,21,Middle,326,Middle,"Multifamily with 5+ units, 8+ stories",4+,None,None,"Multi-Family with 5+ Units Middle Unit, Unheated Basement, No Attic, No Garage",None,None,8+,Steel Frame,"Wood, Medium/Dark",40% Conditioned,20 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-38",None,"Wood Stud, Uninsulated",1,0-30%,0-100%,None,None,None,Gas,Never,None,Never,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",0-30%,Natural Gas,Natural Gas Standard,No,Conditioned Mechanical Room,F30 B30 L30 R30,"Single, Clear, Non-metal"
2,3A,Hour6,"G4000270, G40000900",No,None,"OK, Norman","OK, Cleveland County",Non-CBSA West South Central,3A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,South-Central,1.1,No,No,No Exterior Use,Uninsulated,SPP,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Oklahoma City, OK MSA",Metropolitan,None,None,None,None,"Cooling Season, 7 days/wk",Southeast,None,"OK, 00900",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +5h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",50,SPSOc,No,Hour13,None,OK,West South Central,West South Central,South,Others,100% Incandescent,CR09,113%,High,120% Usage,120% Usage,120% Usage,120% Usage,120% Usage,200%,105% Usage,Occupied,None,No,None,None,None,Owner,2000s,None,None,None,0%,Natural Gas,Ducted Heating,2000-09,Slab,Central AC,72F,None,"AC, SEER 13",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,70F,No,0F,None,100000-119999,100000-119999,100000-149999,2000-2499,4,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,2 Car,"Single-Family Detached, Slab, Vented Attic, 2 Car Garage",Attic,"20% Leakage to Outside, R-8",<8,Wood Frame,"Brick, Medium/Dark",100% Conditioned,15 ACH50,R-30,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, R-11",2,150%+,400%+,Yes,Electric,Standard,Gas,Never,318 Rated kWh,Never,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,150%+,Natural Gas,Natural Gas Standard,Yes,Garage,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain"
3,4A,Hour1,"G3600610, G36003805",No,None,"NY, New York","NY, New York County","CBSA New York-Newark-Jersey City, NY-NJ-PA",4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,North-Central,1.4,No,No,No Exterior Use,Uninsulated,NYISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"New York-Newark-Jersey City, NY-NJ-PA MSA",Metropolitan,None,None,None,None,"Cooling Season, 7 days/wk",Northwest,None,"NY, 03805",50 or more Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,27,"In metro area, principal city",127,NYSTc,None,Hour16,None,NY,Middle Atlantic,Middle Atlantic,Northeast,Others,100% Incandescent,CR07,89%,Low,80% Usage,80% Usage,80% Usage,80% Usage,70% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Renter,1960s,None,None,None,0%,Natural Gas,Non-Ducted Heating,1960-79,Vented Crawlspace,Room AC,70F,Heating Only,"Room AC, EER 10.7",None,No,Shared Heating,No,None,Natural Gas Shared Heating,"Boiler Baseboards Heating Only, Fuel",None,None,None,None,72F,No,0F,None,200000+,140000+,150000+,500-749,1,0-1499,21,Middle,116,Right,"Multifamily with 5+ units, 8+ stories",4+,None,None,"Multi-Family with 5+ Units Middle Unit, Vented Crawlspace, No Attic, No Garage",None,None,8+,Steel Frame,"Aluminum, Light",40% Conditioned,20 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-19",None,"Wood Stud, Uninsulated",2,150%+,400%+,None,None,None,Gas,Never,318 Rated kWh,Never,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",150%+,Natural Gas,Natural Gas Standard,No,Conditioned Mechanical Room,F30 B30 L30 R30,"Double, Clear, Metal, Air"
4,2A,Hour23,"G0100030, G01002600",No,None,In another census Place,"AL, Baldwin County",Non-CBSA East South Central,"2A - FL, GA, AL, MS",Hot-Humid,None,20 ft^2,Fiberglass,2 ft,None,Southern,1.1,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Daphne-Fairhope-Foley, AL MSA",Metropolitan,None,None,None,None,"Cooling Season, 7 days/wk",North,None,"AL, 02600",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",90,SRSOc,No,Hour14,None,AL,East South Central,East South Central,South,Others,100% Incandescent,CR09,110%,High,120% Usage,120% Usage,120% Usage,120% Usage,140% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,None,None,None,0%,Electricity,Ducted Heat Pump,2000-09,Slab,Ducted Heat Pump,76F,None,Ducted Heat Pump,None,Yes,"ASHP, SEER 13, 7.7 HSPF",No,None,Electricity ASHP,None,None,None,None,None,70F,No,0F,None,80000-99999,80000-99999,60000-99999,2000-2499,4,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,2 Car,"Single-Family Detached, Slab, Vented Attic, 2 Car Garage",Attic,"30% Leakage to Outside, R-8",<8,Wood Frame,"Brick, Medium/Dark",100% Conditioned,15 ACH50,R-38,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, R-19",2,120-150%,400%+,Yes,Electric,Standard,Electric Resistance,Never,318 Rated kWh,Never,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,120-150%,Electricity,Electric Standard,Yes,Garage,F12 B12 L12 R12,"Double, Clear, Metal, Air"
5,3B,Hour0,"G0400150, G04000600",No,None,In another census Place,"AZ, Mohave County",Non-CBSA Mountain,3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,None,South-Central,1.4,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Lake Havasu City-Kingman, AZ MSA",Metropolitan,None,None,None,None,"Cooling Season, 7 days/wk",Southwest,None,"AZ, 00600",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,Not/partially in metro area,27,AZNMc,No,Hour17,None,AZ,Mountain,Mountain South,West,Others,100% CFL,CR10,84%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,90% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,None,None,None,0%,Electricity,Ducted Heating,2000-09,Slab,Central AC,78F,None,"AC, SEER 10",None,Yes,"Electric Furnace, 100% AFUE",No,None,Electricity Electric Furnace,None,None,None,None,None,68F,Yes,3F,Night +5h,80000-99999,80000-99999,60000-99999,2000-2499,3,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,"Single-Family Detached, Slab, Vented Attic, 2 Car Garage",Attic,"20% Leakage to Outside, R-8",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,5 ACH50,R-30,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, R-11",2,150%+,400%+,Yes,Electric,EnergyStar,Electric Resistance,Never,318 Rated kWh,Never,No,None,None,None,None,None,None,EF 19.9,"Tile, Clay or Ceramic",150%+,Electricity,Electric Standard,Yes,Garage,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain"
6,5B,Hour5,"G4100170, G41000400",No,None,"OR, Bend","OR, Deschutes County",Non-CBSA Pacific,5B,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,0.8,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Bend-Redmond, OR MSA",Metropolitan,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",South,None,"OR, 00400",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",5,NWPPc,No,Hour18,None,OR,Pacific,Pacific,West,Others,100% LED,CR06,94%,High,120% Usage,120% Usage,120% Usage,120% Usage,130% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,None,None,None,0%,Natural Gas,Ducted Heating,2000-09,Slab,Central AC,72F,None,"AC, SEER 13",None,Yes,"Fuel Furnace, 80% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,68F,Yes,3F,Night +5h,200000+,140000+,150000+,3000-3999,4,2500-3999,1,None,None,None,Single-Family Detached,1,Vented Attic,3 Car,"Single-Family Detached, Slab, Vented Attic, 3 Car Garage",Attic,"10% Leakage to Outside, R-8",<8,Wood Frame,"Shingle, Composition, Medium",100% Conditioned,5 ACH50,R-38,None,None,None,"Unfinished, Uninsulated","2ft R10 Perimeter, Vertical","Wood Stud, R-19",2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,Never,318 Rated kWh,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,"Tile, Clay or Ceramic",150%+,Natural Gas,Natural Gas Standard,Yes,Garage,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain"
7,6A,Hour2,"G5500250, G55000103",No,None,In another census Place,"WI, Dane County",Non-CBSA East North Central,6A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,1.1,No,No,No Exterior Use,Uninsulated,MISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Madison, WI MSA",Metropolitan,None,None,None,None,"Cooling Season, 7 days/wk",South,None,"WI, 00103",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",78,MROEc,No,Hour12,None,WI,East North Central,East North Central,Midwest,Others,100% CFL,CR02,85%,Low,80% Usage,80% Usage,80% Usage,80% Usage,80% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,None,None,None,0%,Natural Gas,Ducted Heating,2000-09,Heated Basement,Central AC,72F,None,"AC, SEER 15",None,Yes,"Fuel Furnace, 92.5% AFUE",No,None,Natural Gas Fuel Furnace,None,None,None,None,None,68F,No,0F,None,200000+,140000+,150000+,3000-3999,5,2500-3999,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,"Single-Family Detached, Heated Basement, Vented Attic, 2 Car Garage",Heated Basement,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Brick, Medium/Dark",100% Conditioned,5 ACH50,R-49,Uninsulated,"Wall R-10, Exterior","R-10, Exterior","Unfinished, Uninsulated",None,"Wood Stud, R-19",4,150%+,400%+,Yes,Electric,Standard,Gas,Never,318 Rated kWh,Never,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,150%+,Natural Gas,Natural Gas Standard,Yes,Heated Basement,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain"
8,4A,Hour21,"G1000050, G10000300",No,None,Not in a census Place,"DE, Sussex County",Non-CBSA South Atlantic,4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,North-Central,1.1,No,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Salisbury, MD-DE MSA",Metropolitan,None,None,None,None,"Cooling Season, 7 days/wk",North,None,"DE, 00300",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",125,RFCEc,No,Hour19,None,DE,South Atlantic,South Atlantic,South,Others,100% Incandescent,CR08,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,90% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,None,None,None,0%,Electricity,Ducted Heat Pump,2000-09,Slab,Ducted Heat Pump,72F,None,Ducted Heat Pump,None,Yes,"ASHP, SEER 15, 8.5 HSPF",No,None,Electricity ASHP,None,None,None,None,None,68F,No,0F,None,80000-99999,80000-99999,60000-99999,2000-2499,3,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,"Single-Family Detached, Slab, Vented Attic, 2 Car Garage",Attic,"20% Leakage to Outside, R-8",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,15 ACH50,R-30,None,None,None,"Unfinished, Uninsulated","2ft R5 Perimeter, Vertical","Wood Stud, R-11",3,120-150%,400%+,Yes,Electric,EnergyStar,Electric Resistance,Never,318 Rated kWh,Never,No,None,None,None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",120-150%,Electricity,Electric Standard,Yes,Garage,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain"
9,3A,Hour3,"G4500510, G45001102",No,None,Not in a census Place,"SC, Horry County",Non-CBSA South Atlantic,3A,Hot-Humid,None,20 ft^2,Fiberglass,2 ft,None,South-Central,1.4,No,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",Metropolitan,None,None,None,None,"Cooling Season, 7 days/wk",East,None,"SC, 01102",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",96,SRVCc,No,Hour9,None,SC,South Atlantic,South Atlantic,South,Others,100% CFL,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Owner,2000s,None,None,None,0%,Electricity,Ducted Heat Pump,2000-09,Slab,Ducted Heat Pump,72F,None,Ducted Heat Pump,None,Yes,"ASHP, SEER 13, 7.7 HSPF",No,None,Electricity ASHP,None,None,None,None,None,68F,Yes,3F,Night +5h,80000-99999,80000-99999,60000-99999,1500-1999,3,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,2 Car,"Single-Family Detached, Slab, Vented Attic, 2 Car Garage",Attic,"30% Leakage to Outside, R-8",<8,Wood Frame,"Vinyl, Light",100% Conditioned,15 ACH50,R-30,None,None,None,"Unfinished, Uninsulated","2ft R10 Under, Horizontal","Wood Stud, R-11",2,150%+,400%+,Yes,Electric,EnergyStar,Electric Resistance,Never,318 Rated kWh,Never,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,150%+,Electricity,Electric Standard,Yes,Garage,F12 B12 L12 R12,"Double, Clear, Metal, Air"
10,5A,Hour4,"G1700310, G17003525",No,None,"IL, Chicago","IL, Cook County","CBSA Chicago-Naperville-Elgin, IL-IN-WI",5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,1.1,No,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,"Chicago-Naperville-Elgin, IL-IN-WI MSA",Metropolitan,None,None,None,None,"Cooling Season, 7 days/wk",Northeast,None,"IL, 03525",50 or more Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,12,"In metro area, principal city",80,RFCWc,None,Hour17,None,IL,East North Central,East North Central,Midwest,Others,100% CFL,CR04,89%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,110% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Renter,2000s,None,None,None,0%,Electricity,Non-Ducted Heating,2000-09,Slab,Room AC,60F,None,"Room AC, EER 10.7",None,No,"Electric Baseboard, 100% Efficiency",Yes,None,Electricity Baseboard,None,None,None,None,None,70F,No,0F,None,200000+,140000+,150000+,1000-1499,2,0-1499,4,Middle,67,Middle,"Multifamily with 5+ units, 4-7 stories",4+,None,None,"Multi-Family with 5+ Units Middle Unit, Slab, No Attic, No Garage",None,None,<8,Wood Frame,"Brick, Medium/Dark",20% Conditioned,15 ACH50,None,None,None,None,"Finished, R-30","2ft R10 Perimeter, Vertical","Wood Stud, R-11",2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,Never,318 Rated kWh,Never,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",150%+,Electricity,Electric Standard,No,Conditioned Mechanical Room,F30 B30 L30 R30,"Double, Clear, Metal, Air"
