Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Vented Crawlspace	Option=Unvented Crawlspace	Option=Heated Basement	Option=Ambient	Option=Slab	Option=Unheated Basement	sampling_probability
1A	Mobile Home	1940-59	0	0	0	1	0	0	1.66675e-05
1A	Mobile Home	1960-79	0	0	0	1	0	0	0.000134362
1A	Mobile Home	1980-99	0	0	0	1	0	0	0.000103885
1A	Mobile Home	2000-09	0	0	0	1	0	0	3.99599e-05
1A	Mobile Home	2010s	0	0	0	1	0	0	5.28413e-06
1A	Mobile Home	<1940	0	0	0	1	0	0	2.63896e-06
1A	Multi-Family with 2 - 4 Units	1940-59	0.395271	0	0	0	0.601889	0.002839	0.000174156
1A	Multi-Family with 2 - 4 Units	1960-79	0.113481	0	0	0	0.886519	0	0.000373737
1A	Multi-Family with 2 - 4 Units	1980-99	0.069332	0.017828	0	0	0.91284	0	0.000252628
1A	Multi-Family with 2 - 4 Units	2000-09	0.06946	0	0	0	0.924908	0.005632	7.76589e-05
1A	Multi-Family with 2 - 4 Units	2010s	0.046307	0.023153	0	0	0.924908	0.005632	1.73835e-05
1A	Multi-Family with 2 - 4 Units	<1940	0.736819	0	0	0	0.230182	0.032999	4.59199e-05
1A	Multi-Family with 5+ Units	1940-59	0.395271	0	0	0	0.601889	0.002839	0.000453249
1A	Multi-Family with 5+ Units	1960-79	0.113481	0	0	0	0.886519	0	0.00223479
1A	Multi-Family with 5+ Units	1980-99	0.07063	0.01653	0	0	0.91284	0	0.00166111
1A	Multi-Family with 5+ Units	2000-09	0.066504	0.002956	0	0	0.924908	0.005632	0.000674683
1A	Multi-Family with 5+ Units	2010s	0.066566	0.002894	0	0	0.924908	0.005632	0.000173756
1A	Multi-Family with 5+ Units	<1940	0.736819	0	0	0	0.230182	0.032999	0.000114058
1A	Single-Family Attached	1940-59	0.395271	0	0	0	0.601889	0.002839	0.000132489
1A	Single-Family Attached	1960-79	0.113481	0	0	0	0.886519	0	0.000347086
1A	Single-Family Attached	1980-99	0.067392	0.019768	0	0	0.91284	0	0.00055928
1A	Single-Family Attached	2000-09	0.06946	0	0	0	0.924908	0.005632	0.000232485
1A	Single-Family Attached	2010s	0.06946	0	0	0	0.924908	0.005632	3.48727e-05
1A	Single-Family Attached	<1940	0.736819	0	0	0	0.230182	0.032999	2.69202e-05
1A	Single-Family Detached	1940-59	0.306056	0	0	0.225706	0.466039	0.002199	0.00153706
1A	Single-Family Detached	1960-79	0.102545	0	0	0.096368	0.801086	0	0.00199592
1A	Single-Family Detached	1980-99	0.067317	0.011358	0	0.097352	0.823973	0	0.00180359
1A	Single-Family Detached	2000-09	0.063347	0.001689	0	0.063701	0.86599	0.005273	0.00058998
1A	Single-Family Detached	2010s	0.05781	0.007226	0	0.063701	0.86599	0.005273	7.06197e-05
1A	Single-Family Detached	<1940	0.634701	0	0	0.138593	0.19828	0.028426	0.000186368
2A	Mobile Home	1940-59	0	0	0	1	0	0	0.000173782
2A	Mobile Home	1960-79	0	0	0	1	0	0	0.00245124
2A	Mobile Home	1980-99	0	0	0	1	0	0	0.00563741
2A	Mobile Home	2000-09	0	0	0	1	0	0	0.00210506
2A	Mobile Home	2010s	0	0	0	1	0	0	0.000407976
2A	Mobile Home	<1940	0	0	0	1	0	0	3.61493e-05
2A	Multi-Family with 2 - 4 Units	1940-59	0.395271	0	0	0	0.601889	0.002839	0.000606038
2A	Multi-Family with 2 - 4 Units	1960-79	0.113481	0	0	0	0.886519	0	0.00213852
2A	Multi-Family with 2 - 4 Units	1980-99	0.069965	0.017195	0	0	0.91284	0	0.00251938
2A	Multi-Family with 2 - 4 Units	2000-09	0.066012	0.003448	0	0	0.924908	0.005632	0.00100944
2A	Multi-Family with 2 - 4 Units	2010s	0.067475	0.001985	0	0	0.924908	0.005632	0.000258676
2A	Multi-Family with 2 - 4 Units	<1940	0.736819	0	0	0	0.230182	0.032999	0.000420514
2A	Multi-Family with 5+ Units	1940-59	0.395271	0	0	0	0.601889	0.002839	0.0006609
2A	Multi-Family with 5+ Units	1960-79	0.113481	0	0	0	0.886519	0	0.00549437
2A	Multi-Family with 5+ Units	1980-99	0.071902	0.015258	0	0	0.91284	0	0.00784535
2A	Multi-Family with 5+ Units	2000-09	0.066686	0.002774	0	0	0.924908	0.005632	0.00413417
2A	Multi-Family with 5+ Units	2010s	0.065823	0.003637	0	0	0.924908	0.005632	0.00136844
2A	Multi-Family with 5+ Units	<1940	0.736819	0	0	0	0.230182	0.032999	0.000298526
2A	Single-Family Attached	1940-59	0.395271	0	0	0	0.601889	0.002839	0.00026157
2A	Single-Family Attached	1960-79	0.113481	0	0	0	0.886519	0	0.00102001
2A	Single-Family Attached	1980-99	0.069302	0.017858	0	0	0.91284	0	0.00187006
2A	Single-Family Attached	2000-09	0.067393	0.002067	0	0	0.924908	0.005632	0.00120908
2A	Single-Family Attached	2010s	0.067475	0.001985	0	0	0.924908	0.005632	0.000252321
2A	Single-Family Attached	<1940	0.736819	0	0	0	0.230182	0.032999	0.000123897
2A	Single-Family Detached	1940-59	0.306056	0	0	0.225706	0.466039	0.002199	0.00946071
2A	Single-Family Detached	1960-79	0.102545	0	0	0.096368	0.801086	0	0.0186491
2A	Single-Family Detached	1980-99	0.066927	0.011748	0	0.097352	0.823973	0	0.0231625
2A	Single-Family Detached	2000-09	0.061955	0.003081	0	0.063701	0.86599	0.005273	0.0163943
2A	Single-Family Detached	2010s	0.062699	0.002337	0	0.063701	0.86599	0.005273	0.00385111
2A	Single-Family Detached	<1940	0.634701	0	0	0.138593	0.19828	0.028426	0.00284448
2B	Mobile Home	1940-59	0	0	0	1	0	0	3.24776e-05
2B	Mobile Home	1960-79	0	0	0	1	0	0	0.000469435
2B	Mobile Home	1980-99	0	0	0	1	0	0	0.000751421
2B	Mobile Home	2000-09	0	0	0	1	0	0	0.000237485
2B	Mobile Home	2010s	0	0	0	1	0	0	4.97141e-05
2B	Mobile Home	<1940	0	0	0	1	0	0	1.02595e-05
2B	Multi-Family with 2 - 4 Units	1940-59	0.058908	0	0	0	0.941092	0	9.11311e-05
2B	Multi-Family with 2 - 4 Units	1960-79	0.008341	0	0	0	0.983564	0.008095	0.000308708
2B	Multi-Family with 2 - 4 Units	1980-99	0.035024	0.006486	0	0	0.93565	0.02284	0.00038353
2B	Multi-Family with 2 - 4 Units	2000-09	0.036639	0	0	0	0.963361	0	0.000135351
2B	Multi-Family with 2 - 4 Units	2010s	0.036639	0	0	0	0.963361	0	2.51901e-05
2B	Multi-Family with 2 - 4 Units	<1940	0.176843	0	0	0	0.823157	0	2.01142e-05
2B	Multi-Family with 5+ Units	1940-59	0.058908	0	0	0	0.941092	0	0.000141036
2B	Multi-Family with 5+ Units	1960-79	0.008341	0	0	0	0.983564	0.008095	0.000831126
