Dependency=Geometry Attic Type	Dependency=Location Region	Dependency=Vintage	Option=None	Option=Uninsulated	Option=R-7	Option=R-13	Option=R-19	Option=R-30	Option=R-38	Option=R-49	sampling_probability
Vented Attic	CR02	<1940	0	0	0.04	0.14	0.16	0.28	0.13	0.26	0.00816574
Vented Attic	CR02	1940s	0	0	0.04	0.14	0.16	0.28	0.13	0.26	0.0022521
Vented Attic	CR02	1950s	0	0	0.03	0.08	0.14	0.23	0.15	0.36	0.00477045
Vented Attic	CR02	1960s	0	0	0.01	0.04	0.16	0.36	0.09	0.34	0.00393747
Vented Attic	CR02	1970s	0	0	0.01	0.07	0.12	0.22	0.19	0.39	0.00579855
Vented Attic	CR02	1980s	0	0	0	0.01	0.08	0.27	0.4	0.23	0.00387164
Vented Attic	CR02	1990s	0	0	0	0	0.01	0.2	0.26	0.54	0.00521791
Vented Attic	CR02	2000s	0	0	0	0	0.01	0.21	0.25	0.53	0.00549876
Vented Attic	CR02	2010s	0	0	0	0	0.01	0.21	0.25	0.53	0.0011812
Vented Attic	CR03	<1940	0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.00635109
Vented Attic	CR03	1940s	0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.00179114
Vented Attic	CR03	1950s	0	0.03	0.08	0.14	0.23	0.15	0.28	0.08	0.00421744
Vented Attic	CR03	1960s	0	0.01	0.04	0.16	0.36	0.09	0.26	0.08	0.00362583
Vented Attic	CR03	1970s	0	0.01	0.07	0.12	0.22	0.19	0.31	0.08	0.00405609
Vented Attic	CR03	1980s	0	0	0.01	0.08	0.27	0.4	0.22	0.02	0.00421235
Vented Attic	CR03	1990s	0	0	0	0	0.02	0.57	0.39	0.03	0.00328425
Vented Attic	CR03	2000s	0	0	0	0	0.05	0.54	0.32	0.1	0.00306216
Vented Attic	CR03	2010s	0	0	0	0	0.05	0.54	0.32	0.1	0.000587226
Vented Attic	CR04	<1940	0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.0179727
Vented Attic	CR04	1940s	0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.00728304
Vented Attic	CR04	1950s	0	0.03	0.08	0.14	0.23	0.15	0.28	0.08	0.015908
Vented Attic	CR04	1960s	0	0.01	0.04	0.16	0.36	0.09	0.26	0.08	0.0120214
Vented Attic	CR04	1970s	0	0.01	0.07	0.12	0.22	0.19	0.31	0.08	0.0134801
Vented Attic	CR04	1980s	0	0	0.01	0.08	0.27	0.4	0.22	0.02	0.00855159
Vented Attic	CR04	1990s	0	0	0	0	0.02	0.48	0.33	0.17	0.0130669
Vented Attic	CR04	2000s	0	0	0	0	0.02	0.34	0.33	0.31	0.0113039
Vented Attic	CR04	2010s	0	0	0	0	0.02	0.34	0.33	0.31	0.00174774
Vented Attic	CR05	<1940	0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.00252605
