	field	enumeration	enumeration_description
0	in.sqft	317	finished foor area of the housing unit is 317 ft2
1	in.sqft	328	finished foor area of the housing unit is 328 ft2
2	in.sqft	333	finished foor area of the housing unit is 333 ft2
3	in.sqft	617	finished foor area of the housing unit is 617 ft2
4	in.sqft	633	finished foor area of the housing unit is 633 ft2
5	in.sqft	853	finished foor area of the housing unit is 853 ft2
6	in.sqft	866	finished foor area of the housing unit is 866 ft2
7	in.sqft	885	finished foor area of the housing unit is 885 ft2
8	in.sqft	1138	finished foor area of the housing unit is 1138 ft2
9	in.sqft	1202	finished foor area of the housing unit is 1202 ft2
10	in.sqft	1220	finished foor area of the housing unit is 1220 ft2
11	in.sqft	1623	finished foor area of the housing unit is 1623 ft2
12	in.sqft	1675	finished foor area of the housing unit is 1675 ft2
13	in.sqft	1690	finished foor area of the housing unit is 1690 ft2
14	in.sqft	2115	finished foor area of the housing unit is 2115 ft2
15	in.sqft	2152	finished foor area of the housing unit is 2152 ft2
16	in.sqft	2176	finished foor area of the housing unit is 2176 ft2
17	in.sqft	2590	finished foor area of the housing unit is 2590 ft2
18	in.sqft	2631	finished foor area of the housing unit is 2631 ft2
19	in.sqft	2663	finished foor area of the housing unit is 2663 ft2
20	in.sqft	3138	finished foor area of the housing unit is 3138 ft2
21	in.sqft	3241	finished foor area of the housing unit is 3241 ft2
22	in.sqft	3301	finished foor area of the housing unit is 3301 ft2
23	in.sqft	8194	finished foor area of the housing unit is 8194 ft2
24	in.sqft	12291	finished foor area of the housing unit is 12291 ft2
25	in.sqft	13414	finished foor area of the housing unit is 13414 ft2
26	in.ahs_region	CBSA Atlanta-Sandy Springs-Roswell, GA	American Housing Survey region Atlanta-Sandy Springs-Roswell, GA
27	in.ahs_region	CBSA Boston-Cambridge-Newton, MA-NH	American Housing Survey region Boston-Cambridge-Newton, MA-NH
28	in.ahs_region	CBSA Chicago-Naperville-Elgin, IL-IN-WI	American Housing Survey region Chicago-Naperville-Elgin, IL-IN-WI
29	in.ahs_region	CBSA Dallas-Fort Worth-Arlington, TX	American Housing Survey region Dallas-Fort Worth-Arlington, TX
30	in.ahs_region	CBSA Detroit-Warren-Dearborn, MI	American Housing Survey region Detroit-Warren-Dearborn, MI
31	in.ahs_region	CBSA Houston-The Woodlands-Sugar Land, TX	American Housing Survey region Houston-The Woodlands-Sugar Land, TX
32	in.ahs_region	CBSA Los Angeles-Long Beach-Anaheim, CA	American Housing Survey region Los Angeles-Long Beach-Anaheim, CA
33	in.ahs_region	CBSA Miami-Fort Lauderdale-West Palm Beach, FL	American Housing Survey region Miami-Fort Lauderdale-West Palm Beach, FL
34	in.ahs_region	CBSA New York-Newark-Jersey City, NY-NJ-PA	American Housing Survey region New York-Newark-Jersey City, NY-NJ-PA
35	in.ahs_region	CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	American Housing Survey region Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
36	in.ahs_region	CBSA Phoenix-Mesa-Scottsdale, AZ	American Housing Survey region Phoenix-Mesa-Scottsdale, AZ
37	in.ahs_region	CBSA Riverside-San Bernardino-Ontario, CA	American Housing Survey region Riverside-San Bernardino-Ontario, CA
38	in.ahs_region	CBSA San Francisco-Oakland-Hayward, CA	American Housing Survey region San Francisco-Oakland-Hayward, CA
39	in.ahs_region	CBSA Seattle-Tacoma-Bellevue, WA	American Housing Survey region Seattle-Tacoma-Bellevue, WA
40	in.ahs_region	CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV	American Housing Survey region Washington-Arlington-Alexandria, DC-VA-MD-WV
41	in.ahs_region	Non-CBSA East North Central	American Housing Survey region East North Central
42	in.ahs_region	Non-CBSA East South Central	American Housing Survey region East South Central
43	in.ahs_region	Non-CBSA Middle Atlantic	American Housing Survey region Middle Atlantic
44	in.ahs_region	Non-CBSA Mountain	American Housing Survey region Mountain
45	in.ahs_region	Non-CBSA New England	American Housing Survey region New England
46	in.ahs_region	Non-CBSA Pacific	American Housing Survey region Pacific
47	in.ahs_region	Non-CBSA South Atlantic	American Housing Survey region South Atlantic
48	in.ahs_region	Non-CBSA West North Central	American Housing Survey region West North Central
49	in.ahs_region	Non-CBSA West South Central	American Housing Survey region West South Central
50	in.ashrae_iecc_climate_zone_2004	1A	IECC Climate Zone 1A
51	in.ashrae_iecc_climate_zone_2004	2A	IECC Climate Zone 2A
52	in.ashrae_iecc_climate_zone_2004	2B	IECC Climate Zone 2B
53	in.ashrae_iecc_climate_zone_2004	3A	IECC Climate Zone 3A
54	in.ashrae_iecc_climate_zone_2004	3B	IECC Climate Zone 3B
55	in.ashrae_iecc_climate_zone_2004	3C	IECC Climate Zone 3C
56	in.ashrae_iecc_climate_zone_2004	4A	IECC Climate Zone 4A
57	in.ashrae_iecc_climate_zone_2004	4B	IECC Climate Zone 4B
58	in.ashrae_iecc_climate_zone_2004	4C	IECC Climate Zone 4C
59	in.ashrae_iecc_climate_zone_2004	5A	IECC Climate Zone 5A
60	in.ashrae_iecc_climate_zone_2004	5B	IECC Climate Zone 5B
61	in.ashrae_iecc_climate_zone_2004	6A	IECC Climate Zone 6A
62	in.ashrae_iecc_climate_zone_2004	6B	IECC Climate Zone 6B
63	in.ashrae_iecc_climate_zone_2004	7A	IECC Climate Zone 7A
64	in.ashrae_iecc_climate_zone_2004	7B	IECC Climate Zone 7B
65	in.ashrae_iecc_climate_zone_2004_2_a_split	1A	IECC Climate Zone 1A
66	in.ashrae_iecc_climate_zone_2004_2_a_split	2A - FL, GA, AL, MS	IECC Climate Zone 2A - representing only Florida, Georgia, Alabama, and Mississippi
67	in.ashrae_iecc_climate_zone_2004_2_a_split	2A - TX, LA	IECC Climate Zone 2A - representing only Texas and Louisiana
68	in.ashrae_iecc_climate_zone_2004_2_a_split	2B	IECC Climate Zone 2B
69	in.ashrae_iecc_climate_zone_2004_2_a_split	3A	IECC Climate Zone 3A
70	in.ashrae_iecc_climate_zone_2004_2_a_split	3B	IECC Climate Zone 3B
71	in.ashrae_iecc_climate_zone_2004_2_a_split	3C	IECC Climate Zone 3C
72	in.ashrae_iecc_climate_zone_2004_2_a_split	4A	IECC Climate Zone 4A
73	in.ashrae_iecc_climate_zone_2004_2_a_split	4B	IECC Climate Zone 4B
74	in.ashrae_iecc_climate_zone_2004_2_a_split	4C	IECC Climate Zone 4C
75	in.ashrae_iecc_climate_zone_2004_2_a_split	5A	IECC Climate Zone 5A
76	in.ashrae_iecc_climate_zone_2004_2_a_split	5B	IECC Climate Zone 5B
77	in.ashrae_iecc_climate_zone_2004_2_a_split	6A	IECC Climate Zone 6A
78	in.ashrae_iecc_climate_zone_2004_2_a_split	6B	IECC Climate Zone 6B
79	in.ashrae_iecc_climate_zone_2004_2_a_split	7A	IECC Climate Zone 7A
80	in.ashrae_iecc_climate_zone_2004_2_a_split	7B	IECC Climate Zone 7B
81	in.bathroom_spot_vent_hour	Hour0	Bathroom spot ventilation occurs at hour 0, and lasts for 1 hour
82	in.bathroom_spot_vent_hour	Hour1	Bathroom spot ventilation occurs at hour 1, and lasts for 1 hour
83	in.bathroom_spot_vent_hour	Hour10	Bathroom spot ventilation occurs at hour 10, and lasts for 1 hour
84	in.bathroom_spot_vent_hour	Hour11	Bathroom spot ventilation occurs at hour 11, and lasts for 1 hour
85	in.bathroom_spot_vent_hour	Hour12	Bathroom spot ventilation occurs at hour 12, and lasts for 1 hour
86	in.bathroom_spot_vent_hour	Hour13	Bathroom spot ventilation occurs at hour 13, and lasts for 1 hour
87	in.bathroom_spot_vent_hour	Hour14	Bathroom spot ventilation occurs at hour 14, and lasts for 1 hour
88	in.bathroom_spot_vent_hour	Hour15	Bathroom spot ventilation occurs at hour 15, and lasts for 1 hour
89	in.bathroom_spot_vent_hour	Hour16	Bathroom spot ventilation occurs at hour 16, and lasts for 1 hour
90	in.bathroom_spot_vent_hour	Hour17	Bathroom spot ventilation occurs at hour 17, and lasts for 1 hour
91	in.bathroom_spot_vent_hour	Hour18	Bathroom spot ventilation occurs at hour 18, and lasts for 1 hour
92	in.bathroom_spot_vent_hour	Hour19	Bathroom spot ventilation occurs at hour 19, and lasts for 1 hour
93	in.bathroom_spot_vent_hour	Hour2	Bathroom spot ventilation occurs at hour 2, and lasts for 1 hour
94	in.bathroom_spot_vent_hour	Hour20	Bathroom spot ventilation occurs at hour 20, and lasts for 1 hour
95	in.bathroom_spot_vent_hour	Hour21	Bathroom spot ventilation occurs at hour 21, and lasts for 1 hour
96	in.bathroom_spot_vent_hour	Hour22	Bathroom spot ventilation occurs at hour 22, and lasts for 1 hour
97	in.bathroom_spot_vent_hour	Hour23	Bathroom spot ventilation occurs at hour 23, and lasts for 1 hour
98	in.bathroom_spot_vent_hour	Hour3	Bathroom spot ventilation occurs at hour 3, and lasts for 1 hour
99	in.bathroom_spot_vent_hour	Hour4	Bathroom spot ventilation occurs at hour 4, and lasts for 1 hour
100	in.bathroom_spot_vent_hour	Hour5	Bathroom spot ventilation occurs at hour 5, and lasts for 1 hour
101	in.bathroom_spot_vent_hour	Hour6	Bathroom spot ventilation occurs at hour 6, and lasts for 1 hour
102	in.bathroom_spot_vent_hour	Hour7	Bathroom spot ventilation occurs at hour 7, and lasts for 1 hour
103	in.bathroom_spot_vent_hour	Hour8	Bathroom spot ventilation occurs at hour 8, and lasts for 1 hour
104	in.bathroom_spot_vent_hour	Hour9	Bathroom spot ventilation occurs at hour 9, and lasts for 1 hour
105	in.bedrooms	1	1 bedroom in housing unit
106	in.bedrooms	2	2 bedroom in housing unit
107	in.bedrooms	3	3 bedroom in housing unit
108	in.bedrooms	4	4 bedroom in housing unit
109	in.bedrooms	5	5 bedroom in housing unit
110	in.building_america_climate_zone	Cold	Building America climate zone Cold
111	in.building_america_climate_zone	Hot-Dry	Building America climate zone Hot-Dry
112	in.building_america_climate_zone	Hot-Humid	Building America climate zone Hot-Humid
113	in.building_america_climate_zone	Marine	Building America climate zone Marine
114	in.building_america_climate_zone	Mixed-Dry	Building America climate zone Mixed-Dry
115	in.building_america_climate_zone	Mixed-Humid	Building America climate zone Mixed-Humid
116	in.building_america_climate_zone	Very Cold	Building America climate zone Very Cold
117	in.cec_climate_zone	1	California Energy Code climate zone 1
118	in.cec_climate_zone	10	California Energy Code climate zone 10
119	in.cec_climate_zone	11	California Energy Code climate zone 11
120	in.cec_climate_zone	12	California Energy Code climate zone 12
121	in.cec_climate_zone	13	California Energy Code climate zone 13
122	in.cec_climate_zone	14	California Energy Code climate zone 14
123	in.cec_climate_zone	15	California Energy Code climate zone 15
124	in.cec_climate_zone	16	California Energy Code climate zone 16
125	in.cec_climate_zone	2	California Energy Code climate zone 2
126	in.cec_climate_zone	3	California Energy Code climate zone 3
127	in.cec_climate_zone	4	California Energy Code climate zone 4
128	in.cec_climate_zone	5	California Energy Code climate zone 5
129	in.cec_climate_zone	6	California Energy Code climate zone 6
130	in.cec_climate_zone	7	California Energy Code climate zone 7
131	in.cec_climate_zone	8	California Energy Code climate zone 8
132	in.cec_climate_zone	9	California Energy Code climate zone 9
133	in.cec_climate_zone	None	No California Energy Code climate zone
134	in.ceiling_fan	None	No ceiling fan
135	in.ceiling_fan	Standard Efficiency	42.6 W power consumption per fan at medium speed
136	in.ceiling_fan	Standard Efficiency, No usage	Standard efficiency fan applied but not used
137	in.census_division	East North Central	East North Central 2010 U.S. Census Division
138	in.census_division	East South Central	East South Central 2010 U.S. Census Division
139	in.census_division	Middle Atlantic	Middle Atlantic 2010 U.S. Census Division
140	in.census_division	Mountain	Mountain 2010 U.S. Census Division
141	in.census_division	New England	New England 2010 U.S. Census Division
142	in.census_division	Pacific	Pacific 2010 U.S. Census Division
143	in.census_division	South Atlantic	South Atlantic 2010 U.S. Census Division
144	in.census_division	West North Central	West North Central 2010 U.S. Census Division
145	in.census_division	West South Central	West South Central 2010 U.S. Census Division
146	in.census_division_recs	East North Central	East North Central 2010 U.S. Census Division
147	in.census_division_recs	East South Central	East South Central 2010 U.S. Census Division
148	in.census_division_recs	Middle Atlantic	Middle Atlantic 2010 U.S. Census Division
149	in.census_division_recs	Mountain North	Mountain North 2010 U.S. Census Division
150	in.census_division_recs	Mountain South	Mountain South 2010 U.S. Census Division
151	in.census_division_recs	New England	New England 2010 U.S. Census Division
152	in.census_division_recs	Pacific	Pacific 2010 U.S. Census Division
153	in.census_division_recs	South Atlantic	South Atlantic 2010 U.S. Census Division
154	in.census_division_recs	West North Central	West North Central 2010 U.S. Census Division
155	in.census_division_recs	West South Central	West South Central 2010 U.S. Census Division
156	in.census_region	Midwest	Midwest 2010 U.S. Census Division
157	in.census_region	Northeast	Northeast 2010 U.S. Census Division
158	in.census_region	South	South 2010 U.S. Census Division
159	in.census_region	West	West 2010 U.S. Census Division
160	in.city	AL, Auburn	
161	in.city	AL, Birmingham	
162	in.city	AL, Decatur	
163	in.city	AL, Dothan	
164	in.city	AL, Florence	
165	in.city	AL, Gadsden	
166	in.city	AL, Hoover	
167	in.city	AL, Huntsville	
168	in.city	AL, Madison	
169	in.city	AL, Mobile	
170	in.city	AL, Montgomery	
171	in.city	AL, Phenix City	
172	in.city	AL, Tuscaloosa	
173	in.city	AR, Bentonville	
174	in.city	AR, Conway	
175	in.city	AR, Fayetteville	
176	in.city	AR, Fort Smith	
177	in.city	AR, Hot Springs	
178	in.city	AR, Jonesboro	
179	in.city	AR, Little Rock	
180	in.city	AR, North Little Rock	
181	in.city	AR, Pine Bluff	
182	in.city	AR, Rogers	
183	in.city	AR, Springdale	
184	in.city	AZ, Apache Junction	
185	in.city	AZ, Avondale	
186	in.city	AZ, Buckeye	
187	in.city	AZ, Bullhead City	
188	in.city	AZ, Casa Grande	
189	in.city	AZ, Casas Adobes	
190	in.city	AZ, Catalina Foothills	
191	in.city	AZ, Chandler	
192	in.city	AZ, Flagstaff	
193	in.city	AZ, Fortuna Foothills	
194	in.city	AZ, Gilbert	
195	in.city	AZ, Glendale	
196	in.city	AZ, Goodyear	
197	in.city	AZ, Green Valley	
198	in.city	AZ, Lake Havasu City	
199	in.city	AZ, Marana	
200	in.city	AZ, Maricopa	
201	in.city	AZ, Mesa	
202	in.city	AZ, Oro Valley	
203	in.city	AZ, Peoria	
204	in.city	AZ, Phoenix	
205	in.city	AZ, Prescott	
206	in.city	AZ, Prescott Valley	
207	in.city	AZ, San Tan Valley	
208	in.city	AZ, Scottsdale	
209	in.city	AZ, Sierra Vista	
210	in.city	AZ, Sun City	
211	in.city	AZ, Sun City West	
212	in.city	AZ, Surprise	
213	in.city	AZ, Tempe	
214	in.city	AZ, Tucson	
215	in.city	AZ, Yuma	
216	in.city	CA, Alameda	
217	in.city	CA, Alhambra	
218	in.city	CA, Aliso Viejo	
219	in.city	CA, Altadena	
220	in.city	CA, Anaheim	
221	in.city	CA, Antioch	
222	in.city	CA, Apple Valley	
223	in.city	CA, Arcadia	
224	in.city	CA, Arden-Arcade	
225	in.city	CA, Bakersfield	
226	in.city	CA, Baldwin Park	
227	in.city	CA, Bellflower	
228	in.city	CA, Berkeley	
229	in.city	CA, Beverly Hills	
230	in.city	CA, Brea	
231	in.city	CA, Brentwood	
232	in.city	CA, Buena Park	
233	in.city	CA, Burbank	
234	in.city	CA, Camarillo	
235	in.city	CA, Campbell	
236	in.city	CA, Carlsbad	
237	in.city	CA, Carmichael	
238	in.city	CA, Carson	
239	in.city	CA, Castro Valley	
240	in.city	CA, Cathedral City	
241	in.city	CA, Cerritos	
242	in.city	CA, Chico	
243	in.city	CA, Chino	
244	in.city	CA, Chino Hills	
245	in.city	CA, Chula Vista	
246	in.city	CA, Citrus Heights	
247	in.city	CA, Clovis	
248	in.city	CA, Colton	
249	in.city	CA, Compton	
250	in.city	CA, Concord	
251	in.city	CA, Corona	
252	in.city	CA, Costa Mesa	
253	in.city	CA, Covina	
254	in.city	CA, Culver City	
255	in.city	CA, Cupertino	
256	in.city	CA, Cypress	
257	in.city	CA, Daly City	
258	in.city	CA, Dana Point	
259	in.city	CA, Danville	
260	in.city	CA, Davis	
261	in.city	CA, Diamond Bar	
262	in.city	CA, Downey	
263	in.city	CA, Dublin	
264	in.city	CA, East Los Angeles	
265	in.city	CA, El Cajon	
266	in.city	CA, El Dorado Hills	
267	in.city	CA, El Monte	
268	in.city	CA, Elk Grove	
269	in.city	CA, Encinitas	
270	in.city	CA, Escondido	
271	in.city	CA, Fairfield	
272	in.city	CA, Florence-Graham	
273	in.city	CA, Florin	
274	in.city	CA, Folsom	
275	in.city	CA, Fontana	
276	in.city	CA, Fountain Valley	
277	in.city	CA, Fremont	
278	in.city	CA, Fresno	
279	in.city	CA, Fullerton	
280	in.city	CA, Garden Grove	
281	in.city	CA, Gardena	
282	in.city	CA, Gilroy	
283	in.city	CA, Glendale	
284	in.city	CA, Glendora	
285	in.city	CA, Hacienda Heights	
286	in.city	CA, Hanford	
287	in.city	CA, Hawthorne	
288	in.city	CA, Hayward	
289	in.city	CA, Hemet	
290	in.city	CA, Hesperia	
291	in.city	CA, Highland	
292	in.city	CA, Huntington Beach	
293	in.city	CA, Huntington Park	
294	in.city	CA, Indio	
295	in.city	CA, Inglewood	
296	in.city	CA, Irvine	
297	in.city	CA, La Habra	
298	in.city	CA, La Mesa	
299	in.city	CA, La Quinta	
300	in.city	CA, Laguna Niguel	
301	in.city	CA, Lake Elsinore	
302	in.city	CA, Lake Forest	
303	in.city	CA, Lakewood	
304	in.city	CA, Lancaster	
305	in.city	CA, Lincoln	
306	in.city	CA, Livermore	
307	in.city	CA, Lodi	
308	in.city	CA, Long Beach	
309	in.city	CA, Los Angeles	
310	in.city	CA, Lynwood	
311	in.city	CA, Madera	
312	in.city	CA, Manhattan Beach	
313	in.city	CA, Manteca	
314	in.city	CA, Martinez	
315	in.city	CA, Menifee	
316	in.city	CA, Merced	
317	in.city	CA, Milpitas	
318	in.city	CA, Mission Viejo	
319	in.city	CA, Modesto	
320	in.city	CA, Montebello	
321	in.city	CA, Monterey Park	
322	in.city	CA, Moreno Valley	
323	in.city	CA, Mountain View	
324	in.city	CA, Murrieta	
325	in.city	CA, Napa	
326	in.city	CA, National City	
327	in.city	CA, Newport Beach	
328	in.city	CA, North Highlands	
329	in.city	CA, Norwalk	
330	in.city	CA, Novato	
331	in.city	CA, Oakland	
332	in.city	CA, Oceanside	
333	in.city	CA, Ontario	
334	in.city	CA, Orange	
335	in.city	CA, Oxnard	
336	in.city	CA, Palm Desert	
337	in.city	CA, Palm Springs	
338	in.city	CA, Palmdale	
339	in.city	CA, Palo Alto	
340	in.city	CA, Pasadena	
341	in.city	CA, Perris	
342	in.city	CA, Petaluma	
343	in.city	CA, Pico Rivera	
344	in.city	CA, Pittsburg	
345	in.city	CA, Placentia	
346	in.city	CA, Pleasanton	
347	in.city	CA, Pomona	
348	in.city	CA, Porterville	
349	in.city	CA, Poway	
350	in.city	CA, Rancho Cordova	
351	in.city	CA, Rancho Cucamonga	
352	in.city	CA, Rancho Palos Verdes	
353	in.city	CA, Rancho Santa Margarita	
354	in.city	CA, Redding	
355	in.city	CA, Redlands	
356	in.city	CA, Redondo Beach	
357	in.city	CA, Redwood City	
358	in.city	CA, Rialto	
359	in.city	CA, Richmond	
360	in.city	CA, Riverside	
361	in.city	CA, Rocklin	
362	in.city	CA, Rohnert Park	
363	in.city	CA, Rosemead	
364	in.city	CA, Roseville	
365	in.city	CA, Rowland Heights	
366	in.city	CA, Sacramento	
367	in.city	CA, Salinas	
368	in.city	CA, San Bernardino	
369	in.city	CA, San Bruno	
370	in.city	CA, San Buenaventura Ventura	
371	in.city	CA, San Clemente	
372	in.city	CA, San Diego	
373	in.city	CA, San Francisco	
374	in.city	CA, San Jose	
375	in.city	CA, San Leandro	
376	in.city	CA, San Luis Obispo	
377	in.city	CA, San Marcos	
378	in.city	CA, San Mateo	
379	in.city	CA, San Rafael	
380	in.city	CA, San Ramon	
381	in.city	CA, Santa Ana	
382	in.city	CA, Santa Barbara	
383	in.city	CA, Santa Clara	
384	in.city	CA, Santa Clarita	
385	in.city	CA, Santa Cruz	
386	in.city	CA, Santa Maria	
387	in.city	CA, Santa Monica	
388	in.city	CA, Santa Rosa	
389	in.city	CA, Santee	
390	in.city	CA, Simi Valley	
391	in.city	CA, South Gate	
392	in.city	CA, South Lake Tahoe	
393	in.city	CA, South San Francisco	
394	in.city	CA, South Whittier	
395	in.city	CA, Stockton	
396	in.city	CA, Sunnyvale	
397	in.city	CA, Temecula	
398	in.city	CA, Thousand Oaks	
399	in.city	CA, Torrance	
400	in.city	CA, Tracy	
401	in.city	CA, Tulare	
402	in.city	CA, Turlock	
403	in.city	CA, Tustin	
404	in.city	CA, Union City	
405	in.city	CA, Upland	
406	in.city	CA, Vacaville	
407	in.city	CA, Vallejo	
408	in.city	CA, Victorville	
409	in.city	CA, Visalia	
410	in.city	CA, Vista	
411	in.city	CA, Walnut Creek	
412	in.city	CA, West Covina	
413	in.city	CA, West Hollywood	
414	in.city	CA, West Sacramento	
415	in.city	CA, Westminster	
416	in.city	CA, Whittier	
417	in.city	CA, Woodland	
418	in.city	CA, Yorba Linda	
419	in.city	CA, Yuba City	
420	in.city	CA, Yucaipa	
421	in.city	CO, Arvada	
422	in.city	CO, Aurora	
423	in.city	CO, Boulder	
424	in.city	CO, Broomfield	
425	in.city	CO, Castle Rock	
426	in.city	CO, Centennial	
427	in.city	CO, Colorado Springs	
428	in.city	CO, Commerce City	
429	in.city	CO, Denver	
430	in.city	CO, Englewood	
431	in.city	CO, Fort Collins	
432	in.city	CO, Grand Junction	
433	in.city	CO, Greeley	
434	in.city	CO, Highlands Ranch	
435	in.city	CO, Lakewood	
436	in.city	CO, Littleton	
437	in.city	CO, Longmont	
438	in.city	CO, Loveland	
439	in.city	CO, Parker	
440	in.city	CO, Pueblo	
441	in.city	CO, Thornton	
442	in.city	CO, Westminster	
443	in.city	CT, Bridgeport	
444	in.city	CT, Bristol	
445	in.city	CT, Danbury	
446	in.city	CT, East Hartford	
447	in.city	CT, Hartford	
448	in.city	CT, Meriden	
449	in.city	CT, Middletown	
450	in.city	CT, Milford City Balance	
451	in.city	CT, New Britain	
452	in.city	CT, New Haven	
453	in.city	CT, Norwalk	
454	in.city	CT, Norwich	
455	in.city	CT, Shelton	
456	in.city	CT, Stamford	
457	in.city	CT, Stratford	
458	in.city	CT, Torrington	
