field_location	field_name	data_type	units	field_description	allowable_enumerations_baseline
metadata	in.sqft	float	sqft	Finished floor area of the housing unit from within bin used for modeling purposes	317.0|328.0|333.0|617.0|633.0|853.0|866.0|885.0|1138.0|1202.0|1220.0|1623.0|1675.0|1690.0|2115.0|2152.0|2176.0|2590.0|2631.0|2663.0|3138.0|3241.0|3301.0|8194.0|12291.0|13414.0
metadata	in.ahs_region	string	n/a	American Housing Survey region	CBSA Atlanta-Sandy Springs-Roswell, GA|CBSA Boston-Cambridge-Newton, MA-NH|CBSA Chicago-Naperville-Elgin, IL-IN-WI|CBSA Dallas-Fort Worth-Arlington, TX|CBSA Detroit-Warren-Dearborn, MI|CBSA Houston-The Woodlands-Sugar Land, TX|CBSA Los Angeles-Long Beach-Anaheim, CA|CBSA Miami-Fort Lauderdale-West Palm Beach, FL|CBSA New York-Newark-Jersey City, NY-NJ-PA|CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD|CBSA Phoenix-Mesa-Scottsdale, AZ|CBSA Riverside-San Bernardino-Ontario, CA|CBSA San Francisco-Oakland-Hayward, CA|CBSA Seattle-Tacoma-Bellevue, WA|CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV|Non-CBSA East North Central|Non-CBSA East South Central|Non-CBSA Middle Atlantic|Non-CBSA Mountain|Non-CBSA New England|Non-CBSA Pacific|Non-CBSA South Atlantic|Non-CBSA West North Central|Non-CBSA West South Central
metadata	in.ashrae_iecc_climate_zone_2004	string	n/a	IECC climate zone	1A|2A|2B|3A|3B|3C|4A|4B|4C|5A|5B|6A|6B|7A|7B
metadata	in.ashrae_iecc_climate_zone_2004_2_a_split	string	n/a	IECC climate zone with split region 2A	1A|2A - FL, GA, AL, MS|2A - TX, LA|2B|3A|3B|3C|4A|4B|4C|5A|5B|6A|6B|7A|7B
metadata	in.bathroom_spot_vent_hour	string	n/a	Bathroom spot ventilation daily start hour	Hour0|Hour1|Hour10|Hour11|Hour12|Hour13|Hour14|Hour15|Hour16|Hour17|Hour18|Hour19|Hour2|Hour20|Hour21|Hour22|Hour23|Hour3|Hour4|Hour5|Hour6|Hour7|Hour8|Hour9
metadata	in.bedrooms	integer	n/a	Number of bedrooms	1|2|3|4|5
metadata	in.building_america_climate_zone	string	n/a	Building America climate zone	Cold|Hot-Dry|Hot-Humid|Marine|Mixed-Dry|Mixed-Humid|Very Cold
metadata	in.cec_climate_zone	string	n/a	California Energy Code climate zone	1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9|None
metadata	in.ceiling_fan	string	n/a	Presence and energy usage of ceiling fans at medium speed	None|Standard Efficiency|Standard Efficiency, No usage
metadata	in.census_division	string	n/a	2010 U.S. Census Division	East North Central|East South Central|Middle Atlantic|Mountain|New England|Pacific|South Atlantic|West North Central|West South Central
metadata	in.census_division_recs	string	n/a	Census Division as used in RECS 2015	East North Central|East South Central|Middle Atlantic|Mountain North|Mountain South|New England|Pacific|South Atlantic|West North Central|West South Central
metadata	in.census_region	string	n/a	2010 U.S. Census Region	Midwest|Northeast|South|West
