Dependency=Location Region	Dependency=Federal Poverty Level	kwhel_nrm	Count	Weight	kwhel_nrm_per_home	kwhel_nrm_total
CR01	150-200	85011.5641469	3	34336.856964	28337.188049	973009972.8
CR01	250-300	14577.0287287	1	13046.40491	14577.0287287	190177819.18
CR01	0-50	11104.0178958	1	11795.05168	11104.0178958	130972464.937
CR01	300+	207145.890137	15	133933.197855	13809.7260091	1849580765.9
CR01	50-100	3524.06775678	1	9007.728757	3524.06775678	31743846.4743
CR02	100-150	385233.294848	40	259554.663779	9630.83237121	2499727458.02
CR02	150-200	642326.181845	57	354243.426548	11268.8803832	3991926800.32
CR02	250-300	1108035.68059	99	644497.607567	11192.279602	7213397426.68
CR02	0-50	137874.234866	14	89383.130156	9848.15963327	880259334.298
CR02	200-250	547931.779015	48	279103.303916	11415.2453962	3186032705.08
CR02	300+	5199660.82338	407	2530399.00624	12775.5794186	32327313465.1
CR02	50-100	241158.697607	22	153438.439024	10961.7589822	1681955187.18
CR03	100-150	127128.355828	18	113734.891073	7062.68643486	803273872.352
CR03	150-200	351972.510454	46	265735.214586	7651.57631421	2033293273.78
CR03	250-300	412387.409076	47	297621.017114	8774.20019311	2611386385.84
CR03	0-50	117751.925519	8	42004.550465	14718.9906899	618264587.226
CR03	200-250	184574.555953	24	131590.398066	7690.60649804	1012009970.45
CR03	300+	3859525.68765	384	2188621.06278	10050.8481449	21997497948.8
CR03	50-100	65178.5711167	8	49810.802186	8147.32138958	405824614.082
CR04	100-150	579490.398515	57	970235.272717	10166.4982196	9863895172.63
CR04	150-200	620154.739074	51	794217.56397	12159.8968446	9657603650.03
CR04	250-300	792027.481776	77	1235428.87999	10286.0711919	12707709412.1
CR04	0-50	408850.834035	31	476504.65642	13188.7365818	6284494393.52
CR04	200-250	596260.233415	60	957492.32415	9937.67055692	9515243278.18
CR04	300+	4434451.31257	344	5597949.80379	12890.8468389	72162313532.4
CR04	50-100	489678.24512	46	670913.300309	10645.1792417	7141992337.45
CR05	100-150	158543.201246	16	187248.433866	9908.95007786	1855435383.34
CR05	150-200	278354.981467	26	352061.643028	10705.9608256	3769158158.47
CR05	250-300	287068.253279	33	331332.081518	8699.03797814	2882270360.5
CR05	0-50	30583.3134583	3	84160.81407	10194.4378194	857972185.87
CR05	200-250	303615.516392	35	321089.319676	8674.72903977	2785362845.75
CR05	300+	1958474.12629	177	1379691.12728	11064.8255723	15266041667.0
CR05	50-100	106472.274106	10	145586.152011	10647.2274106	1550088868.29
CR06	100-150	400487.224527	27	272233.19077	14832.8601677	4037996851.69
CR06	150-200	224600.412374	17	165743.209235	13211.7889632	2189764302.49
CR06	250-300	259556.988596	16	176083.940704	16222.3117873	2856488586.83
CR06	0-50	105902.505899	6	74989.726375	17650.4176498	1323599989.96
CR06	200-250	189609.857094	12	109692.566103	15800.8214245	1733232648.59
CR06	300+	1994778.46208	137	1424904.53863	14560.4267305	20747218132.6
CR06	50-100	163777.526252	11	106080.704403	14888.8660229	1579421395.47
CR07	100-150	305344.042199	36	391620.039414	8481.77894996	3321634606.68
CR07	150-200	451774.841424	54	630566.18926	8366.20076712	5275443336.31
CR07	250-300	696377.680918	65	853550.587414	10713.5027834	9144516594.0
CR07	0-50	226261.896204	23	244506.806721	9837.47374802	2405329292.33
CR07	200-250	474103.186121	52	654380.966605	9117.36896386	5966232715.47
CR07	300+	4398309.89108	406	4799086.22645	10833.2755938	51989823689.5
CR07	50-100	140815.272166	18	190197.607696	7823.07067587	1487929327.39
CR08	100-150	1261429.02672	87	702388.648732	14499.1842152	10184062408.6
