Dependency=Location EPW	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane
0909107_United_States_AL_Jefferson_01073_722280_33.57_-86.74_NSRDB_2.0.1_2012_AMY.epw	<1950	0.28	0.0	0.43	0.0	0.06	0.23
0909107_United_States_AL_Jefferson_01073_722280_33.57_-86.74_NSRDB_2.0.1_2012_AMY.epw	1950s	0.22	0.0	0.66	0.0	0.1	0.03
0909107_United_States_AL_Jefferson_01073_722280_33.57_-86.74_NSRDB_2.0.1_2012_AMY.epw	1960s	0.31	0.0	0.53	0.0	0.08	0.09
0909107_United_States_AL_Jefferson_01073_722280_33.57_-86.74_NSRDB_2.0.1_2012_AMY.epw	1970s	0.54	0.0	0.23	0.0	0.04	0.18
0909107_United_States_AL_Jefferson_01073_722280_33.57_-86.74_NSRDB_2.0.1_2012_AMY.epw	1980s	0.5	0.0	0.26	0.0	0.1	0.14
0909107_United_States_AL_Jefferson_01073_722280_33.57_-86.74_NSRDB_2.0.1_2012_AMY.epw	1990s	0.63	0.0	0.22	0.0	0.03	0.12
0909107_United_States_AL_Jefferson_01073_722280_33.57_-86.74_NSRDB_2.0.1_2012_AMY.epw	2000s	0.55	0.0	0.29	0.0	0.05	0.11
0908125_United_States_AL_Madison_01089_723230_34.65_-86.78_NSRDB_2.0.1_2012_AMY.epw	<1950	0.28	0.0	0.43	0.0	0.06	0.23
0908125_United_States_AL_Madison_01089_723230_34.65_-86.78_NSRDB_2.0.1_2012_AMY.epw	1950s	0.22	0.0	0.66	0.0	0.1	0.03
0908125_United_States_AL_Madison_01089_723230_34.65_-86.78_NSRDB_2.0.1_2012_AMY.epw	1960s	0.31	0.0	0.53	0.0	0.08	0.09
0908125_United_States_AL_Madison_01089_723230_34.65_-86.78_NSRDB_2.0.1_2012_AMY.epw	1970s	0.54	0.0	0.23	0.0	0.04	0.18
0908125_United_States_AL_Madison_01089_723230_34.65_-86.78_NSRDB_2.0.1_2012_AMY.epw	1980s	0.5	0.0	0.26	0.0	0.1	0.14
0908125_United_States_AL_Madison_01089_723230_34.65_-86.78_NSRDB_2.0.1_2012_AMY.epw	1990s	0.63	0.0	0.22	0.0	0.03	0.12
0908125_United_States_AL_Madison_01089_723230_34.65_-86.78_NSRDB_2.0.1_2012_AMY.epw	2000s	0.55	0.0	0.29	0.0	0.05	0.11
0876146_United_States_AL_Mobile_01097_722230_30.69_-88.26_NSRDB_2.0.1_2012_AMY.epw	<1950	0.28	0.0	0.43	0.0	0.06	0.23
0876146_United_States_AL_Mobile_01097_722230_30.69_-88.26_NSRDB_2.0.1_2012_AMY.epw	1950s	0.22	0.0	0.66	0.0	0.1	0.03
0876146_United_States_AL_Mobile_01097_722230_30.69_-88.26_NSRDB_2.0.1_2012_AMY.epw	1960s	0.31	0.0	0.53	0.0	0.08	0.09
0876146_United_States_AL_Mobile_01097_722230_30.69_-88.26_NSRDB_2.0.1_2012_AMY.epw	1970s	0.54	0.0	0.23	0.0	0.04	0.18
0876146_United_States_AL_Mobile_01097_722230_30.69_-88.26_NSRDB_2.0.1_2012_AMY.epw	1980s	0.5	0.0	0.26	0.0	0.1	0.14
0876146_United_States_AL_Mobile_01097_722230_30.69_-88.26_NSRDB_2.0.1_2012_AMY.epw	1990s	0.63	0.0	0.22	0.0	0.03	0.12
0876146_United_States_AL_Mobile_01097_722230_30.69_-88.26_NSRDB_2.0.1_2012_AMY.epw	2000s	0.55	0.0	0.29	0.0	0.05	0.11
0915204_United_States_AL_Montgomery_01101_722260_32.29_-86.42_NSRDB_2.0.1_2012_AMY.epw	<1950	0.28	0.0	0.43	0.0	0.06	0.23
0915204_United_States_AL_Montgomery_01101_722260_32.29_-86.42_NSRDB_2.0.1_2012_AMY.epw	1950s	0.22	0.0	0.66	0.0	0.1	0.03
0915204_United_States_AL_Montgomery_01101_722260_32.29_-86.42_NSRDB_2.0.1_2012_AMY.epw	1960s	0.31	0.0	0.53	0.0	0.08	0.09
0915204_United_States_AL_Montgomery_01101_722260_32.29_-86.42_NSRDB_2.0.1_2012_AMY.epw	1970s	0.54	0.0	0.23	0.0	0.04	0.18
0915204_United_States_AL_Montgomery_01101_722260_32.29_-86.42_NSRDB_2.0.1_2012_AMY.epw	1980s	0.5	0.0	0.26	0.0	0.1	0.14
0915204_United_States_AL_Montgomery_01101_722260_32.29_-86.42_NSRDB_2.0.1_2012_AMY.epw	1990s	0.63	0.0	0.22	0.0	0.03	0.12
