Dependency=Location EPW	Option=<1950	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s
1012278_US_FL_Monroe_12087_0-20000-0-72201_24.57_-81.74_NSRDB_2.0.1_AMY.epw	0.02	0.06	0.09	0.23	0.37	0.13	0.09
1044560_US_FL_Miami-Dade_12086_0-20001-0-72202_25.81_-80.3_NSRDB_2.0.1_AMY.epw	0.05	0.13	0.13	0.18	0.17	0.18	0.16
1048979_US_FL_Palm_Beach_12099_0-20000-0-72203_26.69_-80.1_NSRDB_2.0.1_AMY.epw	0.02	0.05	0.07	0.14	0.23	0.2	0.27
1020908_US_FL_Orange_12095_0-20000-0-72205_28.45_-81.34_NSRDB_2.0.1_AMY.epw	0.04	0.07	0.09	0.16	0.22	0.19	0.24
1027864_US_FL_Volusia_12127_0-20000-0-74787_29.17_-81.06_NSRDB_2.0.1_AMY.epw	0.04	0.05	0.07	0.15	0.23	0.19	0.27
1013666_US_FL_Duval_12031_0-20000-0-72206_30.49_-81.7_NSRDB_2.0.1_AMY.epw	0.08	0.09	0.1	0.14	0.17	0.19	0.23
1024834_US_GA_Chatham_13051_0-20000-0-72207_32.13_-81.18_NSRDB_2.0.1_AMY.epw	0.08	0.07	0.08	0.13	0.17	0.21	0.25
1050718_US_SC_Charleston_45019_0-20000-0-72208_32.89_-80.02_NSRDB_2.0.1_AMY.epw	0.07	0.07	0.1	0.16	0.17	0.19	0.23
0957319_US_FL_Leon_12073_0-20000-0-72214_30.37_-84.38_NSRDB_2.0.1_AMY.epw	0.09	0.08	0.1	0.16	0.19	0.2	0.17
0972837_US_GA_Bibb_13021_0-20000-0-72217_32.69_-83.66_NSRDB_2.0.1_AMY.epw	0.1	0.09	0.12	0.17	0.17	0.2	0.16
1007559_US_GA_Richmond_13245_0-20000-0-72218_33.37_-81.98_NSRDB_2.0.1_AMY.epw	0.1	0.08	0.11	0.17	0.17	0.19	0.16
0956302_US_GA_Fulton_13121_0-20000-0-72219_33.65_-84.42_NSRDB_2.0.1_AMY.epw	0.05	0.05	0.08	0.13	0.19	0.24	0.27
0876146_US_AL_Mobile_1097_0-20000-0-72223_30.69_-88.26_NSRDB_2.0.1_AMY.epw	0.07	0.09	0.11	0.18	0.16	0.19	0.2
0945611_US_GA_Muscogee_13215_0-20000-0-72225_32.53_-84.94_NSRDB_2.0.1_AMY.epw	0.13	0.09	0.12	0.17	0.15	0.18	0.16
0915204_US_AL_Montgomery_1101_0-20000-0-72226_32.29_-86.42_NSRDB_2.0.1_AMY.epw	0.1	0.09	0.12	0.18	0.15	0.19	0.15
0909107_US_AL_Jefferson_1073_0-20000-0-72228_33.57_-86.74_NSRDB_2.0.1_AMY.epw	0.13	0.11	0.12	0.17	0.14	0.17	0.15
0830233_US_LA_Jefferson_22051_0-20000-0-72231_30.01_-90.26_NSRDB_2.0.1_AMY.epw	0.12	0.1	0.14	0.2	0.16	0.12	0.16
0809786_US_LA_East_Baton_Rouge_22033_0-20000-0-72232_30.53_-91.14_NSRDB_2.0.1_AMY.epw	0.1	0.09	0.13	0.2	0.16	0.15	0.17
0865865_US_MS_Lauderdale_28075_0-20000-0-72234_32.33_-88.74_NSRDB_2.0.1_AMY.epw	0.11	0.09	0.14	0.2	0.17	0.17	0.11
0834407_US_MS_Rankin_28121_0-20000-0-72235_32.33_-90.1_NSRDB_2.0.1_AMY.epw	0.1	0.09	0.13	0.2	0.16	0.17	0.15
0766075_US_LA_Calcasieu_22019_0-20000-0-72240_30.13_-93.22_NSRDB_2.0.1_AMY.epw	0.12	0.12	0.12	0.18	0.14	0.14	0.17
0749293_US_TX_Jefferson_48245_0-20000-0-72241_29.97_-94.02_NSRDB_2.0.1_AMY.epw	0.12	0.16	0.15	0.18	0.13	0.12	0.12
0721297_US_TX_Harris_48201_0-20000-0-72243_30.01_-95.38_NSRDB_2.0.1_AMY.epw	0.06	0.08	0.09	0.18	0.16	0.16	0.27
0734649_US_TX_Angelina_48005_0-20000-0-72247_31.25_-94.74_NSRDB_2.0.1_AMY.epw	0.1	0.08	0.1	0.2	0.2	0.18	0.14
0753608_US_LA_Caddo_22017_0-20000-0-72248_32.45_-93.82_NSRDB_2.0.1_AMY.epw	0.11	0.12	0.14	0.2	0.16	0.13	0.12
0673801_US_TX_Cameron_48061_0-20000-0-72250_25.89_-97.42_NSRDB_2.0.1_AMY.epw	0.05	0.05	0.07	0.14	0.19	0.22	0.27
0667846_US_TX_Nueces_48355_0-20000-0-72251_27.89_-97.62_NSRDB_2.0.1_AMY.epw	0.1	0.12	0.11	0.17	0.17	0.16	0.18
0645548_US_TX_Bexar_48029_0-20000-0-72253_29.53_-98.46_NSRDB_2.0.1_AMY.epw	0.1	0.09	0.09	0.15	0.16	0.16	0.24
0664421_US_TX_Travis_48453_0-20000-0-72254_30.29_-97.74_NSRDB_2.0.1_AMY.epw	0.05	0.05	0.05	0.13	0.18	0.2	0.32
0685917_US_TX_Victoria_48469_0-20000-0-72255_28.85_-96.94_NSRDB_2.0.1_AMY.epw	0.18	0.14	0.12	0.16	0.16	0.12	0.11
0678744_US_TX_McLennan_48309_0-20000-0-72256_31.61_-97.22_NSRDB_2.0.1_AMY.epw	0.12	0.11	0.11	0.18	0.17	0.14	0.16
0684122_US_TX_Dallas_48113_0-20000-0-72259_32.89_-97.02_NSRDB_2.0.1_AMY.epw	0.07	0.09	0.1	0.15	0.18	0.17	0.24
0590027_US_TX_Tom_Green_48451_0-20000-0-72263_31.37_-100.5_NSRDB_2.0.1_AMY.epw	0.2	0.15	0.13	0.17	0.15	0.1	0.08
0544930_US_TX_Midland_48329_0-20000-0-72265_31.97_-102.18_NSRDB_2.0.1_AMY.epw	0.1	0.25	0.16	0.16	0.16	0.08	0.08
0610784_US_TX_Taylor_48441_0-20000-0-72266_32.45_-99.7_NSRDB_2.0.1_AMY.epw	0.23	0.18	0.12	0.15	0.14	0.09	0.09
0554069_US_TX_Lubbock_48303_0-20000-0-72267_33.65_-101.82_NSRDB_2.0.1_AMY.epw	0.14	0.18	0.15	0.17	0.13	0.11	0.12
0434720_US_TX_El_Paso_48141_0-20000-0-72270_31.77_-106.5_NSRDB_2.0.1_AMY.epw	0.07	0.09	0.1	0.18	0.17	0.18	0.21
0335177_US_AZ_Pima_4019_0-20000-0-72274_32.13_-110.94_NSRDB_2.0.1_AMY.epw	0.06	0.08	0.08	0.19	0.16	0.2	0.23
0312258_US_AZ_Maricopa_4013_0-20000-0-74626_33.45_-111.98_NSRDB_2.0.1_AMY.epw	0.02	0.05	0.06	0.16	0.17	0.22	0.32
0209523_US_CA_San_Diego_6073_0-20000-0-72290_32.73_-117.18_NSRDB_2.0.1_AMY.epw	0.06	0.1	0.11	0.21	0.19	0.15	0.17
0187962_US_CA_Los_Angeles_6037_0-20000-0-72295_33.93_-118.42_NSRDB_2.0.1_AMY.epw	0.25	0.2	0.15	0.13	0.13	0.08	0.07
0192307_US_CA_Los_Angeles_6037_0-20000-0-72297_33.85_-118.18_NSRDB_2.0.1_AMY.epw	0.12	0.2	0.16	0.18	0.15	0.1	0.11
1104848_US_NC_New_Hanover_37129_0-20000-0-72302_34.25_-77.9_NSRDB_2.0.1_AMY.epw	0.08	0.07	0.09	0.15	0.17	0.22	0.22
1182412_US_NC_Dare_37055_0-20000-0-72304_35.25_-75.54_NSRDB_2.0.1_AMY.epw	0.14	0.08	0.1	0.17	0.18	0.18	0.15
1080453_US_NC_Wake_37183_0-20000-0-72306_35.85_-78.78_NSRDB_2.0.1_AMY.epw	0.08	0.06	0.09	0.13	0.16	0.23	0.24
1159308_US_VA_Norfolk_51710_0-20000-0-72308_36.89_-76.22_NSRDB_2.0.1_AMY.epw	0.13	0.12	0.13	0.16	0.18	0.15	0.12
1026416_US_SC_Lexington_45063_0-20000-0-72310_33.97_-81.1_NSRDB_2.0.1_AMY.epw	0.09	0.09	0.11	0.18	0.16	0.2	0.17
0979938_US_GA_Clarke_13059_0-20000-0-72311_33.97_-83.34_NSRDB_2.0.1_AMY.epw	0.08	0.05	0.07	0.13	0.17	0.25	0.26
1002341_US_SC_Spartanburg_45083_0-20000-0-72312_34.89_-82.22_NSRDB_2.0.1_AMY.epw	0.11	0.09	0.11	0.16	0.14	0.2	0.18
1029976_US_NC_Mecklenburg_37119_0-20000-0-72314_35.21_-80.94_NSRDB_2.0.1_AMY.epw	0.09	0.08	0.1	0.14	0.15	0.2	0.23
0996216_US_NC_Buncombe_37021_0-20000-0-72315_35.45_-82.54_NSRDB_2.0.1_AMY.epw	0.12	0.07	0.1	0.16	0.17	0.2	0.16
1053331_US_NC_Guilford_37081_0-20000-0-72317_36.09_-79.94_NSRDB_2.0.1_AMY.epw	0.12	0.11	0.12	0.16	0.15	0.18	0.15
0998813_US_TN_Sullivan_47163_0-20000-0-72335_36.45_-82.42_NSRDB_2.0.1_AMY.epw	0.16	0.1	0.11	0.18	0.16	0.17	0.11
0908125_US_AL_Madison_1089_0-20000-0-72323_34.65_-86.78_NSRDB_2.0.1_AMY.epw	0.1	0.09	0.14	0.17	0.16	0.19	0.15
0939546_US_TN_Hamilton_47065_0-20000-0-72324_35.05_-85.22_NSRDB_2.0.1_AMY.epw	0.12	0.09	0.12	0.18	0.16	0.19	0.15
0965848_US_TN_Blount_47009_0-20000-0-72326_35.81_-83.98_NSRDB_2.0.1_AMY.epw	0.11	0.08	0.1	0.17	0.16	0.21	0.17
0909238_US_TN_Davidson_47037_0-20001-0-72327_36.13_-86.7_NSRDB_2.0.1_AMY.epw	0.1	0.08	0.11	0.16	0.15	0.21	0.21
0836851_US_TN_Shelby_47157_0-20000-0-72334_35.05_-89.98_NSRDB_2.0.1_AMY.epw	0.12	0.11	0.12	0.18	0.14	0.18	0.15
0786725_US_AR_Pulaski_5119_0-20000-0-72340_34.77_-92.22_NSRDB_2.0.1_AMY.epw	0.1	0.09	0.12	0.2	0.16	0.17	0.15
0742491_US_AR_Sebastian_5131_0-20000-0-72344_35.33_-94.38_NSRDB_2.0.1_AMY.epw	0.11	0.07	0.11	0.2	0.17	0.18	0.15
0643670_US_TX_Wichita_48485_0-20000-0-72351_33.97_-98.5_NSRDB_2.0.1_AMY.epw	0.19	0.16	0.15	0.18	0.14	0.09	0.09
0669326_US_OK_Cleveland_40027_0-20000-0-72353_35.37_-97.58_NSRDB_2.0.1_AMY.epw	0.15	0.12	0.13	0.19	0.15	0.11	0.15
0709953_US_OK_Tulsa_40143_0-20000-0-72356_36.21_-95.9_NSRDB_2.0.1_AMY.epw	0.16	0.12	0.11	0.2	0.15	0.12	0.13
0552253_US_TX_Randall_48381_0-20000-0-72363_35.01_-101.9_NSRDB_2.0.1_AMY.epw	0.19	0.2	0.16	0.16	0.12	0.08	0.1
0431499_US_NM_Bernalillo_35001_0-20000-0-72365_35.05_-106.62_NSRDB_2.0.1_AMY.epw	0.08	0.1	0.09	0.17	0.17	0.2	0.19
