Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Combined	Option=None	"Option=Oil Boiler, 90% AFUE"	"Option=Oil Boiler, 80% AFUE"	"Option=Oil Boiler, 76% AFUE"	"Option=Oil Furnace, 95% AFUE"	"Option=Oil Furnace, 90% AFUE"	"Option=Oil Furnace, 80% AFUE"	"Option=Oil Furnace, 76% AFUE"	"Option=Oil Wall/Floor Furnace, 68% AFUE"	"Option=Oil Wall/Floor Furnace, 60% AFUE"
CR02	1950s	Fuel Oil	No	0	0.06316726	0.140101766	0.039915087	0	0.055091759	0.607443468	0.094280659	0	0
CR02	1960s	Fuel Oil	No	0	0.051060026	0.113332038	0.025549481	0	0.063471025	0.685602216	0.060985214	0	0
CR02	1970s	Fuel Oil	No	0	0.057811984	0.128615814	0.005024059	0	0.051444601	0.580067486	0.177036055	0	0
CR02	1980s	Fuel Oil	No	0	0	0	0	0	0.064816751	0.716430538	0.218752711	0	0
CR02	1990s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0
CR02	2000s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0
CR02	<1950	Fuel Oil	No	0	0.038828229	0.086424123	0	0	0.073090932	0.739030539	0	0.043838323	0.018787853
CR05	1950s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0
CR05	1960s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0
CR05	1970s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0
CR05	1980s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0
CR05	1990s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0
CR05	2000s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0
CR05	<1950	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0
CR03	1950s	Fuel Oil	No	0	0.14407306	0.319546709	0.091039071	0	0.031598461	0.348405625	0.054075669	0.005565901	0.005695504
CR03	1960s	Fuel Oil	No	0	0.208291616	0.462320821	0.104225226	0	0.017642288	0.190568713	0.016951336	0	0
CR03	1970s	Fuel Oil	No	0	0.173218338	0.385363313	0.015053267	0	0.02336307	0.263432064	0.08039922	0.033590149	0.025580579
CR03	1980s	Fuel Oil	No	0	0.1797338	0.39836627	0.135619829	0	0.018555746	0.205099807	0.062624548	0	0
CR03	1990s	Fuel Oil	No	0	0.192084724	0.427388088	0.012491721	0.03486058	0.130557265	0.195232164	0.007385458	0	0
