Dependency=Vintage	Dependency=Geometry House Size	Dependency=Geometry Foundation Type	Option=1	Option=2	Option=3+
pre-1950	2500-3499	Heated Basement	0.11	0.82	0.07
pre-1950	3500-4499	Heated Basement	0.12	0.81	0.07
pre-1950	4500+	Heated Basement	0.07	0.77	0.16
1950s	0-1499	Pier & Beam	0.9	0.1	0
1950s	1500-2499	Pier & Beam	0.64	0.35	0.01
1950s	2500-3499	Pier & Beam	0.4	0.55	0.05
1950s	3500-4499	Pier & Beam	0.45	0.51	0.03
1950s	4500+	Pier & Beam	0	1	0
1960s	0-1499	Pier & Beam	0.89	0.1	0.01
1960s	1500-2499	Pier & Beam	0.75	0.24	0.01
1960s	2500-3499	Pier & Beam	0.57	0.41	0.02
1960s	3500-4499	Pier & Beam	0.42	0.54	0.03
1960s	4500+	Pier & Beam	0	0.91	0.09
1970s	0-1499	Pier & Beam	0.91	0.08	0.01
1970s	1500-2499	Pier & Beam	0.71	0.27	0.02
1970s	2500-3499	Pier & Beam	0.47	0.49	0.03
1970s	3500-4499	Pier & Beam	0.4	0.58	0.02
1970s	4500+	Pier & Beam	0	0.94	0.06
1980s	0-1499	Pier & Beam	0.83	0.16	0.01
1980s	1500-2499	Pier & Beam	0.64	0.35	0.01
1980s	2500-3499	Pier & Beam	0.43	0.52	0.05
1980s	3500-4499	Pier & Beam	0.23	0.76	0.01
1980s	4500+	Pier & Beam	0	0.93	0.07
1990s	0-1499	Pier & Beam	0.85	0.15	0
1990s	1500-2499	Pier & Beam	0.66	0.34	0.01
1990s	2500-3499	Pier & Beam	0.27	0.71	0.02
1990s	3500-4499	Pier & Beam	0.19	0.79	0.02
1990s	4500+	Pier & Beam	0	0.97	0.03
2000s	0-1499	Pier & Beam	0.84	0.16	0
2000s	1500-2499	Pier & Beam	0.65	0.35	0
2000s	2500-3499	Pier & Beam	0.32	0.68	0.01
2000s	3500-4499	Pier & Beam	0.28	0.7	0.02
2000s	4500+	Pier & Beam	0	0.96	0.04
pre-1950	0-1499	Pier & Beam	0.69	0.31	0
pre-1950	1500-2499	Pier & Beam	0.31	0.68	0.02
pre-1950	2500-3499	Pier & Beam	0.11	0.82	0.07
pre-1950	3500-4499	Pier & Beam	0.12	0.81	0.07
pre-1950	4500+	Pier & Beam	0	0.84	0.16
1950s	0-1499	Slab	0.9	0.1	0
1950s	1500-2499	Slab	0.64	0.35	0.01
1950s	2500-3499	Slab	0.4	0.55	0.05
1950s	3500-4499	Slab	0.45	0.51	0.03
1950s	4500+	Slab	0	1	0
1960s	0-1499	Slab	0.89	0.1	0.01
1960s	1500-2499	Slab	0.75	0.24	0.01
1960s	2500-3499	Slab	0.57	0.41	0.02
1960s	3500-4499	Slab	0.42	0.54	0.03
1960s	4500+	Slab	0	0.91	0.09
1970s	0-1499	Slab	0.91	0.08	0.01
1970s	1500-2499	Slab	0.71	0.27	0.02
1970s	2500-3499	Slab	0.47	0.49	0.03
1970s	3500-4499	Slab	0.4	0.58	0.02
1970s	4500+	Slab	0	0.94	0.06
1980s	0-1499	Slab	0.83	0.16	0.01
1980s	1500-2499	Slab	0.64	0.35	0.01
1980s	2500-3499	Slab	0.43	0.52	0.05
1980s	3500-4499	Slab	0.23	0.76	0.01
1980s	4500+	Slab	0	0.93	0.07
1990s	0-1499	Slab	0.85	0.15	0
1990s	1500-2499	Slab	0.66	0.34	0.01
1990s	2500-3499	Slab	0.27	0.71	0.02
1990s	3500-4499	Slab	0.19	0.79	0.02
1990s	4500+	Slab	0	0.97	0.03
2000s	0-1499	Slab	0.84	0.16	0
2000s	1500-2499	Slab	0.65	0.35	0
2000s	2500-3499	Slab	0.32	0.68	0.01
2000s	3500-4499	Slab	0.28	0.7	0.02
2000s	4500+	Slab	0	0.96	0.04
pre-1950	0-1499	Slab	0.69	0.31	0
pre-1950	1500-2499	Slab	0.31	0.68	0.02
pre-1950	2500-3499	Slab	0.11	0.82	0.07
pre-1950	3500-4499	Slab	0.12	0.81	0.07
pre-1950	4500+	Slab	0	0.84	0.16
1950s	0-1499	Unheated Basement	0.9	0.1	0
1950s	1500-2499	Unheated Basement	0.64	0.35	0.01
1950s	2500-3499	Unheated Basement	0.4	0.55	0.05
1950s	3500-4499	Unheated Basement	0.45	0.51	0.03
1950s	4500+	Unheated Basement	0	1	0
1960s	0-1499	Unheated Basement	0.89	0.1	0.01
1960s	1500-2499	Unheated Basement	0.75	0.24	0.01
1960s	2500-3499	Unheated Basement	0.57	0.41	0.02
1960s	3500-4499	Unheated Basement	0.42	0.54	0.03
1960s	4500+	Unheated Basement	0	0.91	0.09
1970s	0-1499	Unheated Basement	0.91	0.08	0.01
1970s	1500-2499	Unheated Basement	0.71	0.27	0.02
1970s	2500-3499	Unheated Basement	0.47	0.49	0.03
1970s	3500-4499	Unheated Basement	0.4	0.58	0.02
1970s	4500+	Unheated Basement	0	0.94	0.06
1980s	0-1499	Unheated Basement	0.83	0.16	0.01
1980s	1500-2499	Unheated Basement	0.64	0.35	0.01
1980s	2500-3499	Unheated Basement	0.43	0.52	0.05
1980s	3500-4499	Unheated Basement	0.23	0.76	0.01
1980s	4500+	Unheated Basement	0	0.93	0.07
1990s	0-1499	Unheated Basement	0.85	0.15	0
1990s	1500-2499	Unheated Basement	0.66	0.34	0.01
1990s	2500-3499	Unheated Basement	0.27	0.71	0.02
1990s	3500-4499	Unheated Basement	0.19	0.79	0.02
1990s	4500+	Unheated Basement	0	0.97	0.03
2000s	0-1499	Unheated Basement	0.84	0.16	0
2000s	1500-2499	Unheated Basement	0.65	0.35	0
2000s	2500-3499	Unheated Basement	0.32	0.68	0.01
2000s	3500-4499	Unheated Basement	0.28	0.7	0.02
2000s	4500+	Unheated Basement	0	0.96	0.04
pre-1950	0-1499	Unheated Basement	0.69	0.31	0
pre-1950	1500-2499	Unheated Basement	0.31	0.68	0.02
pre-1950	2500-3499	Unheated Basement	0.11	0.82	0.07
pre-1950	3500-4499	Unheated Basement	0.12	0.81	0.07
pre-1950	4500+	Unheated Basement	0	0.84	0.16
