Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Combined	Option=None	"Option=Gas Boiler, 80% AFUE"	"Option=Gas Boiler, 76% AFUE"	"Option=Gas Boiler, 72% AFUE"	"Option=Propane Boiler, 80% AFUE"	"Option=Propane Boiler, 76% AFUE"	"Option=Propane Boiler, 72% AFUE"	"Option=Oil Boiler, 90% AFUE"	"Option=Oil Boiler, 80% AFUE"	"Option=Oil Boiler, 76% AFUE"	Option=Electric Boiler	"Option=Gas Furnace, 96% AFUE"	"Option=Gas Furnace, 92.5% AFUE"	"Option=Gas Furnace, 80% AFUE"	"Option=Gas Furnace, 76% AFUE"	"Option=Gas Furnace, 60% AFUE"	"Option=FIXME Propane Furnace, 96% AFUE"	"Option=FIXME Propane Furnace, 92% AFUE"	"Option=FIXME Propane Furnace, 80% AFUE"	"Option=FIXME Propane Furnace, 76% AFUE"	"Option=FIXME Propane Furnace, 60% AFUE"	"Option=FIXME Oil Furnace, 95% AFUE"	"Option=FIXME Oil Furnace, 90% AFUE"	"Option=FIXME Oil Furnace, 80% AFUE"	"Option=FIXME Oil Furnace, 76% AFUE"	"Option=FIXME Gas Wall/Floor Furnace, 68% AFUE"	"Option=FIXME Gas Wall/Floor Furnace, 60% AFUE"	"Option=FIXME Propane Wall/Floor Furnace, 68% AFUE"	"Option=FIXME Propane Wall/Floor Furnace, 60% AFUE"	"Option=FIXME Oil Wall/Floor Furnace, 68% AFUE"	"Option=FIXME Oil Wall/Floor Furnace, 60% AFUE"	Option=Electric Furnace	Option=Electric Baseboard
CR02	1950s	Electricity	No	0	0	0	0	0	0	0	0	0	0	0.124783958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.727610361	0.147605681
CR02	1960s	Electricity	No	0	0	0	0	0	0	0	0	0	0	0.122373027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.651625165	0.226001808
CR02	1970s	Electricity	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.388900593	0.611099407
CR02	1980s	Electricity	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.642557245	0.357442755
CR02	1990s	Electricity	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.593281178	0.406718822
CR02	2000s	Electricity	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.776063353	0.223936647
CR02	<1950	Electricity	No	0	0	0	0	0	0	0	0	0	0	0.054187049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71870745	0.227105501
CR03	1950s	Electricity	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR03	1960s	Electricity	No	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR03	1970s	Electricity	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.780697449	0.219302551
