State,electricity_fixed_charge,electricity_marginal_rate,natural_gas_fixed_charge,natural_gas_marginal_rate,propane_fixed_charge,propane_marginal_rate,fuel_oil_fixed_charge,fuel_oil_marginal_rate,wood_fixed_charge,wood_marginal_rate
AL,8,0.089,8.1,0.109,0,2.3,0,2.3,0,0.0163
AR,9,0.115,8.3,0.104,0,2,0,3.6,0,0.0105
AZ,8,0.105,9.1,0.116,0,2.7,0,2.1,0,0.0154
CA,8.8,0.083,11.7,0.091,0,2.8,0,3.8,0,0.0195
CO,10,0.102,8.1,0.093,0,2,0,2.7,0,0.0111
CT,9,0.08,9.8,0.092,0,2.9,0,2.7,0,0.0111
DC,10.1,0.08,8.3,0.081,0,2.5,0,2,0,0.0186
DE,11.4,0.115,10.1,0.108,0,3.1,0,2,0,0.0185
FL,10.1,0.097,9,0.116,0,3.1,0,2.3,0,0.0147
GA,9.6,0.117,11.9,0.098,0,2,0,2.9,0,0.0148
IA,10,0.088,8.3,0.118,0,3.5,0,3,0,0.0135
ID,11.5,0.092,10.4,0.106,0,3.4,0,2.9,0,0.0113
IL,9.9,0.087,8.7,0.091,0,3.4,0,3.4,0,0.0186
IN,10.2,0.105,10.2,0.103,0,2.2,0,4,0,0.0177
KS,9.8,0.111,8.4,0.099,0,3.3,0,3.5,0,0.0173
KY,11.3,0.107,11.7,0.09,0,3.3,0,2.5,0,0.0112
LA,10.4,0.115,11.9,0.083,0,4,0,2,0,0.0157
MA,10.4,0.107,11.3,0.11,0,2.4,0,2.1,0,0.0111
MD,10,0.105,8.4,0.114,0,3.6,0,2.7,0,0.0194
ME,9.5,0.106,11.8,0.101,0,3.6,0,3.4,0,0.0187
MI,9.6,0.097,9.8,0.093,0,2.9,0,3.4,0,0.0109
MN,11.3,0.081,9.7,0.086,0,2.1,0,2.9,0,0.0179
MO,9.8,0.113,11.5,0.111,0,3.6,0,3.6,0,0.0182
MS,8.4,0.101,11,0.103,0,2.5,0,2.9,0,0.0125
MT,9.6,0.095,9.6,0.096,0,3.3,0,2.8,0,0.0168
NC,10.4,0.093,10.1,0.093,0,2.3,0,2.8,0,0.0195
ND,8.6,0.096,9.3,0.097,0,2.4,0,3.9,0,0.0147
NE,10.1,0.108,11.2,0.106,0,2.5,0,4,0,0.0182
NH,9,0.084,8.8,0.11,0,3.1,0,2.7,0,0.0151
NJ,11,0.087,8.2,0.12,0,4,0,2.9,0,0.0167
NM,8.8,0.084,9.4,0.088,0,3.4,0,2.6,0,0.0103
NV,11.5,0.097,11.7,0.115,0,3.4,0,3.4,0,0.0129
NY,8.8,0.094,9.9,0.094,0,3.9,0,3.5,0,0.0128
OH,10,0.082,8.6,0.11,0,3.6,0,3,0,0.0137
OK,9.8,0.088,10.7,0.112,0,2.7,0,2.3,0,0.0172
OR,10.8,0.088,8.3,0.12,0,3.1,0,2.7,0,0.0181
PA,9.5,0.12,9.1,0.118,0,2.1,0,3.2,0,0.0124
RI,10.2,0.085,10.4,0.088,0,2.5,0,3.9,0,0.0121
SC,11.8,0.08,9.8,0.095,0,2.3,0,2.6,0,0.0193
SD,11.8,0.091,9.6,0.098,0,2.2,0,4,0,0.0135
TN,9.5,0.093,9.2,0.084,0,4,0,2.4,0,0.0176
TX,8,0.089,9,0.094,0,3.9,0,3.9,0,0.012
UT,11.4,0.106,9.8,0.109,0,2.2,0,3.1,0,0.0175
VA,8.9,0.1,8.4,0.086,0,2.4,0,3.1,0,0.018
VT,8.9,0.088,11.5,0.105,0,2.9,0,3.9,0,0.0124
WA,11.8,0.097,8.3,0.081,0,2.6,0,2.7,0,0.0187
WI,11.6,0.109,11,0.113,0,2.1,0,2.1,0,0.0105
WV,9.3,0.09,11.6,0.087,0,2.5,0,3.8,0,0.0162
WY,11,0.114,11.4,0.088,0,3.9,0,3.2,0,0.0152
