Building,ASHRAE IECC Climate Zone 2004,Bathroom Spot Vent Hour,County and PUMA,AIANNH Area,CEC Climate Zone,City,County,AHS Region,ASHRAE IECC Climate Zone 2004 - 2A Split,Building America Climate Zone,Dehumidifier,Door Area,Doors,Eaves,Electric Vehicle,Energystar Climate Zone 2023,Ground Thermal Conductivity,HVAC Secondary Heating Efficiency,HVAC Secondary Heating Fuel,HVAC Secondary Heating Partial Space Conditioning,HVAC System Is Faulted,Holiday Lighting,Hot Water Distribution,ISO RTO Region,Interior Shading,Lighting Interior Use,Lighting Other Use,Mechanical Ventilation,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Well Pump,Natural Ventilation,Orientation,Overhangs,PUMA,Geometry Building Type ACS,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Building Type RECS,Cooling Setpoint Has Offset,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Corridor,Neighbors,PUMA Metro Status,REEDS Balancing Area,Generation And Emissions Assessment Region,Radiant Barrier,Range Spot Vent Hour,Solar Hot Water,State,Census Division,Census Division RECS,Census Region,Lighting,Location Region,Plug Loads,Usage Level,Clothes Dryer Usage Level,Clothes Washer Usage Level,Cooking Range Usage Level,Dishwasher Usage Level,Hot Water Fixtures,Plug Load Diversity,Refrigerator Usage Level,Vacancy Status,Ceiling Fan,Has PV,Battery,PV Orientation,PV System Size,Tenure,Vintage,Heating Fuel,HVAC Heating Type,Vintage ACS,Geometry Foundation Type,HVAC Cooling Type,Cooling Setpoint,HVAC Has Shared System,HVAC Cooling Efficiency,HVAC Has Ducts,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Type And Fuel,HVAC Shared Efficiencies,HVAC System Single Speed AC Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed ASHP Charge,Heating Setpoint,Heating Setpoint Has Offset,Heating Setpoint Offset Magnitude,Heating Setpoint Offset Period,Income,Income RECS2015,Income RECS2020,Geometry Floor Area,Bedrooms,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Building Type Height,Geometry Stories Low Rise,Geometry Attic Type,Geometry Garage,Geometry Space Combination,Duct Location,Duct Leakage and Insulation,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,HVAC Cooling Partial Space Conditioning,Infiltration,Insulation Ceiling,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Insulation Roof,Insulation Slab,Insulation Wall,Occupants,Area Median Income,Federal Poverty Level,Clothes Washer Presence,Clothes Dryer,Clothes Washer,Cooking Range,Dishwasher,Household Has Tribal Persons,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Refrigerator,Roof Material,Water Heater Fuel,Water Heater Efficiency,Water Heater In Unit,Water Heater Location,Window Areas,Windows
1,5A,Hour1,"G2601150, G26003300",No,None,Not in a census Place,"MI, Monroe County",Non-CBSA East North Central,5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,1.4,None,None,None,No,No Exterior Use,Uninsulated,MISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",West,None,"MI, 03300",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +4h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",103,RFCMc,No,Hour14,None,MI,East North Central,East North Central,Midwest,100% LED,CR04,85%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,<1940,Unheated Basement,Central AC,72F,None,"AC, SEER 13",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,67F,No,0F,None,80000-99999,80000-99999,60000-99999,1500-1999,3,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,None,"Single-Family Detached, Unheated Basement, Vented Attic, No Garage",Unheated Basement,"20% Leakage to Outside, Uninsulated",<8,Brick,None,100% Conditioned,30 ACH50,R-7,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Brick, 12-in, 3-wythe, Uninsulated",2,120-150%,400%+,Yes,Gas,Standard,Gas,None,No,None,None,None,None,None,None,EF 17.6,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,Unheated Basement,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain"
2,3C,Hour22,"G0600010, G06000110",No,12,"CA, Livermore","CA, Alameda County","CBSA San Francisco-Oakland-Hayward, CA",3C,Marine,None,20 ft^2,Fiberglass,2 ft,None,South-Central,1.7,None,None,None,No,No Exterior Use,Uninsulated,CAISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",Northwest,None,"CA, 00110",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",9,CAMXc,No,Hour16,None,CA,Pacific,Pacific,West,100% LED,CR11,94%,Low,80% Usage,80% Usage,80% Usage,80% Usage,50% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1960s,Natural Gas,Ducted Heating,1960-79,Slab,Central AC,75F,None,"AC, SEER 10",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,70F,Yes,6F,Night +5h,200000+,140000+,150000+,1500-1999,3,1500-2499,1,None,None,None,Single-Family Detached,1,None,2 Car,"Single-Family Detached, Slab, No Attic, 2 Car Garage",Garage,"10% Leakage to Outside, R-4",<8,Wood Frame,"Stucco, Light",100% Conditioned,20 ACH50,None,None,None,None,"Finished, Uninsulated",Uninsulated,"Wood Stud, Uninsulated",2,150%+,400%+,Yes,Gas,EnergyStar,Electric Resistance,290 Rated kWh,No,None,None,None,None,None,None,EF 15.9,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,Garage,F15 B15 L15 R15,"Double, Clear, Non-metal, Air"
3,6A,Hour21,"G5501010, G55030000",No,None,In another census Place,"WI, Racine County",Non-CBSA East North Central,6A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,1.1,None,None,None,No,No Exterior Use,Uninsulated,MISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",South,None,"WI, 30000",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",79,RFCWc,No,Hour10,None,WI,East North Central,East North Central,Midwest,100% CFL,CR02,85%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,<1940,Unheated Basement,Central AC,72F,None,"AC, SEER 13",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,68F,Yes,3F,Night -5h,80000-99999,80000-99999,60000-99999,1000-1499,3,0-1499,2,None,None,None,Single-Family Detached,2,Vented Attic,1 Car,"Single-Family Detached, Unheated Basement, Vented Attic, 1 Car Garage",Unheated Basement,"10% Leakage to Outside, Uninsulated",<8,Wood Frame,"Brick, Medium/Dark",80% Conditioned,25 ACH50,R-38,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",5,100-120%,200-300%,Yes,Electric,EnergyStar,Electric Resistance,None,No,None,"EF 12, National Average",None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",Natural Gas,Natural Gas Standard,Yes,Unheated Basement,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain"
4,2A,Hour20,"G1200990, G12009903",No,None,"FL, West Palm Beach","FL, Palm Beach County","CBSA Miami-Fort Lauderdale-West Palm Beach, FL","2A - FL, GA, AL, MS",Hot-Humid,None,20 ft^2,Fiberglass,2 ft,None,Southern,1.1,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",East,None,"FL, 09903",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback -3h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",102,FRCCc,No,Hour17,None,FL,South Atlantic,South Atlantic,South,100% LED,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Owner,1950s,Electricity,Ducted Heat Pump,1940-59,Vented Crawlspace,Ducted Heat Pump,80F,None,Ducted Heat Pump,Yes,"ASHP, SEER 15, 8.5 HSPF",No,Electricity ASHP,None,None,None,None,None,68F,No,0F,None,100000-119999,100000-119999,100000-149999,1500-1999,3,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,None,"Single-Family Detached, Vented Crawlspace, Vented Attic, No Garage",Crawlspace,"10% Leakage to Outside, Uninsulated",<8,Wood Frame,"Vinyl, Light",100% Conditioned,25 ACH50,Uninsulated,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",1,150%+,400%+,Yes,Electric,EnergyStar,Electric Resistance,290 Rated kWh,No,EF 17.6,"EF 12, National Average",None,None,None,None,EF 15.9,"Asphalt Shingles, Medium",Electricity,Electric Standard,Yes,Living Space,F12 B12 L12 R12,"Single, Clear, Metal"
5,5B,Hour7,"G0800690, G08000102",No,None,"CO, Loveland","CO, Larimer County",Non-CBSA Mountain,5B,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,0.8,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",East,None,"CO, 00102",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +2h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",33,RMPAc,No,Hour18,None,CO,Mountain,Mountain North,West,100% CFL,CR05,91%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,None,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,2000-09,Unheated Basement,Central AC,70F,None,"AC, SEER 13",Yes,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,68F,Yes,6F,Night -4h,80000-99999,80000-99999,60000-99999,2000-2499,3,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,2 Car,"Single-Family Detached, Unheated Basement, Vented Attic, 2 Car Garage",Unheated Basement,"10% Leakage to Outside, R-6",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,6 ACH50,R-30,Ceiling R-19,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-19",3,100-120%,400%+,Yes,Electric,EnergyStar,Electric Resistance,318 Rated kWh,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",Natural Gas,Natural Gas Standard,Yes,Unheated Basement,F9 B9 L9 R9,"Double, Clear, Metal, Air"
6,7A,Hour13,"G3800170, G38000500",No,None,"ND, Fargo","ND, Cass County",Non-CBSA West North Central,7A,Very Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,1.1,None,None,None,No,No Exterior Use,Uninsulated,MISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,Gas Fireplace,None,None,None,"Cooling Season, 7 days/wk",West,None,"ND, 00500",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",37,MROWc,No,Hour20,None,ND,West North Central,West North Central,Midwest,100% LED,CR02,95%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Owner,1970s,Natural Gas,Ducted Heating,1960-79,Heated Basement,Central AC,75F,None,"AC, SEER 13",Yes,"Fuel Furnace, 76% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,72F,Yes,3F,Night +5h,80000-99999,80000-99999,60000-99999,1500-1999,4,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,2 Car,"Single-Family Detached, Heated Basement, Vented Attic, 2 Car Garage",Heated Basement,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Shingle, Composition, Medium",100% Conditioned,15 ACH50,R-49,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-11",4,100-120%,300-400%,Yes,Electric,Standard,Electric Resistance,318 Rated kWh,No,EF 17.6,"EF 12, National Average",None,None,None,None,EF 17.6,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,Heated Basement,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain"
7,5A,Hour9,"G3900930, G39000802",No,None,In another census Place,"OH, Lorain County",Non-CBSA East North Central,5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,1.4,None,None,None,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",Southeast,None,"OH, 00802",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",111,RFCWc,No,Hour18,None,OH,East North Central,East North Central,Midwest,100% CFL,CR04,85%,Low,80% Usage,80% Usage,80% Usage,80% Usage,50% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,2000-09,Slab,Central AC,76F,None,"AC, SEER 13",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,70F,No,0F,None,80000-99999,80000-99999,60000-99999,2000-2499,4,1500-2499,2,None,None,None,Single-Family Detached,2,None,2 Car,"Single-Family Detached, Slab, No Attic, 2 Car Garage",Garage,"20% Leakage to Outside, R-8",<8,Wood Frame,"Vinyl, Light",100% Conditioned,10 ACH50,None,None,None,None,"Finished, R-7","2ft R10 Perimeter, Vertical","Wood Stud, R-19",4,120-150%,300-400%,Yes,Electric,EnergyStar,Electric Resistance,318 Rated kWh,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,Living Space,F6 B6 L6 R6,"Double, Clear, Metal, Air"
8,2A,Hour5,"G4802090, G48005400",No,None,Not in a census Place,"TX, Hays County",Non-CBSA West South Central,"2A - TX, LA",Hot-Humid,None,20 ft^2,Fiberglass,2 ft,None,Southern,1.1,None,None,None,No,No Exterior Use,Uninsulated,ERCOT,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",East,None,"TX, 05400",Single-Family Detached,None,None,Single-Family Detached,Yes,5F,Night Setback -1h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",64,ERCTc,No,Hour18,None,TX,West South Central,West South Central,South,100% LED,CR09,113%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Electricity,Ducted Heating,2000-09,Vented Crawlspace,Central AC,76F,None,"AC, SEER 15",Yes,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,None,None,None,None,None,65F,No,0F,None,80000-99999,80000-99999,60000-99999,1500-1999,4,1500-2499,2,None,None,None,Single-Family Detached,2,None,2 Car,"Single-Family Detached, Vented Crawlspace, No Attic, 2 Car Garage",Crawlspace,"20% Leakage to Outside, R-6",<8,Brick,None,100% Conditioned,20 ACH50,None,Ceiling R-13,Uninsulated,Uninsulated,"Finished, R-30",None,"Brick, 12-in, 3-wythe, R-11",2,100-120%,400%+,Yes,Electric,Standard,Electric Resistance,318 Rated kWh,No,EF 19.9,"EF 12, National Average",Electricity,None,None,None,EF 19.9,Composition Shingles,Electricity,Electric Standard,Yes,Garage,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain"
9,2A,Hour2,"G1200850, G12008500",No,None,In another census Place,"FL, Martin County",Non-CBSA South Atlantic,"2A - FL, GA, AL, MS",Hot-Humid,None,20 ft^2,Fiberglass,2 ft,None,Southern,1.1,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",East,None,"FL, 08500",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",102,FRCCc,No,Hour18,None,FL,South Atlantic,South Atlantic,South,100% CFL,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1980s,Electricity,Ducted Heat Pump,1980-99,Ambient,Ducted Heat Pump,68F,None,Ducted Heat Pump,Yes,"ASHP, SEER 15, 8.5 HSPF",No,Electricity ASHP,None,None,None,None,None,70F,No,0F,None,200000+,140000+,150000+,1500-1999,3,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,"Single-Family Detached, Ambient, Vented Attic, No Garage",Attic,"30% Leakage to Outside, R-4",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,10 ACH50,R-19,Ceiling R-19,None,None,"Unfinished, Uninsulated",None,"Wood Stud, R-11",2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,318 Rated kWh,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,Electricity,Electric Standard,Yes,Living Space,F18 B18 L18 R18,"Single, Clear, Non-metal"
10,1A,Hour19,"G1200110, G12001108",No,None,"FL, Fort Lauderdale","FL, Broward County","CBSA Miami-Fort Lauderdale-West Palm Beach, FL",1A,Hot-Humid,None,20 ft^2,Fiberglass,2 ft,None,Southern,1.1,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",West,None,"FL, 01108",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",102,FRCCc,No,Hour16,None,FL,South Atlantic,South Atlantic,South,100% Incandescent,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1950s,Electricity,Ducted Heating,1940-59,Slab,Central AC,75F,None,"AC, SEER 10",Yes,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,None,None,None,None,None,75F,No,0F,None,200000+,140000+,150000+,1500-1999,4,1500-2499,1,None,None,None,Single-Family Detached,1,None,None,"Single-Family Detached, Slab, No Attic, No Garage",Living Space,"0% Leakage to Outside, Uninsulated",<8,Wood Frame,"Vinyl, Light",100% Conditioned,20 ACH50,None,None,None,None,"Finished, R-19",Uninsulated,"Wood Stud, Uninsulated",3,150%+,400%+,Yes,Electric,EnergyStar,Electric Resistance,290 Rated kWh,No,None,"EF 12, National Average",None,None,None,None,EF 21.9,Composition Shingles,Electricity,Electric Premium,Yes,Living Space,F6 B6 L6 R6,"Double, Clear, Metal, Air"
