Building,Schedules,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC Secondary Heating Type And Fuel,HVAC Secondary Heating Efficiency,HVAC System Is Faulted,Dehumidifier,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,ASHRAE IECC Climate Zone 2004,County and PUMA,CEC Climate Zone,County,AHS Region,ASHRAE IECC Climate Zone 2004 - 2A Split,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Foundation Type,Corridor,Vacancy Status,Tenure,Income,Income RECS2015,Income RECS2020,Neighbors,Radiant Barrier,Roof Material,Insulation Slab,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,HVAC System Single Speed AC Airflow,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Charge,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Heating Setpoint Offset Period,Cooling Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Has PV,PV System Size,PV Orientation,PUMA Metro Status,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Type Height,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Stories Low Rise,Geometry Attic Type,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,Geometry Garage,Bedrooms,Occupants,Federal Poverty Level,Window Areas,Insulation Ceiling,Insulation Roof,Insulation Wall,HVAC Cooling Partial Space Conditioning,Infiltration,REEDS Balancing Area,Generation And Emissions Assessment Region,City,Area Median Income
1,Stochastic,Medium,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour11,Hour17,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Attached,<1940,<1940,Single-Family Attached,Natural Gas,5,Right,Unheated Basement,Not Applicable,Occupied,Renter,<10000,<20000,<20000,4,No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Double, Low-E, Non-metal, Air, M-Gain",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 13",None,None,None,None,72F,70F,No,No,0F,0F,None,None,Standard Efficiency,"EF 15.9, 100% Usage","Gas, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,108%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",No,None,None,"In metro area, principal city",1000-1499,0-1499,2,Single-Family Attached,None,None,None,2,Vented Attic,<8,Brick,None,None,2,1,0-100%,F9 B9 L9 R9,R-38,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated",100% Conditioned,20 ACH50,115,RFCWc,"PA, Pittsburgh",0-30%
2,Stochastic,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",None,Hour21,Hour8,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Attached,<1940,<1940,Single-Family Attached,Natural Gas,30,Middle,Heated Basement,Not Applicable,Occupied,Renter,200000+,140000+,150000+,27,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Metal, Air",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Room AC,None,None,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,"Room AC, EER 10.7",None,None,None,None,70F,68F,Yes,No,6F,0F,Day and Night -4h,None,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 80% Usage","290 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Gas, 80% Usage",100% CFL,108%,None,None,None,None,None,None,Yes,"0% Leakage, Uninsulated",No,None,None,"In metro area, principal city",1000-1499,0-1499,1,Single-Family Attached,None,None,None,1,Vented Attic,<8,Brick,None,None,1,1,400%+,F6 B6 L6 R6,R-19,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated",20% Conditioned,15 ACH50,115,RFCWc,"PA, Pittsburgh",150%+
3,Stochastic,Medium,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour15,Hour19,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Attached,<1940,<1940,Single-Family Attached,Natural Gas,7,Middle,Unheated Basement,Not Applicable,Occupied,Owner,45000-49999,40000-59999,40000-59999,27,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Metal, Air",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 15",None,None,None,None,65F,70F,Yes,No,3F,0F,Day,None,Standard Efficiency,"EF 15.9, 100% Usage","Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,108%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",No,None,None,"In metro area, principal city",1000-1499,0-1499,2,Single-Family Attached,None,None,None,2,Vented Attic,<8,Brick,None,None,3,2,200-300%,F15 B15 L15 R15,R-30,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated",100% Conditioned,10 ACH50,115,RFCWc,"PA, Pittsburgh",60-80%
4,Stochastic,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour23,Hour11,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Not Applicable,Occupied,Owner,45000-49999,40000-59999,40000-59999,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Low-E, Non-metal, Air, M-Gain",Yes,Natural Gas,Natural Gas Standard,Non-Ducted Heating,None,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,None,None,None,None,None,72F,72F,No,No,0F,0F,None,None,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 80% Usage","290 Rated kWh, 80% Usage",Yes,"Standard, 80% Usage","Gas, 80% Usage",100% Incandescent,101%,None,None,None,None,None,None,No,None,No,None,None,"In metro area, principal city",2500-2999,2500-3999,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Brick,None,None,3,3,200-300%,F6 B6 L6 R6,R-13,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated",None,30 ACH50,115,RFCWc,"PA, Pittsburgh",60-80%
5,Stochastic,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour17,Hour13,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,None,None,Vented Crawlspace,Double-Loaded Interior,Occupied,Renter,30000-34999,20000-39999,20000-39999,27,None,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Double, Low-E, Non-metal, Air, M-Gain",No,Natural Gas,Natural Gas Standard,Non-Ducted Heating,None,None,None,"Fuel Wall/Floor Furnace, 68% AFUE",No,Natural Gas Fuel Wall/Floor Furnace,None,None,None,None,None,68F,68F,No,Yes,0F,5F,None,Day Setup +5h,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% CFL,119%,None,None,None,None,None,None,No,None,No,None,None,"In metro area, principal city",500-749,0-1499,4,Multifamily with 2-4 Units,Top,4,Not Applicable,4+,None,<8,Brick,None,None,2,1,200-300%,F9 B9 L9 R9,None,"Finished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated",None,20 ACH50,115,RFCWc,"PA, Pittsburgh",30-60%
6,Stochastic,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour22,Hour7,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",5 to 9 Unit,1940s,1940-59,Multi-Family with 5+ Units,Natural Gas,None,None,Unheated Basement,Double-Loaded Interior,Vacant,Renter,<10000,<20000,<20000,27,None,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Metal, Air",No,Natural Gas,Natural Gas Standard,Ducted Heating,Room AC,None,None,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,"Room AC, EER 9.8",None,None,None,None,55F,72F,Yes,No,3F,0F,Night +3h,None,"Standard Efficiency, No usage","EF 17.6, 100% Usage","Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Electric, 100% Usage",100% LED,89%,None,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",No,None,None,"In metro area, principal city",1000-1499,0-1499,2,"Multifamily with 5+ units, 1-3 stories",Top,5,Right,2,None,<8,Brick,None,None,1,1,0-100%,F30 B30 L30 R30,None,"Finished, R-7","Brick, 12-in, 3-wythe, Uninsulated",60% Conditioned,20 ACH50,115,RFCWc,"PA, Pittsburgh",0-30%
7,Stochastic,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour7,Hour11,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Attached,1960s,1960-79,Single-Family Attached,Natural Gas,30,Middle,Heated Basement,Not Applicable,Occupied,Owner,25000-29999,20000-39999,20000-39999,7,No,"Metal, Dark",None,Uninsulated,Uninsulated,Uninsulated,"Single, Clear, Non-metal, Exterior Clear Storm",No,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 15",None,None,None,None,75F,70F,Yes,No,3F,0F,Night -2h,None,None,"EF 10.5, 100% Usage","Gas, 100% Usage",None,None,None,None,100% Incandescent,108%,None,"EF 12, National Average",None,None,None,None,Yes,"0% Leakage, Uninsulated",No,None,None,"In metro area, principal city",750-999,0-1499,2,Single-Family Attached,None,None,None,2,Vented Attic,<8,Wood Frame,"Vinyl, Light",None,2,2,150-200%,F15 B15 L15 R15,R-38,"Unfinished, Uninsulated","Wood Stud, Uninsulated",100% Conditioned,20 ACH50,115,RFCWc,"PA, Pittsburgh",30-60%
8,Stochastic,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour1,Hour4,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",5 to 9 Unit,1980s,1980-99,Multi-Family with 5+ Units,Electricity,None,None,Slab,Double-Loaded Interior,Occupied,Renter,10000-14999,<20000,<20000,27,None,"Asphalt Shingles, Medium","2ft R5 Under, Horizontal",None,None,None,"Double, Clear, Non-metal, Air",No,Electricity,Electric Standard,Non-Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Electricity",Shared Heating,No,Electricity Shared Heating,"Room AC, EER 10.7",None,None,None,None,68F,72F,No,No,0F,0F,None,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 80% Usage","318 Rated kWh, 80% Usage",None,None,None,100% Incandescent,89%,None,None,None,None,None,None,No,None,No,None,None,"In metro area, principal city",1000-1499,0-1499,2,"Multifamily with 5+ units, 1-3 stories",Top,8,Right,2,None,<8,Brick,None,None,3,2,0-100%,F18 B18 L18 R18,None,"Finished, R-13","Brick, 12-in, 3-wythe, R-11",40% Conditioned,15 ACH50,115,RFCWc,"PA, Pittsburgh",0-30%
9,Stochastic,Low,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour22,Hour8,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Unheated Basement,Not Applicable,Occupied,Owner,50000-59999,40000-59999,40000-59999,Left/Right at 15ft,No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Double, Low-E, Non-metal, Air, M-Gain",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,None,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,75F,78F,Yes,No,3F,0F,Day and Night -4h,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 80% Usage",None,Yes,"Standard, 80% Usage","Gas, 80% Usage",100% CFL,101%,EF 19.9,None,None,Has Pool,None,1.0 HP Pump,Yes,"20% Leakage, Uninsulated",No,None,None,"In metro area, principal city",2000-2499,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Brick, Medium/Dark",None,4,1,400%+,F18 B18 L18 R18,R-30,"Unfinished, Uninsulated","Wood Stud, Uninsulated",None,15 ACH50,115,RFCWc,"PA, Pittsburgh",100-120%
10,Stochastic,Medium,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour2,Hour18,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Detached,<1940,<1940,Single-Family Detached,Natural Gas,None,None,Unheated Basement,Not Applicable,Occupied,Owner,120000-139999,120000-139999,100000-149999,Left/Right at 15ft,No,Wood Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Non-metal, Air",Yes,Electricity,Electric Tankless,Ducted Heating,None,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,72F,70F,No,No,0F,0F,None,None,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 100% Usage",None,Yes,"EnergyStar, 100% Usage","Gas, 100% Usage",100% CFL,101%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",No,None,None,"In metro area, principal city",2000-2499,1500-2499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Vinyl, Light",None,3,3,400%+,F9 B9 L9 R9,R-7,"Unfinished, Uninsulated","Wood Stud, Uninsulated",None,15 ACH50,115,RFCWc,"PA, Pittsburgh",150%+
