Dependency=Location Region	Dependency=Vintage	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
H1C1 OR	<1950	520225.075101	33	84039.6	15764.3962152	1324833552.17
H1C1 OR	1950s	154601.416982	14	44823.56	11042.9583558	494984706.44
H1C1 OR	1960s	353128.4253	26	93319.35	13581.8625116	1267450581.37
H1C1 OR	1970s	543835.389672	34	96175.97	15995.1585198	1538349885.94
H1C1 OR	1980s	142042.793866	13	40971.12	10926.368759	447665565.587
H1C1 OR	1990s	310616.415156	26	92532.92	11946.7851983	1105470919.01
H1C1 OR	2000s	262475.597104	22	80337.45	11930.7089593	958482734.479
H1C1 WA	<1950	2203211.28966	195	360019.9	11298.5194342	4067691836.83
H1C1 WA	1950s	862049.356607	62	131293.59	13904.0218808	1825508948.16
H1C1 WA	1960s	1014197.23248	76	197761.58	13344.7004273	2639069041.14
H1C1 WA	1970s	1325888.63917	77	210558.31	17219.3329762	3625673650.8
H1C1 WA	1980s	870914.811698	55	173026.95	15834.8147581	2739849701.42
H1C1 WA	1990s	700149.1542	57	153688.91	12283.3184947	1887809830.64
H1C1 WA	2000s	622150.557532	53	174687.26	11738.6897648	2050599551.0
H1C2	<1950	240934.153707	22	158207.14	10951.5524412	1732613790.29
H1C2	1950s	58746.9086509	5	32008.03	11749.3817302	376074562.901
H1C2	1960s	182542.565066	14	101091.93	13038.7546475	1318112872.12
H1C2	1970s	121301.333595	9	63745.32	13477.925955	859154702.938
H1C2	1980s	133345.556817	9	63745.32	14816.1729797	944461687.764
H1C2	1990s	95107.8886641	5	40020.77	19021.5777328	761258187.482
H1C2	2000s	50599.9626494	5	24315.16	10119.9925299	246069237.563
H1C3	<1950	135149.871833	13	41459.68	10396.1439872	431020802.943
H1C3	1950s	177958.357354	12	37923.97	14829.8631128	562407283.795
H1C3	1960s	66986.8267012	6	23159.96	11164.4711169	258568704.488
H1C3	1970s	325365.503977	18	64175.09	18075.8613321	1160020027.81
H1C3	1980s	107431.469244	6	27145.56	17905.244874	486047899.042
H1C3	1990s	226570.034094	15	51810.0	15104.6689396	782572897.762
H1C3	2000s	364338.483308	25	88793.93	14573.5393323	1294041831.32
H2	<1950	882109.926399	42	113644.53	21002.6172952	2386832571.28
H2	1950s	418469.165463	23	76123.43	18194.3115419	1385013401.06
H2	1960s	285010.578778	14	41172.69	20357.8984842	838189443.341
H2	1970s	481442.111176	28	81116.46	17194.3611134	1394745705.48
H2	1980s	279252.520529	13	28186.6	21480.9631176	605475315.01
H2	1990s	648795.975984	42	115281.64	15447.5232377	1780815812.78
H2	2000s	512975.084537	33	83859.62	15544.6995314	1303572595.72
H3	<1950	273837.51541	28	67847.04	9779.91126463	663538030.768
H3	1950s	148429.560199	14	25534.5	10602.1114428	270719614.635
H3	1960s	289284.005052	19	38533.22	15225.4739501	586686537.323
H3	1970s	301638.279394	24	50904.96	12568.2616414	639786856.125
H3	1980s	246143.635904	19	32422.87	12954.9282055	420035953.065
H3	1990s	262957.844565	23	35124.71	11432.9497637	401579044.894
H3	2000s	258310.336372	24	35696.29	10762.9306822	384196694.881
