Dependency=Location Heating Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None	Count	Weight
H1	<1950	Crawl	0.0	0.0	0.0	1.0	5.0	4150.15
H1	1950s	Crawl	0.0	0.0	0.0	1.0	2.0	1846.34
H1	1960s	Crawl	0.0	0.0	0.0	1.0	0.0	0.0
H1	1970s	Crawl	0.0	0.0	0.0	1.0	0.0	0.0
H1	1980s	Crawl	0.0	0.0	0.0	1.0	0.0	0.0
H1	1990s	Crawl	0.0	0.0	0.0	1.0	0.0	0.0
H1	2000s	Crawl	0.0	0.0	0.0	1.0	0.0	0.0
H1	<1950	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H1	1950s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H1	1960s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H1	1970s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H1	1980s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H1	1990s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H1	2000s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H1	<1950	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H1	1950s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H1	1960s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H1	1970s	Slab	0.0	0.0	0.0	1.0	1.0	2003.71
H1	1980s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H1	1990s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H1	2000s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H1	<1950	Unheated Basement	0.692177846051	0.185220908764	0.122601245184	0.0	15.0	24843.9061224
H1	1950s	Unheated Basement	0.348831616287	0.0	0.651168383713	0.0	2.0	2660.30124931
H1	1960s	Unheated Basement	0.0	0.422058765123	0.577941234877	0.0	0.0	2328.18084105
H1	1970s	Unheated Basement	0.333333333333	0.333333333333	0.333333333333	0.0	0.0	0.0
H1	1980s	Unheated Basement	0.345508731229	0.0	0.654491268771	0.0	0.0	1539.8208816
H1	1990s	Unheated Basement	0.333333333333	0.333333333333	0.333333333333	0.0	0.0	0.0
H1	2000s	Unheated Basement	0.178887188201	0.0	0.821112811799	0.0	1.0	2854.87090567
H2	<1950	Crawl	0.0	0.0	0.0	1.0	4.0	2727.32
H2	1950s	Crawl	0.0	0.0	0.0	1.0	1.0	952.14
H2	1960s	Crawl	0.0	0.0	0.0	1.0	1.0	952.14
H2	1970s	Crawl	0.0	0.0	0.0	1.0	0.0	0.0
H2	1980s	Crawl	0.0	0.0	0.0	1.0	0.0	0.0
H2	1990s	Crawl	0.0	0.0	0.0	1.0	0.0	0.0
H2	2000s	Crawl	0.0	0.0	0.0	1.0	0.0	0.0
H2	<1950	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H2	1950s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H2	1960s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H2	1970s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H2	1980s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H2	1990s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H2	2000s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
