Dependency=Location Heating Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=Uninsulated, Unvented	Option=Uninsulated, Vented	Option=Wall R-13, Unvented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=Ceiling R-30, Vented	Option=None	Count	Weight
H1	<1950	Crawl	0.163765707467	0.260718521623	0.00373771228293	0.162282378842	0.357333106249	0.0521625735359	0.0	167.0	335642.90006
H1	1950s	Crawl	0.313201265679	0.145000838976	0.0	0.0531117677119	0.459978858515	0.0287072691175	0.0	69.0	146644.253157
H1	1960s	Crawl	0.143513729224	0.261732946553	0.00130146870674	0.176578263718	0.298088387871	0.118785203928	0.0	82.0	230764.217699
H1	1970s	Crawl	0.0845472985158	0.181863092667	0.00467738277565	0.184959598783	0.35643449434	0.187518132918	0.0	100.0	276569.180331
H1	1980s	Crawl	0.154272271914	0.0201067541223	0.0186542278354	0.146662508894	0.640963447933	0.0193407893007	0.0	60.0	187429.344175
H1	1990s	Crawl	0.0620018388177	0.027709005434	0.0145794228412	0.0135009151574	0.572578168937	0.309630648813	0.0	79.0	252156.713844
H1	2000s	Crawl	0.0560299922456	0.0170179042653	0.0174787597251	0.0401476839997	0.352405562185	0.51692009758	0.0	69.0	240458.825735
H1	<1950	Heated Basement	0.0	0.0	0.0	0.0	0.0	0.0	1.0	45.0	53160.6
H1	1950s	Heated Basement	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	6232.455
H1	1960s	Heated Basement	0.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	20443.145
H1	1970s	Heated Basement	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12.0	19602.925
H1	1980s	Heated Basement	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	5230.6
H1	1990s	Heated Basement	0.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	14354.495
H1	2000s	Heated Basement	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	10554.16
H1	<1950	Slab	0.0	0.0	0.0	0.0	0.0	0.0	1.0	21.0	35007.09
H1	1950s	Slab	0.0	0.0	0.0	0.0	0.0	0.0	1.0	15.0	20081.965
H1	1960s	Slab	0.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	17833.83
