Dependency=Location Heating Region	Dependency=Geometry Foundation Type	Dependency=Vintage	Option=Uninsulated	Option=4ft R5 Perimeter, R5 Gap	Option=R10 Whole Slab, R5 Gap	Option=None	Count	Weight
H1	Crawl	<1950	0.0	0.0	0.0	1.0	20	23962.885
H1	Crawl	1950s	0.0	0.0	0.0	1.0	17	20081.965
H1	Crawl	1960s	0.0	0.0	0.0	1.0	15	25135.355
H1	Crawl	1970s	0.0	0.0	0.0	1.0	15	29405.73
H1	Crawl	1980s	0.0	0.0	0.0	1.0	8	17520.01
H1	Crawl	1990s	0.0	0.0	0.0	1.0	6	13838.475
H1	Crawl	2000s	0.0	0.0	0.0	1.0	6	8174.635
H1	Heated Basement	<1950	0.0	0.0	0.0	1.0	3	11384.925
H1	Heated Basement	1950s	0.0	0.0	0.0	1.0	1	2003.71
H1	Heated Basement	1960s	0.0	0.0	0.0	1.0	3	12757.6
H1	Heated Basement	1970s	0.0	0.0	0.0	1.0	4	15416.545
H1	Heated Basement	1980s	0.0	0.0	0.0	1.0	3	2906.135
H1	Heated Basement	1990s	0.0	0.0	0.0	1.0	1	6932.73
H1	Heated Basement	2000s	0.0	0.0	0.0	1.0	1	6932.73
H1	Slab	<1950	0.980535188807	0.0	0.0194648111931	0.0	27	51470.06
H1	Slab	1950s	1.0	0.0	0.0	0.0	20	30827.925
H1	Slab	1960s	0.881366286487	0.0	0.118633713513	0.0	17	29219.055
H1	Slab	1970s	1.0	0.0	0.0	0.0	18	37829.545
H1	Slab	1980s	0.578190174251	0.199947941715	0.221861884034	0.0	12	34672.675
H1	Slab	1990s	0.91869122667	0.0	0.08130877333	0.0	9	19834.145
H1	Slab	2000s	0.630450381229	0.0595506867102	0.30999893206	0.0	13	31977.465
H1	Unheated Basement	<1950	0.0	0.0	0.0	1.0	1	1524.76
H1	Unheated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H1	Unheated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H1	Unheated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H1	Unheated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H1	Unheated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H1	Unheated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H2	Crawl	<1950	0.0	0.0	0.0	1.0	3	7670.515
H2	Crawl	1950s	0.0	0.0	0.0	1.0	1	572.335
