ParameterName=HVAC System Heating																				
Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Combined	None	Electric Baseboard	Electric Boiler	"Gas Boiler, 96% AFUE"	"Gas Boiler, 72% AFUE"	"Gas Boiler, 76% AFUE"	"Gas Boiler, 80% AFUE"	"Gas Boiler, 85% AFUE"	"Oil Boiler, 72% AFUE"	"Propane Boiler, 72% AFUE"	Electric Furnace	"Gas Furnace, 60% AFUE"	"Gas Furnace, 68% AFUE"	"Gas Furnace, 76% AFUE"	"Gas Furnace, 80% AFUE"	"Gas Furnace, 90% AFUE"	"Gas Furnace, 96% AFUE"
H1C1 OR	pre-1950	Electricity	No	0.052817191	0.676497858	0	0	0	0	0	0	0	0	0.270684951	0	0	0	0	0	0
H1C1 OR	1950s	Electricity	No	0.070471898	0.929528102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1960s	Electricity	No	0.508134517	0.203412389	0	0	0	0	0	0	0	0	0.288453093	0	0	0	0	0	0
H1C1 OR	1970s	Electricity	No	0.095629117	0.236715276	0	0	0	0	0	0	0	0	0.667655608	0	0	0	0	0	0
H1C1 OR	1980s	Electricity	No	0	1.000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1990s	Electricity	No	0.219179516	0.671230726	0	0	0	0	0	0	0	0	0.109589758	0	0	0	0	0	0
H1C1 OR	2000s	Electricity	No	0.500000001	0.212092648	0	0	0	0	0	0	0	0	0.287907352	0	0	0	0	0	0
H1C1 OR	2010s	Electricity	No	0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
H1C1 WA	pre-1950	Electricity	No	0.035751394	0.824042559	0	0	0	0	0	0	0	0	0.140206047	0	0	0	0	0	0
H1C1 WA	1950s	Electricity	No	0.039228432	0.706883649	0.107329743	0	0	0	0	0	0	0	0.146558175	0	0	0	0	0	0
H1C1 WA	1960s	Electricity	No	0.030922054	0.721897561	0	0	0	0	0	0	0	0	0.111658111	0	0	0	0	0.135522274	0
H1C1 WA	1970s	Electricity	No	0.045500667	0.721621021	0	0	0	0	0	0	0	0	0.232878312	0	0	0	0	0	0
H1C1 WA	1980s	Electricity	No	0.046713827	0.471245678	0	0	0	0	0	0	0	0	0.482040495	0	0	0	0	0	0
H1C1 WA	1990s	Electricity	No	0.078164529	0.582712011	0.056520577	0	0	0	0	0	0	0	0.282602883	0	0	0	0	0	0
H1C1 WA	2000s	Electricity	No	0.181515123	0.285413051	0.220309496	0	0	0	0	0	0	0	0.312762331	0	0	0	0	0	0
H1C1 WA	2010s	Electricity	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	pre-1950	Electricity	No	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1950s	Electricity	No	0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
H1C2	1960s	Electricity	No	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1970s	Electricity	No	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H1C2	1980s	Electricity	No	0.927188841	0.072811159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1990s	Electricity	No	0	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625	0.0625
H1C2	2000s	Electricity	No	0	0.188719805	0	0	0	0	0	0	0	0	0.811280195	0	0	0	0	0	0
H1C2	2010s	Electricity	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	pre-1950	Electricity	No	0.285468678	0.570937355	0	0	0	0	0	0	0	0	0.143593966	0	0	0	0	0	0
H1C3	1950s	Electricity	No	0.502860767	0.497139233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1960s	Electricity	No	0	1.000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1970s	Electricity	No	0	0.249249439	0	0	0	0	0	0	0	0	0.750750561	0	0	0	0	0	0
H1C3	1980s	Electricity	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1990s	Electricity	No	0.260762756	0.220833853	0	0	0	0	0	0	0	0	0.518403392	0	0	0	0	0	0
H1C3	2000s	Electricity	No	0	1.000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	2010s	Electricity	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	pre-1950	Electricity	No	0.295432198	0.535491667	0	0	0	0	0	0	0	0	0.169076136	0	0	0	0	0	0
H2	1950s	Electricity	No	0	0.784054239	0	0	0	0	0	0	0	0	0.215945762	0	0	0	0	0	0
H2	1960s	Electricity	No	0	0.900541056	0	0	0	0	0	0	0	0	0.099458944	0	0	0	0	0	0
H2	1970s	Electricity	No	0.175097422	0.469915879	0	0	0	0	0	0	0	0	0.354986699	0	0	0	0	0	0
H2	1980s	Electricity	No	0.111321782	0.353418604	0	0	0	0	0	0	0	0	0.535259615	0	0	0	0	0	0
H2	1990s	Electricity	No	0.214840546	0.278125137	0.184773497	0	0	0	0	0	0	0	0.322260819	0	0	0	0	0	0
H2	2000s	Electricity	No	0.562070127	0	0.145447824	0	0	0	0	0	0	0	0.292482049	0	0	0	0	0	0
H2	2010s	Electricity	No	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	pre-1950	Electricity	No	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H3	1950s	Electricity	No	0	0	0	0	0	0	0	0	0	0	0.999999999	0	0	0	0	0	0
H3	1960s	Electricity	No	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1970s	Electricity	No	0.095075971	0.904924029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1980s	Electricity	No	0.188419944	0.623160113	0	0	0	0	0	0	0	0	0.188419944	0	0	0	0	0	0
H3	1990s	Electricity	No	0.399166218	0.461341607	0.139492175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	2000s	Electricity	No	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	2010s	Electricity	No	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
H1C1 OR	pre-1950	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1950s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1960s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1970s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1980s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1990s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	2000s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	2010s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
