Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=Vintage ACS	Option=Central AC	Option=Heat Pump	Option=None	Option=Room AC	sample_count	sample_weight
1A	Mobile Home	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
1A	Mobile Home	Ducted Heating	1940-59	0.333333	0.000000	0.333333	0.333333	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
1A	Mobile Home	Non-Ducted Heating	1940-59	0.000000	0.000000	0.000000	1.000000	3.000000	2610.674561
1A	Mobile Home	None	1940-59	0.000000	0.000000	0.000000	1.000000	3.000000	2610.674561
1A	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000	1.000000	432.995209
1A	Multi-Family with 2 - 4 Units	Ducted Heating	1940-59	0.895813	0.000000	0.000000	0.104187	16.000000	7585.647949
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1940-59	0.157615	0.000000	0.192165	0.650220	19.000000	4222.512695
1A	Multi-Family with 2 - 4 Units	None	1940-59	0.157615	0.000000	0.192165	0.650220	19.000000	4222.512695
1A	Multi-Family with 5+ Units	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000	1.000000	432.995209
1A	Multi-Family with 5+ Units	Ducted Heating	1940-59	0.895813	0.000000	0.000000	0.104187	16.000000	7585.647949
1A	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
1A	Multi-Family with 5+ Units	Non-Ducted Heating	1940-59	0.157615	0.000000	0.192165	0.650220	19.000000	4222.512695
1A	Multi-Family with 5+ Units	None	1940-59	0.157615	0.000000	0.192165	0.650220	19.000000	4222.512695
1A	Single-Family Attached	Ducted Heat Pump	1940-59	0.000000	1.000000	0.000000	0.000000	32.000000	13993.928711
