occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0743,0.0743,0,0,0,0,0.358,0.529,0.529,0,0,0
1,0.0495,0.0495,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0495,0.0495,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0495,0.0495,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0495,0.0495,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0495,0.0495,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.151,0.151,0,0,0,0,0.372,0.541,0.541,0,0,0.14
0.667,0.0495,0.0495,0.517,0,0,0,0.258,0.465,0.465,0,0,0.159
0.667,0.334,0.334,0.25,0,0,0,0.403,0.692,0.692,0,0,0.119
0.667,0.343,0.343,0,0,0,0,0.3,0.692,0.692,0,0,0.342
0.667,0.334,0.334,0.5,0,0,0,0.31,0.692,0.692,0,0,0.149
0.667,0.322,0.322,0.0167,0,0,0,0.319,0.705,0.705,0,0,0.402
0.667,0.313,0.313,0,0,0,0,0.31,0.717,0.717,0,0,0.0372
0.333,0.18,0.18,0,0,0,0,0.302,0.591,0.591,0,0,0.223
0.333,0.182,0.182,0,0,0,0,0.316,0.585,0.585,0,0,0.26
0.333,0.196,0.196,0,0,0,0,0.321,0.597,0.597,0,0,0.0372
0.333,0.234,0.234,0,0,0,0,0.354,0.61,0.61,0,0,0
0.667,0.548,0.548,0.5,0,0,0,0.58,0.805,0.805,0,0,0.0743
0.667,0.669,0.669,1,0,0,0,0.673,0.817,0.817,0,0,0.0743
0.667,0.677,0.677,0.05,0,0,0,0.711,0.78,0.78,0,0,0.149
0.667,0.565,0.565,0,0,0,0,0.748,0.742,0.742,0,0,0.0743
0.667,0.43,0.43,0,0,0,0,0.729,0.717,0.717,0,0,0.0372
0.667,0.212,0.212,0,0,0,0,0.447,0.56,0.56,0,0,0
1,0.0495,0.0495,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0495,0.0495,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0495,0.0495,0,0,0,0,0.258,0.465,0.465,0,0,0.0372
1,0.0495,0.0495,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0495,0.0495,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0495,0.0495,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0833,0.0833,0.25,0,0,0,0.34,0.516,0.516,0,0,0.334
1,0.355,0.355,0.783,0,0,0,0.601,0.693,0.693,0,0,0.28
1,0.449,0.449,0,0,0,0,0.657,0.787,0.787,0,0,0.162
0.667,0.334,0.334,0,0,0,0,0.403,0.692,0.692,0,0,0.275
0.667,0.196,0.196,0,0,0,0,0.279,0.579,0.579,0,0,0.217
0.667,0.192,0.192,0,0,0,0,0.284,0.579,0.579,0,0,0.168
0.667,0.186,0.186,0,0,0,0,0.288,0.585,0.585,0,0,0.365
0.667,0.181,0.181,0,0,0.233,0,0.284,0.591,0.591,0,0.295,0.154
0.667,0.18,0.18,0,0,0.25,0.217,0.302,0.591,0.591,0,0.44,0
0.667,0.182,0.182,0.25,0,0,0.6,0.316,0.585,0.585,0,0.55,0
0.667,0.343,0.343,0,0,0,0,0.384,0.73,0.73,0,0.479,0.186
0.333,0.234,0.234,0,0.4,0,0,0.354,0.61,0.61,0.707,0.379,0.0743
0.667,0.548,0.548,0,0.667,0,0,0.58,0.805,0.805,0,0.287,0.112
0.667,0.669,0.669,0,0,0,0,0.673,0.817,0.817,0,0,0.223
0.667,0.677,0.677,0,0.65,0,0,0.711,0.78,0.78,0.635,0,0.417
0.667,0.307,0.307,0,0.15,0,0,0.503,0.604,0.604,0,0,0.112
1,0.43,0.43,0,0,0,0,0.729,0.717,0.717,0,0,0.195
1,0.374,0.374,0,0,0,0,0.636,0.655,0.655,0,0,0.186
1,0.116,0.116,0,0,0,0,0.405,0.535,0.535,0,0,0.0372
1,0.0495,0.0495,0,0,0,0,0.258,0.465,0.465,0,0,0
