Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=Propane Boiler, 80% AFUE	Option=Propane Boiler, 76% AFUE	Option=Propane Boiler, 72% AFUE	Option=Propane Furnace, 96% AFUE	Option=Propane Furnace, 92% AFUE	Option=Propane Furnace, 80% AFUE	Option=Propane Furnace, 76% AFUE	Option=Propane Furnace, 60% AFUE	Option=Propane Wall/Floor Furnace, 68% AFUE	Option=Propane Wall/Floor Furnace, 60% AFUE
CR02	1950s	Propane	No	Only Cooling Shared	0.000000	0.075321	0.014934	0.020429	0.000000	0.200571	0.405170	0.201898	0.048592	0.017624	0.015460
CR02	1960s	Propane	No	Only Cooling Shared	0.000000	0.105263	0.025003	0.038113	0.000000	0.208428	0.402051	0.179822	0.041321	0.000000	0.000000
CR02	1970s	Propane	No	Only Cooling Shared	0.000000	0.031972	0.005275	0.006208	0.000000	0.217711	0.420052	0.252255	0.066528	0.000000	0.000000
CR02	1980s	Propane	No	Only Cooling Shared	0.000000	0.007155	0.002614	0.004707	0.000000	0.198070	0.355429	0.329873	0.102152	0.000000	0.000000
CR02	1990s	Propane	No	Only Cooling Shared	0.000000	0.000000	0.000000	0.000000	0.102113	0.422095	0.474580	0.001212	0.000000	0.000000	0.000000
CR02	2000s	Propane	No	Only Cooling Shared	0.000000	0.000000	0.000000	0.000000	0.129646	0.599839	0.269890	0.000624	0.000000	0.000000	0.000000
CR02	<1940	Propane	No	Only Cooling Shared	0.000000	0.134061	0.010870	0.000000	0.000000	0.290448	0.558988	0.000000	0.000000	0.003943	0.001690
CR05	1950s	Propane	No	Only Cooling Shared	0.000000	0.051753	0.010261	0.014037	0.000000	0.205162	0.414444	0.206519	0.049705	0.025634	0.022486
CR05	1960s	Propane	No	Only Cooling Shared	0.000000	0.084030	0.019959	0.030425	0.000000	0.216940	0.418470	0.187166	0.043008	0.000000	0.000000
CR05	1970s	Propane	No	Only Cooling Shared	0.000000	0.052242	0.008619	0.010144	0.000000	0.195761	0.377702	0.226823	0.059821	0.042990	0.025900
CR05	1980s	Propane	No	Only Cooling Shared	0.000000	0.019947	0.007286	0.013121	0.000000	0.190856	0.342484	0.317858	0.098431	0.005951	0.004066
CR05	1990s	Propane	No	Only Cooling Shared	0.000000	0.139093	0.011278	0.000000	0.001242	0.048962	0.705282	0.021142	0.000000	0.051101	0.021900
CR05	2000s	Propane	No	Only Cooling Shared	0.000000	0.130408	0.010574	0.000000	0.027673	0.190084	0.629409	0.011853	0.000000	0.000000	0.000000
CR05	<1940	Propane	No	Only Cooling Shared	0.000000	0.055616	0.004509	0.000000	0.000000	0.268248	0.516264	0.000000	0.000000	0.108754	0.046609
CR03	1950s	Propane	No	Only Cooling Shared	0.000000	0.238651	0.047318	0.064729	0.000000	0.152098	0.307251	0.153104	0.036849	0.000000	0.000000
CR03	1960s	Propane	No	Only Cooling Shared	0.000000	0.202942	0.048204	0.073480	0.000000	0.153063	0.295254	0.132056	0.030345	0.037459	0.027196
CR03	1970s	Propane	No	Only Cooling Shared	0.000000	0.440072	0.072601	0.085447	0.000000	0.091468	0.176479	0.105981	0.027951	0.000000	0.000000
CR03	1980s	Propane	No	Only Cooling Shared	0.000000	0.166315	0.060755	0.109401	0.000000	0.117640	0.211101	0.195922	0.060671	0.046453	0.031741
CR03	1990s	Propane	No	Only Cooling Shared	0.000000	0.393358	0.031894	0.000000	0.044872	0.168053	0.251302	0.009507	0.000000	0.070710	0.030304
CR03	2000s	Propane	No	Only Cooling Shared	0.000000	0.137968	0.011187	0.000000	0.063971	0.378198	0.272489	0.007791	0.000000	0.089877	0.038519
