Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane	source_count	source_weight	sampling_probability
Mobile Home	CA, 03705	1940s	0.27644	0.00942408	0.543246	0.0703665	0.0467016	0.053822	0	0	0
Mobile Home	CA, 03705	1950s	0.245718	0.0144714	0.555286	0.0614294	0.0341996	0.0888955	7	87	6.14594e-05
Mobile Home	CA, 03705	1960s	0.206208	0	0.776053	0	0	0.0177384	27	451	0.0003186
Mobile Home	CA, 03705	1970s	0.36725	0	0.583466	0.0492846	0	0	44	629	0.000444345
Mobile Home	CA, 03705	1980s	0.530259	0	0.469741	0	0	0	18	347	0.000245131
Mobile Home	CA, 03705	1990s	0.241026	0	0.692308	0.0666667	0	0	12	195	0.000137753
Mobile Home	CA, 03705	2000s	0.178378	0	0.821622	0	0	0	10	185	0.00013069
Mobile Home	CA, 03705	2010s	0.243698	0.00650826	0.539669	0.0572314	0.0295455	0.123347	4	55	3.88536e-05
Mobile Home	CA, 03705	<1940	0.23987	0.00605496	0.467629	0.172799	0.0843037	0.0293433	0	0	0
Multi-Family with 2 - 4 Units	CA, 03705	1940s	0.257133	0.00100602	0.66116	0.0642833	0.00314928	0.0132678	2	57	4.02665e-05
Multi-Family with 2 - 4 Units	CA, 03705	1950s	0.252543	0.000514998	0.666475	0.0621459	0.00411154	0.0142089	3	73	5.15694e-05
Multi-Family with 2 - 4 Units	CA, 03705	1960s	0.532407	0	0.435185	0.0324074	0	0	14	216	0.000152589
Multi-Family with 2 - 4 Units	CA, 03705	1970s	0.52809	0	0.47191	0	0	0	10	178	0.000125745
Multi-Family with 2 - 4 Units	CA, 03705	1980s	0.265517	0	0.734483	0	0	0	11	290	0.000204865
Multi-Family with 2 - 4 Units	CA, 03705	1990s	0.398895	0.00190177	0.525946	0.0456092	0.00463766	0.0230104	2	94	6.64046e-05
Multi-Family with 2 - 4 Units	CA, 03705	2000s	0.355009	0.0011379	0.574909	0.0444787	0.0051373	0.0193276	1	21	1.48351e-05
Multi-Family with 2 - 4 Units	CA, 03705	2010s	0.378071	0	0.545984	0.058399	0.00456863	0.0129776	1	10	7.06432e-06
Multi-Family with 2 - 4 Units	CA, 03705	<1940	0.22255	0.000937785	0.699453	0.0569101	0.00583436	0.0143146	1	12	8.47715e-06
Multi-Family with 5+ Units	CA, 03705	1940s	0.656371	0	0.343629	0	0	0	14	259	0.000182966
Multi-Family with 5+ Units	CA, 03705	1950s	0.599634	0	0.310786	0.0895795	0	0	49	1094	0.000772833
Multi-Family with 5+ Units	CA, 03705	1960s	0.527655	0	0.383481	0.0837021	0	0.00516224	120	2712	0.00191583
Multi-Family with 5+ Units	CA, 03705	1970s	0.622923	0	0.325522	0.0515552	0	0	204	4694	0.00331598
Multi-Family with 5+ Units	CA, 03705	1980s	0.537691	0	0.446494	0.0158144	0	0	166	3794	0.00268019
Multi-Family with 5+ Units	CA, 03705	1990s	0.625647	0	0.313378	0.0469327	0	0.0140429	113	2706	0.0019116
Multi-Family with 5+ Units	CA, 03705	2000s	0.615385	0	0.32028	0.0524476	0	0.0118881	69	1430	0.0010102
Multi-Family with 5+ Units	CA, 03705	2010s	0.574409	0	0.396384	0.0292072	0	0	32	719	0.000507923
Multi-Family with 5+ Units	CA, 03705	<1940	0.342642	0.00203135	0.522612	0.102219	0.0197163	0.0107792	3	57	4.02665e-05
Single-Family Attached	CA, 03705	1940s	0.208407	0.00054167	0.690339	0.0799157	0.00870541	0.0120908	1	28	1.978e-05
Single-Family Attached	CA, 03705	1950s	0.231061	0	0.768939	0	0	0	13	264	0.000186497
Single-Family Attached	CA, 03705	1960s	0.792727	0	0.156364	0	0	0.0509091	17	275	0.000194268
Single-Family Attached	CA, 03705	1970s	0.438874	0	0.511676	0.0309066	0	0.018544	85	1456	0.00102856
Single-Family Attached	CA, 03705	1980s	0.246206	0	0.697302	0.0118044	0	0.044688	70	1186	0.000837825
Single-Family Attached	CA, 03705	1990s	0.430052	0	0.502591	0.0673575	0	0	15	193	0.000136341
Single-Family Attached	CA, 03705	2000s	0.278195	0	0.721805	0	0	0	17	266	0.00018791
Single-Family Attached	CA, 03705	2010s	0.296508	0.000531138	0.646838	0.0223078	0.0163325	0.0174833	6	165	0.000116561
Single-Family Attached	CA, 03705	<1940	0.232409	0.00100237	0.668846	0.0764595	0.0076343	0.0136485	2	53	3.74408e-05
Single-Family Detached	CA, 03705	1940s	0.267081	0	0.645963	0	0.0641822	0.0227743	57	966	0.00068241
Single-Family Detached	CA, 03705	1950s	0.162693	0	0.817559	0.00347897	0.00112555	0.0151438	587	9773	0.00690393
Single-Family Detached	CA, 03705	1960s	0.140717	0.00325733	0.831488	0.0116178	0.00662324	0.0062975	616	9210	0.00650623
Single-Family Detached	CA, 03705	1970s	0.192742	0	0.793856	0.00557145	0	0.00783015	444	6641	0.00469139
Single-Family Detached	CA, 03705	1980s	0.176159	0.00390843	0.782524	0.0203797	0.00223339	0.0147962	253	3582	0.00253044
Single-Family Detached	CA, 03705	1990s	0.189498	0	0.771689	0	0.00456621	0.0342466	122	1752	0.00123767
Single-Family Detached	CA, 03705	2000s	0.216735	0.00594422	0.746685	0	0	0.0306356	109	2187	0.00154496
Single-Family Detached	CA, 03705	2010s	0.193473	0	0.771562	0	0	0.034965	16	429	0.000303057
Single-Family Detached	CA, 03705	<1940	0.196429	0	0.706845	0	0	0.0967262	46	672	0.000474721
Mobile Home	CA, 03706	1940s	0.27644	0.00942408	0.543246	0.0703665	0.0467016	0.053822	0	0	0
Mobile Home	CA, 03706	1950s	0.245718	0.0144714	0.555286	0.0614294	0.0341996	0.0888955	3	29	2.06995e-05
Mobile Home	CA, 03706	1960s	0.169697	0	0.181818	0.278788	0	0.369697	10	165	0.000117773
Mobile Home	CA, 03706	1970s	0.471579	0	0.528421	0	0	0	34	475	0.000339043
Mobile Home	CA, 03706	1980s	0.187845	0	0.812155	0	0	0	15	181	0.000129193
Mobile Home	CA, 03706	1990s	0.250204	0.011341	0.482191	0.0385061	0.0712372	0.146521	8	114	8.13705e-05
Mobile Home	CA, 03706	2000s	0.0798319	0	0.920168	0	0	0	11	238	0.000169879
Mobile Home	CA, 03706	2010s	0.243698	0.00650826	0.539669	0.0572314	0.0295455	0.123347	6	107	7.6374e-05
Mobile Home	CA, 03706	<1940	0.23987	0.00605496	0.467629	0.172799	0.0843037	0.0293433	0	0	0
Multi-Family with 2 - 4 Units	CA, 03706	1940s	0.257133	0.00100602	0.66116	0.0642833	0.00314928	0.0132678	5	54	3.85439e-05
Multi-Family with 2 - 4 Units	CA, 03706	1950s	0.252543	0.000514998	0.666475	0.0621459	0.00411154	0.0142089	5	82	5.85298e-05
Multi-Family with 2 - 4 Units	CA, 03706	1960s	0.314509	0.00068541	0.59464	0.0724384	0.00391759	0.013809	3	54	3.85439e-05
Multi-Family with 2 - 4 Units	CA, 03706	1970s	0.376441	0.000294134	0.556915	0.0490744	0.00447175	0.012804	3	41	2.92648e-05
Multi-Family with 2 - 4 Units	CA, 03706	1980s	0.381514	0.000568711	0.552781	0.0454061	0.00449524	0.0152342	3	29	2.06995e-05
Multi-Family with 2 - 4 Units	CA, 03706	1990s	0.398895	0.00190177	0.525946	0.0456092	0.00463766	0.0230104	1	27	1.9272e-05
Multi-Family with 2 - 4 Units	CA, 03706	2000s	0.355009	0.0011379	0.574909	0.0444787	0.0051373	0.0193276	2	48	3.42612e-05
