Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Dependency=Geometry Foundation Type	Option=None	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	sampling_probability
CR11	<1940	Mobile Home	Ambient	0	1	0	0	0.000420102
CR11	1940s	Mobile Home	Ambient	0	1	0	0	0.00018269
CR11	1950s	Mobile Home	Ambient	0	1	0	0	0.000373623
CR11	1960s	Mobile Home	Ambient	0	1	0	0	0.00119918
CR11	1970s	Mobile Home	Ambient	0	1	0	0	0.0020591
CR11	1980s	Mobile Home	Ambient	0	0.23	0.17	0.6	0.00108384
CR11	1990s	Mobile Home	Ambient	0	0.41	0.51	0.08	0.000726778
CR11	2000s	Mobile Home	Ambient	0	0	0	1	0.000796564
CR11	2010s	Mobile Home	Ambient	0	0	0	1	0.000301316
CR11	<1940	Multi-Family with 2 - 4 Units	Ambient	0	1	0	0	0
CR11	1940s	Multi-Family with 2 - 4 Units	Ambient	0	1	0	0	0
CR11	1950s	Multi-Family with 2 - 4 Units	Ambient	0	1	0	0	0
CR11	1960s	Multi-Family with 2 - 4 Units	Ambient	0	1	0	0	0
CR11	1970s	Multi-Family with 2 - 4 Units	Ambient	0	1	0	0	0
CR11	1980s	Multi-Family with 2 - 4 Units	Ambient	0	0.23	0.17	0.6	0
CR11	1990s	Multi-Family with 2 - 4 Units	Ambient	0	0.41	0.51	0.08	0
CR11	2000s	Multi-Family with 2 - 4 Units	Ambient	0	0	0	1	0
CR11	2010s	Multi-Family with 2 - 4 Units	Ambient	0	0	0	1	0
CR11	<1940	Multi-Family with 5+ Units	Ambient	0	1	0	0	0
CR11	1940s	Multi-Family with 5+ Units	Ambient	0	1	0	0	0
CR11	1950s	Multi-Family with 5+ Units	Ambient	0	1	0	0	0
CR11	1960s	Multi-Family with 5+ Units	Ambient	0	1	0	0	0
CR11	1970s	Multi-Family with 5+ Units	Ambient	0	1	0	0	0
CR11	1980s	Multi-Family with 5+ Units	Ambient	0	0.23	0.17	0.6	0
CR11	1990s	Multi-Family with 5+ Units	Ambient	0	0.41	0.51	0.08	0
CR11	2000s	Multi-Family with 5+ Units	Ambient	0	0	0	1	0
CR11	2010s	Multi-Family with 5+ Units	Ambient	0	0	0	1	0
CR11	<1940	Single-Family Attached	Ambient	0	1	0	0	0
CR11	1940s	Single-Family Attached	Ambient	0	1	0	0	0
CR11	1950s	Single-Family Attached	Ambient	0	1	0	0	0
CR11	1960s	Single-Family Attached	Ambient	0	1	0	0	0
CR11	1970s	Single-Family Attached	Ambient	0	1	0	0	0
CR11	1980s	Single-Family Attached	Ambient	0	0.23	0.17	0.6	0
CR11	1990s	Single-Family Attached	Ambient	0	0.41	0.51	0.08	0
CR11	2000s	Single-Family Attached	Ambient	0	0	0	1	0
CR11	2010s	Single-Family Attached	Ambient	0	0	0	1	0
CR11	<1940	Single-Family Detached	Ambient	0	1	0	0	0.0063353
CR11	1940s	Single-Family Detached	Ambient	0	1	0	0	0.00218929
CR11	1950s	Single-Family Detached	Ambient	0	1	0	0	0.00419458
CR11	1960s	Single-Family Detached	Ambient	0	1	0	0	0.00126549
CR11	1970s	Single-Family Detached	Ambient	0	1	0	0	0.000671098
CR11	1980s	Single-Family Detached	Ambient	0	0.23	0.17	0.6	0.000732875
CR11	1990s	Single-Family Detached	Ambient	0	0.41	0.51	0.08	0.000543923
CR11	2000s	Single-Family Detached	Ambient	0	0	0	1	0.000622977
CR11	2010s	Single-Family Detached	Ambient	0	0	0	1	0.000279036
CR11	<1940	Mobile Home	Heated Basement	0	1	0	0	0
CR11	1940s	Mobile Home	Heated Basement	0	1	0	0	0
CR11	1950s	Mobile Home	Heated Basement	0	1	0	0	0
CR11	1960s	Mobile Home	Heated Basement	0	1	0	0	0
CR11	1970s	Mobile Home	Heated Basement	0	1	0	0	0
CR11	1980s	Mobile Home	Heated Basement	0	1	0	0	0
CR11	1990s	Mobile Home	Heated Basement	0	1	0	0	0
CR11	2000s	Mobile Home	Heated Basement	0	1	0	0	0
CR11	2010s	Mobile Home	Heated Basement	0	1	0	0	0
