Dependency=AHS Region	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=0-499	Option=500-749	Option=750-999	Option=1000-1499	Option=1500-1999	Option=2000-2499	Option=2500-2999	Option=3000-3999	Option=4000+	source_count	source_weight	sampling_probability
CBSA Los Angeles-Long Beach-Anaheim, CA	Mobile Home	1940-59	0	0.475482	0	0.524518	0	0	0	0	0	2	3317.09	0.000556313
CBSA Los Angeles-Long Beach-Anaheim, CA	Mobile Home	1960-79	0.0868867	0.0453318	0.295635	0.336526	0.23562	0	0	0	0	21	38380.9	0.00325828
CBSA Los Angeles-Long Beach-Anaheim, CA	Mobile Home	1980-99	0.0814532	0.0814532	0	0.479629	0.357465	0	0	0	0	13	23562.8	0.00181062
CBSA Los Angeles-Long Beach-Anaheim, CA	Mobile Home	2000-09	0	0.219794	0	0.580956	0.19925	0	0	0	0	5	8732.11	0.000796564
CBSA Los Angeles-Long Beach-Anaheim, CA	Mobile Home	2010s	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0	0	0.000301316
CBSA Los Angeles-Long Beach-Anaheim, CA	Mobile Home	<1940	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0	0	0.000420102
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 2 - 4 Units	1940-59	0.0607841	0.336103	0.207653	0.290199	0.0560909	0.0243067	0.0248646	0	0	39	67336.6	0.0237339
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 2 - 4 Units	1960-79	0.0486533	0.185571	0.287008	0.425833	0	0.0529341	0	0	0	45	70804.9	0.0232406
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 2 - 4 Units	1980-99	0.0968522	0.129597	0.340946	0.333882	0.00520647	0.0584939	0.0350216	0	0	39	57448.7	0.0119205
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 2 - 4 Units	2000-09	0	0.392098	0.405537	0.202365	0	0	0	0	0	5	9395.99	0.00299457
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	0	0	0	2	4630.99	0.00147802
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 2 - 4 Units	<1940	0.0771287	0.244325	0.259934	0.281851	0.0874924	0.0492687	0	0	0	41	71610.3	0.0262878
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 5+ Units	1940-59	0.0975276	0.352267	0.32736	0.187245	0.0188564	0	0	0.0108398	0.00590515	135	217123	0.0740469
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 5+ Units	1960-79	0.0508227	0.287838	0.297246	0.31324	0.0337615	0.0122845	0	0	0.00480641	223	370906	0.168483
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 5+ Units	1980-99	0.0769038	0.218304	0.24745	0.360132	0.0677256	0.00934333	0.00647045	0	0.0136702	163	263708	0.10732
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 5+ Units	2000-09	0.0537903	0.300502	0.256387	0.259808	0.114779	0	0	0.0147336	0	65	110783	0.0356767
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 5+ Units	2010s	0	0.39722	0.200875	0.401905	0	0	0	0	0	18	35487.4	0.0221817
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 5+ Units	<1940	0.268204	0.269822	0.327579	0.0827759	0.0338146	0.0178049	0	0	0	67	111862	0.0617048
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Attached	1940-59	0	0.352056	0.273505	0.266902	0.107537	0	0	0	0	40	65799.8	0.0140519
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Attached	1960-79	0.0701236	0.0950578	0.129571	0.270284	0.224177	0.135511	0.0448987	0.0235608	0.00681637	46	77038.1	0.013205
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Attached	1980-99	0	0.0201141	0.0178917	0.514424	0.314552	0.0529465	0.0208029	0.0381995	0.021069	53	94531.5	0.0100271
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Attached	2000-09	0	0.0799461	0.141541	0.525752	0.172002	0	0	0.0807592	0	14	22584.3	0.00255658
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Attached	2010s	0	0.114726	0.147427	0	0.440162	0.130675	0	0	0.16701	7	13817	0.00118248
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Attached	<1940	0.118826	0.254139	0.283545	0.227367	0.0845644	0.0315591	0	0	0	34	61440.6	0.0173134
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Detached	1940-59	0.00787677	0.0330484	0.0932954	0.396165	0.300608	0.102941	0.0372396	0.00938501	0.0194418	413	742281	0.157592
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Detached	1960-79	0.00677446	0.0108687	0.0214924	0.224859	0.319362	0.209304	0.138408	0.0615438	0.00738828	286	514330	0.0743897
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Detached	1980-99	0.00577448	0.00639271	0.0124818	0.168866	0.202007	0.195579	0.148607	0.196798	0.0634937	169	303316	0.0290069
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Detached	2000-09	0	0	0	0.056311	0.187583	0.291785	0.14189	0.154897	0.167534	70	129829	0.0118315
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Detached	2010s	0	0	0	0.0588053	0.116039	0.316704	0.0465025	0.100571	0.361378	18	39221.4	0.00529943
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Detached	<1940	0.0199648	0.0462597	0.150685	0.310526	0.25704	0.0888253	0.0680609	0.0293284	0.0293094	142	243269	0.0973329
# Created by: sources\ahs\2017\tsv_maker.py
# Source: Constructed using 2017 American Housing Survey (AHS) microdata.
# Downselected: This characteristic was downselected from project_national.
