Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Option=Yes	Option=No	source_count	source_weight	sampling_probability
3B	Mobile Home	0.544437	0.455563	371	3.08493e+06	0.0071432
3B	Single-Family Detached	0.544437	0.455563	371	3.08493e+06	0.375452
3B	Single-Family Attached	0.543065	0.456935	110	930440	0.0583364
3B	Multi-Family with 2 - 4 Units	0.543065	0.456935	110	930440	0.0896554
3B	Multi-Family with 5+ Units	0.543065	0.456935	110	930440	0.469413
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Created by: https://github.com/NREL/resstock-estimation/blob/tsp_updates/sources/recs/2009/Setback%20Distributions.ipynb
# Assumptions: RECS data is queried from two building type groups: 1) Single-Family Detached and Mobile Homes and 2) Single-Family Attached, Multi-family with 2-4 Units, and Multi-Family with 5+ Units
# Assumptions: Dependencies with sample sizes < 10 used the combined data for both multifamily and single-family homes
# Downselected: This characteristic was downselected from project_national.
