Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=Vintage ACS	Option=Central AC	Option=Heat Pump	Option=None	Option=Room AC	source_count	source_weight	sampling_probability
3B	Mobile Home	Ducted Heat Pump	1940-59	0	1	0	0	0	0	1.68536e-05
3B	Mobile Home	Ducted Heating	1940-59	0.530737	0	0.469263	0	3	30287.7	0.0003061
3B	Mobile Home	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
3B	Mobile Home	Non-Ducted Heating	1940-59	0	0	0.718815	0.281185	4	13956.9	0.000298808
3B	Mobile Home	None	1940-59	0	0	0.718815	0.281185	4	13956.9	4.4296e-05
3B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1940-59	0	1	0	0	0	0	0.000434687
3B	Multi-Family with 2 - 4 Units	Ducted Heating	1940-59	0.665879	0	0.269697	0.0644241	13	58626.7	0.0101091
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1940-59	0	0	0.496003	0.503997	49	90247.6	0.0116828
3B	Multi-Family with 2 - 4 Units	None	1940-59	0	0	0.496003	0.503997	49	90247.6	0.00187254
3B	Multi-Family with 5+ Units	Ducted Heat Pump	1940-59	0	1	0	0	0	0	0.00237887
3B	Multi-Family with 5+ Units	Ducted Heating	1940-59	0.665879	0	0.269697	0.0644241	13	58626.7	0.033259
3B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
3B	Multi-Family with 5+ Units	Non-Ducted Heating	1940-59	0	0	0.496003	0.503997	49	90247.6	0.0348221
3B	Multi-Family with 5+ Units	None	1940-59	0	0	0.496003	0.503997	49	90247.6	0.00688766
3B	Single-Family Attached	Ducted Heat Pump	1940-59	0	1	0	0	6	22415.9	0.000289865
3B	Single-Family Attached	Ducted Heating	1940-59	0.752624	0	0.192956	0.05442	130	465370	0.00569908
3B	Single-Family Attached	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
3B	Single-Family Attached	Non-Ducted Heating	1940-59	0.145703	0	0.464832	0.389465	120	207613	0.00689306
3B	Single-Family Attached	None	1940-59	0.145703	0	0.464832	0.389465	120	207613	0.00125509
3B	Single-Family Detached	Ducted Heat Pump	1940-59	0	1	0	0	6	22415.9	0.00272558
3B	Single-Family Detached	Ducted Heating	1940-59	0.752624	0	0.192956	0.05442	130	465370	0.0772699
3B	Single-Family Detached	Non-Ducted Heat Pump	1940-59	0	1	0	0	0	0	0
3B	Single-Family Detached	Non-Ducted Heating	1940-59	0.145703	0	0.464832	0.389465	120	207613	0.0785529
3B	Single-Family Detached	None	1940-59	0.145703	0	0.464832	0.389465	120	207613	0.0065179
3B	Mobile Home	Ducted Heat Pump	1960-79	0	1	0	0	1	17381.3	0.00010866
3B	Mobile Home	Ducted Heating	1960-79	0.481329	0	0.377059	0.141612	13	100667	0.00189484
3B	Mobile Home	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
3B	Mobile Home	Non-Ducted Heating	1960-79	0.125176	0	0.220953	0.653872	15	55583	0.000826262
3B	Mobile Home	None	1960-79	0.125176	0	0.220953	0.653872	15	55583	0.000220964
3B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1960-79	0	1	0	0	4	15100.1	0.000966844
3B	Multi-Family with 2 - 4 Units	Ducted Heating	1960-79	0.705631	0	0.263484	0.0308853	69	264286	0.0135632
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1960-79	0.0993587	0	0.550005	0.350637	105	201167	0.00645788
3B	Multi-Family with 2 - 4 Units	None	1960-79	0.0993587	0	0.550005	0.350637	105	201167	0.00195115
3B	Multi-Family with 5+ Units	Ducted Heat Pump	1960-79	0	1	0	0	4	15100.1	0.0117071
3B	Multi-Family with 5+ Units	Ducted Heating	1960-79	0.705631	0	0.263484	0.0308853	69	264286	0.0920966
3B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
3B	Multi-Family with 5+ Units	Non-Ducted Heating	1960-79	0.0993587	0	0.550005	0.350637	105	201167	0.048221
3B	Multi-Family with 5+ Units	None	1960-79	0.0993587	0	0.550005	0.350637	105	201167	0.0122934
3B	Single-Family Attached	Ducted Heat Pump	1960-79	0	1	0	0	14	52306.1	0.000664876
3B	Single-Family Attached	Ducted Heating	1960-79	0.719046	0	0.197064	0.0838901	217	793657	0.00870187
3B	Single-Family Attached	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
3B	Single-Family Attached	Non-Ducted Heating	1960-79	0.277285	0	0.501232	0.221483	105	175442	0.00396856
3B	Single-Family Attached	None	1960-79	0.277285	0	0.501232	0.221483	105	175442	0.000621611
3B	Single-Family Detached	Ducted Heat Pump	1960-79	0	1	0	0	14	52306.1	0.00250378
3B	Single-Family Detached	Ducted Heating	1960-79	0.719046	0	0.197064	0.0838901	217	793657	0.0477066
3B	Single-Family Detached	Non-Ducted Heat Pump	1960-79	0	1	0	0	0	0	0
3B	Single-Family Detached	Non-Ducted Heating	1960-79	0.277285	0	0.501232	0.221483	105	175442	0.0228552
3B	Single-Family Detached	None	1960-79	0.277285	0	0.501232	0.221483	105	175442	0.00282242
3B	Mobile Home	Ducted Heat Pump	1980-99	0	1	0	0	2	16983.9	8.8826e-05
3B	Mobile Home	Ducted Heating	1980-99	0.345566	0	0.654434	0	5	42579.1	0.00122743
3B	Mobile Home	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
3B	Mobile Home	Non-Ducted Heating	1980-99	0	0	0.55506	0.44494	5	30002.9	0.000290075
3B	Mobile Home	None	1980-99	0	0	0.55506	0.44494	5	30002.9	4.26619e-05
3B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	1980-99	0	1	0	0	5	20384.8	0.000548074
3B	Multi-Family with 2 - 4 Units	Ducted Heating	1980-99	0.71841	0	0.262143	0.0194474	49	200284	0.00794624
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heating	1980-99	0.187348	0	0.498406	0.314246	50	96901.4	0.00187593
3B	Multi-Family with 2 - 4 Units	None	1980-99	0.187348	0	0.498406	0.314246	50	96901.4	0.00110722
3B	Multi-Family with 5+ Units	Ducted Heat Pump	1980-99	0	1	0	0	5	20384.8	0.00872117
3B	Multi-Family with 5+ Units	Ducted Heating	1980-99	0.71841	0	0.262143	0.0194474	49	200284	0.0701084
3B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
3B	Multi-Family with 5+ Units	Non-Ducted Heating	1980-99	0.187348	0	0.498406	0.314246	50	96901.4	0.0209107
3B	Multi-Family with 5+ Units	None	1980-99	0.187348	0	0.498406	0.314246	50	96901.4	0.00777788
3B	Single-Family Attached	Ducted Heat Pump	1980-99	0	1	0	0	13	46974.5	0.000519241
3B	Single-Family Attached	Ducted Heating	1980-99	0.857237	0	0.132145	0.0106185	239	868051	0.00760578
3B	Single-Family Attached	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
3B	Single-Family Attached	Non-Ducted Heating	1980-99	0.207702	0	0.450492	0.341806	44	77275.1	0.00182836
3B	Single-Family Attached	None	1980-99	0.207702	0	0.450492	0.341806	44	77275.1	0.000604687
3B	Single-Family Detached	Ducted Heat Pump	1980-99	0	1	0	0	13	46974.5	0.00105126
3B	Single-Family Detached	Ducted Heating	1980-99	0.857237	0	0.132145	0.0106185	239	868051	0.0225958
3B	Single-Family Detached	Non-Ducted Heat Pump	1980-99	0	1	0	0	0	0	0
3B	Single-Family Detached	Non-Ducted Heating	1980-99	0.207702	0	0.450492	0.341806	44	77275.1	0.00462595
3B	Single-Family Detached	None	1980-99	0.207702	0	0.450492	0.341806	44	77275.1	0.00130493
3B	Mobile Home	Ducted Heat Pump	2000-09	0	1	0	0	1	4473.46	4.32706e-05
3B	Mobile Home	Ducted Heating	2000-09	0.863013	0	0.136987	0	5	25531.4	0.00068262
3B	Mobile Home	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
3B	Mobile Home	Non-Ducted Heating	2000-09	0	0	1	0	1	1848.21	3.41349e-05
3B	Mobile Home	None	2000-09	0	0	1	0	1	1848.21	1.41043e-05
3B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2000-09	0	1	0	0	4	8996.16	0.000297939
3B	Multi-Family with 2 - 4 Units	Ducted Heating	2000-09	1	0	0	0	24	54214.4	0.00226928
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2000-09	0.87314	0	0.12686	0	7	6049.15	0.000135851
3B	Multi-Family with 2 - 4 Units	None	2000-09	0.87314	0	0.12686	0	7	6049.15	0.000189798
3B	Multi-Family with 5+ Units	Ducted Heat Pump	2000-09	0	1	0	0	4	8996.16	0.0063769
3B	Multi-Family with 5+ Units	Ducted Heating	2000-09	1	0	0	0	24	54214.4	0.0269872
3B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
3B	Multi-Family with 5+ Units	Non-Ducted Heating	2000-09	0.87314	0	0.12686	0	7	6049.15	0.00202704
3B	Multi-Family with 5+ Units	None	2000-09	0.87314	0	0.12686	0	7	6049.15	0.00230476
3B	Single-Family Attached	Ducted Heat Pump	2000-09	0	1	0	0	8	15514.5	0.000223397
3B	Single-Family Attached	Ducted Heating	2000-09	0.910927	0	0.0542996	0.0347738	87	158244	0.00225111
3B	Single-Family Attached	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
3B	Single-Family Attached	Non-Ducted Heating	2000-09	0.906552	0	0.0934478	0	7	6211.57	0.000124286
3B	Single-Family Attached	None	2000-09	0.906552	0	0.0934478	0	7	6211.57	0.000217167
3B	Single-Family Detached	Ducted Heat Pump	2000-09	0	1	0	0	8	15514.5	0.000842413
3B	Single-Family Detached	Ducted Heating	2000-09	0.910927	0	0.0542996	0.0347738	87	158244	0.00980895
3B	Single-Family Detached	Non-Ducted Heat Pump	2000-09	0	1	0	0	0	0	0
3B	Single-Family Detached	Non-Ducted Heating	2000-09	0.906552	0	0.0934478	0	7	6211.57	0.000522539
3B	Single-Family Detached	None	2000-09	0.906552	0	0.0934478	0	7	6211.57	0.000435866
3B	Mobile Home	Ducted Heat Pump	2010s	0	1	0	0	1	4473.46	2.03058e-05
3B	Mobile Home	Ducted Heating	2010s	0.863013	0	0.136987	0	5	25531.4	0.000210193
3B	Mobile Home	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
3B	Mobile Home	Non-Ducted Heating	2010s	0	0	1	0	1	1848.21	1.15246e-05
3B	Mobile Home	None	2010s	0	0	1	0	1	1848.21	1.46922e-05
3B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	2010s	0	1	0	0	4	8996.16	8.462e-05
3B	Multi-Family with 2 - 4 Units	Ducted Heating	2010s	1	0	0	0	24	54214.4	0.000530747
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heating	2010s	0.87314	0	0.12686	0	7	6049.15	3.39421e-05
3B	Multi-Family with 2 - 4 Units	None	2010s	0.87314	0	0.12686	0	7	6049.15	4.02708e-05
3B	Multi-Family with 5+ Units	Ducted Heat Pump	2010s	0	1	0	0	4	8996.16	0.00258127
3B	Multi-Family with 5+ Units	Ducted Heating	2010s	1	0	0	0	24	54214.4	0.00921317
3B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
3B	Multi-Family with 5+ Units	Non-Ducted Heating	2010s	0.87314	0	0.12686	0	7	6049.15	0.00075071
3B	Multi-Family with 5+ Units	None	2010s	0.87314	0	0.12686	0	7	6049.15	0.000334735
3B	Single-Family Attached	Ducted Heat Pump	2010s	0	1	0	0	8	15514.5	7.72153e-05
3B	Single-Family Attached	Ducted Heating	2010s	0.910927	0	0.0542996	0.0347738	87	158244	0.000783798
3B	Single-Family Attached	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
3B	Single-Family Attached	Non-Ducted Heating	2010s	0.906552	0	0.0934478	0	7	6211.57	4.31918e-05
