Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Double, Clear, Metal, Air	Option=Double, Clear, Metal, Air, Exterior Clear Storm	Option=Double, Clear, Non-metal, Air	Option=Double, Clear, Non-metal, Air, Exterior Clear Storm	Option=Double, Low-E, Non-metal, Air, M-Gain	Option=Single, Clear, Metal	Option=Single, Clear, Metal, Exterior Clear Storm	Option=Single, Clear, Non-metal	Option=Single, Clear, Non-metal, Exterior Clear Storm	Option=Triple, Low-E, Non-metal, Air, L-Gain	source_count	source_weight
3B	Mobile Home	1940-59	0.0960222	0.0067853	0.17697	0.0250108	0.17697	0.142279	0.010054	0.341758	0.02415	0	237	249618
3B	Multi-Family with 2 - 4 Units	1940-59	0.0825916	0.00583624	0.0859397	0.0121457	0.0859397	0.353817	0.025002	0.325712	0.0230161	0	36	74822.1
3B	Multi-Family with 5+ Units	1940-59	0.0825916	0.00583624	0.0859397	0.0121457	0.0859397	0.353817	0.025002	0.325712	0.0230161	0	36	74822.1
3B	Single-Family Attached	1940-59	0.0960222	0.0067853	0.17697	0.0250108	0.17697	0.142279	0.010054	0.341758	0.02415	0	237	249618
3B	Single-Family Detached	1940-59	0.0960222	0.0067853	0.17697	0.0250108	0.17697	0.142279	0.010054	0.341758	0.02415	0	237	250367
3B	Mobile Home	1960-79	0.179747	0.0127016	0.13885	0.0196233	0.13885	0.274524	0.0193989	0.198898	0.0140549	0.00335324	310	567194
3B	Multi-Family with 2 - 4 Units	1960-79	0.197971	0.0139894	0.0543749	0.00768467	0.0543749	0.498285	0.0352107	0.120462	0.00851229	0.00913508	116	420042
3B	Multi-Family with 5+ Units	1960-79	0.197971	0.0139894	0.0543749	0.00768467	0.0543749	0.498285	0.0352107	0.120462	0.00851229	0.00913508	116	420042
3B	Single-Family Attached	1960-79	0.179747	0.0127016	0.13885	0.0196233	0.13885	0.274524	0.0193989	0.198898	0.0140549	0.00335324	310	567194
3B	Single-Family Detached	1960-79	0.179747	0.0127016	0.13885	0.0196233	0.13885	0.274524	0.0193989	0.198898	0.0140549	0.00335324	310	568897
3B	Mobile Home	1980-99	0.290252	0.0205103	0.154239	0.018391	0.106021	0.232494	0.0164289	0.143635	0.0101498	0.00787888	366	685567
3B	Multi-Family with 2 - 4 Units	1980-99	0.31267	0.0220944	0.0818488	0.0108069	0.0710852	0.375402	0.0265273	0.0929946	0.00657135	0	125	466778
3B	Multi-Family with 5+ Units	1980-99	0.31267	0.0220944	0.0818488	0.0108069	0.0710852	0.375402	0.0265273	0.0929946	0.00657135	0	125	466778
3B	Single-Family Attached	1980-99	0.290252	0.0205103	0.154239	0.018391	0.106021	0.232494	0.0164289	0.143635	0.0101498	0.00787888	366	685567
3B	Single-Family Detached	1980-99	0.290252	0.0205103	0.154239	0.018391	0.106021	0.232494	0.0164289	0.143635	0.0101498	0.00787888	366	687626
3B	Mobile Home	2000-09	0.414699	0.0293042	0.167056	0.0362411	0.34581	0	0	0	0	0.00688972	255	210377
3B	Multi-Family with 2 - 4 Units	2000-09	0.482852	0.0341202	0.169896	0.0318798	0.281251	0	0	0	0	0	45	91974.8
3B	Multi-Family with 5+ Units	2000-09	0.482852	0.0341202	0.169896	0.0318798	0.281251	0	0	0	0	0	45	91974.8
3B	Single-Family Attached	2000-09	0.414699	0.0293042	0.167056	0.0362411	0.34581	0	0	0	0	0.00688972	255	210377
3B	Single-Family Detached	2000-09	0.414699	0.0293042	0.167056	0.0362411	0.34581	0	0	0	0	0.00688972	255	211009
3B	Mobile Home	2010s	0	0	0	0	0.980466	0	0	0	0	0.0195343	255	210377
3B	Multi-Family with 2 - 4 Units	2010s	0	0	0	0	1	0	0	0	0	0	45	91974.8
3B	Multi-Family with 5+ Units	2010s	0	0	0	0	1	0	0	0	0	0	45	91974.8
3B	Single-Family Attached	2010s	0	0	0	0	0.980466	0	0	0	0	0.0195343	255	210377
3B	Single-Family Detached	2010s	0	0	0	0	0.980466	0	0	0	0	0.0195343	255	211009
3B	Mobile Home	<1940	0.0960222	0.0067853	0.17697	0.0250108	0.17697	0.142279	0.010054	0.341758	0.02415	0	237	249618
3B	Multi-Family with 2 - 4 Units	<1940	0.0825916	0.00583624	0.0859397	0.0121457	0.0859397	0.353817	0.025002	0.325712	0.0230161	0	36	74822.1
3B	Multi-Family with 5+ Units	<1940	0.0825916	0.00583624	0.0859397	0.0121457	0.0859397	0.353817	0.025002	0.325712	0.0230161	0	36	74822.1
3B	Single-Family Attached	<1940	0.0960222	0.0067853	0.17697	0.0250108	0.17697	0.142279	0.010054	0.341758	0.02415	0	237	249618
3B	Single-Family Detached	<1940	0.0960222	0.0067853	0.17697	0.0250108	0.17697	0.142279	0.010054	0.341758	0.02415	0	237	250367
# Created by: sources\recs\2015\tsv_maker.py
# Source: Constructed using U.S. EIA 2015 Residential Energy Consumption Survey (RECS) microdata.
# Source: Source of storm windows :https://www.energy.gov/sites/prod/files/2013/11/f5/residential_windows_coverings.pdf
# Assumption: Wood and Vinyl are considered same material
# Assumption: Triple Pane assumed to be 100% low-e
# Assumption: Only breaking out clear and low-e windows for the Double, Non-Metal frame type
# Assumption: Source of low-e distribution is based on engineering judgement, informed by high-levelsales trends observed in Ducker Worldwide studies of the U.S. Market for Windows, Doors and Skylights.
# Assumption: Due to low sample sizes for some Building Types, Building Type data are grouped into:
# Assumption: 1) Single-Family Detached, Single-Family Attached, and Mobile homes and 2) Multi-Family 2-4 units and Multi-Family 5+ units
# Assumption: Due to low sample sizes for Vintage, Vintage data are grouped into
# Assumption: 1) <1960, 2) 1960-79, 3) 1980-99, 4) 2000-15
# Assumption: Due to low sample size for Climate, Climate zones are grouped into
# Assumption: 1) 1A, 2A, and 2B, 2) 3A, 3B, 3C, and 4B, 3) 4A and 4C, 4) 5A and 5B, 5) 6A and 6B, and 6) 7A and 7B
