Dependency=Geometry Building Type RECS	Dependency=Geometry Story Bin	Dependency=State	Dependency=Vintage ACS	Option=Brick	Option=Concrete	Option=Steel Frame	Option=Void	Option=Wood Frame	source_count	source_weight	sampling_probability
Mobile Home	8+	CA	1940-59	0	0	0	1	0	0	0	0
Mobile Home	<8	CA	1940-59	0.0443686	0.00682594	0.0102389	0	0.938567	293	293	0.000556313
Mobile Home	8+	CA	1960-79	0	0	0	1	0	0	0	0
Mobile Home	<8	CA	1960-79	0.000680041	0.000906721	0.00147342	0	0.99694	8823	8823	0.00325828
Mobile Home	8+	CA	1980-99	0	0	0	1	0	0	0	0
Mobile Home	<8	CA	1980-99	0.000996512	0.000332171	0.000498256	0	0.998173	12042	12042	0.00181062
Mobile Home	8+	CA	2000-09	0	0	0	1	0	0	0	0
Mobile Home	<8	CA	2000-09	0.00100134	0.00100134	0.00100134	0	0.996996	2996	2996	0.000796564
Mobile Home	8+	CA	2010s	0	0	0	1	0	0	0	0
Mobile Home	<8	CA	2010s	0.00537634	0.00537634	0.00537634	0	0.983871	186	186	0.000301316
Mobile Home	8+	CA	<1940	0	0	0	1	0	0	0	0
Mobile Home	<8	CA	<1940	0.00386473	0.000966184	0.00289855	0	0.992271	1035	1035	0.000420102
Multi-Family with 2 - 4 Units	8+	CA	1940-59	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	CA	1940-59	0.00481283	0.00659537	0.000178253	0	0.988414	5610	5610	0.0237339
Multi-Family with 2 - 4 Units	8+	CA	1960-79	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	CA	1960-79	0.0272381	0.058	0.0800952	0	0.834667	10500	10500	0.0232406
Multi-Family with 2 - 4 Units	8+	CA	1980-99	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	CA	1980-99	0.0534833	0.00217541	0.0475938	0	0.896747	18847	18847	0.0119205
Multi-Family with 2 - 4 Units	8+	CA	2000-09	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	CA	2000-09	0.00156495	0.0688576	0.00156495	0	0.928013	1278	1278	0.00299457
Multi-Family with 2 - 4 Units	8+	CA	2010s	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	CA	2010s	0.0121951	0	0	0	0.987805	82	82	0.00147802
Multi-Family with 2 - 4 Units	8+	CA	<1940	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	CA	<1940	0.00822714	0.00595155	0.0140737	0	0.971748	28564	28564	0.0262878
Multi-Family with 5+ Units	8+	CA	1940-59	0	0	1	0	0	10	10	0.00773289
Multi-Family with 5+ Units	<8	CA	1940-59	0.0241093	0.00857219	0.000535762	0	0.966783	3733	3733	0.0663141
Multi-Family with 5+ Units	8+	CA	1960-79	0	0	1	0	0	315	315	0.0226683
Multi-Family with 5+ Units	<8	CA	1960-79	0.003944	0.0306993	0.000177658	0	0.965179	28144	28144	0.145815
Multi-Family with 5+ Units	8+	CA	1980-99	0	0	1	0	0	575	575	0.00720667
Multi-Family with 5+ Units	<8	CA	1980-99	0.00104533	0.00311223	0.00019006	0	0.995652	42092	42092	0.100113
Multi-Family with 5+ Units	8+	CA	2000-09	0	0	1	0	0	22	22	0.00348135
Multi-Family with 5+ Units	<8	CA	2000-09	0.00639595	0.0129407	0.00907333	0	0.97159	6723	6723	0.0321953
Multi-Family with 5+ Units	8+	CA	2010s	0	0	1	0	0	68	68	0.00278817
Multi-Family with 5+ Units	<8	CA	2010s	0.00267917	0.000669792	0	0	0.996651	1493	1493	0.0193936
Multi-Family with 5+ Units	8+	CA	<1940	0	0	1	0	0	39	39	0.0114696
Multi-Family with 5+ Units	<8	CA	<1940	0.0918669	0.0266174	0.00157116	0	0.879945	10820	10820	0.0502353
Single-Family Attached	8+	CA	1940-59	0	0	0	1	0	0	0	0
Single-Family Attached	<8	CA	1940-59	0.0414294	0.000702192	0	0	0.957868	12817	12817	0.0140519
Single-Family Attached	8+	CA	1960-79	0	0	0	1	0	0	0	0
Single-Family Attached	<8	CA	1960-79	0.00204155	0.000300228	0	0	0.997658	16654	16654	0.013205
Single-Family Attached	8+	CA	1980-99	0	0	0	1	0	0	0	0
Single-Family Attached	<8	CA	1980-99	0.000807972	0.000448873	8.97747e-05	0	0.998653	11139	11139	0.0100271
Single-Family Attached	8+	CA	2000-09	0	0	0	1	0	0	0	0
Single-Family Attached	<8	CA	2000-09	0.0142476	0	0	0	0.985752	2246	2246	0.00255658
Single-Family Attached	8+	CA	2010s	0	0	0	1	0	0	0	0
