Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
10 to 19 Unit	CA, 03705	0	0	0.0887755	0.252041	0.210204	0.332653	0.0841837	0.0234694	0.00867347	105	1960	0.00129596
2 Unit	CA, 03705	0.103064	0.116992	0.181058	0.0334262	0.21727	0.239554	0.108635	0	0	16	359	0.000237373
20 to 49 Unit	CA, 03705	0.00776898	0.013046	0.0823805	0.228232	0.258282	0.162416	0.12577	0.0713867	0.0507183	276	6822	0.00451073
3 or 4 Unit	CA, 03705	0	0	0.149923	0.224111	0.236476	0.250386	0.100464	0	0.0386399	33	647	0.000427802
5 to 9 Unit	CA, 03705	0	0.0137328	0.0499376	0.156055	0.353933	0.238452	0.165418	0.0174782	0.00499376	69	1602	0.00105925
50 or more Unit	CA, 03705	0.00308472	0.00958466	0.0502369	0.116779	0.256583	0.212956	0.154346	0.11755	0.0788807	348	9077	0.00600175
Mobile Home	CA, 03705	0.00369004	0	0.014233	0.233527	0.291513	0.172377	0.115973	0.133896	0.0347918	113	1897	0.00125431
Single-Family Attached	CA, 03705	0	0.0228557	0.0652286	0.0695942	0.354905	0.280688	0.0372368	0.0909091	0.0785824	227	3894	0.00257474
Single-Family Detached	CA, 03705	0.0153735	0.0281713	0.282706	0.257325	0.18907	0.103456	0.0513522	0.0572816	0.0152662	2294	37272	0.0246444
10 to 19 Unit	CA, 03706	0.00731529	0.037308	0.0651061	0.13899	0.163862	0.352597	0.100951	0.0987564	0.0351134	64	1367	0.000918554
2 Unit	CA, 03706	0	0.150685	0.0547945	0.155251	0.315068	0.155251	0.136986	0.0319635	0	12	219	0.000147157
20 to 49 Unit	CA, 03706	0	0.018536	0.0395853	0.195413	0.275212	0.263902	0.117185	0.0656613	0.0245052	134	3183	0.00213881
3 or 4 Unit	CA, 03706	0.0873786	0	0.145631	0.213592	0.0796117	0.0796117	0.320388	0.0271845	0.0466019	21	515	0.000346054
5 to 9 Unit	CA, 03706	0	0	0.132597	0.112339	0.359116	0.154696	0.0939227	0.0718232	0.0755064	32	543	0.000364869
50 or more Unit	CA, 03706	0.00508565	0.011242	0.0409529	0.150964	0.26151	0.260439	0.133565	0.0885974	0.0476445	162	3736	0.0025104
Mobile Home	CA, 03706	0.00407332	0	0.0319077	0.0868975	0.369993	0.148676	0.0746775	0.174474	0.109301	93	1473	0.000989782
Single-Family Attached	CA, 03706	0.0195922	0.0879648	0.103559	0.069972	0.207917	0.328269	0.0823671	0.0951619	0.00519792	151	2501	0.00168055
Single-Family Detached	CA, 03706	0.0282106	0.055294	0.402108	0.233674	0.101041	0.0714049	0.0432938	0.0525426	0.0124312	1880	30166	0.02027
10 to 19 Unit	CA, 03707	0.0232558	0.129032	0.0622656	0.0750188	0.144786	0.44186	0.0525131	0.0607652	0.0105026	63	1333	0.000713518
2 Unit	CA, 03707	0.0873786	0.242718	0.200647	0.113269	0.122977	0.0711974	0.0485437	0.113269	0	21	309	0.000165399
20 to 49 Unit	CA, 03707	0.0075358	0.0813866	0.0708365	0.151469	0.135644	0.229842	0.158252	0.0844009	0.080633	74	1327	0.000710307
3 or 4 Unit	CA, 03707	0.00938086	0.0938086	0.216698	0.136023	0.0787992	0.24015	0.118199	0.0741088	0.032833	40	1066	0.000570601
5 to 9 Unit	CA, 03707	0.0197087	0.131105	0.0222793	0.230506	0.167952	0.275921	0.0762639	0.0762639	0	55	1167	0.000624664
50 or more Unit	CA, 03707	0.00418799	0.0697999	0.0939972	0.0879479	0.181945	0.311773	0.0665426	0.119125	0.0646812	118	2149	0.0011503
Mobile Home	CA, 03707	0.0454545	0.0186289	0.0551416	0.203428	0.210879	0.281669	0.139344	0.0312966	0.014158	76	1342	0.000718335
Single-Family Attached	CA, 03707	0.0532088	0.0751422	0.238018	0.121446	0.135662	0.237206	0.0597076	0.0658002	0.0138099	132	2462	0.00131784
Single-Family Detached	CA, 03707	0.0763316	0.129443	0.43673	0.136002	0.0779524	0.0673602	0.0237099	0.0358099	0.016661	1562	26529	0.0142002
10 to 19 Unit	CA, 03708	0.0301978	0.0107602	0.0801805	0.185005	0.239847	0.293301	0.111767	0.0354044	0.013537	124	2881	0.00194967
2 Unit	CA, 03708	0	0.131799	0.328452	0.211297	0.175732	0.0564854	0.0794979	0.0167364	0	23	478	0.000323479
20 to 49 Unit	CA, 03708	0.0113535	0.0382432	0.0543771	0.222289	0.29997	0.184643	0.0884374	0.0621452	0.038542	170	3347	0.00226502
3 or 4 Unit	CA, 03708	0.0400746	0.027027	0.273066	0.216216	0.171482	0.131407	0.133271	0.00745573	0	57	1073	0.000726135
5 to 9 Unit	CA, 03708	0	0.0805987	0.0713874	0.215314	0.255037	0.189407	0.0621762	0.108808	0.0172712	77	1737	0.00117549
50 or more Unit	CA, 03708	0.0328674	0.0241783	0.0249339	0.17756	0.367964	0.242539	0.0782017	0.0355119	0.0162448	143	2647	0.00179131
Mobile Home	CA, 03708	0.034153	0.0396175	0.181694	0.191257	0.255464	0.0532787	0.114754	0.10929	0.0204918	37	732	0.00049537
Single-Family Attached	CA, 03708	0.0531818	0.0927273	0.130455	0.149545	0.345909	0.142273	0.0509091	0.035	0	135	2200	0.00148881
Single-Family Detached	CA, 03708	0.0930846	0.147257	0.38843	0.181869	0.0809808	0.0421378	0.0267393	0.0274329	0.0120691	1741	28834	0.0195129
10 to 19 Unit	CA, 03720	0.0246403	0.0254287	0.117879	0.168145	0.225113	0.204218	0.130889	0.0906761	0.0130101	210	5073	0.000494842
2 Unit	CA, 03720	0.117578	0.239859	0.137566	0.0623163	0.155791	0.113463	0.121693	0.00705467	0.0446796	70	1701	0.000165923
20 to 49 Unit	CA, 03720	0.00848256	0.0534873	0.107446	0.213949	0.197691	0.243167	0.0956645	0.0657399	0.0143732	176	4244	0.000413978
3 or 4 Unit	CA, 03720	0.053346	0.258207	0.192866	0.119003	0.177399	0.138258	0.0400884	0.0208333	0	157	3168	0.00030902
5 to 9 Unit	CA, 03720	0.0147186	0.0950649	0.203463	0.209351	0.153247	0.177316	0.084329	0.0625108	0	248	5775	0.000563317
50 or more Unit	CA, 03720	0.0156042	0.0262284	0.0552789	0.137284	0.286355	0.171979	0.157039	0.13081	0.0194223	211	6024	0.000587607
Mobile Home	CA, 03720	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	9.16916e-06
Single-Family Attached	CA, 03720	0.103352	0.160814	0.193136	0.114126	0.132482	0.127694	0.0399042	0.115323	0.0131684	120	2506	0.000244446
Single-Family Detached	CA, 03720	0.306598	0.325714	0.216614	0.047877	0.0330338	0.019556	0.0194239	0.026339	0.00484496	1178	22704	0.00221465
10 to 19 Unit	CA, 03721	0.0246763	0.0477645	0.178109	0.239067	0.223797	0.138896	0.062668	0.0615685	0.0234547	398	8186	0.00552575
2 Unit	CA, 03721	0.143052	0.0463215	0.0899183	0.219346	0.13624	0.152589	0.0831063	0.0817439	0.0476839	41	734	0.000495466
