Dependency=Geometry Building Type RECS	Option=100% CFL	Option=100% Incandescent	Option=100% LED	source_count	source_weight	sampling_probability
Mobile Home	0.328179	0.219138	0.452684	695	5.58772e+06	0.00665766
Multi-Family with 2 - 4 Units	0.455301	0.32851	0.216188	238	2.42912e+06	0.0870023
Multi-Family with 5+ Units	0.455301	0.32851	0.216188	238	2.42912e+06	0.462636
Single-Family Attached	0.384923	0.296203	0.318874	108	1.14445e+06	0.0606114
Single-Family Detached	0.328179	0.219138	0.452684	695	5.58772e+06	0.383092
# Created by: sources\recs\2015\tsv_maker.py
# Source: Constructed using U.S. EIA 2015 Residential Energy Consumption Survey (RECS) microdata.
# Source: 2019 Energy Savings Forecast of Solid-State Lighting in General Illumination Applications. https://www.energy.gov/sites/prod/files/2019/12/f69/2019_ssl-energy-savings-forecast.pdf
# Assumption: Qualitative lamp type fractions in each household surveyed are distributed to three options representing 100% incandescent, 100% CFl, and 100% LED lamp type options.
# Assumption: Due to low sample sizes for some Building Types, Building Type data are grouped into: 1) Single-Family Detached and Mobile Homes, and 2) Multifamily 2-4 units and Multifamily 5+ units, and 3) Single-Family Attached.
# Assumption: Single-Family Attached units in the West South Central census division has the same LED saturation as Multi-Family
# Assumption: LED saturation is adjusted to match the U.S. projected saturation in the 2019 Energy Savings Forecast of Solid-State Lighting in General Illumination Applications.
# Manually downselected to the Pacific RECS Census Division for Project_LA
