Dependency=Geometry Building Number Units MF	Dependency=Geometry Stories	Option=Left	Option=Middle	Option=None	Option=Not Applicable	Option=Right	sampling_probability
2	1	0.5	0	0	0	0.5	0.00619843
3	1	0.333333	0.333333	0	0	0.333333	0.00337256
4	1	0.5	0	0	0	0.5	0.00337256
5	1	0.4	0.2	0	0	0.4	0.00245093
6	1	0.333333	0.333333	0	0	0.333333	0.00262167
7	1	0.285714	0.428571	0	0	0.285714	0.00116289
8	1	0.25	0.5	0	0	0.25	0.00377554
9	1	0.222222	0.555556	0	0	0.222222	0
10	1	0.2	0.6	0	0	0.2	0.00186
11	1	0.181818	0.636364	0	0	0.181818	0
12	1	0.166667	0.666667	0	0	0.166667	0.0022914
13	1	0.153846	0.692308	0	0	0.153846	0.000470847
14	1	0.142857	0.714286	0	0	0.142857	0.000114511
15	1	0.133333	0.733333	0	0	0.133333	0.000446068
16	1	0.125	0.75	0	0	0.125	0.00167848
17	1	0.117647	0.764706	0	0	0.117647	0
18	1	0.111111	0.777778	0	0	0.111111	0.000116813
19	1	0.105263	0.789474	0	0	0.105263	0
20	1	0.1	0.8	0	0	0.1	0.00210897
24	1	0.0833333	0.833333	0	0	0.0833333	0.00301273
30	1	0.0666667	0.866667	0	0	0.0666667	0.00179843
36	1	0.0555556	0.888889	0	0	0.0555556	0.000257495
43	1	0.0465116	0.906977	0	0	0.0465116	0.000842534
67	1	0.0298507	0.940299	0	0	0.0298507	0.0019034
116	1	0.0172414	0.965517	0	0	0.0172414	0.000619005
183	1	0.010929	0.978142	0	0	0.010929	0
323	1	0.00619195	0.987616	0	0	0.00619195	0.000513888
None	1	0	0	1	0	0	0.273801
2	2	0	0	0	1	0	0.0221213
3	2	0.5	0	0	0	0.5	0
4	2	0.5	0	0	0	0.5	0.0302671
5	2	0.4	0.2	0	0	0.4	0.00424896
6	2	0.333333	0.333333	0	0	0.333333	0.0100446
7	2	0.285714	0.428571	0	0	0.285714	0.00224962
8	2	0.5	0	0	0	0.5	0.0328009
9	2	0.444444	0.111111	0	0	0.444444	0.00111613
10	2	0.4	0.2	0	0	0.4	0.01081
11	2	0.363636	0.272727	0	0	0.363636	0.00125225
12	2	0.333333	0.333333	0	0	0.333333	0.0135842
13	2	0.307692	0.384615	0	0	0.307692	0.00118372
14	2	0.285714	0.428571	0	0	0.285714	0.00286177
15	2	0.266667	0.466667	0	0	0.266667	0.00213965
16	2	0.25	0.5	0	0	0.25	0.00749057
17	2	0.235294	0.529412	0	0	0.235294	0.000144048
18	2	0.222222	0.555556	0	0	0.222222	0.00109936
19	2	0.210526	0.578947	0	0	0.210526	0.000345535
20	2	0.2	0.6	0	0	0.2	0.0114632
24	2	0.166667	0.666667	0	0	0.166667	0.0101274
30	2	0.133333	0.733333	0	0	0.133333	0.00318361
36	2	0.111111	0.777778	0	0	0.111111	0.00291395
43	2	0.0930233	0.813953	0	0	0.0930233	0.00381407
67	2	0.0597015	0.880597	0	0	0.0597015	0.00715158
116	2	0.0344828	0.931034	0	0	0.0344828	0.00205433
183	2	0.0218579	0.956284	0	0	0.0218579	0.00143677
323	2	0.0123839	0.975232	0	0	0.0123839	0.000737285
None	2	0	0	1	0	0	0.169011
2	3	0	0	0	1	0	0
3	3	0	0	0	1	0	0.0175523
4	3	0.5	0	0	0	0.5	0
5	3	0.5	0	0	0	0.5	0.00345114
6	3	0.5	0	0	0	0.5	0.0154806
7	3	0.428571	0.142857	0	0	0.428571	0.000743203
8	3	0.375	0.25	0	0	0.375	0.00320332
9	3	0.333333	0.333333	0	0	0.333333	0.0014627
10	3	0.3	0.4	0	0	0.3	0.00538475
11	3	0.272727	0.454545	0	0	0.272727	0.000615692
12	3	0.5	0	0	0	0.5	0.0218589
13	3	0.461538	0.0769231	0	0	0.461538	0.00133344
14	3	0.428571	0.142857	0	0	0.428571	8.29347e-05
15	3	0.4	0.2	0	0	0.4	0.00232884
16	3	0.375	0.25	0	0	0.375	0.00190109
17	3	0.352941	0.294118	0	0	0.352941	0.000107878
18	3	0.333333	0.333333	0	0	0.333333	0.00322996
19	3	0.315789	0.368421	0	0	0.315789	0
20	3	0.3	0.4	0	0	0.3	0.00769354
24	3	0.25	0.5	0	0	0.25	0.0182152
30	3	0.2	0.6	0	0	0.2	0.016588
36	3	0.166667	0.666667	0	0	0.166667	0.00928168
43	3	0.139535	0.72093	0	0	0.139535	0.00748056
67	3	0.0895522	0.820896	0	0	0.0895522	0.0188981
116	3	0.0517241	0.896552	0	0	0.0517241	0.00607467
183	3	0.0327869	0.934426	0	0	0.0327869	0.00112354
323	3	0.0185759	0.962848	0	0	0.0185759	0.00301467
None	3	0	0	1	0	0	0.00868388
2	4	0	0	0	1	0	0
3	4	0	0	0	1	0	0
4	4	0	0	0	1	0	0.00362935
5	4	0.5	0	0	0	0.5	0.000237521
6	4	0.5	0	0	0	0.5	0.00156862
7	4	0.5	0	0	0	0.5	0.000588454
8	4	0.5	0	0	0	0.5	0.00104376
9	4	0.444444	0.111111	0	0	0.444444	0.000281806
10	4	0.4	0.2	0	0	0.4	0.00179655
11	4	0.363636	0.272727	0	0	0.363636	0.000158198
12	4	0.333333	0.333333	0	0	0.333333	0.00222367
13	4	0.307692	0.384615	0	0	0.307692	0.000156559
14	4	0.285714	0.428571	0	0	0.285714	0.000719146
15	4	0.266667	0.466667	0	0	0.266667	0.000484947
16	4	0.5	0	0	0	0.5	0.00145722
17	4	0.470588	0.0588235	0	0	0.470588	0.000208205
18	4	0.444444	0.111111	0	0	0.444444	0.000243628
19	4	0.421053	0.157895	0	0	0.421053	0
20	4	0.4	0.2	0	0	0.4	0.00270869
24	4	0.333333	0.333333	0	0	0.333333	0.00149188
30	4	0.266667	0.466667	0	0	0.266667	0.00328155
36	4	0.222222	0.555556	0	0	0.222222	0.00181547
43	4	0.186047	0.627907	0	0	0.186047	0.0052019
67	4	0.119403	0.761194	0	0	0.119403	0.0140088
116	4	0.0689655	0.862069	0	0	0.0689655	0.00283501
183	4	0.0437158	0.912568	0	0	0.0437158	0.00241134
323	4	0.0247678	0.950464	0	0	0.0247678	0.00143401
