Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Vented Crawlspace	Option=Unvented Crawlspace	Option=Heated Basement	Option=Ambient	Option=Slab	Option=Unheated Basement	sampling_probability
3B	Mobile Home	1940-59	0	0	0	1	0	0	0.000556313
3B	Mobile Home	1960-79	0	0	0	1	0	0	0.00325828
3B	Mobile Home	1980-99	0	0	0	1	0	0	0.00181062
3B	Mobile Home	2000-09	0	0	0	1	0	0	0.000796564
3B	Mobile Home	2010s	0	0	0	1	0	0	0.000301316
3B	Mobile Home	<1940	0	0	0	1	0	0	0.000420102
3B	Multi-Family with 2 - 4 Units	1940-59	0.488511	0	0	0	0.494138	0.01735	0.0237339
3B	Multi-Family with 2 - 4 Units	1960-79	0.281971	0	0	0	0.697872	0.020158	0.0232406
3B	Multi-Family with 2 - 4 Units	1980-99	0.175684	0.013798	0	0	0.805567	0.004951	0.0119205
3B	Multi-Family with 2 - 4 Units	2000-09	0.09408	0.008553	0	0	0.883124	0.014243	0.00299457
3B	Multi-Family with 2 - 4 Units	2010s	0.087971	0.014662	0	0	0.883124	0.014243	0.00147802
3B	Multi-Family with 2 - 4 Units	<1940	0.603358	0	0	0	0.230099	0.166543	0.0262878
3B	Multi-Family with 5+ Units	1940-59	0.488511	0	0	0	0.494138	0.01735	0.0740469
3B	Multi-Family with 5+ Units	1960-79	0.281971	0	0	0	0.697872	0.020158	0.168483
3B	Multi-Family with 5+ Units	1980-99	0.177077	0.012405	0	0	0.805567	0.004951	0.10732
3B	Multi-Family with 5+ Units	2000-09	0.094062	0.008571	0	0	0.883124	0.014243	0.0356767
3B	Multi-Family with 5+ Units	2010s	0.094847	0.007786	0	0	0.883124	0.014243	0.0221817
3B	Multi-Family with 5+ Units	<1940	0.603358	0	0	0	0.230099	0.166543	0.0617048
3B	Single-Family Attached	1940-59	0.485859	0	0.005429	0	0.491456	0.017256	0.0140519
3B	Single-Family Attached	1960-79	0.28104	0	0.003301	0	0.695568	0.020091	0.013205
3B	Single-Family Attached	1980-99	0.177526	0.011956	0	0	0.805567	0.004951	0.0100271
3B	Single-Family Attached	2000-09	0.09323	0.008918	0.004725	0	0.878951	0.014176	0.00255658
3B	Single-Family Attached	2010s	0.098365	0.003783	0.004725	0	0.878951	0.014176	0.00118248
3B	Single-Family Attached	<1940	0.592091	0	0.018673	0	0.225802	0.163434	0.0173134
3B	Single-Family Detached	1940-59	0.466178	0	0.005209	0.040509	0.471548	0.016557	0.157592
3B	Single-Family Detached	1960-79	0.273724	0	0.003215	0.026033	0.67746	0.019568	0.0743897
3B	Single-Family Detached	1980-99	0.169362	0.01178	0	0.044017	0.770109	0.004733	0.0290069
3B	Single-Family Detached	2000-09	0.08771	0.00906	0.004476	0.052654	0.83267	0.013429	0.0118315
3B	Single-Family Detached	2010s	0.08666	0.01011	0.004476	0.052654	0.83267	0.013429	0.00529943
3B	Single-Family Detached	<1940	0.553553	0	0.017458	0.065089	0.211105	0.152796	0.0973329
# Created by: sources\recs\2009\tsv_maker.py (manually modified by Joe Robertson)
# Source: The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: All mobile homes have Ambient foundations.
# Assumption: Multi-family buildings cannot have Ambient and Heated Basements
# Assumption: Single-family attached buildings cannot have Ambient foundations
# Assumption: Foundation types are the same for each building type except mobile homes and the applicable options.
# Assumption: Because we need to assume a foundation type for ground-floor MF units, we use the lumped SFD+SFA distributions for MF2-4 and MF5+ building foundations. (RECS data for households in MF2-4 unit buildings are not useful since we do not know which floor the unitis on. RECS does not include foundation responses for households in MF5+ unit buildings.)
# Assumption: For SFD and SFA, if no foundation type specified, then sample has Ambient foundation.
# Downselected: This characteristic was downselected from project_national.
