Dependency=AHS Region	Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Option=None	Option=Yes	source_count	source_weight	sampling_probability
CBSA Los Angeles-Long Beach-Anaheim, CA	Mobile Home	Electricity	0.295614	0.704386	10	18320.4	0.00183246
CBSA Los Angeles-Long Beach-Anaheim, CA	Mobile Home	Fuel Oil	0.5	0.5	0	0	6.67424e-05
CBSA Los Angeles-Long Beach-Anaheim, CA	Mobile Home	Natural Gas	0.073738	0.926262	26	45442.4	0.00412439
CBSA Los Angeles-Long Beach-Anaheim, CA	Mobile Home	None	0.562232	0.437768	5	9921.89	0.000376798
CBSA Los Angeles-Long Beach-Anaheim, CA	Mobile Home	Other Fuel	0.5	0.5	0	0	0.000262134
CBSA Los Angeles-Long Beach-Anaheim, CA	Mobile Home	Propane	0	1	2	3659.1	0.000480663
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 2 - 4 Units	Electricity	0.57833	0.42167	82	129945	0.0193905
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 2 - 4 Units	Fuel Oil	0.5	0.5	0	0	5.15584e-05
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 2 - 4 Units	Natural Gas	0.56838	0.43162	128	209089	0.061337
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 2 - 4 Units	None	0.687977	0.312023	6	11037.3	0.00752301
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 2 - 4 Units	Other Fuel	0.5	0.5	0	0	0.000197262
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 2 - 4 Units	Propane	0.5	0.5	0	0	0.0011561
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 5+ Units	Electricity	0.665842	0.334158	422	685473	0.200105
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 5+ Units	Fuel Oil	1	0	1	1674.26	0.000351121
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 5+ Units	Natural Gas	0.727645	0.272355	388	627726	0.22137
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 5+ Units	None	0.833182	0.166818	16	25708.3	0.0412664
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 5+ Units	Other Fuel	0.886032	0.113968	9	17133.1	0.00119583
CBSA Los Angeles-Long Beach-Anaheim, CA	Multi-Family with 5+ Units	Propane	0.857463	0.142537	7	12795.9	0.00512448
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Attached	Electricity	0.289341	0.710659	79	135893	0.0156767
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Attached	Fuel Oil	0.5	0.5	0	0	1.30971e-05
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Attached	Natural Gas	0.231856	0.768144	146	247165	0.0369379
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Attached	None	0.49244	0.50756	6	11196.4	0.00479011
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Attached	Other Fuel	0.5	0.5	0	0	0.000140247
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Attached	Propane	0	1	2	3715.81	0.000778384
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Detached	Electricity	0.0761634	0.923837	332	592355	0.0678396
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Detached	Fuel Oil	1	0	1	1901.42	0.00040103
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Detached	Natural Gas	0.0371318	0.962868	857	1.53681e+06	0.282644
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Detached	None	0.340237	0.659763	21	37550.2	0.0173503
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Detached	Other Fuel	0.0884866	0.911513	10	18263.4	0.0034969
CBSA Los Angeles-Long Beach-Anaheim, CA	Single-Family Detached	Propane	0	1	8	12883.1	0.00372046
# Created by: sources\ahs\2017\tsv_maker.py
# Source: Constructed using 2017 American Housing Survey (AHS) microdata.
# Source: Core Based Statistical Area (CBSA) data based on the Feb 2013 CBSA delineation file.
# Downselected: This characteristic was downselected from project_national.
