Dependency=Bedrooms	Dependency=Census Division	Dependency=Geometry Building Type RECS	Dependency=Income RECS2015	Dependency=PUMA Metro Status	Dependency=Tenure	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	Option=7	Option=8	Option=9	Option=10+	source_count	source_weight	sampling_probability
1	Pacific	Mobile Home	100000-119999	In metro area, not/partially in principal city	Owner	0.186973	0.518008	0.0666667	0.121839	0.0398467	0.0536398	0.0130268	0	0	0	70	1305	4.73795e-06
1	Pacific	Mobile Home	100000-119999	In metro area, not/partially in principal city	Renter	0.64637	0.206089	0.0936768	0	0.0538642	0	0	0	0	0	20	427	1.12361e-06
1	Pacific	Mobile Home	100000-119999	In metro area, principal city	Owner	0.489627	0.327801	0.0456432	0	0.0954357	0.0414938	0	0	0	0	11	241	1.84291e-05
1	Pacific	Mobile Home	100000-119999	In metro area, principal city	Renter	0.353532	0.435554	0.0865417	0.0788416	0.0239371	0.0157349	0.00301306	0	0	0.00284566	308	5974	9.14682e-06
1	Pacific	Multi-Family with 2 - 4 Units	100000-119999	In metro area, not/partially in principal city	Owner	0.646801	0.284838	0.0315513	0.0368098	0	0	0	0	0	0	60	1141	6.79128e-05
1	Pacific	Multi-Family with 2 - 4 Units	100000-119999	In metro area, not/partially in principal city	Renter	0.398208	0.464867	0.0809679	0.0368776	0.0158213	0.00162866	0	0.00162866	0	0	409	8596	0.00018451
1	Pacific	Multi-Family with 2 - 4 Units	100000-119999	In metro area, principal city	Owner	0.530752	0.266515	0.047836	0.0501139	0.0523918	0.0523918	0	0	0	0	25	439	0.000172929
1	Pacific	Multi-Family with 2 - 4 Units	100000-119999	In metro area, principal city	Renter	0.42583	0.419372	0.086278	0.0152466	0.0459193	0.00412556	0.0032287	0	0	0	278	5575	0.00101801
1	Pacific	Multi-Family with 5+ Units	100000-119999	In metro area, not/partially in principal city	Owner	0.719853	0.255398	0.00342285	0.0129015	0.00842549	0	0	0	0	0	195	3798	0.000296005
1	Pacific	Multi-Family with 5+ Units	100000-119999	In metro area, not/partially in principal city	Renter	0.451882	0.410905	0.0905113	0.0263477	0.0114103	0.00547385	0.00161903	0.0011179	0	0.000732417	2193	51883	0.00139042
1	Pacific	Multi-Family with 5+ Units	100000-119999	In metro area, principal city	Owner	0.667814	0.263626	0.0441767	0.0134825	0.0109007	0	0	0	0	0	157	3486	0.00124455
1	Pacific	Multi-Family with 5+ Units	100000-119999	In metro area, principal city	Renter	0.49504	0.391202	0.0711701	0.0265872	0.010758	0.0040127	0.00103395	0.000196942	0	0	1729	40621	0.00988009
1	Pacific	Single-Family Attached	100000-119999	In metro area, not/partially in principal city	Owner	0.490211	0.335843	0.0941265	0.0587349	0.0128012	0	0.00828313	0	0	0	75	1328	4.8076e-05
1	Pacific	Single-Family Attached	100000-119999	In metro area, not/partially in principal city	Renter	0.317353	0.490095	0.118463	0.0431854	0.0257528	0.00515055	0	0	0	0	103	2524	2.23715e-05
1	Pacific	Single-Family Attached	100000-119999	In metro area, principal city	Owner	0.266376	0.458515	0.19214	0.0829694	0	0	0	0	0	0	26	458	0.000270154
1	Pacific	Single-Family Attached	100000-119999	In metro area, principal city	Renter	0.299677	0.351373	0.155089	0.139742	0.0193861	0.0250404	0.00969305	0	0	0	60	1238	0.000254662
1	Pacific	Single-Family Detached	100000-119999	In metro area, not/partially in principal city	Owner	0.198011	0.370886	0.172694	0.159313	0.0694394	0.00650995	0.0128391	0.00650995	0.00126582	0.00253165	339	5530	0.00010654
1	Pacific	Single-Family Detached	100000-119999	In metro area, not/partially in principal city	Renter	0.375524	0.44662	0.079021	0.048951	0.0296037	0.0041958	0.0025641	0.00559441	0.002331	0.00559441	209	4290	2.31726e-05
1	Pacific	Single-Family Detached	100000-119999	In metro area, principal city	Owner	0.215168	0.348325	0.153439	0.133157	0.0855379	0.0299824	0.0202822	0.00970018	0	0.00440917	74	1134	0.000663025
1	Pacific	Single-Family Detached	100000-119999	In metro area, principal city	Renter	0.32589	0.421847	0.103199	0.078455	0.033796	0.0319855	0	0	0	0.004828	90	1657	0.000167896
2	Pacific	Mobile Home	100000-119999	In metro area, not/partially in principal city	Owner	0.182759	0.464341	0.126329	0.136254	0.0418262	0.0279314	0.00765632	0.0094995	0.00340281	0	429	7053	2.15783e-05
2	Pacific	Mobile Home	100000-119999	In metro area, not/partially in principal city	Renter	0.0270436	0.472649	0.212047	0.146281	0.0590043	0.0829748	0	0	0	0	79	1627	5.02879e-06
2	Pacific	Mobile Home	100000-119999	In metro area, principal city	Owner	0.35443	0.21519	0.162749	0.16094	0.0831826	0.0235081	0	0	0	0	31	553	8.80643e-05
2	Pacific	Mobile Home	100000-119999	In metro area, principal city	Renter	0.0484581	0.361233	0.281938	0.277533	0	0	0.030837	0	0	0	10	227	4.00249e-05
2	Pacific	Multi-Family with 2 - 4 Units	100000-119999	In metro area, not/partially in principal city	Owner	0.287537	0.437861	0.145779	0.0737633	0.0290159	0.00559343	0.00751617	0.0101381	0	0.00279671	288	5721	0.000126518
2	Pacific	Multi-Family with 2 - 4 Units	100000-119999	In metro area, not/partially in principal city	Renter	0.126497	0.380889	0.212836	0.174118	0.0701679	0.0236744	0.00524802	0.00528689	0.00128285	0	1102	25724	0.000348688
2	Pacific	Multi-Family with 2 - 4 Units	100000-119999	In metro area, principal city	Owner	0.40746	0.402266	0.108121	0.0590179	0.0136922	0.003305	0	0	0	0.00613787	110	2118	0.00033247
2	Pacific	Multi-Family with 2 - 4 Units	100000-119999	In metro area, principal city	Renter	0.16851	0.448775	0.162204	0.127882	0.0544815	0.0208829	0.0134395	0.00237775	0.00144733	0	439	9673	0.00195574
2	Pacific	Multi-Family with 5+ Units	100000-119999	In metro area, not/partially in principal city	Owner	0.417141	0.380216	0.141049	0.0442932	0.010813	0.00304365	0.00344413	0	0	0	632	12485	0.000295678
