Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Tenure	Dependency=Vintage ACS	Option=<10000	Option=10000-14999	Option=15000-19999	Option=20000-24999	Option=25000-29999	Option=30000-34999	Option=35000-39999	Option=40000-44999	Option=45000-49999	Option=50000-59999	Option=60000-69999	Option=70000-79999	Option=80000-99999	Option=100000-119999	Option=120000-139999	Option=140000-159999	Option=160000-179999	Option=180000-199999	Option=200000+	source_count	source_weight	sampling_probability
Mobile Home	CA, 03705	Owner	1940-59	0.134486	0.0989433	0.0115274	0.0720461	0.054755	0.116234	0.0326609	0.0480307	0.0384246	0.0893372	0.0480307	0.0201729	0.0730067	0.0826129	0.0230548	0.012488	0	0	0.0441883	58	1041	1.13197e-05
Mobile Home	CA, 03705	Renter	1940-59	0.0637652	0.1083	0.114372	0.0759109	0.0394737	0.0293522	0.0404858	0.232794	0	0.00809717	0.0192308	0.0991903	0.0303644	0.00708502	0.090081	0.0334008	0.00809717	0	0	40	988	6.53282e-06
Multi-Family with 2 - 4 Units	CA, 03705	Owner	1940-59	0.0133349	0.0464299	0.0121227	0.0425506	0.0212147	0.0317614	0.0327312	0.044369	0.036368	0.0682507	0.0915262	0.0303067	0.123288	0.07213	0.0581889	0.0478846	0.0209722	0.0269124	0.179658	417	8249	3.24478e-05
Multi-Family with 2 - 4 Units	CA, 03705	Renter	1940-59	0.0849536	0.0630476	0.0492325	0.0560122	0.0534698	0.0517589	0.0467701	0.0402622	0.0346658	0.0775983	0.0686121	0.0571314	0.0894468	0.0607291	0.0486249	0.0253598	0.0152862	0.0123441	0.0646946	2946	62540	0.000102438
Multi-Family with 5+ Units	CA, 03705	Owner	1940-59	0.0691653	0.047438	0.0275213	0.026616	0.0365743	0.0200978	0.086185	0.0204599	0.00959623	0.0452653	0.0485244	0.0512403	0.0941517	0.0838313	0.0597501	0.0554047	0.0409198	0.020641	0.156618	263	5523	6.38043e-05
Multi-Family with 5+ Units	CA, 03705	Renter	1940-59	0.0550257	0.079237	0.0829054	0.0616288	0.168745	0.0161409	0.0528247	0.103448	0.0440205	0.0865737	0.0491563	0.083639	0.0711665	0.00586941	0.024945	0.00807043	0	0	0.00660308	65	1363	0.000908166
Single-Family Attached	CA, 03705	Owner	1940-59	0.102273	0	0	0	0.164773	0	0.0909091	0	0	0	0	0	0.107955	0.25	0.102273	0	0	0.0965909	0.0852273	10	176	0.000165171
Single-Family Attached	CA, 03705	Renter	1940-59	0.0717062	0.0782084	0.0649497	0.0520542	0.0337462	0.0532893	0.0432635	0.0431545	0.0353809	0.0664027	0.0678194	0.0594282	0.09223	0.0614625	0.0494024	0.0290966	0.0314577	0.0130045	0.0539431	1313	27529	6.16228e-05
Single-Family Detached	CA, 03705	Owner	1940-59	0.0178894	0.0133668	0.0155779	0.0321608	0.0126633	0.0111558	0.020804	0.0133668	0.0248241	0.0444221	0.0710553	0.0689447	0.109045	0.136583	0.0825126	0.0740704	0.0711558	0.0531658	0.127236	585	9950	0.00669701
Single-Family Detached	CA, 03705	Renter	1940-59	0.0255616	0	0.0108443	0.00929512	0.0712626	0.0185902	0.0968242	0.0232378	0	0.0480248	0.0333075	0.0464756	0.27653	0.0712626	0.0867545	0.103796	0.020914	0.00929512	0.0480248	64	1291	0.000964386
Mobile Home	CA, 03705	Owner	1960-79	0.054242	0.0917942	0.0834492	0.0584145	0.139082	0.0333797	0.0681502	0.0751043	0.0528512	0.0486787	0.0834492	0.0445063	0.0514604	0.0278164	0	0.00973574	0	0	0.077886	46	719	0.000417573
Mobile Home	CA, 03705	Renter	1960-79	0.0912863	0	0.0539419	0.19917	0	0	0.0622407	0.174274	0.116183	0	0	0	0.033195	0.112033	0.0456432	0	0.112033	0	0	14	241	0.000240989
Multi-Family with 2 - 4 Units	CA, 03705	Owner	1960-79	0.0212461	0.0241108	0.0261399	0.0259012	0.0352113	0.0360468	0.042731	0.0225591	0.0365242	0.048699	0.0479828	0.0710193	0.0965624	0.0857006	0.0577704	0.0787778	0.048699	0.0331821	0.161136	415	8378	6.17145e-05
Multi-Family with 2 - 4 Units	CA, 03705	Renter	1960-79	0.130699	0	0.0212766	0.139818	0	0.0911854	0	0.133739	0	0	0.0577508	0	0.285714	0.0972644	0	0	0	0	0.0425532	21	329	0.000194834
Multi-Family with 5+ Units	CA, 03705	Owner	1960-79	0.0540541	0	0.0143084	0.0302067	0.0206677	0	0.233704	0	0.0397456	0.036566	0.117647	0.0206677	0.139905	0.0302067	0.063593	0.0222576	0.0953895	0	0.0810811	26	629	0.000365942
Multi-Family with 5+ Units	CA, 03705	Renter	1960-79	0.0615872	0.0615872	0.0475338	0.0555249	0.0500138	0.0558005	0.0491871	0.0613117	0.0326536	0.120419	0.0646184	0.0788096	0.0901075	0.0935519	0.042987	0.0213557	0.0115734	0	0.00137779	299	7258	0.00520868
Single-Family Attached	CA, 03705	Owner	1960-79	0.030303	0.046252	0.0223285	0	0.0111643	0.0103668	0.0239234	0.0199362	0	0.099681	0.0454545	0.0813397	0.137959	0.0805423	0.062201	0.0366826	0.0382775	0.104466	0.149123	81	1254	0.000795998
Single-Family Attached	CA, 03705	Renter	1960-79	0	0	0	0.0620155	0	0	0.0723514	0	0.0335917	0.178295	0.0206718	0.121447	0.0335917	0.0801034	0.131783	0.0801034	0	0.149871	0.0361757	19	387	0.000296975
Single-Family Detached	CA, 03705	Owner	1960-79	0.0201104	0.0196021	0.0202556	0.0129229	0.0108901	0.0128503	0.0229418	0.026717	0.0224336	0.0372441	0.0428343	0.0443589	0.0908959	0.107594	0.0760128	0.0767388	0.0597503	0.057064	0.238783	960	13774	0.00961637
Single-Family Detached	CA, 03705	Renter	1960-79	0.0108491	0.0415094	0.00990566	0.00660377	0.0122642	0.0320755	0.0169811	0.0533019	0.0226415	0.0801887	0.0698113	0.065566	0.0575472	0.115566	0.166981	0.0301887	0.0537736	0.0358491	0.118396	104	2120	0.00138478
Mobile Home	CA, 03705	Owner	1980-99	0	0.168033	0	0	0.045082	0	0.0532787	0.0983607	0.135246	0.0819672	0.0901639	0.135246	0.0901639	0.0532787	0.0245902	0	0	0	0.0245902	20	244	0.000229329
Mobile Home	CA, 03705	Renter	1980-99	0.128713	0.039604	0.277228	0	0	0	0	0	0	0	0.122112	0	0.260726	0.148515	0.0231023	0	0	0	0	13	303	0.00013235
Multi-Family with 2 - 4 Units	CA, 03705	Owner	1980-99	0.0570927	0.0142	0.0256185	0.0133216	0.0259113	0.0455277	0.0174206	0.0477236	0.0339628	0.0515298	0.0578246	0.0392329	0.082272	0.0983751	0.0682184	0.0357195	0.0749524	0.0295711	0.181525	359	6831	5.59884e-05
Multi-Family with 2 - 4 Units	CA, 03705	Renter	1980-99	0.0686244	0.0491933	0.0447312	0.050732	0.0602937	0.0523805	0.044951	0.0502484	0.0467095	0.0754165	0.0759661	0.0565569	0.0876819	0.0593265	0.0355871	0.034532	0.0222447	0.0135402	0.0712841	2049	45494	0.000176756
Multi-Family with 5+ Units	CA, 03705	Owner	1980-99	0.0229446	0.0573614	0.0210325	0	0.0267686	0.0573614	0.0478011	0	0.0248566	0	0.235182	0.172084	0.152964	0	0.0535373	0.0630975	0	0	0.0650096	31	523	0.000293587
Multi-Family with 5+ Units	CA, 03705	Renter	1980-99	0.116834	0.0470749	0.0378646	0.0515095	0.0353062	0.0518506	0.0249019	0.0832338	0.0680539	0.0585025	0.0793109	0.0787992	0.0530445	0.125874	0.0262664	0.01825	0.0141566	0.0115982	0.0175678	238	5863	0.0041788
Single-Family Attached	CA, 03705	Owner	1980-99	0.0229008	0.0414395	0.0163577	0.0479826	0.0316249	0	0.0327154	0.0207197	0.0294438	0.0599782	0.0665213	0	0.166848	0.143948	0.0316249	0.0861505	0.0523446	0.0981461	0.0512541	60	917	0.000596156
Single-Family Attached	CA, 03705	Renter	1980-99	0	0.0425532	0.0390071	0	0	0.0496454	0.0460993	0.0496454	0.12766	0.0496454	0	0.106383	0.0531915	0.237589	0.0992908	0	0.0531915	0	0.0460993	18	282	0.000222417
Single-Family Detached	CA, 03705	Owner	1980-99	0.00602535	0.00768751	0.00332433	0.0166216	0.00332433	0.00685643	0.0317889	0.0147517	0.0130895	0.0276335	0.0170372	0.0268024	0.0604613	0.127779	0.103678	0.0768751	0.0770829	0.0432163	0.335965	333	4813	0.00333492
Single-Family Detached	CA, 03705	Renter	1980-99	0.0334855	0.0563166	0	0.0410959	0.0228311	0	0.0106545	0.0410959	0	0.0182648	0.0304414	0.0563166	0.193303	0.0928463	0.04414	0.106545	0.0395738	0.127854	0.0852359	36	657	0.000480237
Mobile Home	CA, 03705	Owner	2000-09	0.022864	0.0204573	0.02858	0.0418171	0.0240674	0.0213598	0.0186522	0.0628761	0.0646811	0.101384	0.0631769	0.0685921	0.0697954	0.148616	0.0174489	0.0923586	0.0246691	0.0252708	0.0833333	172	3324	0.00010649
Mobile Home	CA, 03705	Renter	2000-09	0.0821429	0.0535714	0.0714286	0.132143	0.00714286	0.0940476	0.0547619	0.0511905	0.052381	0.0428571	0.0678571	0.075	0.107143	0.0714286	0	0.0107143	0.0261905	0	0	41	840	6.14571e-05
Multi-Family with 2 - 4 Units	CA, 03705	Owner	2000-09	0.0490884	0.00935016	0	0.0130902	0.00981767	0	0.0458158	0.00841515	0	0.0495559	0.0584385	0.0406732	0.0677887	0.0444133	0.102852	0.0472183	0.0691912	0.0224404	0.361851	106	2139	0
Multi-Family with 2 - 4 Units	CA, 03705	Renter	2000-09	0.124456	0.0535612	0.0493716	0.046332	0.0474	0.0502752	0.0633369	0.0630083	0.0404173	0.0598045	0.0553684	0.0495359	0.0580794	0.0679372	0.049043	0.0368028	0.0245626	0.0162655	0.0444426	492	12173	0
Multi-Family with 5+ Units	CA, 03705	Owner	2000-09	0.0243902	0.0131924	0.00839836	0.0149421	0.010183	0.015327	0.0170067	0.0208559	0.0167617	0.0385975	0.0389124	0.0417469	0.10323	0.0792945	0.0856283	0.0637576	0.0551492	0.0444413	0.308185	1207	28577	7.06622e-05
Multi-Family with 5+ Units	CA, 03705	Renter	2000-09	0.0754277	0.0287714	0.0427683	0	0.212286	0.0443235	0.037325	0.0225505	0.0458787	0.111198	0.0101089	0.062986	0.0583204	0.12675	0.0171073	0.0419907	0.0116641	0	0.0505443	52	1286	0.00100578
Single-Family Attached	CA, 03705	Owner	2000-09	0.0677083	0	0	0	0.0625	0	0	0.078125	0	0	0.0677083	0	0.161458	0	0.135417	0.21875	0.125	0	0.0833333	14	192	0.000170468
