Dependency=Geometry Building Type ACS	Dependency=Geometry Floor Area Bin	Dependency=Vintage ACS	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	Option=7	Option=8	Option=9	Option=10	Option=11	Option=12	Option=13	Option=14	Option=15	Option=20	Option=21	source_count	source_weight
10 to 19 Unit	0-1499	1940-59	0.100899	0.3665	0.318237	0.0838986	0.116526	0.0139396	0	0	0	0	0	0	0	0	0	0	0	51	119513
10 to 19 Unit	1500-2499	1940-59	0.100899	0.3665	0.318237	0.0838986	0.116526	0.0139396	0	0	0	0	0	0	0	0	0	0	0	51	119513
10 to 19 Unit	2500-3999	1940-59	0.100899	0.3665	0.318237	0.0838986	0.116526	0.0139396	0	0	0	0	0	0	0	0	0	0	0	51	119513
10 to 19 Unit	4000+	1940-59	0.100899	0.3665	0.318237	0.0838986	0.116526	0.0139396	0	0	0	0	0	0	0	0	0	0	0	51	119513
10 to 19 Unit	0-1499	1960-79	0.0831215	0.490164	0.348236	0.0304314	0.00833411	0.0175908	0.00237754	0.0130668	0	0	0	0	0	0	0	0.00667736	0	185	451532
10 to 19 Unit	1500-2499	1960-79	0.0831215	0.490164	0.348236	0.0304314	0.00833411	0.0175908	0.00237754	0.0130668	0	0	0	0	0	0	0	0.00667736	0	185	451532
10 to 19 Unit	2500-3999	1960-79	0.0831215	0.490164	0.348236	0.0304314	0.00833411	0.0175908	0.00237754	0.0130668	0	0	0	0	0	0	0	0.00667736	0	185	451532
10 to 19 Unit	4000+	1960-79	0.0831215	0.490164	0.348236	0.0304314	0.00833411	0.0175908	0.00237754	0.0130668	0	0	0	0	0	0	0	0.00667736	0	185	451532
10 to 19 Unit	0-1499	1980-99	0.059773	0.478125	0.453307	0.00879537	0	0	0	0	0	0	0	0	0	0	0	0	0	158	375527
10 to 19 Unit	1500-2499	1980-99	0.059773	0.478125	0.453307	0.00879537	0	0	0	0	0	0	0	0	0	0	0	0	0	158	375527
10 to 19 Unit	2500-3999	1980-99	0.059773	0.478125	0.453307	0.00879537	0	0	0	0	0	0	0	0	0	0	0	0	0	158	375527
10 to 19 Unit	4000+	1980-99	0.059773	0.478125	0.453307	0.00879537	0	0	0	0	0	0	0	0	0	0	0	0	0	158	375527
10 to 19 Unit	0-1499	2000-09	0.0470349	0.431897	0.428572	0.0820203	0.0104755	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1
10 to 19 Unit	1500-2499	2000-09	0.0470349	0.431897	0.428572	0.0820203	0.0104755	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1
10 to 19 Unit	2500-3999	2000-09	0.0470349	0.431897	0.428572	0.0820203	0.0104755	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1
10 to 19 Unit	4000+	2000-09	0.0470349	0.431897	0.428572	0.0820203	0.0104755	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1
10 to 19 Unit	0-1499	2010s	0.0470349	0.431897	0.428572	0.0820203	0.0104755	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1
10 to 19 Unit	1500-2499	2010s	0.0470349	0.431897	0.428572	0.0820203	0.0104755	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1
10 to 19 Unit	2500-3999	2010s	0.0470349	0.431897	0.428572	0.0820203	0.0104755	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1
10 to 19 Unit	4000+	2010s	0.0470349	0.431897	0.428572	0.0820203	0.0104755	0	0	0	0	0	0	0	0	0	0	0	0	69	89470.1
10 to 19 Unit	0-1499	<1940	0.0184609	0.150801	0.361103	0.306275	0.103192	0.0601688	0	0	0	0	0	0	0	0	0	0	0	41	101538
